wavelength,Back_TanCycm,Belly_TanCycm,Breast_TanCycm,Crissum_TanCycm,Crown_TanCycm,DorTail_TanCycm,Patch10_TanCycm,Patch11_TanCycm,Patch12_TanCycm,Patch13_TanCycm,Rump_TanCycm,Throat_TanCycm,WingTip_TanCycm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-293.333333333,-223.333333333,-193.333333333,-166.666666667,-180.0,-253.333333333,-220.0,-203.333333333,-330.0,-366.666666667,-193.333333333,-230.0,-453.333333333
179.16,60.0000666665,32.5925333333,34.8147333333,40.7406,105.1852,75.5555333334,99.2592666667,50.3703333333,24.4443333333,65.1852000001,55.5555333333,53.3333333333,2.22233333334
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,14.9206666667,5.07933333335,16.5079333333,24.1268666667,15.5555333333,8.88900000001,16.5078666667,17.1427333333,11.1110666667,6.03173333335,5.07933333333,8.57146666669,4.12699999999
180.31,27.5269333333,25.9497333333,24.5162,23.9427333334,42.4372666667,33.7634666667,58.7815333334,18.9964,7.88533333334,14.1934666667,32.9032666667,26.165,12.6164
180.69,23.5017333333,22.2224,17.8450666667,21.0102,36.835,27.9460666667,52.7946666667,13.4006,3.29973333332,8.68686666666,29.2255333333,20.8754,7.3402
181.07,34.5794,36.5109333333,27.1651333333,28.2242,41.8691333333,41.0592,61.3084666667,22.6168666667,14.3925333333,26.0436,43.2398666667,32.7726666667,18.3179333333
181.45,38.5669333333,40.8099333333,29.9064666667,33.7694666667,39.3146,43.0529333333,62.6790666667,25.2337333333,21.8067333333,24.8598666667,46.4175333333,33.2086666667,26.1058666667
181.83,38.7572,41.8079333333,30.7910666667,35.0280666667,41.808,41.1865333333,61.3559333333,24.2372666667,22.2598,26.0453333333,46.4406666667,29.9436,29.6610666667
182.21,44.4445333333,49.1228,34.269,37.7778,45.9648666667,49.2982666667,68.421,28.0116666667,27.4854,32.69,57.0175333333,36.2573333333,37.5438666667
182.59,45.6230666667,51.3621333333,33.0436,38.3188,43.3043333333,49.3331333333,67.4782,31.1304666667,27.7101333333,35.1303333333,59.6521333333,37.5071333333,36.7535333333
182.97,42.825,53.5027333333,36.2148666667,35.7062666667,41.4124666667,48.4180666667,62.9378666667,28.7569333333,25.3108,34.3503333333,61.8078666666,35.7628,38.9831333333
183.35,42.7452,55.1634,31.9607333333,34.9674,41.7645333333,49.5426,65.5556,28.2354,24.9020666666,32.2876666667,65.5556,37.3856,39.4117333333
183.73,38.3332666667,43.9744,24.8077333333,28.1409333333,34.359,43.7821333333,49.5512666667,19.1026666667,15.4488,23.5897333333,56.4744666667,28.6538666667,30.3846666667
184.11,44.1758,47.3992,31.868,32.0146,36.4835333333,48.8645333334,55.1648,29.1574,22.3442666667,33.5530666667,64.0292666667,36.3370666667,36.3369333333
184.49,51.3261333333,54.1934,33.6918666667,39.4264,42.8673333333,51.0396,58.6379333333,32.5448666667,30.0359333333,41.147,67.6702666667,39.1397333333,39.8567333333
184.87,56.4792666666,60.8240666667,42.0224666667,41.9476,46.3671333333,57.0786666667,65.0187333334,38.5018666667,32.6592666667,49.5879333333,74.9812,45.0187333332,46.5918
185.25,52.0291333334,48.5506666667,36.6666666667,38.4783333333,44.8549333333,45.1449333333,57.826,33.3334,28.0435333333,40.2173333333,66.4490666667,38.913,48.1159333333
185.63,42.8472,45.4862,36.1112,30.2082666667,41.9444,37.6388666667,50.5555333333,28.1944666667,21.8751333333,39.1667333333,63.0557333333,35.8333333334,41.7362
186.01,49.9258666667,59.9999333333,43.1112,36.2222666667,43.5554666667,42.0740666667,56.3703999999,35.7778,29.8518666667,48.5926,76.5185333334,46.6666000001,49.7778
186.39,43.8826666667,51.6483333333,36.0438666667,26.8864666667,40.2197333333,31.5750666667,50.3296666667,29.2308,21.4651333333,39.8537333333,66.4468666667,38.9010666667,42.4175333333
