wavelength,Back_TanXacf,Belly_TanXacf,Breast_TanXacf,Crissum_TanXacf,Crown_TanXacf,DorTail_TanXacf,Patch10_TanXacf,Patch11_TanXacf,Patch12_TanXacf,Rump_TanXacf,Throat_TanXacf,WingTip_TanXacf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,86.6666666667,150.666666667,132.666666667,68.6666666666,89.3333333334,104.462222222,92.3333333333,120.333333333,92.0000000001,81.6666666667,92.0,102.666666667
179.16,-122.666666667,-274.666666667,-262.666666667,-182.666666667,-226.666666667,-193.651111111,-231.333333333,-206.666666667,-233.333333333,-168.666666667,-202.666666667,-228.666666667
179.54,23.0302666667,-24.8484666667,-25.4544,15.7575333333,3.0304,-0.4032002222,-7.57566666667,-2.72716666664,-6.06060000001,42.7271999999,8.48486666666,13.3333
179.93,-13.3333333334,366.666666667,300.0,26.6666666667,300.0,380.511111111,236.666666667,450.0,86.6666666668,-50.0,186.666666667,-163.333333333
180.31,1006.66666666,1811.66666667,2041.66666667,1340.0,1373.33333333,1843.63333333,1696.66666667,1979.16666667,1578.33333333,1176.66666667,1253.33333333,1217.5
180.69,600.000000001,1024.16666667,1124.16666667,782.500000001,779.166666667,1061.40277778,962.916666667,1091.66666667,889.999999999,690.0,716.666666666,703.75
181.07,524.4444,859.999933334,998.518533335,707.407333334,701.481533333,978.449399667,883.333433334,947.407366667,815.555466667,634.8149,651.110999999,596.296266667
181.45,181.333333333,290.4,338.666666667,239.2,234.4,331.908,290.133333333,325.6,276.0,212.533333334,209.866666667,192.933333333
181.83,136.740666667,190.2222,215.407333333,165.333266667,158.074133333,214.701330222,198.592566667,213.407466667,188.148133333,160.074066667,148.592666667,142.963066667
182.21,132.881466667,166.214733333,185.423733333,155.819333333,140.903866667,184.033702556,183.954866667,182.3164,171.412533333,153.7853,139.660866667,144.4633
182.59,126.857133333,147.714133333,161.0476,137.333266667,123.714333333,156.991804778,159.3334,152.1428,150.095133333,139.476233333,123.618933333,128.523866666
182.97,121.587333333,147.089933333,156.825266667,133.227533333,115.9788,152.925978556,156.772433333,140.793666667,147.407333333,136.2963,114.497333333,119.153466666
183.35,117.025466667,140.410333333,151.0768,124.923066667,113.2308,148.822769667,152.1538,129.692333333,140.820533333,129.179466667,111.076933333,113.128233333
183.73,132.163666667,163.7428,174.736933333,138.2456,136.6082,172.276781889,173.450366667,151.6375,161.8712,154.327433333,133.801066667,135.321533333
184.11,113.153066667,141.6216,144.684733333,117.7478,121.621466667,145.769879556,151.937,126.081133333,137.027066667,132.342266667,117.657533333,114.189166667
184.49,108.3896,128.838933333,134.6814,112.1348,116.029933333,132.672720667,144.119866667,119.026233333,126.516933333,124.9064,111.460733333,105.655466667
184.87,101.1366,122.348466667,130.000066667,106.515133333,107.802933334,125.619025333,139.886266667,112.954433333,119.2424,120.0378,106.5152,99.5454
185.25,97.4795999999,121.951333333,126.341466667,104.715466667,106.8292,126.178896667,139.634033333,113.0893,114.146533333,116.7886,103.577266667,99.4714666666
185.63,93.3333333332,123.148066667,127.407466666,99.5370666668,108.148133333,130.597907333,147.453633333,112.592666667,113.055466667,118.657533333,100.926,95.2777999999
186.01,78.7554666666,106.7556,115.4668,88.8888666666,97.5999999999,116.042974222,129.511033333,97.9999999998,95.1110666668,102.355566667,86.4,77.4667666667
