wavelength,Back_SicRaim,Belly_SicRaim,Breast_SicRaim,Crissum_SicRaim,Crown_SicRaim,DorTail_SicRaim,Patch10_SicRaim,Rump_SicRaim,Throat_SicRaim,WingTip_SicRaim
215.95,114.414333333,29.73,154.954666667,89.189,76.5766666667,-9.009,100.0,13.5136666667,154.955,104.054
216.32,119.608,7.843,157.843,77.451,51.9603333333,-42.157,79.4116666667,18.6276666667,143.137,97.059
216.70,150.0,-38.8893333333,201.852,24.074,-31.4816666667,-161.111,31.4813333333,-11.1113333333,224.074333333,127.7775
217.08,58.9146666667,8.52733333333,72.093,19.38,-24.806,-65.8916666667,12.403,-17.8296666667,100.775333333,87.209
217.46,42.857,30.1586666667,66.6666666667,7.143,-20.6346666667,-67.4603333333,6.34933333333,-19.0476666667,107.936666667,78.5715
217.83,48.4376666667,30.7296666667,70.8333333333,19.7916666667,0.521333333333,-26.5623333333,18.2296666667,9.896,89.063,64.063
218.21,27.6833333333,22.034,49.7173333333,5.64966666667,-23.7286666667,-43.503,-0.565,-12.4293333333,74.5763333333,60.1695
218.59,8.14833333333,-1.48166666667,38.5186666667,-14.074,-45.1853333333,-72.5923333333,-20.0,-23.7036666667,93.3333333333,71.1115
218.97,9.19533333333,15.5173333333,35.632,15.5173333333,-37.9313333333,-33.3333333333,-18.9656666667,-23.563,73.5636666667,54.3105
219.34,-24.8226666667,7.09233333333,10.638,12.0566666667,-72.3403333333,-55.319,-55.319,-52.4823333333,64.539,60.638
219.72,-78.431,-22.549,17.6466666667,-6.86266666667,-126.470666667,-112.745,-120.588,-105.882333333,56.863,27.941
220.10,-101.075,-37.6343333333,43.0106666667,-20.4303333333,-163.440666667,-118.279333333,-158.064333333,-122.580666667,63.441,37.097
