wavelength,Back_SalRuff,Belly_SalRuff,Breast_SalRuff,Crissum_SalRuff,Crown_SalRuff,DorTail_SalRuff,Patch10_SalRuff,Rump_SalRuff,Throat_SalRuff,WingTip_SalRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-44.7618666667,5.71433333333,-62.8571333333,3.80946666666,-7.61899999998,-17.1428666667,19.9999333333,-74.7618666668,-10.4760333333,-71.9047
179.16,-270.0,-136.666666667,-236.666666667,-40.0,-210.952380952,-303.333333333,-213.333333333,-308.333333333,-201.666666667,-342.5
179.54,-10.5556666667,-11.1111333333,-24.9999333333,-10.5556666667,-8.17457142857,-20.5556666666,-16.1112666667,-24.1667,-11.9445,-34.5833333333
179.93,46.6665333333,48.1480666667,32.2221333333,35.1852666667,41.3227333333,35.5556666667,47.7777333333,35.3705,46.4816666667,22.4073833333
180.31,2.06573333333,21.784,8.26293333335,31.1738,21.5157904762,2.81693333334,24.1312666667,-8.68556666666,19.5305,-28.9672166667
180.69,1.68773333334,19.4936,9.62040000001,28.6075333333,17.2874380952,1.85646666666,21.3502666667,-7.76376666668,17.5527333333,-31.81425
181.07,11.9149333334,26.2411333333,23.2622666667,31.9859333333,22.2187714286,10.2126,25.7446666667,7.23403333333,25.5318,-15.1772833333
181.45,24.0666666666,36.0,37.2,38.0,31.2,24.1333333333,35.1333333334,18.6333333333,36.6,-4.96666666667
181.83,32.7969333333,47.2030666667,49.9617333333,47.8924666667,40.9086190476,34.0994666667,46.8200666667,27.0881333333,50.0765999999,-4.23366666665
182.21,27.2889333333,47.3776,59.1110666667,50.5776,41.3841238095,32.8888666667,47.7334666666,25.7334,53.4666666667,-9.97774999999
182.59,7.34300000001,28.599,46.2802,33.8164666667,25.5210666666,16.6181333333,31.9806666666,10.9178,40.1932,-33.5507666667
182.97,4.88253333333,21.5962,40.3756666667,29.1080666667,20.7645142857,8.63846666666,27.1361333333,8.12206666666,36.9952666666,-34.4367
183.35,7.28066666668,24.4736666667,39.9124,32.1052,25.6391238095,14.2982,27.9824,12.9386666667,38.421,-27.8946666667
183.73,19.2857333333,37.1429333333,46.0316666667,41.7461333333,38.5147333333,25.7144,36.5872666667,25.7935666667,46.1111666667,-10.2778
184.11,30.5554666667,51.2699333333,53.0159333333,55.3968666667,48.560047619,37.7778,48.6508,42.5397333334,60.3175,1.80556666666
184.49,35.5325333333,55.6012666667,52.9896666667,58.6942,49.0917809524,40.4125333333,50.0344,47.3883,64.8796666667,11.39175
184.87,31.9831333334,55.9494,50.6326666667,63.1224,50.1868380952,39.0715333333,50.211,46.0336666667,71.6876333333,2.95353333332
185.25,29.0710666667,54.9726666666,53.3332666667,75.7375999999,50.8820761905,37.2678,52.1310666667,44.8086666666,79.2348999999,-10.7924166667
185.63,19.7917333333,45.3126666667,36.6667333334,70.1042666667,43.3779333333,22.7083333333,44.896,39.1147000001,68.0207333333,-12.9948166666
186.01,21.8918,42.9729333333,34.5046,70.1801333333,42.2907333333,27.0270666667,46.0359333333,40.3603333333,60.0900666666,2.88288333334
186.39,20.3031333333,40.2022,21.1110666667,73.3333333333,41.1687619048,26.7676,44.9494666667,40.2525666667,54.3434,-2.12113333334
186.77,40.7246000001,61.1596000001,34.203,107.6812,56.5216666666,42.1738666666,75.7969999999,58.1158999999,78.4057666667,4.78275
187.15,66.5116666667,85.7366000001,58.2947999999,138.294466667,81.3068285715,66.0465999999,101.5504,84.6512999999,101.3953,21.7829666667
187.53,84.4444666667,99.7980666667,75.7575333332,181.616133333,94.3723809523,79.7980000001,118.989933333,107.979666667,126.9697,23.0809166667
187.91,70.3921333333,84.7058666668,69.2157999999,169.019733333,84.2857428571,65.8822666667,111.176666667,98.8235000001,117.843133333,10.9314166667
188.29,77.4775333334,76.7567333334,78.9188666668,161.8018,92.0463619047,69.5495333333,110.4504,94.5946333334,111.711733334,19.1891333333
188.67,68.6487333333,67.7477333333,73.3333333333,153.3334,86.4092190475,67.7477333333,103.423533333,82.8828000001,89.3693333333,14.3242833333
189.05,74.7712666667,72.8105333333,80.1308,132.6798,84.0149428572,67.5816,97.3857333333,85.3593333333,81.4377999999,39.5424833333
189.43,84.7312666666,81.2904000001,83.3332,122.365533333,89.0476666667,73.441,97.3117999999,91.2365666668,89.6774666666,53.9516333333
189.81,88.1720000001,87.5268000001,89.2474000002,120.430133333,93.7018761903,84.0858666666,99.6772666667,95.0000000001,95.3761333333,55.5645999999
190.19,89.6297333335,93.2099999999,95.4320666665,120.9878,98.5362380952,82.9629333333,99.0124,95.1234000001,99.2591666666,50.2778
190.57,87.2464666667,90.2416666668,95.5554666666,110.145,96.4942095238,82.0289333333,94.1062666667,85.8454000001,99.2754333333,60.5798666667
190.95,76.3769333332,81.1594000001,83.4057333335,90.6521333333,85.3003047619,71.9565333333,80.5798000001,74.6376333333,89.1666,57.77185
191.33,69.3617333333,76.9504,77.2338666665,83.6880000001,77.7811523809,64.9646,77.0922666667,69.6453666667,84.0071333333,52.7839
191.71,65.8155999999,75.2482666667,73.3334666667,77.4466666667,72.1378857143,60.5674,74.1136000001,61.7731000001,78.5460666667,49.1311
192.09,68.0322,75.8232666667,78.9558666665,79.3574,69.5811238096,62.8915333334,75.3413333335,60.1607000001,80.763,48.9960333333
192.47,58.2574666667,66.3636,68.9394666666,69.1667333333,56.8288666667,58.1818,63.1818666667,49.6590333333,72.5380666667,40.1516166667
192.85,63.5417333333,67.2222,72.7082666667,71.3194666667,62.0931809524,62.7084666667,66.7362666666,53.5764666667,77.3959333333,42.2396333333
193.23,63.1715333333,70.6796,75.5985999999,71.4563333333,67.1103904763,66.1489333333,69.9675333333,58.2848,79.5144333333,43.1230166667
193.61,63.4042666667,75.3191333334,79.7162666665,77.0922666666,73.0598761905,69.4324,75.4609333334,62.3050333333,84.4325333333,45.7978833333
193.99,72.1864,83.0825333333,90.3225333332,89.4624,83.1746380952,76.344,88.7456666667,73.0108333334,94.1218000001,59.5161666667
194.37,76.3415333334,86.3414666667,93.9024,96.0162666667,87.5609142857,80.0001333335,93.5772666666,80.2031333334,103.414533333,61.97155
