wavelength,Back_VolJacf,Belly_VolJacf,Breast_VolJacf,Crissum_VolJacf,Crown_VolJacf,DorTail_VolJacf,Patch10_VolJacf,Rump_VolJacf,Throat_VolJacf,WingTip_VolJacf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,76.1904666666,94.2857999999,101.904666667,93.3333333333,120.9524,84.7618666667,89.5238,145.714266667,116.6666,114.2856
179.16,50.7692,44.6153333333,40.5129333333,57.9488666667,47.1794666667,53.3334,49.7435333333,55.8972666667,59.2307333333,53.8460666667
179.54,22.0,37.3333333333,24.0,42.0,30.0,40.6666666667,47.3333333333,70.0,53.0,62.0
179.93,46.0760666667,61.4346,43.9663333333,60.2531333333,56.6243333333,68.8606,54.8524,83.0379333333,70.5484,61.8566666667
180.31,45.4106666666,66.7633333333,43.2851333333,68.4058666667,62.1256,80.0967333334,60.4831333333,97.0048000001,78.3091000001,68.7923333333
180.69,41.8078666667,68.8136,38.5311333333,71.9773333333,60.2259333333,84.6329333333,59.6610666666,100.113066667,79.2656000001,67.9096666667
181.07,25.983,79.6582666667,28.3760666667,80.1710000002,64.6154000001,96.9231333333,67.1795999999,127.863133333,86.8377666668,72.4786666667
181.45,18.1609333335,84.3679333333,17.4713333333,100.4598,76.0918666666,112.184066667,76.7816,154.712533333,100.574766667,76.7817333332
181.83,30.5692000001,77.5609999999,24.7155333333,79.8373999999,72.3577333333,94.7967999999,70.4065333333,121.626066667,84.1463333333,66.0162
182.21,59.3939333333,108.484933333,41.0101333334,113.131266667,91.7171333333,127.676733333,98.1817333333,160.606066667,120.6061,81.6160666667
182.59,40.0000000001,349.333333333,-16.0000000001,405.333333334,277.333333333,517.333333333,370.666666667,733.333333333,496.0,194.666666667
182.97,16.0782666667,-62.3529333333,28.6274000001,-105.098133333,-60.392,-127.058933333,-89.8039333333,-169.019533333,-105.686333333,-24.3136666667
183.35,-25.9258666668,-229.6296,-33.3332666666,-271.852,-201.481533333,-313.333266666,-243.703733333,-378.518466667,-263.333366667,-111.111266667
183.73,-91.1111333335,-434.4444,-107.777666667,-419.999933333,-341.111066667,-481.111,-395.555466666,-587.777933333,-460.5554,-217.777733333
184.11,248.333333333,771.666666667,206.666666666,716.666666666,640.0,826.666666668,801.666666666,1016.66666667,791.666666666,388.333333334
184.49,90.1961333332,214.5098,89.8039333332,201.960733333,185.098,249.019466667,217.647133333,264.313733333,237.843233334,126.274533333
184.87,134.545466667,365.454466667,138.1818,272.7274,305.454533333,401.818266667,336.969733333,398.1818,369.697033333,196.363733333
185.25,-43.6364000001,-284.242333333,-53.9394000001,-206.666533333,-220.000066667,-323.030333333,-241.212066666,-333.9394,-311.5151,-128.4848
185.63,13.3333333334,-1343.33333333,-33.3333333334,-1120.0,-1253.33333333,-1706.66666667,-1170.0,-1803.33333333,-1606.66666667,-953.333333332
