wavelength,Back_DigMajf,Belly_DigMajf,Breast_DigMajf,Crissum_DigMajf,Crown_DigMajf,DorTail_DigMajf,Patch10_DigMajf,Patch11_DigMajf,Rump_DigMajf,Throat_DigMajf,WingTip_DigMajf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,134.666666667,144.0,123.333333333,161.333333333,158.666666667,116.518518519,128.0,140.0,128.0,210.666666667,121.333333333
179.16,73.3333333333,326.666666667,91.6666666668,240.0,173.333333333,73.3333333333,-46.6666666668,93.3333333334,46.6666666666,140.0,203.333333333
179.54,613.333333333,340.0,650.0,173.333333333,233.333333333,519.259259259,593.333333333,293.333333334,470.0,380.0,310.0
179.93,75.5556000001,111.1112,-36.1111666666,231.111133333,66.6668,9.01255185194,-8.88886666668,135.5556,-22.2223,131.111066667,101.110966667
180.31,-63.5294,-16.4705999998,-46.5686666666,145.098133333,42.3530000002,-72.4836444445,-64.7059333334,99.6079333334,-58.4313666667,76.4706000002,12.5492
180.69,-86.2963333333,-61.1111333334,-71.7592499999,115.925866667,12.2222666667,-116.502074074,-101.481533333,83.3334000003,-91.2963666666,45.1852,-16.1112
181.07,-544.444333334,-455.555533333,-486.111166667,91.1111333334,-228.888933333,-652.283903704,-597.7778,20.0,-544.444399999,-191.111,-336.111266666
181.45,2.02576687784e+15,1.74002712876e+15,1.45535357276e+15,-5.41626091549e+14,8.18836295885e+14,2.54488444853e+15,2.05562028446e+15,-4.90448823057e+14,1.88502938949e+15,5.28831774425e+14,1.1003112726e+15
181.83,-246.666666667,-201.666733333,-142.361,86.1111333333,-88.3333999999,-338.734462963,-237.2224,87.2221333334,-243.889066667,-60.0000000001,-130.277766667
182.21,3933.33333333,3413.33333334,2625.0,406.666666666,1826.66666667,5222.96296296,4093.33333333,-79.9999999986,3686.66666667,1986.66666667,2626.66666667
182.59,386.666666667,381.818266667,318.9395,109.090933333,181.8182,488.249207407,429.696866667,34.5454666669,376.060566667,215.1514,300.000033333
182.97,224.166666667,253.75,191.666666667,55.8333333334,91.25,304.814814815,308.75,-5.8333333332,248.75,142.5,160.0
183.35,261.818133333,305.4544,237.12125,41.2121999999,44.2424000001,368.316607407,380.606133333,-65.4544666666,311.818266667,174.5454,192.424166667
183.73,302.963,354.814933333,317.592583334,88.8889333333,51.8519333332,484.650092592,475.555533333,-72.5927333334,375.9259,242.962933333,220.3706
184.11,154.0352,161.052733333,168.421,52.2806666666,42.4561333334,250.292355555,219.2982,-22.1051999999,168.245666667,132.631733333,110.175333333
184.49,72.6314666667,69.8245333333,89.25425,19.6491333333,20.5264000001,126.881174074,105.2632,-8.94733333332,81.3158000001,69.4736666668,50.3509
184.87,42.3128666667,35.7822000001,63.6055,0.135933333326,2.31286666668,76.3266333334,66.2584666667,-17.6870666667,53.2652333335,37.5509999999,34.8300333333
185.25,13.1853333333,11.8518000001,42.4074166667,-24.7406666667,-24.5924666667,54.6501518518,39.5554666667,-45.1851333333,30.8148333334,10.9630666666,6.5185
185.63,2.54886666667,5.2942,60.0490000001,-35.6861333333,-50.5881333333,56.2527,40.1960666666,-66.2744,32.4508666667,1.5686,5.49026666666
186.01,-6.51166666666,4.03093333338,46.7055000001,-25.1162666667,-44.3411999999,36.3307037037,25.8915333333,-56.7441333332,20.3876333333,-6.82173333327,-0.4653
186.39,-32.3076666667,-8.54700000006,32.6923333334,-56.5811999999,-74.7008666667,13.3618814815,-0.512799999946,-83.4188666668,-0.42733333334,-37.4358666666,-28.4614333333
186.77,-37.3016,-22.8571333333,18.6508333334,-49.9999333334,-67.9364666665,4.88534074072,-6.19053333332,-77.4604000001,-2.93646666668,-37.9366666666,-43.6506666667
187.15,-23.1111333333,-17.4813333334,17.963,-33.1852,-48.4445333334,18.7325259259,5.33313333334,-58.0741333333,10.5926,-31.4073333333,-13.7035
187.53,-47.0175333333,-43.6842666667,5.26316666668,-53.5087999999,-75.7896666667,6.22811851846,-12.2806666667,-85.2631333334,-3.68413333342,-57.7192666666,-33.5088333333
187.91,-43.9130666667,-43.4784,1.63041666667,-45.5071333333,-61.7391333334,8.05138518518,-16.232,-69.8551333334,2.60863333334,-51.0144666667,-25.8696
188.29,-211.851866667,-204.815,-121.75925,-235.1852,-268.148333333,-80.2057111111,-131.481466667,-286.666733333,-81.6667333335,-242.592666667,-151.6668
188.67,846.666666667,757.777800001,645.833333334,860.000133334,1030.00006667,438.888944445,573.333600001,1075.55566667,415.000066667,898.888866667,707.777733333
189.05,185.740666667,161.666733333,153.935166667,177.407466667,215.185133333,108.600907407,137.036933333,222.777866667,110.185166667,184.074066667,180.740666667
189.43,129.753,111.234533333,105.709916667,119.629733333,145.679,79.499237037,92.3456666667,153.8272,73.7036666667,127.5308,125.617266667
189.81,120.606066667,95.0302666667,94.0910000001,115.878733333,135.393933333,68.3635148147,85.0907999999,139.393866667,64.0605666667,111.999866667,117.636333333
190.19,95.4054666667,71.8018,78.3784166667,94.1441333333,102.973133333,56.2110666667,69.7298,106.486466667,56.4864999999,82.5226666665,89.9551333334
190.57,77.1618,63.8284,68.39925,73.7292666667,83.8282666667,47.6385703704,63.1684,87.2605333333,51.5181666666,64.3564666667,69.7030666666
190.95,63.6157333333,50.0564,58.4745,62.4294666666,69.9435333333,37.1249666667,52.2598666667,75.3109333333,44.0677666667,51.9776,56.3276
191.33,64.5196666667,52.8813333333,56.6383333333,65.1978666667,71.8644666667,41.4185703704,59.1526,78.0224666666,48.8701,53.1072666667,58.9829333333
191.71,53.1546,38.0953333333,47.9165833334,52.5595333333,57.8571333334,30.3704111111,51.1308666667,68.2737333333,38.3334,40.4166,46.4882666667
192.09,41.6246666667,26.8346,38.30525,42.8010666667,47.9553333333,24.1394740741,46.2746,58.5433333333,33.1932,30.5322666667,38.1513
192.47,36.0345333333,20.4023333333,29.8131666667,31.954,41.7814666667,18.6463074074,40.9194666667,52.2988,28.2757,18.7930666667,34.6840333333
192.85,28.6667333333,19.3888,22.014,25.3888,34.6112,14.8117962963,37.2777333333,45.0554666667,25.0277,12.8334,28.4166666667
193.23,16.4260666667,5.97933333333,12.6289166667,11.1340666667,26.1168666667,5.33031111111,29.3470666667,36.9759333333,15.2234666667,0.75606666666,9.72513333334
193.61,-2.51086666667,-17.7489333333,-2.59749999999,-9.43726666665,14.026,-14.7955777778,17.4890666667,25.9738666667,0.259666666654,-22.0780000001,-11.4286333333
193.99,-2.61913333333,-11.0318,-0.694416666667,-12.8572666667,15.3175333333,-12.6321481481,16.4285333333,28.0952666667,1.82536666667,-17.7776,-15.7938333333
194.37,-1.83333333333,-2.58333333332,2.1875,-13.1666666667,21.75,-11.8888888889,23.6666666667,36.1666666667,5.41666666667,-7.99999999999,-14.8333333333
194.75,-13.0435333333,-12.5605333333,-1.44933333333,-20.8695333333,14.9758,-19.1358148148,17.5845333333,31.9806666667,-1.30443333331,-14.4925333334,-26.4735666667
195.13,-4.97779999999,-5.33353333334,3.99991666667,-15.8223333333,25.1555333333,-8.68642962962,26.5775333333,33.7776,6.75559999999,-4.71113333332,-15.8665333333
195.51,-12.2633333333,-13.5802,2.46908333334,-22.3869333333,20.3292666667,-15.0755,17.2017333333,25.4321333333,-0.82293333334,-11.1111333334,-20.6173333333
195.89,-9.01406666667,-9.95293333332,7.27708333335,-19.1549333333,32.8638,-6.87012222221,30.5164,32.4882666666,6.15026666667,-4.2254,-17.6056
