wavelength,Back_DacNigm,Belly_DacNigm,Breast_DacNigm,Crissum_DacNigm,Crown_DacNigm,DorTail_DacNigm,Rump_DacNigm,Throat_DacNigm,WingTip_DacNigm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,130.0,140.0,170.0,165.0,150.0,153.333333333,148.333333333,110.0,80.0
179.54,-152.777833333,-127.777833333,-275.0,-77.7778333333,-113.889,-155.555666667,-130.5555,-175.0,-36.1111666665
179.93,-9.524,-40.4761666667,-40.4763333335,-45.2381666667,-64.2858333333,-171.428333333,19.0475,-109.523666667,-4.76216666665
180.31,-629.487,-707.692166667,-920.512833335,-570.513,-555.128166666,-1017.949,-676.922833333,-708.9745,-251.281833334
180.69,-519.791666667,-600.0,-782.291666667,-454.166666667,-436.458333334,-879.166666667,-543.75,-597.916666667,-202.083333334
181.07,-331.745833333,-363.492,-494.444333333,-276.984,-263.492166666,-631.746,-311.904833333,-368.253833333,-108.73
181.45,-157.083333334,-159.583333333,-228.75,-112.916666667,-113.75,-306.666666667,-140.833333333,-176.666666667,-31.6666666666
181.83,-155.0,-156.666666667,-213.333333333,-114.166666667,-113.333333333,-304.166666667,-141.666666667,-170.416666667,-25.4166666667
182.21,-169.583333333,-160.0,-218.75,-119.583333333,-108.333333333,-298.333333333,-154.583333333,-167.083333333,-23.75
182.59,-133.0,-114.666666667,-164.666666667,-88.6666666667,-76.6666666667,-222.666666667,-104.333333334,-128.333333333,-17.6666666667
182.97,-220.707,-157.070666667,-276.767833333,-150.505166667,-129.798166667,-330.303,-164.646666667,-237.373833333,-52.0201666666
183.35,-277.1605,-180.246833333,-323.456666667,-179.629833333,-153.703833333,-361.728333333,-187.654333333,-296.296333334,-37.654
183.73,-98.0391666669,-48.0393333334,-128.104833333,-47.7123333333,-39.2158333333,-141.176666667,-69.2811666666,-103.594833333,33.9868333333
184.11,-78.8689999999,-44.643,-108.035666667,-36.012,-38.9881666667,-125.0,-50.8928333333,-89.5833333333,34.8211666667
184.49,-121.544666667,-89.4311666669,-157.7235,-67.073,-78.4553333333,-194.309333333,-72.3578333334,-140.244,19.9186666667
184.87,-171.212166667,-137.3735,-208.081,-114.141333333,-142.424166666,-258.586,-121.717166667,-193.4345,9.59616666666
185.25,-167.1875,-161.458333334,-213.020833334,-138.020833333,-159.895833333,-258.333333333,-153.645833333,-206.770833333,-1.04166666666
185.63,-253.030166667,-267.424166667,-327.272666667,-202.272666667,-253.788,-395.454333333,-236.363666667,-328.0305,-46.212
186.01,-300.0,-332.407333333,-386.111,-270.370333333,-285.185166666,-490.740666667,-283.333166667,-400.000166667,-99.074
186.39,1966.6665,2366.6665,2472.22233334,1833.33316667,1933.33316667,3033.33333333,1983.33333334,2572.22216667,1027.77766666
186.77,280.555666666,418.5185,375.0,294.4445,332.407166667,455.555666667,337.037,408.333166667,153.703833334
187.15,-425.926,-701.851833334,-529.629833333,-411.111,-522.222333334,-777.777666667,-520.3705,-612.962833333,-214.814666666
187.53,-3816.66666666,-7016.66666667,-5016.66666666,-4183.33333333,-5466.66666667,-7966.66666667,-5200.0,-5950.0,-3100.0
187.91,284.9205,418.253833333,267.460333333,294.4445,341.269833333,495.238333333,305.555333333,371.4285,226.190666666
188.29,306.249833333,390.972333333,245.8335,289.583333333,338.194333334,445.833666667,306.9445,361.8055,226.389
188.67,419.4445,539.814833333,313.889,388.889,449.074166666,559.259333333,413.889,473.148166667,305.555666666
189.05,6016.66666666,7783.33333334,3600.0,5250.0,6733.33333333,7900.0,6200.0,7066.66666666,4566.66666666
189.43,980.952333331,1254.76216666,645.238166667,857.142666666,1116.66666667,1228.57133333,990.476166669,1121.4285,730.9525
189.81,980.952333334,1197.619,609.523666667,926.1905,1161.90466667,1271.42833333,950.0,1088.09516666,726.190666666
190.19,716.666666667,855.555333333,342.5925,664.814833333,937.037,937.037,620.370333333,787.037,475.926
190.57,1404.16666666,1675.0,575.0,1358.33333334,2150.0,1983.33333333,1250.0,1629.16666667,1045.83333333
190.95,868.750000001,920.833333333,379.166666666,881.25,1247.91666666,1154.16666667,725.0,985.416666669,685.416666666
191.33,340.350833334,380.701833333,174.561333333,401.754333333,535.964833333,491.228,318.421166666,392.9825,285.964833333
191.71,302.631666667,326.315833333,158.771833334,376.315666666,462.280833334,454.386333333,302.6315,363.157833333,264.912166667
192.09,247.777833333,337.777666666,151.111,394.4445,495.5555,486.666666667,307.777833333,370.0,303.333333333
192.47,139.583333333,256.25,79.1666666667,321.875,400.0,462.5,234.375,285.416666667,300.0
192.85,109.259166667,257.407333333,20.3701666667,453.703666666,620.370333333,707.407333333,257.407333333,379.629666667,514.815166666
193.23,91.2280000001,198.245666667,71.9298333332,269.298,348.2455,389.474,137.719166667,201.7545,316.667
193.61,61.6666666665,149.166666667,44.1666666667,260.0,299.166666666,301.666666667,76.6666666665,188.333333334,309.166666667
193.99,53.8888333331,105.5555,35.5556666667,190.5555,182.777833333,172.222333333,56.6665,130.5555,220.555666667
194.37,46.3766666666,134.057833333,61.5943333335,239.855,237.681333333,208.695666667,77.5363333334,172.463833333,284.782666667
194.75,-1.6666666665,195.0,16.6666666665,418.333333333,363.333333333,270.0,-36.6666666667,241.666666667,446.666666667
195.13,-92.2221666669,44.4445,-72.2221666666,181.111,175.5555,75.5556666667,-103.3335,51.1111666665,267.7775
195.51,-184.848666667,48.484833333,-189.393833333,198.484833333,219.696833333,-9.09066666667,-246.969833333,19.697,321.212
195.89,-74.6033333332,26.1903333332,-122.222166667,115.873166667,146.031833334,-46.0316666667,-157.9365,5.55583333335,209.524
196.27,-48.1481666666,6.79,-112.345833333,87.6543333334,119.753,-60.4936666667,-152.469166667,-4.938,159.876666667
196.65,-18.5715,30.4763333333,-80.9525,91.4286666665,108.095333333,-80.0003333333,-118.095166667,12.3808333334,113.8095
197.03,0.9258333333,36.111,-39.506,82.716,91.9755,-48.7653333333,-54.9383333333,24.9998333333,72.2221666666
197.40,-2.72116666665,37.075,-51.0205,101.020333333,107.823166667,-59.184,-60.8845,42.1766666667,71.0885
197.78,6.8965,42.5286666667,-37.9311666667,90.2298333331,102.011333333,-32.184,-36.4943333333,35.6323333334,73.2756666666
198.16,-25.3966666666,33.3331666667,-90.8728333334,89.2854999999,125.793666667,-73.016,-82.5396666665,17.0635,80.5558333333
198.54,-7.552,36.7188333333,-57.0315,70.0521666666,88.8023333333,-50.521,-49.219,11.4586666667,78.6461666666
198.92,16.8776666667,47.2573333334,-26.3713333333,85.232,97.4683333335,-14.768,-13.5021666667,31.2236666667,92.616
199.30,30.9521666667,53.4633333333,-17.0995,94.1556666668,99.7836666665,-12.5543333333,0.2165,45.0216666666,99.1341666667
199.68,33.3335,45.2615,-6.6995,69.9346666665,78.4313333333,0.98,6.69916666668,34.477,84.15
200.06,37.6343333333,53.405,-6.81016666667,75.0896666667,85.8423333333,12.5446666667,14.1576666667,37.4553333333,91.5771666667
200.44,46.7686666667,57.8231666666,0.850333333335,76.1904999999,90.6461666667,11.9046666667,24.6598333334,42.0066666667,95.4083333334
200.82,50.5496666666,63.1866666669,-1.8315,82.6008333334,96.3371666665,17.216,25.6411666667,41.9411666667,111.904666667
201.19,41.057,56.0978333333,-13.4146666666,76.2193333332,89.4308333333,8.13033333333,18.4961666667,28.2521666667,115.243833333
201.57,34.7985,43.4065,-14.2856666667,54.3955,63.7363333334,-0.366666666667,12.2711666667,5.31133333333,101.282166667
201.95,24.3055,37.3263333333,-17.7083333334,45.6596666667,55.9026666667,-6.94433333333,4.68750000002,-3.81933333335,87.3265
