wavelength,Back_ChlCalm,Belly_ChlCalm,Breast_ChlCalm,Crissum_ChlCalm,Crown_ChlCalm,DorTail_ChlCalm,Patch10_ChlCalm,Patch11_ChlCalm,Patch12_ChlCalm,Patch13_ChlCalm,Rump_ChlCalm,Throat_ChlCalm,WingTip_ChlCalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-10.0000000001,-86.6666666666,9.99999999994,-33.3333333333,-23.3333333333,93.3333333334,-126.666666667,46.6666666665,37.4999999999,75.0,-16.6666666667,-10.0,-10.0
179.16,-73.3334666666,-13.3332666667,11.1112000001,-11.1110666666,-20.0000000001,62.4601142857,-73.3331333331,-51.1111333333,-55.5555833334,-13.8888333333,-57.7776666667,-28.8889333333,-86.6666666666
179.54,81.4286,67.1428,89.0475999999,81.4285333333,66.1906,84.9829309524,72.3809333333,83.3334,67.8570000001,74.4046666667,62.8572,88.5713999999,79.9999333334
179.93,-77.3333333332,-76.0,-52.0,-97.3333333333,-81.3333333333,-55.8571428572,-156.0,-28.0,-91.6666666666,-84.9999999999,-98.6666666667,-104.0,-65.3333333333
180.31,-185.614066667,-189.122666667,-75.0876000001,-192.982533333,-170.877133333,-107.168059524,-264.912266667,-152.2806,-214.91225,-191.666583333,-231.578866667,-198.947266667,-242.807
180.69,-487.333333333,-488.666666667,-253.333333333,-478.666666667,-452.0,-340.047619047,-623.333333334,-408.0,-569.166666666,-493.333333333,-574.666666667,-516.666666667,-576.666666667
181.07,-660.0,-639.166666665,-350.0,-620.0,-562.499999999,-478.125,-787.5,-558.333333333,-788.541666667,-716.666666668,-766.666666666,-650.0,-773.333333334
181.45,-907.777666667,-866.666733333,-491.111066667,-818.8888,-740.000000001,-639.206428572,-982.222200001,-731.111000001,-1077.77766667,-958.333333332,-1028.88893333,-864.444533334,-1012.2222
181.83,697.575733333,655.1516,470.303,680.000066667,544.848599999,556.40697381,726.666533333,599.999933333,787.87875,720.454583333,743.6364,693.9394,775.151399999
182.21,435.294066667,414.902,293.725666667,430.9804,331.7648,355.434145238,435.2942,402.7452,492.647,457.352833334,459.999866667,431.764733333,508.235466667
182.59,281.149466667,263.678266667,191.724,278.8506,224.3678,233.415607143,271.034466667,269.885133333,313.218333333,311.207,299.5404,278.3908,317.2414
182.97,230.598266667,212.136666667,164.444333333,225.4702,183.248,192.307719048,215.8974,218.8034,248.076916666,235.897333334,244.9572,215.726533333,252.478666667
183.35,267.647066667,244.901866667,196.078466667,247.450933333,197.059,216.939738095,240.7844,244.3138,290.196,270.58825,270.1962,244.1176,279.215666667
183.73,311.494133334,286.896466667,228.275866667,300.6896,223.908133333,254.876857143,269.655066667,275.8622,338.505666667,310.63225,295.1724,273.333333333,313.793133333
184.11,437.777733333,402.2222,301.481466667,422.222266667,287.777666667,355.370345238,362.222266667,376.6666,472.685166667,432.407416667,404.444466667,360.740733333,445.1852
184.49,367.619,335.873066667,263.492066667,347.301533333,228.2538,283.390004762,307.9366,311.111266667,391.269833333,347.618916667,326.3494,301.9048,355.2382
184.87,830.833333335,724.166666666,547.5,815.000000001,452.5,560.505952381,701.666666667,669.166666667,865.625,784.375,709.166666667,615.833333334,832.500000001
185.25,596.111066667,496.111133333,412.222133333,623.888866667,362.777866667,418.372992857,498.888866667,488.333333333,640.27775,552.08325,506.666533333,479.444533334,586.111066667
185.63,325.277666667,285.555533334,253.333333333,371.944533333,220.555533333,256.527780952,309.722333333,276.6666,377.083166667,324.305583333,298.8888,286.1112,348.888866667
186.01,361.2698,297.460333333,268.5714,402.857,233.650733333,267.210802381,327.619066667,286.3492,417.460333333,346.4285,322.222333333,290.793666667,366.349066667
186.39,284.7314,230.322466667,211.612733334,304.516066667,185.376466667,195.122733333,246.451533333,212.903266667,325.268833333,268.279583333,255.0536,217.849533333,273.978666667
186.77,251.5686,214.117666667,193.333333334,277.8432,168.039333333,170.273128572,210.980466667,181.1764,296.813666667,228.9215,222.548933333,191.568666667,247.843066667
187.15,363.1884,325.217466667,277.970933333,406.086866667,235.652133333,241.469961905,298.5508,246.376866667,448.1885,347.826083333,315.362266666,278.840533333,359.130466667
187.53,275.3334,237.5556,215.111066667,310.888933333,180.6666,177.825397619,235.999933333,186.888933333,338.333416667,264.722083333,251.777733333,204.444466666,277.111133333
187.91,286.133333333,223.466666667,215.466666667,314.133333333,149.333333333,147.476190476,224.266666667,177.066666667,373.333333333,264.333333333,276.8,192.266666667,294.133333333
188.29,221.5152,184.999866667,183.181866667,233.939466667,141.212133333,136.368997619,180.757533333,160.4546,276.894,204.924083333,221.363733333,164.0908,228.9394
188.67,216.888866667,179.111133333,177.9258,233.037066667,141.777666667,135.343930952,170.6668,158.5186,278.888916667,201.29625,226.962866667,155.259333333,234.0742
189.05,231.382066667,180.650266667,190.0814,249.593533333,139.8374,150.534309524,170.243866667,160.3252,309.146416667,218.089416667,242.7642,165.8536,251.056866667
189.43,228.717933333,181.880333333,192.649533333,239.657933333,130.256333333,147.00242381,169.230533333,148.547,312.393083333,222.863083334,249.743533333,154.529866667,259.487266666
189.81,263.9216,200.9804,213.725533333,269.215666667,147.647066667,164.726795238,178.0392,171.5686,358.33325,255.147083333,285.882466667,161.764666666,286.274466667
190.19,272.708333333,209.791666667,222.083333333,281.25,150.833333333,170.081845238,175.0,176.666666667,390.364583334,267.708333333,292.916666667,170.833333333,296.666666667
190.57,526.666733333,389.333333333,433.777733333,542.222133333,282.666733334,326.603154762,325.333466667,337.7778,814.444499999,523.333416667,585.777733334,341.7778,579.111066667
190.95,739.444533333,541.666733333,612.777800001,758.8888,405.0,496.845304762,474.999933333,485.0,1113.88875,727.777833333,817.222133334,553.333466667,811.1112
191.33,486.296133333,327.0372,405.1852,499.629733333,264.814866667,334.616552381,300.7408,323.703733333,716.666583333,453.24075,529.629733333,363.333333334,512.963066667
191.71,780.000133333,506.666599999,645.454533333,842.4242,435.151533333,537.034659524,430.909133333,504.242466667,1166.66675,728.03025,832.727333334,587.272733333,807.272933333
192.09,855.151466667,558.787999999,729.090866667,917.575733333,545.454666667,635.844195238,524.242333333,573.939333333,1221.9695,820.454666667,899.999933334,663.6364,862.4244
192.47,1941.66666667,1053.33333333,1593.33333333,2135.0,1158.33333333,1314.52380952,1011.66666667,1180.0,3000.0,1800.0,2036.66666666,1501.66666667,1901.66666667
192.85,1758.33333333,893.333333333,1401.66666667,1965.0,1051.66666667,1204.10714286,898.333333335,1016.66666667,2920.83333334,1597.91666666,1861.66666667,1486.66666666,1736.66666667
193.23,358.095133333,211.1112,300.3174,408.888933333,260.952333333,239.875445238,205.714266667,247.619,573.412583334,322.618916667,391.746133333,320.000066667,353.6508
193.61,467.5,240.833333333,377.083333333,533.75,339.583333333,301.369047619,243.75,330.0,734.375,397.395833333,497.916666667,435.833333333,428.333333333
193.99,340.317533333,165.714266667,270.476133333,379.6824,246.3492,220.782295238,181.9048,238.730133333,544.04775,273.015916667,361.269866666,338.730133333,302.5398
194.37,198.6324,100.170866667,155.555533334,214.017133333,153.162333333,137.008495238,111.965733333,142.734933333,295.512833333,160.470166667,216.239266666,205.811866667,175.8974
194.75,151.666666667,75.2563333332,118.846133333,164.7436,113.5898,112.074280953,85.5128666667,101.281866667,212.660333334,116.346083334,158.4616,152.692266666,133.718
195.13,98.6112000001,44.0741333333,80.1852000001,109.629533334,73.4258666667,75.7738690476,57.9629333333,69.4444,143.287,76.9675,108.611133333,99.1667333334,83.7962666667
195.51,81.4346,37.8903333333,69.8733333333,96.2025999999,63.7974,65.4912142857,49.8734666667,60.844,130.274333333,65.82275,95.5274,87.6793999999,74.6835333333
195.89,71.3156666667,30.7017333333,62.5439999999,82.7192666667,53.7719333333,59.0225285715,42.0175999999,55.5262,125.328916667,51.4253333333,88.9472000001,78.7719333334,66.3157333333
196.27,65.4021333333,15.7469333333,56.3217999999,86.5518000001,45.5172666667,55.3900071429,29.6552000001,53.3336,143.821833333,42.2413333333,91.8391333334,83.5633333333,65.6320666667
196.65,50.9522666667,-3.4524,46.4283999999,68.3331333332,28.8094,43.4822190476,13.8095333334,39.4046666667,128.571416667,28.8690833333,75.1190000001,68.4524666667,49.7619333333
197.03,55.0877333333,-0.93566666666,52.9824,68.7719333333,30.4094,46.9381880952,11.5788666667,44.7953333333,130.409333333,36.1111666666,76.0234666667,63.1579333333,50.4093333333
197.40,71.0205333333,4.76193333334,67.2108666667,77.9591999999,29.7959333334,66.2634809525,16.0544666667,55.9184,160.374166667,47.4489166667,87.7550666667,71.7007333333,66.1223999999
197.78,68.5056,17.5862666667,69.7701333333,74.023,35.2873333333,67.9803261904,25.8620666666,62.6437333333,151.149416667,48.56325,87.0115333332,64.3678666667,64.3677333333
