wavelength,Back_AniLacm,Belly_AniLacm,Breast_AniLacm,Crissum_AniLacm,Crown_AniLacm,DorTail_AniLacm,Patch10_AniLacm,Patch11_AniLacm,Patch12_AniLacm,Patch13_AniLacm,Rump_AniLacm,Throat_AniLacm,WingTip_AniLacm
191.33,245.574733333,269.7128,266.436733333,231.3218,248.2184,256.666666667,248.6208,266.838933333,275.8046,266.034466667,249.770133333,268.448333333,239.137933333
191.71,237.5268,258.602066667,254.892466667,223.4408,237.4732,246.182866667,239.946066667,257.4194,264.57,255.053733333,242.8496,259.354933333,230.806466667
192.09,259.064266667,281.228133333,273.567466667,245.497133333,257.368466667,266.666666667,261.871333333,279.6492,289.356666667,278.245666667,265.2048,283.8596,251.462133333
192.47,242.258066667,262.526866666,253.0108,232.4194,237.1506,245.914,244.408733333,259.193666667,268.7634,259.785,246.290333334,263.763466667,234.731133333
192.85,256.2898,276.2898,270.608666667,249.043533333,251.652266667,258.029,257.2174,277.912933333,285.217333333,273.739066667,260.4058,279.3044,250.7826
193.23,235.396866667,252.433733333,248.201,230.582,228.677333333,235.925866667,236.613733333,252.116333334,260.952533333,250.423333334,239.259266667,256.825266667,230.4762
193.61,215.012,229.784266667,226.5706,207.961466667,207.529933333,213.141466667,213.956866667,229.640333333,237.41,225.707533333,219.376466667,231.846466667,208.9688
193.99,197.2808,212.6316,210.087733333,192.061466667,188.947333333,196.096466667,198.070066666,213.201866667,217.631733333,207.806866667,202.456066667,213.772,191.184266667
194.37,202.988466667,219.816133333,218.4368,201.609133334,194.758466667,200.689733333,201.747266667,222.115,222.620733333,212.551733333,207.540066667,220.367866667,197.3794
194.75,206.052133333,225.815666667,225.7212,210.2128,198.108733333,203.5936,204.8226,226.9504,226.146533333,215.6502,209.7872,225.4846,201.134666667
195.13,188.637466667,207.882733333,207.9246,195.513533333,180.964333334,185.241,191.362666667,207.337466667,205.618333333,198.9518,192.788266666,207.9664,185.912
195.51,199.381866667,219.558466667,219.823533333,208.697533333,191.3908,193.245066667,203.443666667,219.3818,217.395133333,211.17,201.3686,220.7506,195.717533333
195.89,197.596266667,221.133733334,218.004666667,210.2946,192.063466667,190.431,202.131533333,221.360466667,217.550933333,212.8344,200.045333334,222.539666667,194.966
196.27,197.567666667,223.468666667,218.288333333,212.207333333,192.747666667,192.612533333,202.657666667,224.6396,218.3334,212.7928,201.621733333,224.91,196.621666667
196.65,202.407333333,227.7778,222.8704,217.083266667,198.472133333,200.324133333,208.009333333,231.9908,223.5186,216.573933333,208.842533333,230.509266667,201.8982
197.03,197.511066667,224.8,214.222133334,211.6444,192.133466667,195.155333333,202.266666666,224.0,215.422266667,211.288933333,205.377733333,224.399866667,194.266666667
197.40,195.238133333,223.8094,209.870266667,210.952333333,191.645,193.766333333,200.303066667,222.943733333,213.766133334,209.783466667,202.1212,221.255333333,192.770533333
197.78,194.9248,224.8602,207.397866667,211.655866667,191.870866667,193.8924,201.290333333,222.5806,213.118266667,210.193533333,200.172133333,222.709533333,192.558933333
198.16,193.0362,222.972333333,202.972333333,214.6922,191.0828,193.842866667,201.146533333,220.467133333,211.804666667,208.450066667,199.575333333,221.019066667,191.252733333
198.54,193.375733333,222.887533333,201.358866667,215.328933333,189.171866667,194.692,203.439466666,218.768466667,211.932,209.086933334,199.617866667,222.250533333,190.106133333
198.92,204.537066667,234.953666667,211.620333333,229.027733333,197.870266667,206.759133333,216.527933334,232.175933333,225.0,220.925933333,214.120333333,238.194666667,200.833333333
199.30,229.032266667,261.666733333,233.924933333,255.4302,220.5378,232.473,241.290066667,258.279466667,252.204266667,243.064466667,240.9678,266.774266667,221.397866667
199.68,231.182866667,263.2258,232.257933333,256.9892,220.2688,233.817333333,240.967733333,257.4194,250.645066667,242.903333333,244.5162,266.827866667,221.7206
200.06,243.137333333,276.022533333,242.240866667,269.467666667,228.291333333,246.274466667,254.0056,268.067333333,260.8964,251.8766,256.750733333,277.815133333,231.7646
200.44,232.742,263.548266667,230.5914,256.5592,216.128933333,233.870933333,243.118333333,253.387,247.6882,240.161266667,246.989266667,263.2258,219.301066667
200.82,229.816266667,262.834666667,228.976333333,253.333333333,214.068266666,231.233666667,243.517066667,248.346533333,245.039266666,238.582666667,245.3544,259.842666667,217.847733333
201.19,224.7838,254.453066667,224.020266667,247.6336,208.7022,225.292666666,239.898266666,240.050733334,240.559733333,234.249466667,238.4224,252.977133333,213.028066667
201.57,225.9376,255.364733333,226.146,247.187533333,208.646,224.5314,240.833333333,241.146133333,242.448066667,235.781333333,241.823133333,255.468866667,215.312466667
201.95,261.523866666,297.777666667,263.936466667,289.333266667,239.619,262.476266667,285.8412,282.666666667,280.9524,275.3016,283.365133333,299.619133333,253.460333333
202.33,257.232866667,293.270466667,259.559733333,280.691866667,236.226333333,258.805,280.817666666,277.798666667,274.905666667,270.503,277.798733333,295.031466667,249.6226
202.71,252.3364,286.9782,252.523333333,275.887933333,233.146333333,254.5796,274.704066667,271.152733333,266.729,265.358266667,271.152733333,289.408066667,245.981333333
203.09,222.116533334,250.6878,219.788466667,239.153466667,205.872933333,223.015866667,238.359733333,234.8676,231.9576,230.846533333,236.031666667,249.365133333,214.074133333
203.47,205.803333333,232.757933333,202.6378,221.678533333,193.093466667,206.234933333,219.712266667,216.9784,213.860933333,214.676333333,216.259066667,232.518,199.808066667
203.85,204.6376,234.492866667,204.8792,220.338333333,193.7682,207.8744,220.1934,217.632933333,213.623266667,214.879333333,216.232,233.864733333,201.497733333
204.22,194.7032,223.0138,197.168866667,211.598266667,184.8402,198.767133334,211.1872,206.758066667,203.333133333,204.8402,207.762466667,222.7854,194.566266667
204.60,203.165466667,232.422,206.426866667,222.350133333,193.429333333,208.201533333,222.014333334,215.731466667,212.374133333,213.8128,215.9712,232.613866667,204.460533334
204.98,214.2052,240.615466666,214.153866666,232.8206,200.6154,215.128333333,231.230866667,225.999866667,220.0,222.9744,224.205266667,243.4872,212.307666667
205.36,226.4462,253.002666667,224.3526,245.950466667,212.6722,225.619866667,245.399466667,240.275466667,230.909133333,231.8456,238.126666667,257.9064,224.903666667
205.74,234.017133333,259.487266667,230.142466667,256.410266667,218.8604,232.3076,253.7322,248.831933333,239.3734,237.322,247.0086,268.091066667,232.079666667
206.12,217.020133333,236.262666667,212.020266667,237.8282,201.565666667,210.909133333,230.303066667,225.858666666,222.979733333,217.6262,229.0908,245.656666667,214.596066667
206.50,211.568666667,228.578466667,206.960733333,233.480466667,193.5784,203.725466667,224.2156,217.401866667,218.137133333,212.3038,223.529333333,239.656866667,211.5686
206.87,196.821133333,213.775,196.3798,219.2494,182.207466667,191.567466667,208.918333333,204.326733333,206.887466667,199.735066667,212.141266667,222.428266667,198.7196
207.25,195.422266667,213.377666667,195.066666666,220.9334,181.288866667,190.2666,210.488933333,206.6668,206.8444,200.9778,213.822266666,222.4888,199.155466667
207.63,190.1524,209.9782,192.549,218.605666667,176.427,186.361666667,206.841,205.5774,201.6558,198.2134,211.7648,216.6448,197.124133333
208.01,188.845266667,207.276733333,189.9346,221.307266667,175.860533333,186.187533333,207.494466667,206.230866667,202.7888,197.124133333,211.895333333,214.466266667,195.642733333
208.39,201.6782,218.647933333,199.393933333,235.664466667,188.111866667,197.3426,219.207533333,219.860066667,215.757666667,209.463866667,224.988266667,226.713333333,205.454533333
208.77,207.542666667,224.0876,203.941733333,242.6278,193.722733333,203.601,225.790666667,226.5692,223.455066667,214.987866667,232.992866667,233.333466667,213.284733333
209.14,197.571333333,218.428533333,194.0,235.714333333,185.999933333,198.809533333,216.619133333,218.381,217.3334,208.428666667,226.142866667,224.3332,206.0476
209.52,183.244466667,204.488933333,179.644266667,219.555466667,172.4444,185.200066667,200.533333333,201.822266667,204.4,194.0444,210.888933333,206.800066667,193.5556
209.90,184.563733333,207.9642,180.447266667,220.179,174.451933333,188.322133333,203.400466667,201.4766,206.9352,194.452,211.319866667,205.995533333,195.436133333
210.28,192.8132,219.0544,188.463333333,229.976533333,185.106466667,200.472733333,214.3262,212.4824,217.210466666,202.553266667,221.418466667,213.096866667,203.7824
210.66,202.074133333,229.975333333,196.1976,239.061733333,194.1728,209.432066667,227.012333333,223.654266667,226.518533333,210.222266667,232.1976,219.950733333,211.4074
211.03,227.567533333,260.9608,216.396333333,270.09,216.3364,236.936866667,257.957933334,252.492533333,256.0962,233.2734,262.342333333,248.228133333,238.3784
211.41,258.5664,298.064533333,248.172,309.9642,248.6022,274.193666667,295.340533333,284.946133333,294.2652,265.233133333,299.426666667,285.734866667,277.7062
211.79,286.1044,327.791066667,273.172666667,343.2932,275.1808,306.4258,329.237066667,312.7712,327.9518,288.6746,330.120466667,313.092333333,309.076266667
212.17,287.301533333,326.2698,272.936666667,336.111066667,273.571533333,305.158666667,328.491933333,309.603133333,324.8412,286.27,328.333333333,309.761933333,309.365066667
212.55,262.456,298.5964,253.263266667,306.035133333,250.385866667,280.982533334,299.509,282.315866666,296.912266667,265.964933333,299.649133333,284.210466667,287.0876
212.92,241.3334,269.818066667,230.242333333,277.333333333,228.727266667,256.0,272.4848,253.575666667,266.1212,244.181866667,269.636466667,256.424133333,259.3334
213.30,263.137133333,289.673133334,252.156866667,301.045733333,250.3268,278.104466666,297.581733333,273.202466667,286.143733333,263.268,289.281133333,277.451,283.464066667
213.68,313.725533333,340.784333333,301.176466667,353.2548,298.352933333,331.137266667,349.960666667,325.568733333,335.6078,311.8432,340.470533333,329.960733333,333.176466667
214.06,314.728733333,334.883733333,300.309933333,350.155,298.3722,329.224733333,344.3412,324.1086,330.697733333,312.0154,337.054333333,327.364266667,331.938066667
214.44,343.0,363.333333333,331.666666667,382.0,327.333333333,356.666666667,374.75,350.5,358.583333333,345.5,366.833333333,359.166666667,365.25
214.81,358.7878,381.904733333,348.225066667,403.29,349.091,370.995666667,389.177466667,370.303066667,377.142866667,366.7532,383.636266667,380.346266667,387.878866667
215.19,341.9608,360.392133333,331.6862,378.0392,333.7254,347.0588,368.705933333,352.9412,355.7646,350.9804,362.980466667,358.980466667,367.451
215.57,369.704533333,384.4726,353.248933333,401.687733333,356.962,369.535933333,395.3586,379.8312,380.759466667,373.4178,391.8144,380.590666667,391.392333333
215.95,408.380933333,422.4762,390.285666667,441.142933333,392.761933333,406.000066667,435.904733333,418.095266667,422.857133333,414.285666666,434.476066667,423.142933333,431.2382
216.32,359.826933333,375.1514,349.437266667,392.2078,350.4762,363.116866667,388.051866667,372.467533334,375.757466666,370.562866667,382.597266667,377.748866666,384.242333333
216.70,403.636333333,414.242333333,386.1616,438.989933333,391.8182,408.0808,437.9798,419.697066667,422.828333333,410.505133333,425.959666667,423.2324,428.484866667
217.08,449.999933333,461.547733333,434.761866667,492.261933333,440.595066667,459.523733334,487.023866667,477.9762,480.0,456.190466667,481.666666667,476.666533333,478.3334
217.46,436.309533334,441.7856,416.904866667,471.6666,422.619133333,437.976133333,464.166666667,464.881066667,466.785666667,440.9524,465.5952,462.738066667,462.499933333
217.83,430.909133333,440.9698,412.8484,468.484733333,417.818133333,433.8182,458.302866667,458.666733333,465.939266666,439.272866667,462.302866667,457.090933333,459.757533333
218.21,426.060666667,435.030333333,413.697,461.091,408.8484,427.0302,455.636333333,447.2728,459.030333333,434.5456,458.7878,450.666733333,451.151466667
218.59,378.305,390.169466667,368.813666667,407.909733333,358.644066667,381.242933333,406.3276,402.824866667,410.508533333,384.406733333,410.734533333,402.033933333,398.7572
218.97,401.9754,409.382733333,389.012266667,426.296333333,375.0616,409.876533333,433.4568,422.592533333,431.851866667,402.0988,437.1606,426.0494,419.753066667
219.34,404.905733333,407.169866667,389.8114,428.553533333,371.0692,417.484266667,436.2264,421.761,433.207533333,397.8616,436.3522,427.672933333,419.999933333
219.72,319.227133333,324.154666667,312.3672,343.768066667,293.043533333,334.975933333,346.183533333,338.357466667,341.3526,320.289933333,343.4782,340.483066667,334.299466667
220.10,269.882333333,273.568733333,261.411733333,290.980466667,250.274466667,284.8628,293.333266667,289.568533333,289.0196,274.823466667,289.960866667,284.627466667,282.588266667
220.47,290.8548,293.8462,277.863333333,313.675133333,269.572666667,303.846,315.47,309.829,311.453,294.273533333,315.641,305.470133333,307.094066667
220.85,266.509933333,271.215733333,255.215733333,285.568733333,248.4704,276.078466667,291.059,281.9608,285.255,269.647066667,291.451,278.666666667,282.9804
221.23,281.794866667,290.940066667,271.367466667,302.564,262.735,292.0512,312.136866667,296.837533333,301.794933333,288.290666667,307.521466667,295.1282,304.188066667
221.61,272.583333334,285.5,271.25,296.083333333,260.0,285.25,306.916666667,288.5,293.416666667,283.583333334,303.333333333,287.25,294.75
221.98,223.673333333,234.966,223.197333333,246.2588,213.129133333,233.809466667,255.6462,238.0272,239.931933333,235.714133333,248.8436,235.170133333,242.9252
222.36,215.033933334,228.163333333,216.258466667,244.353666667,207.074933334,227.891133333,248.163266666,236.4626,235.033866667,230.816333333,241.836666667,230.408133333,238.367333333
222.74,186.547733333,195.357133333,186.726133333,212.976333333,179.285733333,197.559533333,215.476133333,206.845266667,202.5,200.178533333,206.606933333,198.988066667,208.035733333
223.11,173.1036,183.0458,174.540133333,198.333266667,167.7012,186.436733333,200.4024,196.0346,189.3678,188.160866667,193.103533333,184.8276,192.873533333
223.49,161.896933333,173.550266666,165.962066667,186.341466667,160.1626,177.506666667,189.4308,185.853733333,180.108333333,178.970066667,181.1924,173.929466667,183.3062
223.87,158.845133334,170.0262,161.102333333,181.6798,159.317533333,173.805666667,186.036733333,181.679933333,178.005133333,176.745266667,176.6928,169.186266666,178.005133334
224.24,155.873066667,170.423266667,160.3704,178.254133333,157.671866667,172.328133333,182.486733333,177.830733333,175.872866666,172.962933333,171.798866667,166.5608,175.555533334
224.62,155.128333334,169.692333333,159.487266667,175.6922,154.256466667,171.589666667,180.000066667,174.8204,173.999933333,171.0256,166.461666667,164.5128,170.8718
225.00,162.296933333,181.5126,171.260533333,185.041866667,162.128866667,183.753466667,188.1232,186.778733333,184.6498,182.2968,173.053266667,174.509933333,179.103666667
225.38,159.607866666,181.7368,169.86,184.369666667,162.240733333,183.137266667,186.834666667,187.395,184.93,180.504266667,170.980266667,174.0056,176.4146
225.75,153.539933333,173.747066667,159.2766,174.0568,152.041333333,175.297266667,176.4858,177.8296,175.193933333,168.888866667,160.31,165.684733333,166.615
226.13,155.438733333,175.438533333,159.899933333,174.1354,153.1828,177.4936,176.390866667,178.045066667,176.040266667,167.167866667,160.6516,167.468666667,166.3158
226.51,139.956733333,159.004333333,141.904666667,155.974066667,139.220666667,160.346333333,159.740266667,158.5714,159.307266666,149.913333333,146.3204,150.692533333,151.212066667
226.88,139.8726,160.339666667,140.679466667,155.286533333,141.4438,161.656066667,159.9152,158.811,160.3822,151.210133333,148.62,151.8896,150.955333333
227.26,120.609333333,136.9536,122.007133333,132.724133333,121.899533333,138.853066667,138.136133333,135.5914,139.999933333,130.501733333,127.455266667,130.967733333,131.7204
227.64,100.991133333,114.4746,102.4024,109.189133334,100.4206,115.9158,116.066066667,114.654666667,118.348266667,111.231333333,107.3574,108.678733333,111.321266667
228.01,90.3674,101.5236,91.9728,95.1019333331,88.8436,103.238,102.802733333,102.503466667,105.278933333,98.8572000001,96.0817333333,96.7617333333,100.571533334
228.39,79.1079333333,86.4787999999,80.4928666667,82.5352666666,76.6901333334,89.4835333335,88.8497333334,89.1548000001,92.0658,86.2206666666,83.9203333333,84.0610666667,88.0516666667
228.76,71.6303333333,77.2586666667,72.6688666667,75.5348,69.5742666666,81.1837333333,79.8130666667,80.6024666667,83.0945333333,78.2762,76.4277333333,75.5555333333,81.1007333333
229.14,64.7081333333,68.2484666667,64.9529333333,67.9096,62.241,72.5047333333,71.4312,71.6195333333,74.1996,70.4143333333,69.1337333333,67.2881333333,73.2579333333
229.52,60.665,63.052,60.9036,62.7791333333,57.6642,67.0587333333,66.4618666666,66.5132,68.8321333333,65.1321333333,64.6888,62.3699333333,68.1670666667
229.89,57.2911333333,59.6267333333,57.9076,59.7568,55.0527333333,63.9740666667,63.9253333333,63.828,66.2611333333,62.871,62.0114666667,58.9618666667,65.7258
230.27,53.3492,55.1861333333,54.0143333333,55.3761333333,51.3698,59.9208666667,60.2532666667,60.9658666667,62.7870666667,59.3981333333,58.6065333333,54.6635333333,62.5968666667
230.65,51.9000666667,52.9791333333,52.8662666667,53.3655333333,49.678,58.4862,58.6796,59.5974666667,61.1593333333,57.9871333333,57.0692666667,52.3510666667,60.6763333333
231.02,50.8116,51.1110666666,51.7888666667,52.2616666666,48.353,57.2892,57.0528,57.4784,60.2363333333,56.6902,55.8707333333,50.5594,59.4799333333
231.40,52.6486666667,53.2192,54.1484,55.4035333333,50.0734,59.8534,59.6414,59.9673333333,62.0702,59.4459333333,57.4735333333,52.1434,62.2006
231.78,55.6304666667,56.2695333333,56.9948,59.8791333333,54.5768,64.0416,63.2642,63.437,65.7686666667,61.8825333333,61.1918,56.1486666667,65.6477333333
232.15,55.8096,57.4890666667,57.8356,61.7144,55.8962666667,64.8484666666,64.5714,63.9654,66.4761333333,62.58,62.4588666667,57.3506,66.4242
232.53,57.3517333333,59.1597333333,59.9634666667,64.1278,58.1005333334,67.0686,67.2146666667,65.6074666667,68.5845333333,64.2922,65.0410666667,59.5434,69.516
232.90,58.96,60.2600666666,61.4856666667,64.6797333333,60.427,68.0965333333,68.858,67.3538,70.4179333333,65.1253333333,67.0196,61.1328,70.2322
233.28,58.5165333334,60.5934666667,61.3438666667,64.1708666667,60.8550666667,67.2426,69.2496,67.4345333333,70.6282,64.3978666667,66.7364666667,60.9598,69.424
233.66,57.1378,59.0577333333,60.7679333333,62.2338666667,59.7906,66.1779333333,68.4118,65.7241333333,69.2322,63.2286,65.3578666666,59.7206666667,68.883
234.03,54.1058666667,56.7086,58.5557333333,59.4626666667,58.0856666667,63.6775333333,65.8606,62.6700666667,66.0622,60.4366,63.0731333333,57.7163333333,66.8514
234.41,56.3399333333,58.9051333333,61.3398666667,62.3202666667,61.2418,66.6338666667,68.9868666667,64.2974666667,67.8922,62.8106,66.1601333333,60.8171333333,68.9050666667
234.78,57.176,59.6606,61.2192,62.6080666667,62.0370666667,66.6204,69.5215333333,64.5060666667,67.5772666667,62.9784666667,66.0647333333,62.1604,69.1049333333
235.16,58.4463333333,61.1764666667,62.4132666667,63.3334,63.1221333333,66.9532666667,70.6787333333,65.7315333333,67.8280666667,63.9516666667,66.6667333333,63.5595333333,70.2865333333
235.54,58.9629333333,61.4814,62.2518666667,62.4594,63.2740666667,66.5037333333,70.0444,65.3334666667,67.4815333333,63.4072666667,66.7852,64.0741333333,69.5407333333
235.91,59.8380666667,61.7513333333,62.4577333333,62.7078666667,63.5466,65.9454666667,69.8456,65.0036,67.1228,63.7234,67.0051333333,64.3854,69.5657333333
236.29,59.8290666667,60.9972666667,61.4673333333,61.7236,62.3931333333,65.114,68.5326666667,64.1737333333,66.282,62.5641333333,65.3419333333,63.7464,68.5896
236.66,60.0275333334,61.1845333333,61.1433333333,61.1982666667,62.3829333333,65.496,68.2093333334,64.1321333333,65.8952,62.6308666667,64.3250666667,63.6914666667,67.6858666667
237.04,59.2319333333,60.4114666666,60.2744666666,60.1097333333,60.9876666667,65.0890666667,66.9134666667,63.3744666667,65.3087333333,61.9478666667,63.5390666667,63.3334666667,66.9684
237.41,60.8658,61.5008,60.5484,61.0389333333,61.9914,66.8832,66.8398666667,64.3578,66.1616,63.1746666667,64.9494666667,64.4877333333,68.4127333333
237.79,60.835,61.2881333333,58.7826666667,60.9341333333,61.5994666667,66.7515333333,65.1380666667,64.4303333333,65.6616666667,62.9156666667,64.6285333333,64.2745333333,67.6572666667
238.17,61.7154666667,60.9345333334,58.1309333334,60.9484666667,61.1994666667,66.5552,64.3236,64.6164,65.6206666667,62.6638666667,64.2398,63.7099333333,66.4016
238.54,58.2761333333,57.3738666666,54.0605333333,56.7406,57.4816,62.4108,59.5824,60.7136666667,62.0740666667,59.2457333333,59.7844,59.8116,61.8180666667
238.92,54.0938,53.8656,50.5956666667,52.7375333333,53.3332666667,58.4410666667,55.0697333333,57.2878,58.5806666667,55.7668666667,56.2736666667,55.5388,57.7947333333
239.29,49.7864666667,49.4898666667,46.548,47.8055333333,49.1103333333,54.4602666667,50.8896,52.847,54.9702,51.6250666667,52.5029333333,51.2218666667,53.3926666667
239.67,45.2964,44.8613333333,42.1641333333,43.7086,44.9048,49.9294,47.1125333333,48.57,50.8754666667,47.2322,48.7874,46.1554666667,49.0267333333
240.04,40.3926666667,39.6274,37.3312666667,38.8822,39.7381333333,44.9646,42.2860666667,43.5952,45.9013333333,42.2154666666,43.9578,40.9164,43.988
240.42,36.1878666667,35.0534666667,33.3982666667,34.7746,35.3696666667,40.6881333333,37.7685333333,39.1725333333,42.1571333333,37.973,40.3347333333,36.1504666667,39.7024666667
240.79,31.5372,30.5122,28.9952,29.971,30.6188,35.6782,32.9886,34.3416666667,37.6216666667,32.9968,36.1292,31.324,35.0632
241.17,28.0029333333,26.7689333333,25.6297333333,26.5718,27.4261333333,31.9167333333,29.5216666667,30.6244,34.4068666667,29.4267333333,32.8369333333,27.7181333333,31.3836
241.54,24.9482666667,23.9339333333,23.3074,24.1086,24.761,29.1020666667,27.0088666666,28.0362,32.0478666667,26.2984,30.1420666667,24.9095333333,28.792
241.92,23.1650666667,22.2496666667,22.0313333333,22.6690666667,23.0646,27.1450666667,25.6273333333,25.9995333333,30.623,24.4346,28.5504,23.0232,27.1625333333
242.29,21.9847333333,21.4029333333,21.3756666667,21.626,22.0282,26.1554,24.6113333333,24.7090666667,29.7392,23.1538666667,27.6455333333,22.0553333333,26.3458666667
