wavelength,Back_AniLacm,Belly_AniLacm,Breast_AniLacm,Crissum_AniLacm,Crown_AniLacm,DorTail_AniLacm,Patch10_AniLacm,Patch11_AniLacm,Patch12_AniLacm,Patch13_AniLacm,Rump_AniLacm,Throat_AniLacm,WingTip_AniLacm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-127.272666667,-103.6364,-99.394,-98.7878000001,-133.939333333,-116.969533333,-116.969666667,-117.575733333,-115.757666667,-141.8182,-103.030333333,-101.2122,-118.181933333
179.16,-135.151533334,-119.999933333,-123.636333333,-104.2424,-130.303133333,-141.2122,-136.3638,-137.575866667,-129.090866667,-144.848466667,-126.060466667,-118.1818,-129.090866667
179.54,-153.9396,-141.818066667,-158.1818,-136.969866667,-162.4244,-162.424333333,-178.787866667,-179.999866667,-181.818133333,-181.212133333,-155.757466666,-158.787933333,-187.272666667
179.93,-211.333333333,-213.333333333,-232.666666667,-220.0,-250.0,-229.333333333,-249.333333333,-260.0,-228.666666667,-250.0,-222.0,-214.666666667,-252.0
180.31,-157.8,-155.666666666,-173.0,-148.6,-174.466666667,-182.333333333,-172.066666667,-176.6,-170.8,-192.6,-151.2,-155.933333333,-185.066666667
180.69,-170.9206,-166.3492,-187.238133333,-158.476133333,-187.3016,-196.888933333,-185.079266667,-189.4604,-184.1906,-207.999866667,-163.364933333,-168.253933333,-197.2064
181.07,-184.6204,-179.735933333,-206.138666667,-168.580866667,-200.066066667,-211.287133333,-200.792,-205.016466667,-201.056266667,-221.914133333,-177.227666667,-181.254133333,-212.541333333
181.45,-197.403466667,-191.7894,-224.4912,-180.631466667,-214.175533333,-225.7544,-212.982466667,-217.614,-215.7194,-237.964933333,-188.8422,-193.193066666,-230.316
181.83,-187.006866667,-183.9454,-215.5782,-171.156466667,-204.353733333,-215.986466667,-199.251666667,-206.258666667,-204.897933333,-227.278933333,-179.047666667,-182.721133333,-218.367466667
182.21,-198.461533333,-192.381,-228.718,-177.8022,-212.2344,-229.011,-205.567666667,-217.069533333,-216.63,-239.926733333,-187.032933333,-190.842466667,-229.963466667
182.59,-214.939866667,-205.542133333,-247.0682,-188.192866667,-225.0602,-246.024133333,-215.341333334,-232.369533333,-233.8956,-256.867333333,-195.983866667,-203.052333333,-246.506066667
182.97,-254.7944,-242.3744,-288.2192,-224.840133333,-266.392733333,-290.593733333,-253.7898,-275.3426,-278.8128,-299.451933333,-231.5982,-241.6438,-290.228333333
183.35,-345.146266667,-330.877266667,-384.912333333,-304.912266667,-360.9356,-394.152066667,-348.421066667,-373.918133333,-378.947333333,-402.924,-311.461933333,-327.7192,-389.473733333
183.73,-394.8,-385.333333333,-444.666666667,-344.266666667,-419.866666667,-451.733333333,-402.533333333,-431.6,-438.666666667,-465.066666667,-365.333333333,-384.133333333,-444.266666667
184.11,-578.476133333,-568.000066667,-648.761933333,-493.9046,-615.619,-655.047533333,-588.952333333,-630.4762,-644.1904,-670.857,-541.523866667,-556.952333333,-635.428666667
184.49,-560.0,-547.7478,-617.117066667,-468.4686,-588.108066667,-615.675666667,-563.243333333,-596.576666667,-622.162133333,-636.2162,-514.414466666,-524.864933333,-605.225266667
184.87,-607.843266667,-612.549066667,-675.490266666,-521.568666667,-647.451066667,-670.784266667,-614.117733333,-652.352933333,-683.137266667,-690.000066667,-557.451133333,-583.529466667,-665.294133333
185.25,-757.7778,-774.8148,-848.148133334,-671.851733334,-822.963,-851.358066667,-769.629666667,-823.456733333,-859.259466666,-872.592533333,-696.296399999,-749.876466666,-842.963066667
185.63,-805.333333333,-832.533333334,-904.533333334,-722.399999999,-878.933333333,-911.466666667,-824.800000001,-884.266666667,-925.866666667,-948.533333333,-745.600000001,-816.266666667,-890.133333334
186.01,-1883.0304,-1980.00006667,-2126.6666,-1720.60613333,-2073.33326667,-2136.96966666,-1951.51513333,-2083.0302,-2172.7274,-2241.2122,-1779.39393333,-1938.78793333,-2082.42426667
186.39,-4137.33333333,-4468.0,-4686.66666666,-3857.33333333,-4613.33333333,-4724.0,-4353.33333333,-4568.0,-4869.33333333,-5025.33333333,-3965.33333333,-4385.33333333,-4561.33333333
186.77,-2548.33333333,-2790.83333333,-2905.0,-2412.5,-2878.33333333,-2954.16666667,-2734.16666667,-2835.0,-3070.0,-3145.0,-2480.83333333,-2773.33333333,-2782.5
187.15,3511.11113333,3804.44446667,3992.22213333,3311.11106667,3951.111,4038.88886667,3722.22213333,3856.66653333,4194.44446667,4286.66666667,3470.0,3835.55566667,3774.44433333
187.53,2640.0,2881.66666667,3040.0,2504.16666667,2970.0,3002.5,2779.16666666,2868.33333333,3140.83333333,3200.0,2606.66666667,2902.5,2803.33333333
187.91,693.333333333,752.5,801.041666667,666.875,767.5,776.25,718.541666667,743.958333333,812.916666667,825.416666667,676.875,759.375,726.25
188.29,623.888866667,684.999933333,724.999933333,612.037066666,688.888933333,692.592533333,647.5926,682.2222,735.000133333,743.1482,617.037066667,700.0,656.666666667
188.67,421.0908,467.0304,488.363666667,419.2728,462.7878,475.2728,444.848533333,468.727333333,498.666466667,503.5152,425.8182,484.606,444.242533333
189.05,401.7242,445.1724,463.6782,394.597733333,436.321866667,450.229866667,423.103466667,450.804666667,470.689666667,476.5518,410.23,460.000066667,415.747133333
189.43,353.039266667,392.941133333,403.823666667,349.902,377.1568,394.117733333,369.607733333,394.117466667,411.1764,416.1764,362.156933333,403.627466667,358.235333333
189.81,358.1904,397.238133333,404.761933333,351.523733334,381.428466667,393.333333333,368.857,396.476133333,414.0952,410.857066667,365.904866667,405.238133333,360.5714
190.19,294.456933333,324.344666667,327.340733333,285.0936,307.94,318.9514,302.247133333,321.273466667,338.202266667,331.985066667,299.176066667,331.235933333,292.209666667
190.57,259.377066667,283.489133333,283.925333333,246.043466667,268.037333333,277.694733333,265.233533333,280.436133333,294.3302,286.168333333,261.62,287.9128,255.5764
190.95,255.059533333,278.273866667,276.3096,239.821333333,260.0596,267.6786,257.4404,275.5358,286.309533333,277.0238,257.440466667,279.226133333,247.9762
