wavelength,Back_SicLuaf,Belly_SicLuaf,Breast_SicLuaf,Crissum_SicLuaf,Crown_SicLuaf,DorTail_SicLuaf,Patch10_SicLuaf,Rump_SicLuaf,Throat_SicLuaf,WingTip_SicLuaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,184.444266667,190.000133333,216.666733333,182.063514286,210.000033333,173.333333333,156.6665,145.333333333,157.7778,197.7778
179.16,152.0,130.0,149.333333333,130.095238095,161.333333333,194.666666667,156.0,142.133333333,73.3333333332,193.333333333
179.54,81.9999999999,77.9999999999,80.6666666667,80.7142857143,79.0,125.333333333,74.3333333333,65.9333333334,42.6666666667,109.666666667
179.93,76.6666666667,22.9166666667,60.8333333333,56.130952381,72.5000000001,85.8333333334,58.75,57.4999999999,30.0,69.1666666666
180.31,73.4781999999,55.2898333333,69.2753333333,72.2153,92.8260666666,122.753666667,79.7101666668,75.6956199999,23.3334666667,99.4927666667
180.69,92.5203333335,64.8780333333,79.7563666666,86.6899666667,117.317133333,150.081333333,96.7479333333,90.3252666667,21.9510666667,126.260166667
181.07,94.7475333333,51.9190666667,68.7878666667,82.1644761905,133.434333333,172.121133333,98.7878999999,94.3636133333,-0.20199999992,135.7577
181.45,89.1110666667,39.0,56.7777666667,73.904747619,132.0001,169.777733333,92.9999666667,91.0443333333,-12.4444666667,128.889
181.83,124.166666667,11.0416666666,51.6666666668,107.470238095,218.75,257.916666667,142.083333333,126.041666667,-46.2500000001,193.541666667
182.21,253.333266667,96.2962999999,140.0,258.888880952,465.555533333,485.926,332.222266667,268.22232,2.9629999998,408.518533334
182.59,163.137266667,77.6469333334,101.764833333,161.568542857,286.2745,277.254866666,214.901933333,171.333373333,34.9020666668,246.862566667
182.97,143.859666667,59.6491666667,85.9648999999,164.987414286,270.877266667,228.772,195.614133333,155.438606667,45.2631999999,236.6666
183.35,-406.666666666,3.33333333334,-150.0,-427.714285714,-866.666666668,-729.333333333,-608.0,-395.199999999,21.3333333334,-752.0
183.73,-735.555533333,-198.888933333,-211.111133333,-711.587190475,-1428.88886667,-1348.8888,-1128.88876667,-741.555433333,-42.2223333336,-1404.44443333
184.11,468.333333333,204.583333333,210.416666667,397.857142857,689.583333333,674.166666667,578.75,411.916666667,184.166666667,721.666666667
184.49,1513.33333333,253.333333333,476.666666667,1247.14285714,2295.0,2343.33333333,1981.66666667,1277.33333333,506.666666666,2626.66666667
184.87,680.000000001,-13.3332999999,56.6667666668,564.44437619,1223.33336667,1320.00013333,1111.11113333,634.000086667,202.2222,1455.55556667
185.25,266.666666667,30.8333333334,40.4166666666,228.571428571,420.416666667,476.666666667,410.833333333,210.583333333,71.6666666666,553.333333334
185.63,118.5186,39.0741333335,14.8147,109.259219047,186.481433333,218.888866667,192.962833333,84.6295666667,22.5925999999,262.592766667
186.01,72.5925999999,40.3703333333,10.1234666667,52.4513190476,113.086433333,150.370133333,121.2345,57.8023999999,5.4321333334,168.024733333
186.39,49.3826666666,8.88873333341,-28.6419666667,14.9558809524,72.2223333334,133.580266667,92.5925333333,27.7776866666,-32.8395333333,138.5185
186.77,-149.999999999,310.0,923.333333333,438.333333334,-303.333333332,-1150.0,-678.333333333,257.999999999,1136.66666667,-1080.0
187.15,373.333333332,-96.666666666,-1513.33333333,-840.476190477,386.666666667,2293.33333333,1430.0,-585.333333333,-2326.66666667,1976.66666667
187.53,90.0,74.1666666666,-2.00000000008,13.857142857,79.6666666666,174.333333333,128.0,18.7666666667,-58.9999999999,163.166666667
187.91,120.7844,84.5099666668,23.3333333333,35.3781666666,94.7058666667,232.549066667,170.000066667,29.9607933334,-69.0196666664,192.156966667
188.29,88.5715333333,74.1269333332,10.4761999999,29.9772952381,52.3809000001,187.3014,131.428433333,15.6189933333,-57.7777333334,122.857133333
188.67,82.7536666666,73.6232,42.6088,43.8095333333,64.1304000001,123.188333333,93.9130000001,48.3622666667,-1.15946666672,90.2174
