wavelength,Back_GeoScaf,Belly_GeoScaf,Breast_GeoScaf,Crissum_GeoScaf,Crown_GeoScaf,DorTail_GeoScaf,Patch10_GeoScaf,Rump_GeoScaf,Throat_GeoScaf,WingTip_GeoScaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,55.3846,44.1025666667,72.3076666667,27.4358666666,17.4358666667,23.3334000001,27.1793333333,38.4614666667,32.8204666667,9.7436
179.16,-2.30160000002,-42.4603333333,-3.65066666665,29.6031666667,0.555533333334,-0.91263333326,-5.873,-28.2142666666,-6.11120000002,-38.4920666667
179.54,-62.2222666666,103.333333333,26.6665999998,-93.3332666668,4.44446666686,-268.889,68.8888666666,-6.6666,-77.7777999999,324.444399999
179.93,-170.222266667,-94.6666666667,-13.3332666667,-0.444399999986,-159.5556,-67.5556,-97.3333333334,-83.3333333333,-91.9999333332,8.00000000008
180.31,1372.16926667,-191.164066667,1167.51333333,1669.25936667,353.121733333,2464.23286667,-13.7566666673,182.169333333,544.656133334,-2764.97353333
180.69,-38.3332666667,93.6666666667,-8.99993333332,-80.8334000001,43.5556,-147.166733333,52.2222,52.6666666667,23.3332666667,235.555533333
181.07,29.4107999999,71.9951333333,41.17,-3.5943,53.1565999999,-30.1767,56.4729999999,59.6170333334,41.2458,112.3736
181.45,33.2960666667,60.2816666667,31.3048666666,-7.59226666666,43.8568666667,-31.8415333333,44.7922666667,44.5451666666,35.6276,93.6487333332
181.83,43.3470666667,57.7631333333,34.2253333333,-4.20449999999,43.0937999999,-17.1018,48.2984666667,50.2322666666,37.1594666667,84.3738666667
182.21,39.3454,54.3975,24.494,-2.77770000001,38.2194000001,-17.2965,46.3393333333,50.4068333333,36.5724666667,79.4793333333
182.59,41.2031333333,56.3654,24.1346666667,-4.0076,32.9260666667,-10.5242666667,40.8745333333,56.6215,41.067,74.6910666667
182.97,43.6412,55.1561333333,17.4703333333,-2.79886666666,25.7704666667,-10.7331333333,36.6047333333,55.2015333333,39.9448666667,64.0527333333
183.35,53.368,65.7230333335,28.1386,0.7014,27.7230666667,-8.7447,38.7359333333,69.9740333334,41.6449333333,77.7314666667
183.73,53.4784666666,73.003,28.2066666667,10.3033666667,24.8406,-10.3131666667,39.2507333333,65.4362666666,39.9902666667,78.5347333333
184.11,65.0665999999,77.2665,27.111,10.3333,28.5334,-2.5334,43.3554666667,69.3555999999,42.6666666667,71.5556
184.49,55.7834666667,63.3492,23.7344666667,11.401,18.0722666667,-7.41999999999,34.8166666667,66.1817666667,33.1399333333,59.9884
184.87,54.4599999999,70.7681,25.4855333333,10.3622666667,13.3007333333,-26.3605333333,38.7790666667,74.4872,32.7826666667,76.2174666667
185.25,40.6667333333,102.433066667,5.60126666666,-10.2848666667,-32.7179999999,-128.2108,28.7066666668,112.934466667,3.0938666666,112.854666667
185.63,8.05626666674,59.0064999999,-22.1992666667,-33.3276,-41.1426666667,-106.4284,8.6591333332,80.4190999999,-8.09066666673,50.9044000001
186.01,-20.9334666666,45.3292,-61.8183333334,-52.7724666667,-60.0069333333,-135.586866667,-27.2798000001,58.6693333333,-15.8759333334,24.6883333333
186.39,12.0707333333,48.5943000001,-32.4074666667,-39.8821333334,-30.9766,-108.2997,-20.6564666667,68.3165000001,9.7811333334,20.6565333333
186.77,16.4225333333,42.5660000001,-19.2675333333,-29.6744666666,-13.7210666667,-89.4981333333,-5.51539999998,59.3682666667,8.17439999999,22.4378666667
187.15,1.52506666674,33.7255333333,-82.9083333333,-126.100266667,-47.0263333333,-181.6995,-63.6272666667,61.3071666666,-4.3791333334,-15.5989999998
187.53,-4.28573333334,20.4082,-110.408266667,-153.639533333,-58.0273333333,-169.251766667,-77.7551333334,48.9795,19.7958666667,-25.7824666667
187.91,173.594733334,188.0393,646.568666665,903.986833333,422.254866666,711.111166667,534.575133335,81.6013,27.8430666666,431.503333333
188.29,15.7037333333,37.3333333333,165.8888,307.222133333,118.851866667,185.666566667,141.926,15.4814,-24.8148666667,149.888933333
188.67,-42.5820000001,-31.7076999999,136.735,279.842866667,33.0737333333,130.915133333,109.5492,-57.1857333333,-103.688533333,109.494466667
189.05,-62.5608666667,-29.5662,68.4444666666,136.381033333,9.65073333339,22.5397666667,50.9417333333,-29.8836999999,-66.4551333333,49.8412666666
189.43,-8.27606666666,8.88553333333,58.4377333333,87.3938666667,21.9124666667,26.2761999999,44.4849333334,7.90559999999,-7.64980000002,42.8618666667
189.81,-38.3623333334,-16.3468333333,43.6311333334,71.4791333333,9.69386666666,13.6878333333,34.0254,-19.5271333334,-33.7689333333,25.2798666667
190.19,-27.4254,-9.50363333334,32.4547333333,57.6763,1.6934,1.06186666667,20.9371333333,-17.8125333333,-27.3925333333,23.4632
190.57,-27.5328666667,-7.24343333333,28.9363333333,53.2431666667,5.14953333333,6.65216666667,10.3893333333,-6.74220000002,-18.0034666667,28.2330666667
190.95,-8.16666666667,-2.84993333333,20.3055333333,37.2910333333,7.41793333334,13.0872000001,11.3994,2.04096666667,-7.01726666667,21.5053333333
191.33,-14.4703333333,-0.634399999986,21.9000666667,47.7166333333,19.4331333333,19.1803333334,17.5554666667,-4.1982666667,-2.71513333333,18.422
191.71,-8.53373333332,3.12686666665,22.9116,46.6800333333,14.3540666667,18.1650333334,11.9242666667,0.409866666654,-2.62953333334,17.6414
192.09,-9.14026666666,1.91640000002,12.4272666667,40.8147666667,6.22653333333,10.7682666667,2.72333333333,-5.89443333332,-8.84153333334,12.3374
192.47,-10.2156666667,-2.9635,8.2255333334,35.9692333333,3.33073333334,9.6669,0.0628,-10.0532666667,-8.7906,9.45399999998
192.85,-11.5943333333,-6.64356666667,9.64033333328,36.2582666667,5.24926666668,9.4597333334,0.467,-5.67750000001,-8.42373333332,-1.53833333333
193.23,-5.00860000001,-3.48719999998,-0.11966666674,37.1537666667,3.17946666668,11.4787333334,-3.35053333334,1.56403333334,-13.0768,-7.79493333335
193.61,-7.80586666658,-5.34153333334,-7.21053333326,32.8162666667,1.9716,-2.6993333334,-6.12733333332,2.5952,-16.1311333333,-14.0168666667
193.99,-12.7357999999,-19.1775333333,-20.5703333333,25.4201333333,-13.502,-16.3807666667,-13.1726666666,-4.49796666668,-26.6891333333,-21.8923333333
194.37,4.63253333334,-4.17096666666,-0.358933333326,36.5812666667,3.64106666666,0.7522,7.88033333332,9.27343333334,-7.12833333335,-7.53840000001
194.75,-3.41199999994,-17.1126,-12.2803333333,25.8058333333,-3.67800000002,-13.9297999999,0.457000000006,-0.005133333334,-23.4689333333,-21.0309333334
195.13,-24.1539999999,-49.6481,-56.5295333333,11.1049666667,-28.1448666666,-71.1131000002,-31.8429333333,-19.0926333333,-55.7149333334,-60.9074666667
195.51,-34.4242666667,-56.1514666666,-51.606,1.9697,-35.7575999999,-58.4470333334,-37.4092000001,-19.0757666667,-58.9848666667,-71.2575333333
195.89,-13.6208666667,-26.2775333333,-23.2556666665,13.1697,-7.5658,-23.0711000001,-2.4398666666,2.61106666666,-32.5467999999,-36.1352666666
196.27,-32.7488666666,-55.0093333333,-41.4926666666,-3.79146666668,-23.7666666667,-36.1089999999,-19.9419333333,-13.6422333333,-54.6268,-57.9104000001
196.65,-15.2816666667,-31.2455,-6.70433333334,10.3062000001,0.75333333334,-21.8117000001,-2.1795999998,0.9103,-46.8147999999,-44.7307333334
