wavelength,Back_ChlRief,Belly_ChlRief,Breast_ChlRief,Crissum_ChlRief,Crown_ChlRief,DorTail_ChlRief,Patch10_ChlRief,Patch11_ChlRief,Patch12_ChlRief,Rump_ChlRief,Throat_ChlRief,WingTip_ChlRief
189.05,-268.527066667,-157.907,-165.581333333,-186.511666667,-184.806133333,-184.031133333,-185.116266667,-235.814,-206.201666667,-203.100733333,-168.062066667,-170.775233333
189.43,-373.7374,-232.2223,-240.202133333,-267.070733333,-275.757533333,-271.313133333,-267.272733333,-339.192,-289.697066667,-289.091,-247.272666666,-256.868766667
189.81,-494.285733333,-346.309533333,-352.380866667,-372.619066667,-390.7144,-373.809666667,-380.238133333,-465.714266667,-391.666533333,-396.904733333,-345.714266667,-363.095233333
190.19,-3760.0,-2761.66666667,-2925.0,-3015.0,-3093.33333334,-2966.66666667,-2913.33333333,-3556.66666667,-3133.33333333,-3196.66666667,-2788.33333333,-2915.0
190.57,-1406.0,-1102.33333333,-1153.33333333,-1184.66666667,-1188.66666667,-1172.66666667,-1086.0,-1420.66666667,-1182.66666667,-1258.66666667,-1060.0,-1140.33333333
190.95,1879.16666667,1485.41666667,1511.66666667,1580.0,1541.66666667,1556.66666667,1468.33333333,1876.66666667,1553.33333333,1676.66666667,1404.16666667,1572.91666667
191.33,3122.66666667,2512.66666667,2445.33333333,2526.66666667,2541.33333333,2621.33333333,2430.66666667,3158.66666667,2552.0,2782.66666667,2337.33333333,2598.66666667
191.71,1249.04766667,1036.19056667,970.476333333,1045.71413333,1031.90473333,1085.71433333,999.047600001,1275.71433333,1015.23806667,1093.8096,962.380999998,1086.42863333
192.09,-2005.83333333,-1662.91666667,-1495.83333333,-1689.16666667,-1636.66666667,-1754.16666667,-1591.66666667,-2041.66666667,-1569.16666667,-1735.0,-1541.66666667,-1733.33333333
192.47,-789.523666667,-658.253933333,-568.253933333,-665.079266667,-625.396866667,-698.730133333,-623.174533333,-775.238,-598.730066667,-687.619,-612.698333333,-671.428566666
192.85,-819.0,-701.0,-595.333333333,-708.0,-665.666666667,-740.0,-663.333333333,-807.333333333,-616.0,-715.666666667,-644.333333333,-717.666666667
193.23,-2273.3334,-1899.04763333,-1603.80953334,-2003.80953333,-1823.8094,-2069.52373333,-1812.381,-2188.57146667,-1637.14273334,-1978.09533333,-1748.57146667,-1951.90496667
193.61,-1151.42853333,-937.857166667,-820.952333333,-997.142933333,-915.238133333,-1015.23793333,-920.476266666,-1083.8096,-824.285933333,-974.285733333,-865.714466667,-945.952433333
193.99,-909.019733334,-709.607966667,-643.529333333,-782.352999999,-719.6078,-796.470466667,-705.882266667,-835.2942,-639.215866667,-767.450933333,-658.4314,-762.352933333
194.37,-281.768733333,-202.9933,-191.972933333,-239.591933333,-216.0544,-245.170133333,-207.210933333,-255.238066667,-187.074866667,-226.258533333,-184.353866667,-232.448833333
194.75,-240.701866667,-167.075966667,-152.9824,-197.4268,-179.5322,-194.5028,-175.5556,-207.2514,-157.309866667,-181.9884,-148.421066667,-189.239833333
195.13,-132.348466666,-85.6061000001,-79.6969333334,-105.378733333,-95.5302,-99.6212666667,-91.8939333333,-114.166733333,-80.0757333333,-94.6970000001,-74.0151333333,-93.5606999999
195.51,-128.5824,-85.2491000001,-82.8352000001,-109.195466667,-94.5593333333,-97.0881333335,-94.4061999999,-110.728066667,-80.5364666667,-91.2643333333,-71.8006666667,-95.1340666666
195.89,-119.777733333,-75.6295666665,-77.4815333333,-98.0740000001,-85.2591999999,-85.1110666667,-87.9260000001,-101.259266667,-73.6296,-81.6296666667,-63.4814,-82.7037999999
196.27,-96.1728666667,-59.5061666667,-65.7406666667,-74.9999999999,-66.1727333333,-66.7283333333,-69.8765999999,-80.9259333333,-60.6174,-65.6173333333,-45.7408666667,-65.9567999999
196.65,-83.9317333334,-51.738,-62.621,-65.5841333334,-57.4359333333,-57.0370666667,-61.9943333333,-70.1994,-54.1881333333,-55.3846666667,-36.8661333333,-53.2194333333
197.03,-62.5531333334,-36.8558333333,-47.5178,-46.9029333333,-39.8581333333,-40.8983333333,-44.3499333333,-50.1182,-39.5271333333,-38.6761333333,-22.7424,-36.3357333333
197.40,-54.8,-31.8667,-42.2224,-40.7556,-32.8889333333,-35.8222666667,-37.2889333333,-44.9333333333,-35.2888666667,-33.1999333333,-18.3556,-32.5777
197.78,-44.6285333334,-24.8619666667,-35.4989333333,-34.1401333333,-23.8642,-28.2802666667,-27.2611333333,-36.8154666667,-29.0022,-26.412,-10.4883333333,-26.051
198.16,-42.3984,-24.9999666667,-33.9022666667,-33.2114666667,-21.748,-27.5204,-25.7317333333,-35.6505333333,-29.1057333333,-25.6504,-10.2846,-23.1707
198.54,-55.2632,-39.4079333333,-48.0700666667,-44.0349333333,-32.1490666667,-38.9912,-38.5526666667,-48.6842,-40.3948,-37.6754666667,-21.9736666667,-34.8465333333
198.92,-59.5974,-45.3020333333,-54.7202666667,-48.6354666667,-34.8993333333,-46.8008666667,-43.0424666667,-55.2572,-43.8927333333,-41.0738666667,-26.3088666667,-36.2415333334
199.30,-72.6190666667,-60.6904333333,-68.9524,-62.2381333333,-45.6666666667,-64.5713333333,-55.0952666667,-68.1429333333,-58.3332666667,-54.1904666667,-38.8096666667,-49.6904666667
199.68,-66.3944666666,-54.5125,-65.9864666667,-57.415,-42.3582666667,-60.8616666667,-48.0724666667,-63.0838,-54.5579333333,-46.3945333333,-35.2380666667,-42.9933
200.06,-46.5864666667,-39.7791333333,-51.5660666667,-44.2570666666,-29.5983333334,-45.5421333333,-33.2529333333,-46.787,-41.0040666667,-34.2972666667,-22.972,-31.1244333333
200.44,-51.6559333333,-47.7633,-60.8602,-53.8065333333,-36.043,-52.7311333333,-41.0753333333,-52.7312,-48.6020666667,-39.914,-29.5913333333,-39.6774666667
