wavelength,Back_BanArcm,Belly_BanArcm,Breast_BanArcm,Crissum_BanArcm,Crown_BanArcm,DorTail_BanArcm,Patch10_BanArcm,Rump_BanArcm,Throat_BanArcm,WingTip_BanArcm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-31.8181666667,-40.909,-34.091,-16.288,-25.7576666666,-47.3485833333,-42.4241666667,-45.7071944444,-28.7878333334,-31.8181666667
179.16,-20.8333333333,-40.278,-30.5555,-12.5,1.38883333333,-36.8055,-27.7776666666,-35.8796666667,-34.7221666667,-12.5001666667
179.54,-119.0475,-111.904833333,-166.666833333,-103.571416667,-61.9048333333,-167.85725,-104.762,-145.634861112,-159.523666666,-142.857333333
179.93,-125.925833333,-96.2963333333,-103.703666666,-49.9996666667,-114.814666667,-132.407583333,-111.111,-158.641916667,-162.963166667,-135.185166666
180.31,-117.808166667,-120.319666666,-144.292333334,-93.9498333333,-114.840333333,-150.79925,-119.634666666,-145.43375,-143.8355,-136.757833334
180.69,-125.324833333,-128.5715,-150.0,-106.385083334,-121.212166666,-158.116583333,-122.077833333,-154.401194444,-153.030166667,-145.238166667
181.07,-161.827833333,-164.247333333,-191.9355,-135.887333334,-161.290166666,-194.758166667,-150.268833333,-190.143277778,-196.5055,-194.086166666
181.45,-185.875833333,-182.486,-208.757,-153.10725,-187.853,-209.463333334,-166.101666666,-208.521666666,-214.124333333,-217.796833333
181.83,-216.6665,-214.743666667,-235.256333333,-174.359083333,-231.730833333,-238.461583334,-196.474333333,-241.559916666,-250.961666666,-261.858833334
182.21,-220.068166667,-227.551,-254.081666666,-194.387666666,-235.374166667,-239.796166666,-193.5375,-235.827805555,-242.176833334,-274.149666666
182.59,-197.222166667,-199.305666667,-226.041666667,-182.8125,-208.333333333,-202.257,-170.486,-213.946722222,-225.347333333,-257.986
182.97,-121.794833333,-126.410333334,-144.359166667,-120.256666666,-131.025666667,-117.820333334,-97.4358333332,-141.324638889,-145.1285,-174.1025
183.35,-63.4406666666,-66.3081666667,-76.5233333333,-69.7131666666,-69.3546666667,-50.1791666666,-34.2291666667,-73.0584166667,-79.9285,-101.4335
183.73,-36.9443333334,-38.889,-45.1388333333,-44.5833333333,-41.111,-22.4304166667,-9.44433333335,-39.7221944444,-50.9723333334,-67.639
184.11,-22.2223333333,-23.1293333333,-25.3968333334,-26.1904166667,-26.1905,-4.93208333334,0.00033333335,-24.5654166667,-34.2403333334,-46.4855
184.49,-19.2615,-18.2633333333,-18.7625,-17.51525,-21.557,-3.59291666667,0.1993333333,-20.2095277778,-24.551,-36.9263333333
184.87,-16.8626666667,-11.8628333333,-15.1961666667,-12.7450833333,-19.8038333333,2.15675,-2.35299999999,-19.1013888889,-22.255,-34.2156666667
185.25,-11.2053333333,-1.13,-9.32216666665,-10.2166666667,-11.488,8.33325,3.29550000001,-14.1242777778,-19.3031666667,-27.1186666667
185.63,-1.03616666667,9.84466666665,0.172666666666,-3.06558333333,-2.84983333335,15.4145833334,13.1261666667,-6.67816666665,-13.8168333333,-22.1936666667
186.01,2.75066666666,16.0193333333,5.50166666667,0.89025,1.2135,22.33,16.5048333333,-3.15538888887,-7.60516666668,-15.7768333333
186.39,4.382,19.6401666667,10.6416666667,2.9735,3.12983333333,24.2956666666,16.6666666667,-2.42569444446,-9.70283333334,-14.0845
186.77,-3.83966666666,13.6436666666,2.85933333333,-5.67808333333,-6.94433333333,16.95275,8.49650000001,-11.0838611111,-20.5063333333,-24.3463333334
187.15,-11.943,10.7845,-0.624,-13.0125833334,-13.2796666667,13.9483333333,0.980666666665,-16.7853611111,-28.4311666667,-32.9768333334
187.53,-17.027,9.27933333331,-2.88316666666,-14.0993333333,-16.2161666667,12.1621666666,-5.76566666667,-20.6004722222,-33.4235,-38.0178333333
