wavelength,Back_CypHirm,Belly_CypHirm,Breast_CypHirm,Crissum_CypHirm,Crown_CypHirm,DorTail_CypHirm,Patch10_CypHirm,Rump_CypHirm,Throat_CypHirm,WingTip_CypHirm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,58.5186666667,80.7408,105.925866667,76.2964000001,95.5555333334,108.148266667,59.2591333333,109.629666667,74.0742,66.6666
179.16,33.3333333333,7.5,30.8333333333,6.66666666666,13.3333333333,41.6666666667,25.0,57.4999999999,43.3333333333,9.99999999992
179.54,59.9999333333,51.2821333333,58.4615333333,68.2050666667,60.5129333333,77.4358666667,68.7178666667,83.0768666665,83.5897333334,46.6667333333
179.93,33.0,41.3333333333,44.6666666667,47.6666666666,39.6666666667,49.6666666667,67.3333333334,59.0,54.6666666667,47.3333333333
180.31,15.5238666667,15.9048,30.0951333333,42.0952666667,24.5714666667,64.3810000001,58.3809333333,57.4286666666,61.4286666667,39.2379333333
180.69,21.4456666667,24.8193333333,37.0280666667,50.2811333333,31.0039999999,68.2731333333,65.5422,65.7028666667,68.9156666667,43.0521333333
181.07,21.7352,24.2922,31.9634666667,55.8902666667,25.8448000001,73.0592000001,75.5250666666,71.1416000001,81.1872666667,45.5708666667
181.45,21.5872666667,30.5819999999,33.6507333334,66.4549333334,33.2275333333,86.6665333333,88.2540666666,78.5185333333,96.4021333333,59.6825333333
181.83,19.8830666667,34.9707333333,36.7252,78.0116666667,37.1929333333,97.7778000001,98.9473333333,86.0819333333,102.924,68.4210666667
182.21,8.77773333339,25.9999999999,29.1111333333,63.8890666667,26.5555333333,88.6668,76.6665999999,73.1111999999,90.2221333333,59.0001333335
182.59,-4.77773333332,20.1111333333,21.7778,52.6667333333,14.6666666667,82.0,64.3332666666,63.0001333333,78.3333333333,47.6666
182.97,-9.1804,21.7488666667,18.5793333333,46.6666666667,14.8632666667,78.3605333333,61.3115333333,62.8415333333,76.8306666666,41.8579333334
183.35,-0.540466666674,20.1801333333,21.9819333333,33.9639333333,17.7478,63.4232666667,48.0178666667,54.5044666667,66.7567333334,39.6397333333
183.73,7.17960000001,22.5640666667,24.1024666667,32.6495333333,26.5812,63.3332000001,46.4102,58.5469333333,66.8376666667,41.7094
184.11,-4.44460000001,8.35980000002,12.5925333333,25.1853333333,17.3545333333,55.7673333334,35.5555999999,55.3439999999,66.1375333334,27.4072666667
184.49,-2.22226666665,12.7777333333,20.9721333333,34.5834666667,19.8611333334,70.6943999999,46.8055999999,72.2221333334,90.4167333333,37.7777333333
