wavelength,Back_HemXanf,Belly_HemXanf,Breast_HemXanf,Crissum_HemXanf,Crown_HemXanf,DorTail_HemXanf,Rump_HemXanf,Throat_HemXanf,WingTip_HemXanf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,753.333333333,740.000000001,806.666666667,526.666666667,593.333333334,879.999999999,846.666666667,800.000000001,686.666666667
179.16,44.0000000001,-34.6666666668,-10.6666666667,-35.9999999999,-42.6666666666,18.6666666667,4.0,-10.6666666667,-25.3333333333
179.54,99.0476666668,40.0000666666,36.1905333333,23.8095333334,61.9048000001,67.6190666666,60.0000666667,89.5238666667,64.7618666667
179.93,100.0002,90.2564666665,73.8461333333,87.1794,101.025533333,107.179466667,82.0511999999,111.794866667,103.589733333
180.31,-60.4596666667,-30.1149333333,-22.0691333334,-11.9539333334,-12.8734666667,-61.8390666668,-28.2758666667,-41.3792666669,-54.0230000001
180.69,-45.7894666667,-22.6316666666,-9.12286666665,-0.1753333334,-4.56126666674,-44.386,-20.7018666667,-35.2630666666,-32.9824000001
181.07,-9.50613333332,3.95053333326,14.9382666667,20.8641333333,15.9259333333,-7.77766666668,9.75313333334,-3.70379999998,-6.54313333332
181.45,0.52073333334,5.8334,12.8125333333,21.0416,15.6251333333,-0.1042,16.6666666667,1.66666666666,-1.25006666667
181.83,5.58333333332,8.16666666666,7.75000000001,17.3333333333,16.8333333333,2.58333333334,20.4166666667,7.25000000002,4.5
182.21,10.2009333333,12.6104666667,7.22886666666,24.4979333333,24.0963333333,6.42566666667,24.6586666667,17.2691333333,13.4136666667
182.59,16.2352,16.4705333333,9.64693333334,33.2548666667,29.2549333334,11.3725333333,31.6863333333,23.059,20.4705333333
182.97,18.1332666667,11.3778,5.15560000001,36.7999333333,25.4221333333,8.08893333334,32.3556,16.2666,21.5112
183.35,15.4871333333,7.99993333332,-1.33333333333,33.5383333333,16.0,6.76926666667,27.5895333334,9.43586666666,15.2821333333
183.73,20.5032666668,10.1888,-1.50939999999,47.9245333333,25.0314666666,9.93706666668,38.1132666667,20.8805333333,21.0063333333
184.11,12.3404000001,-0.28366666668,-24.5391333333,46.8085333333,17.5886666667,-3.97166666666,34.6100666667,8.79433333326,5.53193333334
184.49,-9.82453333346,-25.0877333334,-74.0350666667,29.8246,-20.8771333333,-32.4562666667,16.6667333333,-12.4562000001,-18.5965333333
184.87,-51.6666666667,-84.3333333333,-200.0,16.6666666667,-87.6666666665,-100.333333333,5.6666666666,-48.6666666667,-80.3333333334
185.25,-40.0,-78.6666666666,-203.0,12.6666666665,-94.3333333331,-90.3333333332,18.6666666667,-39.6666666665,-57.6666666667
185.63,-7.81599999992,-32.1838666668,-123.908066667,23.4482666666,-48.9656000001,-42.2989333333,25.7472,-14.2528666668,-25.7471333333
186.01,6.66666666673,-27.4359333333,-130.512933333,40.2564000001,-54.6152666667,-36.1536666666,19.2307999999,-14.3589333333,-33.0771333333
186.39,7.61893333332,-34.2856666667,-123.571466667,25.4762666667,-61.9047333333,-35.4761333334,5.23806666674,-27.8571333333,-41.905
186.77,-44.8484666666,-145.454533333,-375.7576,-74.5454666666,-265.454466667,-144.8486,-70.3029999999,-138.181866667,-189.091066667
187.15,-250.476133333,-392.380866666,-750.476133333,-319.047733333,-603.809466667,-362.857133333,-303.809466667,-350.476133333,-465.714333333
187.53,-132.121266667,-216.9698,-413.333333333,-158.181866667,-338.787933333,-216.969733333,-137.575733333,-164.8486,-235.757466667
187.91,-56.4912666667,-69.1228666667,-182.105333333,-69.1228666667,-159.6492,-69.8245333334,-30.8772666666,-53.3334,-78.2456666667
