wavelength,Back_TanPrem,Belly_TanPrem,Breast_TanPrem,Crissum_TanPrem,Crown_TanPrem,DorTail_TanPrem,Patch10_TanPrem,Patch11_TanPrem,Rump_TanPrem,Throat_TanPrem,WingTip_TanPrem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,-32.0,-22.0,-14.0,-40.6666666667,-29.3333333333,-33.3333333333,-42.0,-32.6666666667,-19.3333333333,16.6666666667,-2.66666666667
179.54,-213.333333333,-356.666666667,-306.666666667,-336.666666667,-590.0,-380.0,-433.333333333,-343.333333333,-436.666666667,-450.0,-413.333333333
179.93,-76.0,-12.0,16.0000000001,-18.6666666666,-8.0,-10.6666666666,-78.6666666666,3.99999999992,-17.3333333333,-51.9999999999,-41.3333333335
180.31,209.885,221.379466667,196.091933333,228.5058,284.5976,216.781666667,283.908,222.758733333,221.609066667,239.310266667,233.5632
180.69,201.5686,220.588333333,186.274533333,219.215666667,265.098066667,205.490266667,262.941133333,213.725466667,212.353066667,227.647066667,225.490133333
181.07,184.920733333,205.079333333,168.7302,199.364933333,231.111066667,185.079266667,227.3016,190.158866667,197.3016,205.079466666,201.746
181.45,157.660866667,172.280733333,153.9182,172.280733333,197.309933333,161.1696,192.7486,164.2106,173.099466667,180.5848,178.0118
181.83,152.397733333,162.924,146.783666667,164.912266667,186.7836,152.280733333,183.391933333,158.128533333,163.976666667,169.7076,170.2924
182.21,133.9582,144.999866667,135.520666667,149.1666,172.291733333,136.354,165.937533333,147.3958,147.2916,153.437466667,156.770666667
182.59,120.706933333,128.686933333,117.6768,126.060466667,158.282866667,122.626333333,153.737333333,142.5252,131.8182,139.393866667,149.393933333
182.97,117.627,133.107266667,115.593133333,122.598933333,164.632866667,124.067866667,154.5762,138.6442,135.932266667,142.599066667,149.604533333
183.35,109.666733333,126.444466666,105.333133333,115.888866667,156.666533333,122.777866667,146.222266667,132.888866667,126.5556,129.444466667,143.777733333
183.73,111.6666,148.787933333,122.575866667,133.485,179.393933333,154.545533333,176.212133333,158.1818,151.666733333,152.7272,179.848333333
184.11,288.718,388.717933333,292.3078,312.307666667,506.1538,405.128266667,471.794933333,422.051133334,369.743666667,355.8974,478.974333333
184.49,-153.75,-219.583333333,-162.5,-157.5,-293.75,-220.0,-279.166666667,-230.833333333,-177.083333333,-201.25,-290.416666667
184.87,-87.5863333335,-97.4713333333,-87.3564666667,-77.2413333333,-153.563133333,-122.069066667,-153.5632,-127.126466667,-91.2644666667,-94.4827999999,-153.103466667
185.25,-70.1666666667,-85.0000000001,-68.3333333333,-61.8333333333,-117.5,-107.0,-125.833333333,-103.333333333,-68.8333333333,-80.3333333334,-127.0
185.63,-4.18073333333,-22.2598666667,3.61579999998,5.87573333333,-32.2034666667,-28.7004666667,-38.9832,-28.3614666667,0.451933333346,-14.2373333333,-46.5538
