wavelength,Back_EmbPlam,Belly_EmbPlam,Breast_EmbPlam,Crissum_EmbPlam,Crown_EmbPlam,DorTail_EmbPlam,Patch10_EmbPlam,Patch11_EmbPlam,Rump_EmbPlam,Throat_EmbPlam,WingTip_EmbPlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,112.857266667,111.9048,106.1904,119.0476,119.523866666,125.238,119.0476,110.4762,117.619133333,130.9524,135.7142
179.54,76.1905333335,90.4762,83.8096,140.000066667,76.1906000001,79.0476666667,141.904733333,93.3333333334,73.3332666666,107.619,76.6668
179.93,28.4444,24.0000666667,27.5556666667,48.4446,23.5555333333,32.4445333333,36.4445333333,20.4445333333,7.11113333334,45.7777333333,21.1111
180.31,52.5386666667,46.4898666666,43.6204666667,61.8983333333,50.1104,47.9470666666,55.4966666667,45.3421333334,42.1194,61.7218666667,56.3797
180.69,54.5708666667,49.461,45.7884666667,62.7544666667,51.4172,49.8204,56.6467333333,46.8664,45.509,62.1157333334,58.2834666667
181.07,50.366,44.4700666666,42.8901333333,60.5394666667,48.2466666667,46.1272,51.2909333333,40.8476,43.0828666667,54.8747333333,53.9691
181.45,45.8384666667,39.5032,39.5445333333,58.0538,42.8570666667,39.8758,46.5011333333,36.0246,36.4389333333,49.4823333333,48.8197666667
181.83,46.9135333333,38.2716,40.5350666667,55.8025333333,42.3044666667,39.6708666666,45.1851333333,36.0081333333,36.3786,48.9710666667,50.1440333333
182.21,52.9166666667,42.2083333333,43.125,59.0833333333,47.1666666667,42.6666666667,50.7916666667,40.875,42.6666666666,52.875,55.8541666667
182.59,48.4540666667,37.2464,37.2947333333,54.9276666667,42.6087333334,36.1353333333,43.8646666667,34.831,34.9757333333,49.0337333333,52.0772
182.97,50.6869333333,42.7481333333,43.0026,60.5088666667,45.3435333333,38.0151333333,43.766,36.9466,37.3028,51.7558,54.3256999999
183.35,49.6552666667,41.0345333333,39.7125333333,58.3906666667,39.8851333334,32.8160666667,40.8046666667,34.8274666667,33.9656,49.6551333333,49.5402
183.73,49.5414,42.8134666667,38.7155333333,58.5932666667,34.4953333333,32.8440666667,41.2231333333,37.1864666667,35.3518,48.9297333333,50.2445333333
184.11,46.7226,41.8487333333,38.7113333333,56.5265333333,34.0056,33.3334666667,38.5434666667,37.9271333333,32.661,45.7142,49.9158333334
184.49,48.6666,45.3888666667,41.6665333333,55.6665333333,38.2224,38.3889333333,42.8888,40.6110666667,36.4444,48.4443333333,50.3887666667
184.87,37.037,32.963,32.5308,44.6297333333,28.7654,26.5431333333,34.1974666667,28.6419333333,23.4567333333,38.8889333333,37.0371333334
185.25,32.8022666667,30.9734,31.6225333333,40.885,24.5428,22.5368666667,31.9763333333,28.6135333333,18.4660666667,35.9881333333,30.8259666667
