wavelength,Back_SalMamf,Belly_SalMamf,Breast_SalMamf,Crissum_SalMamf,Crown_SalMamf,DorTail_SalMamf,Patch10_SalMamf,Patch11_SalMamf,Patch12_SalMamf,Rump_SalMamf,Throat_SalMamf,WingTip_SalMamf
197.40,-329.166666667,92.5000000001,-41.6666666667,-300.000000001,-381.666666666,-80.4166666667,-224.166666667,-198.333333333,24.1666666666,-336.944444444,-215.0,-373.333333333
197.78,-75.5556000001,82.2222666667,7.3016666666,-71.1111333332,-108.253866667,8.88890000007,-61.9048666666,-48.2539999999,47.619,-90.8994888888,-45.7143333333,-96.1905333335
198.16,-84.8148666668,83.7037333334,-4.44446666668,-86.2962666667,-119.2592,1.1111666666,-85.1852,-68.5185333334,35.1852000001,-113.456903704,-62.2222666666,-122.962933333
198.54,-71.0000000001,61.9999999999,4.99999999992,-68.3333333334,-105.666666667,6.83333333334,-78.0000000001,-73.3333333333,12.6666666667,-112.481481481,-51.6666666667,-121.0
198.92,-1693.33333333,853.333333333,-293.333333333,-1933.33333333,-2573.33333333,-96.6666666662,-1920.0,-2006.66666667,-186.666666667,-2888.14814815,-1546.66666667,-3106.66666667
199.30,496.0,-18.6666666667,221.333333333,517.333333333,698.666666667,178.666666667,485.333333333,549.333333333,213.333333333,710.518518518,426.666666667,780.000000001
199.68,1088.88886667,168.888933333,622.2222,1031.11106667,1386.66666667,472.222299999,975.555466666,1146.66666667,622.2222,1468.395,959.999933333,1475.5556
200.06,269.3334,82.6667333335,184.0,265.777733333,332.4444,169.333433333,246.222266667,295.5556,175.5556,366.321037037,272.4444,357.7778
200.44,169.697,37.5758,91.2121333334,156.969666666,214.848466667,105.606,149.696866667,193.3334,103.333466667,247.87877037,161.515,223.939266667
200.82,127.8094,41.143,68.7619333335,113.142733333,144.000066667,79.7142333334,108.381066666,136.7618,80.5715333333,176.65622963,121.523866667,149.333266667
201.19,101.739133333,40.0,59.5651333334,90.8695333334,102.608666667,65.4348000001,84.7824,108.9856,62.7536666667,140.627962963,102.4638,119.4204
201.57,103.954866667,56.2712,68.7005333334,96.0452,104.971866667,78.8699000001,92.8812666668,110.847533333,72.4292666667,136.559948148,102.937933333,121.920933333
201.95,104.504533333,68.1080000001,73.0629999999,98.1979999999,109.369333333,86.8916999999,93.5135333333,106.8468,80.9908666667,129.609614815,102.072266667,123.153133333
202.33,98.2051333335,61.1966,67.2649333333,91.282,101.1966,81.7094666667,87.0941333334,100.341866667,74.7862,122.022770371,91.2821333333,115.897533333
202.71,99.3415333334,62.5513333333,70.2881333333,88.9712666666,97.9422666666,81.8518333335,85.0204666666,97.8602,70.4528,119.89942963,88.6419333335,108.312733333
203.09,109.639533333,70.1801999999,73.9638666667,90.4505333334,105.1352,91.0810333333,89.7297999999,102.4324,74.5045333333,126.276318519,91.2611999999,112.792866667
203.47,134.5354,86.011,86.8853333332,106.776,127.2132,110.491933333,106.9946,125.5738,87.9779333333,149.471674074,112.459,134.535466667
203.85,129.0196,83.9217333333,82.3529333333,101.0786,116.568533333,107.990266667,102.941133333,115.686333333,84.9019333334,131.949822222,105.980266667,125.098
204.22,133.5384,84.2050666667,81.4359333335,103.384666667,118.359,107.3846,102.974466667,116.1026,84.9231999999,128.877651852,102.051266667,131.179533333
204.60,132.533266667,86.9334666665,86.3999999999,106.844533333,118.666666667,113.644533333,104.711133333,115.644466667,92.4444,124.009911111,106.400133333,129.955466667
204.98,140.397933333,85.7712000001,88.6567999999,112.935266667,126.865733333,126.5175,109.850733333,122.686466667,95.0248666668,127.551237037,110.348133333,139.0048
205.36,164.5556,100.7778,102.6666,135.555533333,153.888933333,153.777733333,127.888933333,145.888866667,120.0,145.543237037,129.111133333,157.000066667
205.74,233.143,134.0952,128.952333333,184.190466667,215.4286,219.714366667,163.428466667,199.619133333,166.285733333,194.07402963,176.380933333,216.190666667
206.12,205.3968,129.365133333,119.682533334,169.523866667,182.063466667,195.158733333,139.365133333,180.635066667,149.047533333,172.486644445,161.904733333,197.142933333
206.50,206.5306,142.721266667,135.238,179.183666667,187.2108,202.2449,150.067933333,179.455733333,157.1428,175.90322963,165.4422,201.3606
206.87,221.9698,155.7576,142.878733333,196.666733333,205.909066667,228.409066667,168.787866667,193.9396,176.515066667,194.764377778,186.060666667,220.302866667
207.25,199.722266667,149.027733333,137.361133334,184.027733333,191.388933333,221.458466667,158.055466667,180.5556,164.3056,186.944466667,181.388933333,204.027733333
207.63,191.773,150.922,134.326266667,186.383066667,191.489333333,226.312233333,161.418466667,183.120666667,161.1346,189.077962963,190.780266667,199.858133333
208.01,228.5714,189.1428,158.6666,230.095266667,242.285666667,285.047466667,195.238066667,230.4762,199.428533333,241.608466666,242.476133333,249.523933333
208.39,233.333266667,199.2594,169.074066667,231.666533333,250.740733333,294.351833333,201.666666667,237.7776,206.110933333,248.024703704,248.3334,248.888866666
208.77,363.666666667,310.333333333,254.666666667,364.0,407.666666666,483.333333333,304.333333333,379.333333333,320.0,396.444444445,390.666666667,408.0
209.14,338.260866667,306.956466667,251.0146,340.869533333,379.130466667,434.637666667,287.246333333,367.2464,304.3478,367.439711111,365.507266667,382.898666667
209.52,328.888866667,300.0,251.388866667,310.833266667,364.166666667,402.500033333,268.0556,348.0554,288.888866667,350.092622222,353.055533333,384.166533333
209.90,264.1904,236.000066667,212.190533333,246.666733333,290.666666667,304.095266667,220.952466667,277.523666667,234.0952,275.492103704,281.142866667,302.857133333
210.28,226.1538,194.358866667,183.076933333,202.3932,248.375933333,254.273633333,194.529933333,235.897466667,196.239333333,238.784459259,249.5728,243.589733333
210.66,222.020333333,193.737333334,182.626266667,195.959666667,260.000066667,255.555533333,190.101066667,247.4748,189.090866667,259.124562963,265.858533333,238.384
211.03,197.657666667,171.7118,164.1442,172.9728,228.108066667,217.8379,162.162066667,215.675666667,164.504533333,224.644696296,234.053933333,212.072133333
211.41,197.657533334,153.874,154.414466667,164.504533334,216.2162,198.378366667,158.3782,203.2432,156.3964,216.596533334,219.2794,203.964066666
211.79,168.992333334,122.325533333,129.6124,135.038666667,172.8682,160.6977,122.480533333,159.535,132.403133333,180.706325926,177.519466667,175.1938
212.17,128.805,91.0690666668,102.264266667,100.125866667,135.974733333,127.2326,97.3584666665,117.8616,96.1005999999,142.459844445,133.333266667,135.4718
212.55,138.775666667,103.5374,111.020466667,103.5376,146.666666667,138.9796,108.299266667,125.9864,105.170266667,154.935703704,148.571466667,144.6258
212.92,144.666666667,110.8,115.466666667,99.8666666667,141.333333333,139.066666667,116.933333333,127.066666667,108.533333333,158.844444445,155.2,142.4
213.30,140.897466667,105.512933333,103.205133333,88.9743333333,130.128266667,135.256533333,113.589733333,116.282,108.974466667,150.982918519,149.615266667,137.9486
213.68,129.280866667,90.4574666665,87.5816666667,79.2155999999,118.823466667,130.0654,109.803933333,107.3202,92.1568666666,142.425511111,141.176333333,130.8496
214.06,103.794866667,72.9231333334,69.5383999999,66.4616,96.1026666666,107.4359,93.1281333334,91.7947333335,73.8462,116.888807407,113.3332,111.692266667
214.44,114.516,79.8925333333,73.4408000001,74.3009333333,105.806466667,113.602066667,99.9999999999,97.2044000001,83.6558666667,121.541244444,116.236533333,125.376266667
214.81,133.3334,94.9424666666,80.5747333334,87.2412666665,122.5288,129.023066667,114.597733333,114.138,99.7700666666,134.112377778,133.9082,140.5746
215.19,169.583466667,124.722266667,107.916533333,115.416733333,158.472266666,167.7778,148.75,152.361066667,131.249933333,173.580259259,175.2778,177.0832
215.57,199.682466667,159.047666667,140.4762,150.952466667,195.238,203.9683,181.746066667,188.730066667,159.365,203.26277037,216.8254,216.031733333
215.95,255.3536,207.474733333,177.777866667,192.727266667,253.333333333,267.4748,248.484866666,245.656666667,208.686866667,262.918125926,277.9798,279.596066667
216.32,279.166666667,241.041666667,198.333333333,221.458333333,272.708333333,288.229166667,277.083333333,277.916666667,235.0,277.800925926,308.75,306.666666667
216.70,210.0,189.047533333,153.1746,178.0952,210.000066667,218.095133333,212.8572,211.904733333,176.508133333,208.624274074,234.285733333,237.142866667
217.08,188.5926,167.851933333,140.5926,169.481466667,197.777866667,194.8889,197.4816,191.407466667,159.703666667,189.135866667,208.148133333,216.592533333
217.46,186.087,162.4638,147.971133333,173.333266667,204.782533333,193.6956,198.9856,190.144866667,154.782733333,193.011259259,200.724666667,220.289933333
217.83,178.300666666,162.352866667,142.352933333,167.189533333,193.0718,184.9673,185.621,177.777666667,152.287733333,183.500288889,186.666666667,203.7908
218.21,183.472266667,164.861066667,144.444466667,175.2778,196.527866667,192.291666667,187.3612,174.166733333,148.4722,185.70982963,185.5556,200.5556
218.59,192.8572,183.0158,161.745933333,199.2064,213.968266667,214.126866666,203.8096,192.698533333,160.476133333,202.839481481,206.190466667,215.555533333
218.97,203.333333333,198.333333333,184.791666667,221.875,235.416666667,240.833333333,224.375,213.541666667,172.083333333,223.888888889,230.0,246.458333333
219.34,195.053666667,196.129066667,185.3762,212.043,236.774133333,235.483933333,224.516133333,211.1828,173.1182,230.824377778,221.9354,250.322666667
219.72,198.889,193.111066667,178.6666,209.333333333,241.777733333,238.7777,225.7778,212.222266667,174.666666667,236.543162963,211.111066667,253.333266667
220.10,154.017066667,151.794866667,145.982933334,162.906,190.2564,185.641066667,167.5214,168.376,135.5556,183.722592593,165.470066667,192.6494
220.47,161.372533334,152.745133333,154.706,168.0392,199.215666667,198.039333333,167.647133333,185.882266667,147.451133333,196.013037037,174.1178,200.1962
220.85,2126.66666667,1816.66666667,1996.66666667,2156.66666667,2633.33333333,2550.0,2250.0,2630.0,1986.66666667,2850.74074074,2270.0,2726.66666667
221.23,-2.94269293834e+15,-2.5332747904e+15,-2.81901453948e+15,-2.95122248309e+15,-3.45446562327e+15,-3.28813950066e+15,-3.02798838583e+15,-3.75726446185e+15,-2.90430998697e+15,-4.02168034906e+15,-3.29666904541e+15,-3.77858832372e+15
221.61,-596.190466667,-501.9048,-564.761933333,-600.952333333,-660.9524,-632.8572,-599.0476,-749.5238,-606.666666667,-825.185303704,-743.8096,-719.047466666
221.98,-196.0,-146.0,-184.333333333,-186.666666667,-217.666666667,-206.833333333,-202.0,-259.333333333,-195.666666667,-274.740740741,-242.0,-231.666666667
222.36,-119.583333333,-84.1666666667,-103.958333333,-98.1250000001,-126.041666667,-120.729166667,-122.5,-153.958333333,-121.041666667,-170.925925926,-152.916666667,-145.625
222.74,-103.492066667,-66.5078,-86.8254000001,-70.6349333334,-95.5555999999,-99.2064000001,-100.000066667,-121.428533333,-97.7777333333,-135.30857037,-121.428533333,-120.634933333
223.11,-142.222066667,-89.9146666667,-105.983,-93.3332666666,-119.829066667,-120.6838,-129.9146,-147.1794,-127.5214,-159.94297037,-145.469866667,-147.008533333
223.49,-164.571466667,-96.9524666666,-112.0,-105.714333333,-125.714266667,-137.142966667,-141.333333333,-162.285733334,-139.047733333,-165.460303704,-162.2856,-157.523933333
223.87,-254.871733333,-154.8718,-184.358933333,-175.641,-186.153933333,-207.692366667,-218.717933334,-247.948666666,-217.4358,-249.259251852,-263.077,-223.076933333
224.24,-141.3008,-75.6096666667,-91.2195999998,-88.9431333334,-96.7479999998,-104.1464,-110.894333333,-128.4552,-117.235666667,-128.798592592,-139.674733333,-118.699333333
224.62,-147.301666667,-69.2064000001,-87.3014666667,-88.7300666666,-102.381,-100.158766667,-111.269666667,-119.523733333,-112.2222,-132.381,-131.269733333,-124.603133333
225.00,-209.032266667,-102.365533333,-123.225733333,-131.827866667,-149.247266667,-157.849333333,-154.623666667,-166.0216,-151.827866667,-183.034533333,-184.9462,-186.666666667
225.38,-132.608666667,-66.2319333334,-77.1014666666,-78.9855999999,-94.4928666668,-107.1016,-97.1014666665,-106.521733333,-88.8406,-110.289911111,-111.3044,-122.463866667
225.75,-93.0106666667,-50.5375333333,-54.9462,-50.8601333333,-68.0645333333,-75.5914333333,-67.0967333334,-71.3977333333,-60.9677333333,-75.495837037,-72.5808,-85.8064666667
226.13,-83.9801333334,-52.6368,-58.2089333333,-52.7361333333,-68.6567333333,-71.7412666667,-63.7812666667,-65.8706,-56.4178,-75.4892888888,-69.8507333333,-81.2937333334
226.51,-58.9029333333,-37.7214666666,-44.3882666667,-37.0463333333,-50.7173333333,-49.4936333333,-45.6540666667,-47.9324666667,-40.1688666667,-55.5085185185,-47.595,-55.7807333333
226.88,-40.2041333333,-27.2789333333,-27.8912666667,-24.2857333334,-41.0884666667,-32.8571666667,-32.789,-35.4420666667,-27.0067333333,-43.6054148148,-31.2925333333,-37.4150666667
