wavelength,Back_ThlFulf,Belly_ThlFulf,Breast_ThlFulf,Crissum_ThlFulf,Crown_ThlFulf,DorTail_ThlFulf,Rump_ThlFulf,Throat_ThlFulf,WingTip_ThlFulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,6.34933333333,76.1905555554,109.524,60.3173333334,119.047555556,118.253944445,136.508022222,102.381,80.9523333333
179.16,-285.185222222,-129.629777778,-144.444444444,-200.000111111,-166.666666667,-242.5925,-117.4075,-233.333166667,-129.629555555
179.54,-116.666777778,-79.6297777778,-79.6296666667,-133.333444444,-107.407444445,-168.518611111,-69.6296444444,-108.333166667,-92.5926666666
179.93,58.7302222222,79.3652222222,106.349444445,73.0156666667,95.238111111,107.9365,90.3175444445,69.0476666669,44.4443333333
180.31,29.6935555556,53.8315555555,76.8196666668,16.092,53.6398888889,54.6933888889,71.4558444445,40.8045,52.6817777778
180.69,28.4513333333,45.6231111111,69.5285555556,10.4377777778,45.6227777778,51.0943888889,67.9293666667,34.8485,51.8515555555
181.07,33.8382222222,35.017,62.6262222222,-0.673444444433,36.8685555555,41.5824444446,56.8013222222,22.9798333334,39.5623333333
181.45,46.8797777778,42.1614444444,65.601,7.30588888889,47.6408888889,54.1857777779,62.4809555556,34.7031666666,38.0516666667
181.83,54.522,48.3205555556,67.0541111111,20.2842222222,54.6511111111,68.2816666667,62.8163888889,44.186,41.3435555556
182.21,49.9416666667,42.924,56.7253333333,13.6842222222,49.4736666666,59.7074999999,58.6432777778,38.5965,36.3744444444
182.59,31.0135555556,28.0828888889,36.0196666667,-4.39566666667,32.8451111111,47.1305555556,46.0805888889,25.8241666667,21.6116666667
182.97,25.0935555555,21.0987777778,27.3408888889,-15.231,28.714,41.6353888889,40.4743888889,19.1011666667,13.7327777778
183.35,19.8005555556,15.6694444444,15.3845555555,-28.4898888889,22.9346666667,41.0968333333,36.2820333333,16.8803333333,-1.13944444443
183.73,-8.20522222222,-22.3932222222,-13.5042222222,-66.3246666667,-1.53844444446,16.4956666667,11.1622777778,-4.35883333335,-37.9488888889
184.11,-3.19866666666,-21.3804444444,-12.6261111111,-57.9123333333,-4.37699999998,15.8248333333,14.0739777778,1.01033333335,-38.0471111111
184.49,7.87044444446,-24.3826666667,-11.8825555556,-44.29,6.94455555557,20.8332777778,21.6357333333,15.9721666667,-26.8517777778
184.87,4.4062222222,-30.2682222222,-23.3717777778,-55.1724444445,13.0268888889,29.3106666667,19.6551777778,27.0115,-35.8238888889
185.25,-6.70844444443,-35.4297777778,-30.8173333333,-59.1194444445,7.33777777777,32.5993888889,18.4696555556,40.2518333333,-40.4612222222
185.63,19.883,-4.67833333333,-4.87311111123,-26.3156666667,26.9005555556,55.458,43.0408333333,62.2808333331,-1.94944444447
186.01,39.5833333333,-14.5833333333,-16.6666666666,-52.4305555557,50.3472222222,98.9583333333,75.2083333334,117.1875,10.7638888889
