wavelength,Back_DigMysf,Belly_DigMysf,Breast_DigMysf,Crissum_DigMysf,Crown_DigMysf,DorTail_DigMysf,Patch10_DigMysf,Patch11_DigMysf,Patch12_DigMysf,Rump_DigMysf,Throat_DigMysf,WingTip_DigMysf
200.44,237.948666666,224.6154,261.025733333,223.692266666,226.871866667,202.2564,221.5384,249.025533333,248.307733333,250.906096296,227.6924,241.640933333
200.82,309.22,280.2836,339.999933333,286.383,287.234066667,259.7164,289.077933333,322.411266667,320.070966667,319.921259259,298.723233333,316.7376
201.19,307.801466667,272.0566,333.475266667,278.0142,284.255333333,249.787133333,280.567466667,314.751666667,312.978766667,309.282859259,293.4753,310.780266667
201.57,336.4342,298.4496,365.581466667,299.845,316.744266667,271.162866667,307.752,345.5814,348.372233333,328.544392593,325.348866666,333.953466667
201.95,474.1024,422.051333333,540.512733333,423.589866667,434.6154,364.871866666,443.333333333,492.307533334,487.563966667,469.088281482,462.435866667,470.512666667
202.33,941.818066665,824.848666666,1105.45453333,827.878866666,796.363799999,675.151533333,889.696866667,983.030400001,947.575766667,945.319911113,944.545433333,944.848600001
202.71,838.181733333,746.0606,1032.7272,726.060666667,679.394066667,590.303066667,803.636400001,890.909133333,817.5757,840.606059258,849.696933333,856.969666665
203.09,560.416666667,492.916666667,688.333333333,479.166666667,443.75,385.0,544.166666667,592.083333333,528.125,562.5,585.416666667,583.749999999
203.47,254.414466666,212.2522,295.135133333,218.919066666,190.630666667,180.180066667,247.387466667,267.747666667,230.0001,248.768814815,260.810766667,259.0992
203.85,189.5454,161.060666667,225.606066667,166.363666667,136.818266667,140.1514,193.030266667,206.0606,172.575766667,184.006837037,197.424233333,195.000133333
204.22,156.729666667,134.213666667,179.748333333,140.629,107.5472,112.7044,157.735866667,165.7864,138.301866667,142.361977778,163.962233333,159.7484
204.60,151.9728,134.966,174.966066667,136.326533333,102.312866667,116.0544,156.462533333,167.3468,135.8503,133.333155555,162.585133333,157.1428
204.98,128.599,116.425066667,140.966066667,115.845266667,90.5314666668,98.5508,130.7246,137.2946,111.449233333,117.412711111,128.2608,130.5314
205.36,102.247066667,96.7040666666,114.082333333,98.8764666665,76.3295333332,84.794,108.164866667,113.557933333,90.1123333334,99.5756592593,103.820333333,108.389466667
205.74,91.3475333333,87.0922666668,105.815666667,90.2128,67.5885999999,77.1631333333,97.3758000001,98.6523999999,79.3616666667,90.6619555555,91.7021333333,102.340266667
206.12,78.5184666668,72.4578666666,90.6397333333,75.7573999999,56.2963333333,66.0605999999,83.3669999999,83.9057333333,66.5992999999,75.3684888889,74.6465333334,84.7137999999
206.50,77.8217333333,69.1089333332,88.8448666665,71.0892,53.1352666667,67.3267333334,81.5183333333,81.0560666666,65.7426333334,70.6344296296,68.3828,79.0098666667
206.87,82.4823333335,72.1985333333,91.9858,71.773,59.1490000001,69.7872666666,85.2482666666,86.2409999999,70.6738333333,73.6406296297,69.1135333334,81.6312666668
207.25,77.5178000001,63.1205333333,84.9646666667,64.5390666667,52.0567333333,61.7730666667,78.2269333333,81.3474666667,62.0921333333,64.8777925925,58.2624000001,71.9858000001
207.63,80.9090666667,61.5909333333,86.0605333333,61.8181333333,50.3029333333,56.3636666667,78.1059999999,80.5302,59.6212666667,59.5706962963,59.3181,69.3181333333
208.01,86.2650666668,60.8032,86.3454000001,65.2208666667,52.0482666667,51.8071999999,80.4818666667,85.3814000001,61.2048000001,58.8932592593,62.3694666667,68.9157333334
208.39,92.6666666665,61.7777333333,95.8890000001,67.4444666667,48.8888666667,48.2221333334,87.2222666667,94.1111333335,60.0554666667,65.8025629631,62.6665333333,74.5555333335
208.77,101.182866667,67.6344666668,101.935333333,71.1828666666,47.9568666666,44.5159999999,92.2580000001,96.3440666667,60.0001333333,75.3763925925,65.3762666666,81.0752666667
209.14,105.3572,71.4284000001,107.261866667,75.4761333333,45.9523999999,48.4524666665,90.9523333333,103.3334,65.2381333334,74.9734888889,70.9523333335,88.6904
209.52,128.1482,85.3333999999,133.629666667,88.1480666668,51.2593333333,59.7037333333,107.259266667,127.7038,73.0369999999,89.8600518519,93.1853,110.074
209.90,140.5926,99.7037333333,142.6666,100.592666667,60.148,71.7038666668,122.963,145.185133333,92.1482333333,103.835325926,107.407466667,122.963133333
210.28,113.948533333,79.2821333335,110.461466667,82.2564,57.5384666667,61.1281333333,99.4873333334,119.4872,79.1281333334,84.4444148149,94.8205333333,104.615333333
210.66,119.687533333,83.7499333333,111.3544,84.5833333334,69.8959333333,63.8540666666,102.604133333,128.3334,85.6770999999,86.6087999999,103.229233333,115.625133333
211.03,112.935266667,74.4279333333,97.7115999999,78.8059333333,61.7911333333,56.1192666666,91.2437999999,114.129266667,81.5423000001,75.6439703704,100.099466667,105.771266667
211.41,112.9168,77.4998666666,97.5,82.7082666666,59.5833333333,53.7500666666,90.0000000001,110.520666667,83.2812000001,74.9767555555,102.135366667,106.666666667
211.79,112.568266667,82.5135333331,99.9999333333,91.4754666667,63.9343333333,60.5464666666,96.8306000001,111.693866667,86.8851333333,80.1943407408,107.8142,108.1966
212.17,118.181866667,85.2120666668,106.181933333,95.1514666667,66.4243333333,67.0303999999,99.1515333333,112.9698,88.9695666667,75.9056074074,117.4546,117.818333333
