wavelength,Back_CamHelf,Belly_CamHelf,Breast_CamHelf,Crissum_CamHelf,Crown_CamHelf,DorTail_CamHelf,Rump_CamHelf,Throat_CamHelf,WingTip_CamHelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,156.666666667,145.0,139.166666666,124.166666667,191.666666667,144.551282051,61.6666666667,99.1666666667,202.173913044
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,123.636333333,73.9393999999,97.8787000001,114.5454,129.697066667,49.463874359,95.1515333333,85.1516666667,159.314765217
179.93,50.0,170.0,71.6666666667,36.6666666667,66.6666666667,156.794871795,84.1666666667,92.4999999999,1.08695652173
180.31,-120.666666667,-26.6666666666,-135.166666667,-109.833333333,-180.0,15.2820512821,-38.1666666667,-20.5,-182.579710145
180.69,-69.6,4.2666666666,-78.4000000001,-62.1333333333,-121.333333333,58.4307692308,0.40000000006,29.2000000001,-107.373913044
181.07,-5.42640000001,34.5735333333,-6.89913333326,-5.73643333333,-29.3022666667,76.6963820513,30.9303000001,44.9611333333,-28.3517101449
181.45,-27.2340666667,10.4965333334,-17.3051333334,-23.6170333333,-42.8370666667,50.4037410256,10.9219666666,26.8793333333,-47.8323072464
181.83,0.555533333314,21.8888666666,6.66653333334,1.72220000001,-10.2222,51.2819666667,30.2778000001,44.6110333333,-9.83576811593
182.21,-7.61920000001,3.17453333332,-4.60326666666,-3.59783333334,-19.365,32.9384974359,24.3387333333,36.4020333333,-18.1827739131
182.59,-6.78353333331,1.8712666668,0.23373333332,0.877233333326,-18.0116666667,36.0773641026,29.7660666666,40.2339333334,-26.5955217391
182.97,5.31659999999,8.18553333335,9.1139,8.69200000001,-2.44719999998,32.7427,34.0084666667,42.9112333333,-5.51455942029
183.35,14.6987333333,11.968,19.5181333333,14.8192666667,2.8112,38.4183230769,35.1405333333,47.1084,4.5364115942
