wavelength,Back_TanVasm,Belly_TanVasm,Breast_TanVasm,Crissum_TanVasm,Crown_TanVasm,DorTail_TanVasm,Patch10_TanVasm,Patch11_TanVasm,Rump_TanVasm,Throat_TanVasm,WingTip_TanVasm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-77.2840148148,-57.7778333333,-36.1111333333,-17.7776666667,-84.4445333334,-53.3332666667,-84.4444666665,-83.3333999999,-72.7778,-101.111066667,-88.1480555555
179.16,197.654281481,212.2223,198.888833333,152.222333333,192.222266667,228.8888,207.777866667,209.999933333,191.296211111,265.555666667,223.703677778
179.54,-343.456822222,-276.666466667,-319.999966667,-237.777666667,-246.666666667,-288.888866667,-248.888933333,-368.889,-308.518477778,-304.4444,-311.111111111
179.93,1188.14814815,1026.66666667,1150.0,686.666666667,980.0,1040.0,1006.66666667,1220.0,972.222222222,1193.33333333,1130.0
180.31,-385.596740741,-365.5555,-335.802433333,-255.555533333,-335.555533333,-349.135933333,-341.728466666,-379.753066667,-342.674811111,-438.765533333,-390.699433333
180.69,-252.874666667,-240.396966667,-224.5238,-169.523666667,-221.746066667,-231.269933333,-222.381066667,-253.809533333,-223.862422222,-293.968133333,-258.888877778
181.07,-246.649814815,-233.484766667,-227.954666667,-171.2122,-211.363733333,-230.757533334,-213.030266667,-250.757533333,-224.722222222,-283.6364,-252.676833333
181.45,-186.736377778,-175.5974,-169.622533333,-125.283,-156.855333333,-167.673,-155.723133334,-187.672933333,-166.981333333,-218.742133333,-192.473766667
181.83,-124.893422222,-120.757733333,-115.7577,-82.2221999999,-111.6162,-116.868666667,-113.3334,-132.727266667,-113.720433333,-160.808133333,-135.101044444
182.21,-133.168725926,-130.793766667,-121.3757,-93.3332666667,-123.2806,-124.973533333,-123.809533333,-145.1852,-124.038811111,-169.523866667,-148.042344445
182.59,-148.318333333,-146.120166667,-132.131166667,-108.524533333,-135.846933333,-141.858,-137.486266667,-159.235066667,-134.7724,-183.9346,-167.850766667
182.97,-178.605659259,-180.392233333,-162.0261,-141.568533333,-171.111133333,-173.856266667,-170.719133333,-196.339866667,-167.124166667,-224.967266667,-206.230855555
183.35,-187.15477037,-188.257733333,-174.242666667,-157.5756,-185.000066667,-184.696933334,-182.424266667,-217.727333333,-182.298,-248.181933333,-221.363522222
183.73,-149.94482963,-156.028333333,-151.063933333,-138.297933333,-160.000133333,-152.624,-162.8368,-184.397,-154.255311111,-220.992866667,-188.486933333
184.11,-132.351511111,-140.8526,-140.620066667,-130.6976,-151.007733333,-145.4264,-157.209266667,-182.790733333,-147.674411111,-216.744333333,-174.935533333
184.49,-98.8360074073,-98.4126,-114.3652,-103.6508,-121.428533333,-116.825333333,-132.381,-149.206466667,-115.502633333,-184.9206,-146.428677778
184.87,-232.703703704,-220.166666667,-260.166666667,-229.0,-277.666666667,-260.333333334,-310.333333333,-326.0,-269.944444444,-408.0,-334.055555556
185.25,-172.624777778,-174.927533333,-202.318866667,-169.275333334,-217.971066667,-194.202933333,-257.970933333,-246.956533333,-199.1786,-341.159466667,-273.140022222
185.63,-143.925881481,-139.555433333,-172.1111,-143.999866667,-183.111266667,-161.111066667,-208.888733333,-210.6668,-162.777777778,-272.666733333,-222.370388889
186.01,-394.603148148,-361.904833333,-419.285733333,-371.428466667,-456.190333333,-378.571466667,-471.4286,-486.190533333,-386.110977778,-645.238200001,-530.873066667
186.39,-162.933333333,-140.0,-176.8,-161.333333333,-205.333333333,-158.666666667,-211.466666667,-219.2,-155.955555556,-312.266666667,-231.688888889
186.77,-66.2693555554,-46.0161333333,-70.2438999999,-66.6667999999,-89.5935333334,-54.6341333334,-91.5447333333,-99.3497333333,-57.4525888888,-153.658533333,-106.124744444
187.15,-38.0296296296,-10.6,-32.3333333333,-26.6666666666,-50.9333333333,-15.0666666667,-50.2666666667,-59.6000000001,-13.1777777778,-94.2666666667,-65.3555555556
187.53,-51.472837037,-20.1550666667,-47.3642333333,-42.1704666666,-71.6278666667,-15.9689999999,-74.4184666667,-68.0621333333,-14.7543222223,-113.953333333,-87.4419111111
187.91,-53.9180962963,-4.2983,-37.7193333333,-38.9474666666,-76.6666666667,-7.1930666666,-70.5264,-67.0176666667,7.57304444437,-114.561466667,-79.9999666667
188.29,-41.7284222221,6.25003333332,-20.2083666667,-15.2777999999,-51.3887999999,4.02780000007,-41.2500666667,-40.2778000001,28.2407333333,-77.0833333333,-62.8703555556
188.67,-55.3745703704,-6.2223,-26.2963666666,-28.8888666667,-70.6667999999,-7.25926666665,-45.7777333333,-53.7778,31.1604444444,-85.9259333333,-76.1482111111
189.05,-27.9012074074,3.70373333332,-2.38103333331,-12.1692666667,-38.9418,6.03179999998,-19.6824666667,-27.1957333334,38.8006111111,-46.1373999999,-38.3421777779
189.43,-25.7706444444,18.3333666667,8.87103333334,-12.7958,-39.4624,9.2474,-15.269,-23.1184666667,47.1864666667,-35.1612666667,-29.7132222222
189.81,-12.1772740741,31.7171666667,22.9294333333,-7.07066666669,-23.8384666667,17.6766,-5.45453333334,-6.16159999992,57.6094222222,-13.5354666666,-15.6565111112
190.19,2.88538518518,33.2169333333,22.8681666667,-1.08533333333,-12.4805333333,16.5116,2.01560000001,3.17826666662,54.5995777779,0.464999999994,-4.63816666667
190.57,-3.8716962963,31.6444666667,17.3332666667,-6.75566666667,-16.9778,10.3110666667,-0.711066666674,1.51106666665,59.8962222223,-1.77793333332,-13.8518333333
190.95,-3.96402962964,30.6307,16.1260333333,-7.47753333336,-18.2882666667,4.6848,-3.42333333333,2.97299999992,60.5255888889,-1.8918,-11.2162555556
191.33,-9.48145925928,19.1851666667,2.88886666666,-14.8888666667,-21.4074666667,-7.85166666666,-11.1852,-5.11120000007,36.8766444444,-7.70379999999,-17.5309
191.71,-6.05802962964,21.1883,4.9174,-9.04286666665,-14.5214666667,-8.44893333332,-5.74259999999,-5.21466666658,36.0066333333,-2.11213333334,-12.1012333333
192.09,-15.4875851852,8.57146666667,-6.76873333333,-20.2040666666,-23.8095333333,-22.9252,-15.102,-18.1633333334,25.6916333333,-13.2654,-27.0294222221
192.47,-25.7708222222,-0.0389,-18.5659333333,-34.8836,-33.7984,-34.6511333333,-25.5812666667,-31.7829333334,16.4856666667,-22.1705333333,-35.0646333333
192.85,-32.2480296296,-6.43406666668,-23.2171666667,-41.0077333333,-37.5194666667,-41.3178666667,-30.6201333333,-36.6667333333,8.39801111111,-24.2636,-42.5451444445
193.23,-23.4041333333,0.6742,-18.0898333333,-36.1048666667,-30.7865333333,-35.2807333333,-21.1236666667,-30.7864,12.9962111111,-18.5767333333,-36.5043555556
193.61,-15.7020666667,0.43956666666,-9.96333333335,-28.1317333333,-19.6338,-27.3992666666,-15.5310666667,-24.7619333334,20.4762555555,-12.3077333333,-29.4994000001
193.99,-28.8495185185,-5.82216666668,-17.7333333333,-39.5555333333,-30.7554666667,-41.9557333333,-26.2222,-38.2222666667,18.4740333333,-20.8888,-40.8148222223
194.37,-49.9744222222,-14.7126666667,-23.6782000001,-59.7701333333,-37.4712,-54.9424666667,-41.0345333334,-53.9079333333,12.5670555555,-29.6552666667,-63.4866000001
194.75,-51.3782296296,-22.5136333333,-22.6775,-61.3114666667,-40.5466,-46.9944666667,-43.9343333333,-54.0983333333,8.26953333333,-33.9890666667,-57.9598444445
195.13,-54.4576962963,-21.9641666667,-23.8689999999,-70.0000000001,-45.1189333334,-43.9285999999,-45.5952666666,-61.4286000001,8.51188888887,-34.8808,-63.2340555555
195.51,-51.4577925927,-18.6525333333,-12.1985666666,-73.6170000001,-39.0071333334,-35.3192666667,-39.1489333333,-59.7162666667,27.4941222222,-30.0708666666,-59.9525888889
195.89,-144.773674074,-79.3826999999,-67.9014000001,-179.012333333,-121.7284,-105.185,-116.0494,-152.839466667,-11.2756555554,-85.4320000001,-143.251055556
196.27,-88.6686592593,-40.2702666667,-25.9457666666,-107.567533333,-68.4686000001,-46.3064,-59.0989333333,-90.2703333334,7.20722222221,-34.9550666667,-84.6544222222
196.65,-50.1328444444,-20.0000666667,-7.23276666667,-69.4339333333,-38.4905333333,-19.6226,-33.3333333333,-48.9308,20.5240222222,-16.9811333333,-50.0628666667
197.03,-13.4792444445,0.90923333332,19.0908333333,-28.7878666667,-3.53539999992,13.8383333333,-3.93946666668,-16.0606666667,42.1380444444,7.47486666667,-13.215411111
197.40,-48.7678814815,-32.9252666666,1.97273333334,-68.0271333333,-32.7890666665,-6.93886666667,-36.7348000001,-47.6192,36.6666000001,-20.1360666666,-46.4626111112
197.78,-116.498355556,-86.1615000001,-50.6060333333,-146.868733334,-99.1919333333,-49.6969333333,-84.4443999999,-107.2728,15.8248333333,-71.7173333335,-112.054077778
198.16,-161.481481481,-138.9286,-82.9761666666,-193.333266667,-139.285666667,-68.3333999999,-116.4286,-147.857133333,-0.357177777774,-116.666733333,-158.055577778
198.54,-502.59277037,-450.555733333,-315.0,-532.222333333,-457.7778,-281.1112,-388.3332,-479.444466666,-106.944466667,-407.7778,-477.5927
198.92,-783.425925927,-715.833333333,-528.75,-851.666666667,-780.0,-492.5,-661.666666667,-789.166666667,-233.75,-669.166666666,-799.861111111
199.30,-3599.62962963,-3431.66666667,-2531.66666667,-3856.66666667,-3806.66666667,-2386.66666667,-3146.66666667,-3480.0,-1366.66666667,-3240.0,-3775.0
199.68,397.262444444,384.492833333,300.434766667,424.3478,418.2608,301.739,366.666666667,382.608533333,207.584577778,373.0434,410.1932
200.06,572.453703704,553.333333333,409.166666667,608.75,596.666666667,410.833333334,532.916666667,520.833333333,276.944444445,545.833333333,584.027777778
200.44,356.678511111,335.699033333,271.2903,367.741933333,366.6666,266.021466667,344.086133333,321.5054,199.068044445,343.2258,356.308177778
200.82,243.485874074,228.627333333,186.274433333,251.2418,251.7648,184.182933333,238.823533333,222.2222,147.843022222,231.895533333,244.204655556
201.19,206.881466667,182.270533333,163.864633333,213.429866667,214.396133333,161.642533333,205.700533333,190.5314,137.020911111,191.4976,209.951633333
201.57,210.281407408,181.155633333,170.977833333,215.022266667,217.066733333,168.4444,208.533333333,195.111133333,149.807511111,187.4666,214.000044444
201.95,240.936866667,209.460733333,197.401966667,248.137333333,249.902,196.470666667,240.882333333,227.156866667,177.761544444,221.764866667,245.637211111
202.33,293.575829629,251.696966667,249.090966667,304.121133333,310.302933333,241.333333333,298.0606,281.575733333,222.383811111,274.909066667,304.242488889
202.71,383.074074074,322.0,327.666666667,404.833333333,410.166666667,314.833333333,394.5,371.5,291.527777778,349.333333333,398.75
203.09,316.252696296,260.3922,276.536033334,334.1176,332.549,259.6078,320.130666667,296.078466667,239.433433333,284.182933333,323.594677778
203.47,345.797185185,278.9129,303.333366667,364.057933333,351.884133333,283.623266667,352.8986,328.116133333,266.280233334,305.072466667,353.164444444
203.85,677.552355556,535.507133333,588.4057,708.6956,679.130266667,539.130333333,680.869466667,634.782733333,499.661833333,567.246533334,679.565155555
204.22,1340.94269629,1078.7879,1156.0605,1420.60613333,1344.84826667,1081.212,1336.36373333,1283.6364,993.131366666,1124.2424,1355.25247778
204.60,-13905.1851852,-11226.6666667,-12196.6666667,-15093.3333333,-14146.6666667,-11146.6666667,-14046.6666667,-13366.6666667,-10054.4444445,-11320.0,-14025.5555556
204.98,-1359.40740741,-1098.33333333,-1211.33333333,-1471.33333333,-1381.33333333,-1075.33333333,-1357.33333333,-1318.66666667,-1017.33333333,-1135.33333333,-1358.88888889
205.36,-858.101851851,-720.416666667,-761.875,-920.416666666,-867.083333333,-681.666666667,-838.75,-820.833333334,-655.0,-729.583333333,-839.444444445
205.74,-329.309311111,-259.099033333,-282.522566666,-354.955,-325.045066667,-247.567666667,-312.792733333,-304.504533333,-237.567555556,-284.5046,-314.895033333
206.12,-511.2,-395.066666667,-420.0,-536.8,-499.733333333,-377.333333333,-479.466666667,-466.4,-366.444444444,-411.466666667,-490.622222222
206.50,-913.544970371,-699.9999,-727.8571,-981.904733333,-890.476066668,-679.523799999,-868.571466667,-827.619066667,-658.015933333,-717.619066667,-864.206266667
