wavelength,Back_OryMaxm,Belly_OryMaxm,Breast_OryMaxm,Crissum_OryMaxm,Crown_OryMaxm,DorTail_OryMaxm,Rump_OryMaxm,Throat_OryMaxm,WingTip_OryMaxm
191.33,55.102,44.4445,23.5828333333,40.9298333333,51.474,60.5441666666,45.9185,16.5531666667,39.1155
191.71,49.8026666666,42.7021666667,24.5561666667,39.5461666667,50.986,59.2703333333,46.8441666667,18.3433333333,35.3056666666
192.09,51.0526666666,43.5965,29.1228333333,43.9475,51.7543333334,58.5086666667,50.4386666666,24.8243333333,37.7193333334
192.47,49.908,47.2373333333,30.663,43.278,54.3278333333,61.8785,51.8416666667,23.3885,37.0166666666
192.85,43.5975,42.5813333333,22.6626666666,41.2603333333,50.508,59.1463333334,44.817,14.2276666667,31.1991666667
193.23,41.414,37.6768333333,20.707,39.5958333334,46.5656666667,57.5756666667,43.8383333333,12.4245,27.9798333333
193.61,36.9425,31.3165,15.3926666667,36.3058333333,45.6476666667,51.4861666667,40.1273333333,5.73266666667,24.5223333333
193.99,31.7856666667,28.8095,13.095,43.9285,48.6903333333,52.6191666667,42.738,5.59516666667,23.3335
194.37,30.9686666667,26.8018333334,14.6396666667,45.7206666667,52.3648333333,52.1396666667,43.8063333333,12.4998333334,20.4955
194.75,29.5941666667,23.6111666667,14.3163333334,43.483,51.1751666667,47.5426666666,39.6366666667,15.064,18.376
195.13,27.0185,20.0828333333,12.7326666667,40.4763333333,45.5486666666,40.5796666666,35.5073333333,13.4576666666,15.9421666667
195.51,24.7698333334,17.0348333333,13.904,38.0295,40.4235,36.0036666667,32.8731666667,15.0091666666,15.746
195.89,21.8428333334,12.1116666667,11.2836666667,34.9898333333,35.1966666667,28.3645,29.8138333333,12.8363333333,9.83433333333
196.27,5.91783333333,-0.96616666665,-2.536,24.7585,24.6376666667,15.942,18.2368333333,-1.8115,-3.26066666665
196.65,-1.7545,-10.9021666667,-10.6516666667,20.1751666667,19.0478333333,12.9073333333,14.5365,-7.51866666665,-8.01983333335
197.03,0.1265,-8.96466666666,-4.04033333335,20.202,21.591,17.5505,18.0555,-4.29283333333,-9.09100000002
197.40,-21.7391666667,-25.9418333333,-21.884,2.6085,7.681,1.44933333331,3.6233333333,-22.174,-24.2033333333
197.78,-40.476,-49.4898333333,-41.3265,-12.4148333333,-8.67333333335,-15.306,-9.1835,-39.7958333334,-47.7891666667
198.16,-40.3845,-54.0063333333,-45.032,-21.3141666666,-13.3013333333,-23.077,-14.7435,-41.987,-49.1988333333
198.54,-48.2993333333,-62.9251666667,-57.823,-27.0405,-22.7891666667,-30.4421666667,-25.3401666666,-52.381,-52.381
198.92,-61.9791666667,-72.9166666667,-77.2568333333,-36.4583333333,-38.7155,-40.4511666666,-37.6735,-63.1945,-64.4098333333
199.30,-73.3716666667,-82.7586666667,-91.1876666668,-45.4021666667,-49.8083333333,-48.0841666667,-47.5096666666,-72.797,-72.6055
199.68,-107.376833333,-133.6065,-141.53,-80.6009999999,-85.7923333334,-79.5081666666,-87.9783333333,-112.8415,-113.114833334
