wavelength,Back_BanMelm,Belly_BanMelm,Breast_BanMelm,Crissum_BanMelm,Crown_BanMelm,DorTail_BanMelm,Patch10_BanMelm,Rump_BanMelm,Throat_BanMelm,WingTip_BanMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,108.333333333,65.2778749999,44.4444166668,113.888916667,91.6668333335,5.55541666658,169.4445,163.888916667,97.2221666667,102.77775
179.16,7.69224999999,18.2691666667,20.5128333333,10.2565,19.2308333333,10.2564166666,-3.20516666664,39.7434166667,26.923,10.2565
179.54,87.4999999999,48.4375,86.4583333334,42.7083333333,61.4583333333,76.0416666666,36.4583333333,106.25,93.7499999999,31.25
179.93,131.666666667,81.2500000001,107.5,101.666666667,68.3333333332,121.666666667,90.0000000001,106.666666667,118.333333333,85.8333333335
180.31,45.9090833334,26.5531666667,36.1365833334,22.9545,28.0304166667,33.18175,29.2425833333,41.288,30.98475,24.9244166666
180.69,49.7125833333,32.6507916667,38.50575,27.0115833333,32.7585833333,37.35625,30.1723333333,44.10925,32.3993333334,28.7356666667
181.07,44.0189166667,30.3764166667,32.3925,22.2445833333,26.8815833333,33.3333333333,20.96775,36.895,26.2095833334,24.7985
181.45,52.1708333333,36.9396666667,39.6358333333,28.7115,30.6020833333,40.4761666667,28.6415,41.0364166667,29.48175,32.563
181.83,55.6846666667,40.5037916667,39.2120833334,33.9793333333,35.0128333333,41.6019166667,34.3023333333,38.8888333333,28.1654166666,37.9843333334
182.21,49.4186666667,35.142125,32.4934166666,26.3565,29.32825,32.1705833333,26.0981666667,32.29975,17.95875,31.4599166667
182.59,49.1095,35.5280416667,31.42475,27.5445833333,30.8524166667,31.1703333333,27.0356666667,34.09675,18.2569166666,32.6335
182.97,50.8865833334,36.6429583333,34.6926666666,31.9149166667,32.9195833333,33.3925,30.201,35.6973333333,20.0945833333,35.22475
183.35,48.6876666666,35.5643333333,35.6954166667,30.8396666667,30.3805833333,33.9895833333,28.937,33.7928333333,17.979,35.433
183.73,55.9523333333,41.2575416667,35.491,35.6399166667,33.4075833333,39.2855833333,34.59825,41.59225,18.60125,43.9730833333
184.11,61.9681666667,44.193375,36.9680833333,45.8333333332,37.6773333333,40.9575,36.6134166667,42.6416666667,17.4646666667,48.5814166667
184.49,65.8823333333,53.9705833333,38.9216666667,52.8430833333,44.902,47.9410833332,35.4901666666,45.8823333333,21.3725,52.0588333333
184.87,59.375,46.40625,32.2916666667,49.8958333332,40.5208333333,46.3541666666,35.5208333333,41.25,16.7708333333,45.8333333333
185.25,72.7848333333,57.1729583333,46.73,69.8314166668,55.6960833333,64.5570000001,50.5274166666,53.3756666667,27.7425833334,57.0675
185.63,77.6454166666,62.1694583333,38.0951666667,81.8785000001,61.3756666667,75.3967499998,49.86775,51.7195833334,24.7353333333,56.7458333333
186.01,105.902833334,86.9790416668,25.347,139.930666667,81.9445833333,130.902583333,53.4721666667,69.7918333334,-5.55558333342,76.0416666668
186.39,154.6875,140.625,26.0416666667,236.979166667,155.208333333,201.041666666,106.770833333,100.520833333,2.08333333343,117.1875
186.77,546.666666666,483.333333333,143.333333333,744.999999999,561.666666668,679.999999999,335.0,353.333333333,1.66666666657,371.666666667
187.15,-69.73675,-63.3771250001,31.579,-106.579,-95.6138333333,-104.385916667,-10.0876666667,-29.8245833333,52.6315833332,-32.0173333334
187.53,-266.666666667,-259.583333333,-45.0,-363.333333332,-365.0,-360.833333333,-177.5,-193.333333333,-29.1666666668,-200.0
187.91,-1030.55558333,-1133.33329167,-536.111000001,-1638.88891667,-1627.77783333,-1563.88891667,-933.333250002,-836.111083332,-533.333416667,-866.666749999
188.29,-176.1905,-215.773791667,-30.9525,-294.047666667,-296.428416667,-323.214416667,-175.595333333,-132.738,-47.0238333333,-126.1905
188.67,-47.9728333333,-63.4008749999,18.4685833334,-89.189,-86.0359166667,-91.8919166667,-57.4323333332,-29.5044166667,2.2523333334,-33.1081666667
189.05,-55.2631666668,-66.886,20.1755,-89.0350000001,-81.3596666668,-82.4560833333,-55.7016666667,-31.579,7.8946666666,-40.35075
189.43,-17.0834166667,-23.7499999999,32.0830833333,-35.1388333333,-32.639,-32.0833333333,-26.3888333333,-1.25000000002,23.8889166667,-6.38883333335
189.81,-6.80558333332,-10.0000416667,38.3331666667,-21.5275833333,-18.61125,-14.5833333333,-17.0834166667,9.44441666665,40.2778333333,8.19441666668
190.19,-11.3333333333,-15.7500000001,48.1666666667,-26.8333333333,-22.5,-13.6666666666,-21.0,15.0,50.0,16.8333333333
190.57,-4.74141666667,-14.0804166667,47.4139166667,-21.9828333333,-15.3735,-15.9482500001,-13.6495,14.36775,47.5575,12.0689166667
190.95,-3.6859166667,-18.6699583334,59.7755833333,-34.9358333333,-20.83325,-20.8334166666,-12.6603333333,18.7500833333,54.1666666667,16.1859166667
191.33,-18.2625,-42.1985833332,43.2624166667,-66.4893333333,-40.4255833333,-45.74475,-34.0425,13.1205833333,53.3687499999,8.15616666665
191.71,-4.1045,-20.1493333333,35.6966666667,-38.8060833334,-14.42775,-18.28375,-11.4428333334,25.2486666666,52.9851666666,19.403
192.09,-3.65291666668,-17.6939166666,34.9313333333,-31.5068333334,-8.78991666668,-14.2693333333,-5.13691666667,29.68025,58.33325,20.7760833333
192.47,-5.43975,-19.6180416667,31.2499166667,-27.4306666667,-12.2685,-10.4168333334,-2.4305,29.2825833333,57.0601666666,22.2221666667
192.85,-17.2955833333,-33.8051250002,34.5911666667,-52.3584999999,-36.1635833333,-33.8049999999,-7.70433333335,30.6604166667,70.283,19.4969166667
193.23,-11.2653333333,-35.3395833333,33.179,-54.4755,-40.2778333333,-37.3456666667,-4.78383333333,34.4134166666,68.5184999999,19.29
193.61,-11.7560833334,-39.8065000001,26.637,-57.8868333334,-42.5595833333,-34.8216666667,0.446416666675,29.7619166667,60.8630833334,12.20225
193.99,-18.3960833334,-47.7202083333,21.3835,-72.3270833333,-62.7358333334,-45.2831666668,-7.38983333335,24.5285,53.6163333333,1.57216666665
194.37,-33.3334166667,-66.2326250001,-11.6319166667,-105.20825,-92.18775,-70.6599166667,-23.2639166667,14.9305833333,40.2779166667,-21.1806666667
194.75,-37.7775833334,-77.0369166667,-31.8518333334,-115.185166667,-110.0,-81.4814999999,-32.40725,19.4445,30.926,-27.7776666667
195.13,-9.40466666675,-36.1905416666,-16.7855833333,-58.5713333333,-57.9763333333,-42.4998333333,-12.5,25.2381666667,27.1429166667,-9.16658333332
195.51,-11.1111666666,-29.5267499999,-16.8723333333,-47.6339166667,-51.1316666667,-38.1688333334,-11.9340833334,17.48975,15.8435833333,-13.6830833333
195.89,-24.0741666667,-47.6190416667,-32.0105,-75.7937500001,-75.6614166667,-59.3915000001,-28.9683333333,2.91,1.58716666667,-29.6296666666
