wavelength,Back_SteDiam,Belly_SteDiam,Breast_SteDiam,Crissum_SteDiam,Crown_SteDiam,DorTail_SteDiam,Patch10_SteDiam,Patch11_SteDiam,Patch12_SteDiam,Rump_SteDiam,Throat_SteDiam,WingTip_SteDiam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,133.333266667,143.703666667,133.333333333,134.814733334,135.555666667,121.481466667,128.8888,115.555533333,137.7778,143.7038,139.999866667,119.259266667
179.16,189.166666667,179.166666667,135.0,124.166666667,199.166666667,175.833333333,141.666666667,147.5,166.666666667,182.5,155.833333333,170.0
179.54,-246.666666667,-33.3333333333,-93.3333333332,-186.666666667,-426.666666666,-106.666666667,66.6666666666,-60.0,-460.0,60.0,-193.333333334,-180.0
179.93,-286.666666667,-326.666666667,-126.666666667,-13.3333333334,-266.666666666,-33.3333333331,-60.0000000001,-66.6666666673,-46.6666666668,200.0,-146.666666667,-280.0
180.31,141.0256,142.256466667,116.307733333,118.256466667,150.0514,108.717933333,87.0770000002,120.7178,125.948666667,105.4358,132.717933333,118.6666
180.69,151.525466667,146.101666667,118.757066667,130.056533333,163.2768,114.011333333,90.0564666667,127.344733333,135.2542,109.039666667,141.016933333,120.0
181.07,144.912333333,135.321666667,105.614066667,119.2982,155.906533333,105.2632,80.7019333334,119.883066667,125.9648,97.7777333333,137.894666666,111.6958
181.45,148.427533333,137.106866667,110.062866667,126.037866667,155.345866667,103.8994,70.8176000001,120.629,131.823866667,88.6792000001,145.0314,114.591066667
181.83,138.5714,128.690533333,105.595333333,122.499933333,141.0714,99.7620000001,69.5238666667,120.8336,123.095133333,82.6191333333,139.0476,98.6903999999
182.21,129.178733333,122.995066667,98.8405333334,120.096666667,132.270466667,100.772933333,72.3672666667,112.8502,120.193266667,88.9855333333,134.492733333,96.2318
182.59,149.5402,143.3334,105.517266667,129.425333333,149.310333333,104.367733333,71.1493999999,128.965466667,137.1264,104.252866666,146.666666667,109.6552
182.97,171.056866667,160.812933333,112.195133333,137.073066667,169.593466667,103.5772,66.8293333333,143.7398,158.536466667,115.447,174.1462,113.008133333
183.35,160.666666667,132.533333333,95.4666666667,120.8,136.933333333,90.4000000001,59.1999999999,127.2,145.2,102.4,147.333333333,102.933333333
183.73,144.444333333,122.999933333,94.2222666667,122.0,133.222333333,91.6666666667,65.9999333333,121.999866667,139.0,99.5556,129.111133333,93.2221333333
184.11,165.640933333,128.077066667,107.564066666,141.666666667,149.359133333,106.282,76.6666000001,138.9744,161.794933333,106.794933333,149.230733333,96.2821333333
184.49,186.666733333,149.302333333,132.247933333,164.651266667,173.643466667,130.232666667,83.8759333332,164.961333333,189.147333333,128.5272,175.348866666,107.286733333
184.87,195.886466667,168.226933333,149.22,174.326266667,178.865133333,136.737666667,94.4680666667,171.0638,193.759,143.546133333,187.375933333,120.709266667
185.25,185.384533333,158.333266667,146.282133333,165.897266667,166.0256,127.948666667,86.4102,167.0512,182.307733333,131.153866667,169.2308,116.1538
185.63,180.969666667,151.1514,138.060666667,166.787866667,165.575733333,123.878866667,93.8181333334,168.000066667,173.090933333,131.757666667,155.878866667,102.787933333
186.01,158.743933334,137.391333333,123.284933333,148.599,155.265733333,112.0772,87.9229333335,146.086933333,151.980666667,125.024133333,138.840666667,104.251266666
186.39,180.606,147.030266666,144.3636,172.363533333,179.272733333,126.545466667,98.788,172.484866667,171.393866667,135.757466667,150.0606,111.1516
186.77,150.606133333,116.060666667,120.202066667,141.414066667,149.798,102.5252,81.9191999999,137.7778,137.878733333,110.000066667,124.747466667,95.4547333334
187.15,167.692266667,135.5898,134.564133333,166.4616,169.0256,120.7178,101.3334,157.435733333,154.256466667,119.8974,133.8462,109.333333333
187.53,127.6296,113.185133333,115.7778,136.1482,140.222266667,101.1854,90.0741333332,124.740733333,121.111066667,97.5554666667,110.074,89.7777999999
187.91,124.1026,109.658066667,110.170933333,129.401666667,141.794866667,93.5043333334,90.9401333332,127.863066667,118.888866666,94.3591333333,109.145333333,82.0513333333
188.29,101.4494,89.7101999999,86.5217333333,101.232,113.188466667,71.4492666666,71.3768000001,93.1158666665,95.2174,76.1594,80.7247333334,62.5362
188.67,89.3452666667,80.4761333333,77.262,92.7977333334,101.904666667,63.9880666667,66.6071333333,85.5952666667,86.369,71.5475333333,73.9881333333,60.7738666666
189.05,82.6436,74.3677333333,71.7240666666,85.4022666667,98.6781333333,58.0460666667,60.7471333334,81.4943333334,81.5516,67.0115333333,66.6666,55.7471333333
189.43,89.4230666667,79.7435999999,74.423,94.4231999999,108.5898,62.9486666666,67.5,84.2306666667,88.0129333333,74.3589999999,70.7052,56.9231333333
189.81,88.5546,79.5869333334,74.2772,90.3245333332,104.837933333,61.2979333334,69.0266,81.2980666666,85.7226666667,73.0974666667,73.0384666667,57.4631333333
190.19,95.4286000001,85.6507333333,78.4760666666,96.3172666667,109.2698,64.4444666666,72.762,83.3015333333,87.6825333333,74.0952666667,73.5872666667,55.2382
190.57,91.6805999999,88.4297333333,78.5124000001,92.8925333334,105.454533333,64.0772666666,70.4682666667,82.3691333333,86.9422,76.5290000001,76.4188,59.7244666667
190.95,90.0575333333,89.1379333333,78.7355999999,99.2529999999,106.091866667,67.7010666666,74.8276,85.5171999999,90.5746666667,76.4368000001,77.8161333334,59.0230666667
191.33,84.1025333333,84.6155333334,77.8461333333,93.4357999999,101.897533333,71.6922666667,73.1794666667,82.4615333334,81.641,79.5897333334,79.9486666667,58.9742666667
191.71,99.3547333332,94.2652666666,81.4336666667,109.892466667,116.2724,78.7095999999,80.5018666667,93.1182666667,93.5484666667,88.7456000001,89.7490666667,59.2830666667
192.09,109.6124,105.349,91.9379333334,127.287,130.155133333,88.9147333332,89.4574,103.178333333,102.635733333,99.2247333335,97.597,69.3022666666
192.47,111.954,109.272,97.0114000001,136.322,139.310333333,99.4636000001,98.6205999999,115.3256,111.417466667,104.137933333,106.666733333,78.2373999999
192.85,99.7036000001,95.2593999999,81.5555333333,122.296333333,125.851866666,84.6666666667,91.2592666666,99.8518666665,99.5556666667,90.3705333332,91.4815333335,64.2222666666
193.23,86.7273333335,85.9393999999,76.9091333333,106.6666,112.1212,79.0911333335,88.2423333334,91.0908666667,87.8788,78.3636666667,82.9695999999,63.6969333334
193.61,78.3741333333,81.3551333332,73.9837333334,98.1030666665,105.2574,73.7128666666,79.7832666667,87.1544666666,79.5122666667,70.84,75.9350666666,59.5662666667
193.99,68.772,79.0643333335,72.2222666667,94.8537333333,103.918133333,72.8656000001,75.2631333333,82.2222,73.3333333333,68.2456666667,73.6842666667,54.9707333333
194.37,59.8318,66.1065999999,61.6246666667,83.3614000001,92.7731333333,65.9944666667,66.9467333333,77.0868666667,64.2578,58.7113333333,64.4258,48.5153333334
194.75,59.6077333333,63.3332666667,61.5686666667,88.1045333332,97.2548666669,65.4902000001,71.1112,80.1960666667,61.2416,55.621,64.2482666667,43.3333999999
195.13,58.7156666667,62.1406666667,61.4678666667,80.9785333333,94.4953333332,61.9571333333,69.5414,74.8012,54.5566,58.8378,60.3059333333,40.6727999999
195.51,58.1051333333,61.6140666665,59.1578,79.6490666666,94.8069333332,55.5088,71.7194666667,73.1928666667,56.1404,50.4562,56.4910666667,37.0525333333
195.89,49.8246,59.5788666666,59.6492666667,73.8947333333,97.7542666668,55.3684666666,72.5614,70.7369333333,48.9122,53.8244666667,58.6667333333,36.4912
196.27,42.8266666667,48.5333333333,49.9733333333,58.56,77.4933333333,47.84,58.7733333333,55.5733333333,42.1333333333,42.5066666667,52.1066666667,33.0666666667
196.65,39.7939333333,44.6048666667,44.3985333333,55.2576666667,80.6871999999,41.9244,57.1822,49.6906666667,32.3711333333,39.8626,49.6908,20.756
197.03,49.1089333333,54.9175333334,55.7096666667,61.4522666667,85.4125333334,50.7590666667,63.3004,56.2374666667,38.8779333333,46.9966,61.6502666667,28.8448666667
197.40,50.696,55.6776,50.6226,60.0000666666,87.6190666667,52.2345333333,58.9743333333,50.1098666667,36.7764666667,47.6923333333,63.8828,24.0293333333
197.78,44.9349333333,52.2942666667,41.9048666667,55.671,90.9957999999,48.1385333333,57.0564,41.7316,28.0519333333,46.4934,63.4633333333,17.0563333333
