wavelength,Back_IriRufm,Belly_IriRufm,Breast_IriRufm,Crissum_IriRufm,Crown_IriRufm,DorTail_IriRufm,Patch10_IriRufm,Patch11_IriRufm,Rump_IriRufm,Throat_IriRufm,WingTip_IriRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,60.7408,53.3332666667,29.6295333334,58.5184666667,60.7408,52.5926,43.7038,69.6295999999,65.2345444444,43.7038,45.9259333333
179.16,44.1025333333,28.7179333333,11.7948666667,35.8974,27.6923333333,31.7949333333,40.5128666667,29.2307333333,41.6579733333,40.0000666667,50.7692
179.54,16.6666666667,-50.0000000001,-6.00053340349e-12,-23.3333333333,-28.3333333333,1.66666666668,25.0000000001,28.3333333334,25.2777777778,-5.00000000002,-3.33333333341
179.93,-30.0000000001,51.6666666667,-4.99999999999,26.6666666667,-13.3333333333,46.6666666667,-8.33333333334,9.99999999999,-11.7222222222,-15.0,24.9999999999
180.31,55.2045333333,28.0702,34.7368,33.6842,40.0002,36.8421333334,51.5790666666,49.0058666667,69.9882111111,51.9298666667,69.3566666667
180.69,63.5086666667,18.5964,29.6491333333,28.4209333333,45.4386,27.8947333333,55.4386000001,46.8421999999,86.754231111,53.5088,97.5438000001
181.07,53.8666666667,-13.0666666666,17.6,9.33333333346,23.4666666667,2.40000000012,52.8,26.4,98.7822222223,46.1333333334,123.2
181.45,55.2940666666,-27.8432000001,30.9803333333,-5.88226666668,23.5294,-9.80386666674,69.8039333332,19.9999333333,130.627506667,42.7450666667,173.725533333
181.83,112.962933333,34.0738666665,90.3703333333,46.2962666666,70.7407333333,51.4815333333,115.185,59.2594000002,184.654233333,100.000066666,226.666666667
182.21,90.4761333334,40.2380666668,84.0475999999,42.8572,62.1428000001,45.2380666668,93.5714666667,54.7620000001,136.515933334,78.5714666667,170.476333333
182.59,195.238133333,5.71426666654,204.761866667,-21.9047333333,66.6666666667,-20.0001333333,215.238066667,30.4761999999,375.428673333,138.095333333,505.714333333
182.97,-24.1026000001,79.4873333334,-23.5898666665,104.615333333,52.3077333333,102.564133333,-32.3078000001,64.6153999998,-95.2477511112,11.2820666667,-186.1538
183.35,-9.58333333326,88.3333333333,8.75000000001,108.75,37.9166666667,115.416666667,-21.25,60.8333333334,-71.7083333333,20.4166666667,-134.583333333
183.73,-14.8718666666,92.3075999999,1.02559999999,138.461466667,62.5641333332,150.2564,-18.4614666665,84.1024666668,-89.042668889,12.8205333333,-151.2822
184.11,15.9999333333,91.9999999999,-3.55566666667,146.6666,95.1112,159.5556,24.4444666667,117.333333333,-25.8962822222,27.5556000001,-83.9999333333
184.49,0.444399999926,59.9999333334,-49.7777333334,109.333266667,93.3334000001,156.888933333,1.77773333328,102.222133333,-43.8370022221,7.5555333332,-103.111133333
184.87,84.4443333334,4.44446666661,168.888933333,-59.4444,-56.6666,-67.7777333333,96.6667333332,-27.7778666667,137.592468889,100.000066667,187.777733333
185.25,82.5,47.0833333333,109.791666667,13.125,24.7916666668,28.9583333333,76.4583333333,27.7083333335,91.8055555556,83.3333333333,109.166666667
185.63,68.8888000001,33.5186,92.4074666667,4.62966666665,18.8888666667,19.0740666667,62.5926,14.8148,75.6666466668,74.8148000001,85.7408
186.01,53.4693999999,28.9796,68.4353333333,2.44886666668,17.6870666667,13.0612,54.1497333333,15.9183333334,56.0997755556,59.5918666667,65.8504666667
186.39,65.6736666666,49.5036,81.9858666667,8.65253333332,27.3758666667,24.2554,63.8297333333,21.1347333333,70.6476488889,70.9220666666,74.6099333334
186.77,63.4783333333,52.7536666667,72.3672,26.0869333333,39.227,35.3622,61.256,30.7247333334,67.2883555556,66.9565999999,68.3092
187.15,57.4222000001,47.4666666667,64.3556,25.4222666667,35.0222666667,31.0222,53.9555333333,23.3779333334,60.7318155556,55.1999333333,58.0444666667
187.53,54.7618666667,46.6666666667,58.7302,30.635,39.0476,31.4286,52.9365333333,21.2697333333,54.7539911111,53.4126666667,53.5714666667
187.91,63.2208666666,56.4046,68.5392666667,41.7976666667,51.161,40.3745333333,64.1948666667,31.9850666667,63.3533422222,56.6292666666,60.9738
188.29,61.2121333333,54.6212000001,65.9090666667,40.7576666667,51.5152,37.8787333333,64.7727333333,29.4697333333,59.0656311111,51.2878,58.3333333333
188.67,60.7500000001,53.5833333334,58.5,35.1666666667,51.4166666667,32.0,67.0833333333,24.9166666667,51.8444444444,46.6666666666,54.4166666667
189.05,61.8779333333,54.2723999999,56.6197333333,33.615,51.8308666667,22.7229333333,72.8638666667,22.6291333333,52.3255444444,42.2533999999,54.3661333333
189.43,53.3334666667,44.183,44.5753333333,13.8562,42.4837333334,-4.18306666667,79.9998666667,-1.17639999998,39.0500955556,30.5882666667,46.9282
189.81,58.8461999999,56.7948666667,50.1282000001,20.7692666667,49.4872,1.41033333336,84.2306666666,9.10259999985,39.9359222222,34.359,53.0768666667
190.19,78.9898000001,75.3535333333,61.2120666667,26.6667333333,71.9191333333,-20.0,114.7474,-9.09086666654,41.6297244444,32.9292666665,65.8585333334
190.57,70.3704666665,60.4938666667,52.5924666666,33.5803333335,70.1234666665,-39.9999333333,129.382666667,-24.9384000003,23.407551111,19.7530000001,68.3949999999
190.95,60.3174,39.6824666667,26.3492666667,13.9681333334,55.8730666667,-75.2381333333,130.158733333,-74.2856666666,-22.2220955555,-10.1587333334,54.2857999999
191.33,74.0000000001,53.3333333333,33.0,9.33333333332,75.3333333334,-60.0000000001,166.333333333,-67.6666666664,-5.73333333334,6.6666666666,76.3333333332
191.71,141.0256,118.974266667,102.564066667,18.4615999999,124.6154,-43.0768666667,301.538533333,-27.1793999998,33.2649666667,49.7436,162.564066667
192.09,318.666666666,265.333333333,233.333333332,-34.6666666666,216.0,-157.333333333,746.666666666,-62.666666666,48.5777777779,121.333333333,397.333333333
192.47,162.666666667,108.666666667,90.6666666667,-27.9999999999,112.666666667,-67.3333333334,358.0,-23.9999999999,18.7555555555,54.6666666665,188.666666667
192.85,166.6666,133.888866667,116.666866667,19.4444000002,118.3334,-5.0000666666,326.111066667,15.5557333332,70.7777844443,88.3333333334,179.4446
193.23,154.285733333,134.761866667,122.857266667,38.5714666667,112.8572,33.3332,277.142933333,14.7618666668,72.6349155554,116.190466667,169.523866667
193.61,128.148133333,110.8642,94.5678666667,66.6666666666,96.7902000001,60.2469333334,169.6296,50.8642666669,73.6131155555,88.8890666666,117.036933333
193.99,130.285666666,98.6666000001,99.0476666667,73.7143333333,89.7142,71.2380666667,143.809533333,55.6189333334,87.6508000001,88.5713333334,102.4762
194.37,103.777733334,75.1111333333,80.6668000001,51.3334000001,58.2221999999,55.1110666666,122.4444,45.3333333333,68.9925888888,66.6666,72.8888666667
194.75,81.4035999999,67.1927999999,61.5788666667,30.3510666667,41.2279333333,56.3158666667,95.6140000001,39.4738666665,53.68434,59.8246666667,61.0526666667
195.13,103.095266667,86.1905333333,73.0952666666,24.0477333333,50.2382000001,76.9047333334,126.904866667,47.6190000001,63.0873644444,76.9048000001,70.4762000001
195.51,110.185133333,86.1111333333,81.6666666667,45.1851333333,57.0370666666,88.1480666666,115.185266666,62.9628666669,71.58652,91.2963999999,77.4072666666
195.89,111.619,88.7618000001,81.5238,52.9522666666,60.9522666667,99.9999333334,114.857,54.8571333333,67.1047155555,88.5714,71.2381333332
196.27,89.9999999999,75.7576666667,66.6665333333,44.2424,51.5149333333,90.6059333332,92.7271333335,39.9999333332,53.2424955556,77.1211333334,57.5757333333
196.65,94.6342666666,86.1790000001,72.5203333333,51.7073999999,55.6098000001,101.138133333,104.715333333,41.1382666667,57.9674866667,90.4064666666,59.6748666666
197.03,85.8333333333,77.3810666667,72.3809333333,59.5237333333,66.1904666667,97.1428666667,87.3808000001,51.1905333333,62.1904044443,81.5477333334,62.2619333333
197.40,79.9999333332,68.3331999999,63.4444666666,48.2222666667,57.1110666667,86.8888000001,73.3333333333,45.2223333333,48.94818,72.4444000001,47.3333333334
197.78,87.1544666666,66.8292000001,70.2439333333,35.6098,45.6910666666,97.3984000001,79.1870666666,35.7724666665,38.0975022222,81.1382000001,41.1382666667
198.16,123.529333333,100.000133333,86.2745333334,11.3724666667,37.6470666668,192.549133333,153.725533333,30.9804666666,3.85617555546,125.490066667,43.1372666666
198.54,109.0196,99.0196666668,83.5294666667,33.7256000001,61.3724666667,138.8236,124.117533333,51.5685999999,39.2614,105.294066667,68.0391333334
198.92,106.0318,93.9683333333,81.9049333332,46.1905333333,71.1111999999,123.650666667,124.920733333,55.2381333333,46.307,98.0953333333,70.3174000001
199.30,105.170066667,96.0544000001,88.2992666666,59.3196666667,76.3265333333,123.6734,121.0884,63.2652666666,58.8025333334,96.0545333333,76.0543333333
199.68,112.1428,96.6666666666,80.4761333335,43.0951333333,65.4760666668,154.0476,141.666533333,47.3810666667,35.2381622223,91.1904666667,60.0000666665
200.06,255.238133333,118.0954,54.2856666666,-72.381,2.85706666674,342.857133333,295.2382,-49.5239999993,-95.936548889,148.5714,10.4762666668
200.44,193.939333333,63.0303333333,15.7575333335,-28.4848000001,18.1818666664,244.242466667,174.5454,-15.1514666667,-42.1616311114,92.7271999998,8.4847999998
200.82,331.4286,122.857133333,80.0,-17.1428666666,59.0475333332,429.523733334,261.904866666,38.0952666668,-50.0000488888,139.999866667,52.3809999999
201.19,-221.9048,-13.3334,107.619066667,171.428533334,120.0,-303.8096,-120.952333333,119.047733334,246.0635,12.3808,72.3809333332
201.57,-450.666666667,-281.333333333,-58.6666666666,-50.6666666674,-42.6666666659,-662.666666667,-371.999999999,-38.6666666661,88.5777777778,-138.666666667,-172.0
201.95,360.0,299.2592,148.8888,205.1852,207.4074,491.111133333,338.518466667,167.407333333,78.6171466665,167.407466667,205.185266667
202.33,163.333333333,129.697,73.6363333335,114.242533333,103.9394,207.2728,143.0304,93.9394666667,44.8281911113,89.6968666667,95.7576666664
202.71,204.889,137.777733333,59.5556,142.222266667,127.555466667,284.888866667,161.333333333,91.5556666667,35.5704333331,90.2222666667,111.555533333
203.09,262.666666667,142.0,27.3333333333,194.0,134.666666667,384.666666667,147.333333333,100.0,6.06666666654,72.6666666667,108.666666667
203.47,154.285733333,47.1429999999,-14.7619333331,100.9524,56.1904666665,260.952266667,42.8571333334,51.9048,-28.4603111112,10.9524666666,33.8095333335
203.85,95.6520666666,56.9566,47.2462,79.4202,62.8986,131.739133333,57.6812000001,57.1016000001,36.9275355555,51.0146666667,59.1303333334
204.22,79.7530666666,59.2593333333,51.9342666666,67.6543333334,59.6707333333,103.209933333,57.6132000001,56.8726,45.0754955556,52.428,59.0946666666
204.60,82.1645333332,60.8658,57.5757333333,71.775,60.2598,106.84,57.7489333333,61.1256666667,45.3159,54.8052,62.6839333333
204.98,76.9104666666,56.8293333333,53.8211333334,67.2358,52.2765333333,103.983666667,53.5772666667,57.0731333334,44.0163933333,51.7073333333,57.2359333334
205.36,69.5035333333,49.8582,51.7730666667,62.1984666667,46.3120666667,92.2694666667,48.8653333333,54.2552666667,42.5862688889,51.4893333333,52.4822666667
205.74,59.0697333333,35.6588666667,37.287,46.1240666667,33.6434,82.7906666666,34.6510666666,40.2325333335,25.5245577778,37.5194,34.3410666666
206.12,50.0813333333,29.8375333333,30.0812666667,38.374,23.9837333333,78.7805333333,26.3415333333,32.2762666665,21.0678422222,33.1708,28.7805333333
206.50,53.8270666667,32.3458,34.4031333333,41.0699999999,24.6913333333,82.7984666666,28.6421333333,35.8025999999,26.0383977778,33.1687333333,32.6749999999
206.87,55.0220666667,28.3556,37.5111333333,48.7111999999,23.9111333333,87.2001333333,30.1334,37.8667333332,27.6385822222,35.2000666667,29.6889333333
207.25,46.2392666667,21.2822,32.1367333333,39.9998666667,17.8632666667,82.6495333333,21.0258,32.8205333334,23.0171533333,25.983,22.0512
207.63,49.1110666666,23.2221333333,29.3332,41.2221333333,13.5556,94.7777333334,21.111,36.4443333332,18.9074177778,22.4444666667,22.5556000001
208.01,42.7272666666,20.4544666667,14.5454666667,30.7574666667,-0.30300000002,106.363666667,2.57573333333,38.3334000001,9.68695111111,13.0303999999,8.03026666668
208.39,19.5402000001,5.0574,-9.8850666666,21.3792666667,-36.7814666667,128.046066667,-27.5860666668,34.9425333333,-12.6206955555,-11.0344666666,-23.6782666667
208.77,-65.7143333333,-82.8571333333,-169.047533333,-53.8095333332,-183.8096,150.0,-159.5238,-45.2381333336,-130.476315555,-141.904733333,-147.619133333
209.14,-5.3333333334,-10.6666,-59.9999999999,5.99993333333,-54.2222,92.4443333334,-58.8890666667,7.77780000014,-29.0074866667,-35.9999999999,-37.7778
209.52,-13.8462666665,-4.61539999992,-77.4359333333,2.0512666668,-58.4616,107.6924,-77.4358666667,18.4615333336,-26.8461288889,-44.6154666667,-51.7948
209.90,-20.8888666666,-16.8888000001,-123.111,33.3332666666,-94.2222666668,200.444466666,-108.888866667,60.8889999998,-18.2370533334,-54.6666666666,-46.2222000001
210.28,-103.809733333,-123.809533333,-291.428533333,-17.1429333341,-312.380933333,384.761933333,-302.857,56.190533334,-82.4762133332,-168.571333333,-176.190533333
210.66,-182.666666667,-205.333333334,-417.333333333,-86.6666666666,-456.0,468.0,-533.333333333,33.3333333348,-167.155555555,-218.666666667,-318.666666667
211.03,-27.4073999999,-9.25933333334,-81.8520000001,-9.62966666673,-111.851933333,147.407533333,-131.8518,44.8149333335,-34.3209622221,-30.3703333332,-39.9999999999
211.41,281.333333333,233.333333333,573.333333333,250.666666665,629.333333333,-252.0,642.666666667,23.9999999994,335.022222222,253.333333333,312.0
211.79,-496.666666667,-603.333333333,-1300.0,-516.666666666,-1546.66666667,870.000000001,-1516.66666667,-96.666666666,-821.888888889,-443.333333333,-689.999999999
212.17,-589.999999999,-816.666666667,-1333.33333333,-600.000000001,-1713.33333333,640.000000001,-1556.66666667,-223.333333334,-1095.88888889,-686.666666666,-810.000000001
212.55,-91.9999999999,-182.0,-232.666666667,-108.666666667,-343.333333333,120.0,-316.666666667,-28.6666666664,-200.177777778,-120.666666667,-153.333333333
212.92,-32.7537333333,-65.2173999998,-74.2030000001,-36.5216666668,-135.0724,69.2755333333,-133.0434,10.1449333334,-77.1883844444,-37.3913333334,-65.5072000001
213.30,-357.7778,-534.444333333,-568.888933333,-422.222199999,-756.666533333,-4.44453333334,-739.999866666,-240.0,-575.703691111,-484.4444,-521.111066667
213.68,558.888866667,770.000000001,796.666733333,597.7778,968.888933333,191.111133333,906.666666666,524.444466667,774.555617779,726.666666667,702.222133333
214.06,3620.0,4760.0,5046.66666667,3753.33333333,6113.33333333,1386.66666667,5886.66666667,3593.33333333,4989.55555556,4906.66666666,4666.66666667
214.44,-1213.33333333,-1586.66666667,-1771.11113333,-1135.55566667,-1928.88906667,-486.666666667,-1991.11113333,-1077.7778,-1662.88882444,-1591.11113333,-1546.66666667
214.81,3726.66666666,4866.66666667,5500.0,3100.0,5393.33333334,1300.0,5726.66666667,3066.66666667,4763.11111111,4406.66666666,4233.33333334
215.19,361.7778,445.333333333,497.777866667,297.7778,444.8888,190.666666667,483.111133333,310.666666667,409.125877778,417.777933334,407.111066667
215.57,-908.000000001,-1089.33333333,-1248.0,-597.333333333,-1132.0,-352.0,-1276.0,-744.000000001,-986.177777779,-1069.33333333,-1078.66666667
215.95,-364.444466667,-398.888866667,-470.555533333,-211.111066667,-425.555466667,-156.111133333,-507.2222,-257.2222,-351.648122222,-425.5556,-415.555533333
216.32,5080.0,5300.0,6266.66666667,2953.33333333,5546.66666667,2460.0,6706.66666667,3586.66666667,4728.44444444,5600.00000001,5666.66666667
216.70,474.359,471.282133333,576.410333333,298.974333333,514.358933333,258.9744,592.307733334,341.5384,458.529837778,534.358866667,509.230733333
217.08,231.025666667,224.359,274.871866667,143.333333333,247.179333333,131.538533333,280.256466667,165.640933333,222.22224,266.6666,239.487
217.46,1573.33333333,1428.889,1777.77786667,731.111133333,1677.7778,733.3334,1866.6666,875.555733333,1482.51855333,1688.88893333,1502.22213333
217.83,-400.666666666,-354.666666667,-445.333333333,-176.0,-450.0,-182.666666667,-495.333333334,-178.0,-399.066666667,-448.0,-406.666666667
218.21,-175.087733333,-152.631466667,-209.473733334,-76.8419999999,-209.8244,-83.1578,-237.192933333,-56.4911333333,-175.871513333,-200.701733333,-199.649133334
218.59,-50.6306666667,-41.6215999999,-67.7478666667,-6.30633333327,-76.2163333334,-15.6756,-91.1710666667,-2.70259999994,-57.9820866667,-67.7478000001,-58.9189999999
218.97,-32.5786666667,-17.1069333333,-43.2704,-7.92439999993,-57.3584,-10.566,-59.7484666667,-6.2892666667,-38.4485711111,-51.0692,-36.9811333333
219.34,-30.1755333333,-10.9942,-39.1811333333,-16.1404000001,-56.1402666667,-11.2280666667,-58.9472666667,-9.23980000002,-39.2826066667,-45.9650666666,-32.3977333333
219.72,-47.1698,-24.5282666667,-59.3710666667,-40.8805333333,-77.7358666667,-31.5722666667,-79.8742666665,-23.5222,-58.8678955556,-69.4339333333,-44.7798
