wavelength,Back_SpoMinf,Belly_SpoMinf,Breast_SpoMinf,Crissum_SpoMinf,Crown_SpoMinf,DorTail_SpoMinf,Patch10_SpoMinf,Rump_SpoMinf,Throat_SpoMinf,WingTip_SpoMinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,69.3333333333,81.3333333332,66.0,110.666666667,-4.0,49.3333333333,-8.66666666659,28.4444444444,82.6666666667,28.0
179.16,-320.0,-533.333333333,-606.666666667,-500.0,100.0,-173.333333333,-230.0,-91.1111111112,-233.333333333,26.6666666667
179.54,110.0,116.666666667,221.666666667,273.333333333,13.3333333333,180.0,190.0,70.0,223.333333333,86.6666666667
179.93,68.8888666666,-136.6668,31.1111999999,13.3333333333,-62.2221999999,119.999866667,105.5555,-26.6667555555,53.3333333334,-2.22219999994
180.31,583.333333333,313.666666667,612.333333333,580.000000001,171.333333333,478.0,534.333333333,248.666666667,642.0,348.0
180.69,294.782666667,180.000033333,316.376933333,298.2608,111.014466666,256.521866666,271.449233333,146.376844444,337.101533333,186.3766
181.07,238.444333333,138.222166667,260.999933333,224.8888,104.6666,207.111133333,227.777933333,117.037222222,268.666666667,152.888866667
181.45,246.666733333,121.904866667,244.999966667,209.761866667,98.3334000001,210.238066667,229.2857,117.460333333,277.142866667,145.714266667
181.83,280.266666667,145.2,288.666666667,222.666666667,106.4,239.466666667,256.0,139.022222222,309.066666667,177.333333333
182.21,353.666666667,218.333333333,376.666666666,284.0,134.666666667,304.666666667,303.666666667,191.111111111,385.666666667,221.666666667
182.59,258.0,189.222333333,267.444333333,223.777866667,111.777866667,236.444466667,234.1112,169.703622222,280.4446,162.666733333
182.97,300.512933333,225.512866667,293.846133333,265.384733333,143.076933333,292.051266667,258.333366667,210.341844444,320.256466666,200.769266667
183.35,231.296333333,182.499966667,219.9076,194.6298,114.259333333,226.2964,196.2962,172.9012,239.629666667,159.814866667
183.73,360.666666667,291.666666667,344.833333333,282.333333333,142.666666667,348.666666667,274.5,252.555555556,349.333333333,203.0
184.11,1984.44446667,1637.77773333,1985.55566667,1357.77793333,657.777733333,1935.55553334,1456.66676667,1368.14817778,1842.2222,871.110999999
184.49,5720.0,4763.33333333,5910.0,3573.33333333,2060.0,5493.33333333,4306.66666667,4104.44444445,4700.0,2066.66666667
184.87,-219.733333333,-162.4,-213.066666667,-111.733333333,-56.5333333333,-192.0,-163.333333333,-156.711111111,-148.266666667,-56.5333333333
185.25,-111.527733333,-77.5000666667,-101.389033333,-53.1945333334,-23.6111333333,-100.9722,-88.5415333333,-87.5462666667,-71.6666000001,-24.4444
185.63,-155.447133333,-127.317133333,-160.081333333,-92.3577999999,-61.6259999999,-145.2034,-134.227566667,-137.344111111,-115.772266667,-73.1708666667
186.01,-89.4340000001,-57.4213333333,-83.3961333334,-42.2641333334,-19.7484666667,-68.4276666667,-66.5408666667,-72.2431555556,-53.0817333334,-22.7673333333
186.39,-87.2618666667,-45.3571666667,-74.7618666667,-33.8094666667,-17.5,-57.8571333333,-60.8332666667,-64.9605111111,-49.4047333334,-17.1428666666
186.77,-58.4945333334,-22.742,-52.7957666667,-9.3548,6.66666740003e-05,-30.0001333333,-32.4731333334,-42.0789111111,-20.6452666667,0.645066666674
187.15,-41.4284666667,1.78573333333,-50.2380000001,17.8571333333,22.3810666667,-3.80946666668,-17.9762333334,-26.6270222222,0.357066666666,19.0477333333
187.53,-27.7418,18.8709666667,-36.2903333333,26.3441333333,30.9677333333,10.1075333333,0.215000000007,-12.7957333333,13.0106666667,29.2473333333
187.91,-31.6385333333,11.4124666667,-40.4520333333,25.5366666667,24.2938,3.50286666666,3.50279999999,-17.0997333333,8.2486,19.6610666667
188.29,-38.6666666667,3.13333333334,-56.4666666667,21.6,19.4666666667,0.0,2.19999999999,-22.6666666667,2.53333333333,12.2666666666
188.67,-19.8764,16.1728333333,-36.6666333333,36.1728666667,30.8642,13.2099333333,12.7161333333,-12.0164,7.16053333333,19.3827333333
189.05,-10.8045333333,22.6436333333,-52.9886000001,86.8966666667,59.7700666667,36.7817333333,42.5287666667,-4.98093333332,25.9771333333,46.6665333333
189.43,-61.1110666669,-34.1666333334,-205.555633333,156.6666,88.8888,39.4444666665,41.3891,-54.0740666668,21.1110666668,59.4444666667
189.81,-150.0,-13.3333333334,-514.166666666,530.000000001,310.0,171.666666667,189.999999999,-47.7777777779,196.666666667,403.333333333
190.19,152.222266666,151.388866667,232.361,31.3889333334,88.6111333332,131.388866667,103.333333333,153.148177778,96.9443333333,46.9443333333
190.57,116.989266666,134.516133333,189.569866667,39.5698666667,89.2474,115.2688,94.9461999999,133.046666667,79.9998666667,56.3440666667
190.95,123.783733333,141.982,182.522466667,64.3244000001,105.405533333,129.5496,98.8286333333,141.020977778,98.1982666667,78.5585333333
191.33,139.512266667,162.6017,183.495966667,83.7398666667,119.024533333,149.9186,108.780566667,159.837444444,111.544666667,81.4634666666
191.71,138.070133333,187.631633333,194.473633333,90.0000666666,132.105333333,159.649133333,124.1227,175.555511111,126.140333333,87.1930000001
192.09,141.111066667,194.259333333,203.796466667,94.6295333334,133.518533333,165.740666667,133.888866667,186.666622222,137.5926,89.4443333334
192.47,116.239466667,167.265166667,168.632433333,76.7520000001,109.914533333,134.3588,114.9574,167.578333333,114.53,62.5641333335
192.85,90.0681333333,127.551133333,121.904733333,52.1087333333,77.2789333334,99.0475333335,75.9864,118.457955555,75.2380666667,30.3400666667
193.23,138.765466667,185.432,198.5186,70.1234666667,112.592466667,154.8148,93.8272000001,179.506111111,94.8147999999,27.6542000001
193.61,125.897466667,181.153766667,181.922933333,56.1537999999,104.102533333,142.564133333,50.8975,170.854666667,73.5897333333,27.1794666666
193.99,109.666666667,195.0,186.333333333,26.3333333334,103.0,137.666666667,20.6666666667,182.0,58.3333333333,20.3333333333
194.37,68.4847333335,249.6971,175.454566667,-63.0303999999,70.9090666667,81.2120666666,-91.8182,182.424111111,-20.6060666667,-60.6060666665
194.75,89.1666666669,232.708333333,165.208333333,-7.08333333334,84.9999999999,102.916666667,-15.4166666667,159.305555556,22.5,-7.0833333334
195.13,41.2120666667,134.545433333,97.7273000001,-40.6060666666,41.8182666667,55.7574000001,-23.4849333334,92.7272222224,-27.5756666667,-16.3635999999
195.51,33.3333333334,116.533333333,68.4,-47.2,43.1999999999,40.2666666667,-24.0,64.2666666666,-30.9333333333,-7.73333333326
195.89,49.0321333333,113.333233333,64.5163,-19.5698666667,49.2473333334,39.5698000001,2.04289999998,57.9211555555,-24.0859333333,7.95693333326
196.27,35.2136,70.7693,38.5469333333,-18.6324666667,38.4614666666,21.7094666667,-7.69233333333,35.0427333334,-37.7777333333,2.73486666664
196.65,43.3334,63.3333666666,48.125,-4.72226666667,50.8333333334,36.9444,7.5693666666,40.2315333333,-23.7499333333,26.389
197.03,52.9486666667,67.4358666666,54.9359333333,11.5384666667,68.8462000001,47.9486666667,25.5769666667,49.3590888889,-5.51273333332,43.3334
197.40,55.6566,72.4747333333,52.4749,25.1516,69.7980666666,48.4848666667,39.9999999999,54.6802222222,14.2424666667,45.0504666667
197.78,40.9089333333,56.7172000001,34.4445666667,11.6161333333,60.7070666667,34.1414666667,26.4142666667,38.6196888889,0.100933333326,27.3738
198.16,40.4973333333,63.9303333334,37.5123666667,15.9204666667,65.1741333333,37.1143333333,20.8458,39.9004444445,-5.17406666666,26.4677333333
198.54,42.7706,61.5151333333,43.1169,22.5973333333,68.4849333333,42.5975333334,25.7575666667,44.0405555556,1.81819999999,26.3202
198.92,28.6386,51.5022333333,28.4976333333,12.2066,65.6339333333,28.4507333333,9.76516666667,32.6447111111,-14.0845333333,15.6808
199.30,30.5164666667,54.8826666667,29.5305666667,18.3098,70.5164666668,30.2348666667,9.8592,34.6478666667,-8.54459999999,17.5584666667
199.68,15.5555333333,41.4647666666,17.2729333333,8.68686666666,65.2525333333,19.0908666667,0.80806666666,27.0706,-26.5657333333,10.5050666667
200.06,8.94739999999,33.7718666666,8.90353333335,3.68419999999,60.3507333333,18.3334,-4.3422,24.7367333333,-23.5088,7.63153333334
200.44,13.9008,38.8296999999,13.6170333333,10.0,60.0000666667,21.6312,5.1419,29.9526444444,-9.07799999999,9.92913333334
200.82,9.21353333335,44.1572333333,7.19093333334,6.14226666666,59.0261333333,15.6554666667,-1.53566666666,26.6916444444,-12.6591333333,0.44946666666
201.19,-0.49646666666,36.6667666667,1.9857,2.48219999999,49.2908666667,9.57453333333,-8.9716,20.4255111111,-18.1559333333,-4.18433333334
201.57,2.33006666664,32.9126666667,6.27826666667,5.95466666669,48.4143333333,13.3980666667,-5.79283333334,22.0712888889,-13.2039333333,-0.129533333328
201.95,5.30846666666,37.2840333333,10.2777666667,8.58033333333,50.6790666667,13.642,1.54320000002,25.4319111111,-8.82706666667,1.17279999999
