wavelength,Back_ConTamm,Belly_ConTamm,Breast_ConTamm,Crissum_ConTamm,Crown_ConTamm,DorTail_ConTamm,Patch10_ConTamm,Rump_ConTamm,Throat_ConTamm,WingTip_ConTamm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,23.3333333333,-90.0000000001,-27.6666666667,116.666666667,-39.9999999998,-16.6666666664,26.6666666667,23.3333333334,-19.9999999999,16.6666666668
179.16,76.3636,54.5454,95.2121200001,90.9091333333,50.303,59.3939999999,84.2424666667,64.2424,65.4545333334,67.2728
179.54,50.3703333333,32.5926,63.0742,68.8888666667,44.0740666667,50.0,58.889,46.2962222222,52.9629333333,59.2593333334
179.93,95.5555333335,61.1109999999,113.4444,156.666666667,61.1110666667,130.0,137.7778,79.6295555557,131.110933333,85.5555333333
180.31,41.0186,-3.148,42.53692,58.0554666667,14.7220666667,41.5740666667,38.8889333333,22.9321333333,37.0370666667,21.4814666667
180.69,33.7165333333,-6.36,30.5286933333,47.2030666667,10.1149333333,31.9540666667,28.8122666667,13.6909111111,26.3602,12.4137333333
181.07,30.7216,-1.64953333332,29.6289733333,43.9863333333,9.20966666668,32.1647333333,25.2922,9.46162222223,23.4364666667,10.8592666667
181.45,27.3684,-1.47366666666,24.8000066667,42.9472666667,9.19300000002,29.544,21.8246666667,3.71935555554,22.4560666667,7.92986666665
181.83,17.1193333333,-12.9217333333,10.0824,31.1934,-3.62146666667,19.0124,8.39500000001,-11.7421333333,10.8642,-6.09053333334
182.21,16.2394666667,-17.1793333333,6.09402000001,23.7607333333,-5.64106666668,15.8974,3.67526666668,-16.0683555555,1.70933333332,-10.0854666667
182.59,20.4762666667,-6.19059999999,9.27776666667,28.8096,3.9682,16.2698,11.5079333333,-10.6348444444,5.79353333334,-6.34913333333
182.97,23.5833333333,3.25,8.69166666668,36.25,4.91666666668,13.9166666667,9.58333333333,-13.9722222222,2.08333333334,-8.0
183.35,32.3077333333,20.0000666667,18.95982,44.7617333333,14.1392666667,27.9120666667,20.0732,1.29417777777,11.3554,7.39919999998
183.73,26.9166666667,13.8333333333,13.2083333333,48.0,5.74999999998,22.6666666667,13.6666666667,-5.47222222222,3.75,5.58333333333
184.11,29.0626666667,11.9792666667,14.4792866667,56.5625333333,5.41686666668,27.6044,8.75006666667,-8.71506666666,-5.83313333334,6.14593333333
184.49,34.9333333334,21.2000000001,16.4933333333,71.0666666666,9.2,39.5999999999,12.1333333333,-8.22222222223,-8.40000000002,14.1333333333
184.87,59.5349333333,44.6511333333,50.1705133333,97.9844666668,29.3023333333,73.4883333333,43.1007333333,14.8837333333,15.9689333334,41.7054666667
185.25,60.9008666666,30.8106666665,43.4954466667,96.9369333334,25.4053333334,67.3874000001,35.1351333333,6.30631111111,9.54959999992,35.6756666667
185.63,59.0991333333,11.7116666665,26.8829333333,83.7836666667,18.0178666667,52.6127333333,18.3784666667,5.46551111112,-4.68459999986,23.6036666667
186.01,101.875,42.0833333333,58.4583333334,127.708333333,57.2916666666,90.0000000001,40.4166666667,36.0416666666,16.4583333335,44.1666666666
186.39,108.666533333,54.4444000001,60.7110933332,146.6666,62.4444666667,97.7777333335,30.6666,28.2962888889,27.9999999999,48.8888666666
186.77,172.592533333,93.7038000001,95.14822,235.185066667,88.5184666666,153.703866667,38.8889333333,38.765488889,46.6666666666,76.2963333333
187.15,2220.0,246.666666668,494.666666668,3253.33333333,813.333333334,1940.0,-73.333333332,-86.666666666,93.333333334,399.999999999
187.53,-162.777866667,47.2221333334,8.94433999994,-229.4442,-38.3333333333,-115.000066667,53.8889333333,63.1481555555,10.5556,6.1111333334
187.91,1244.44446667,428.888866667,578.222293333,1553.33333333,764.4444,1051.11113333,322.222133333,331.851822221,660.000133332,404.444400001
188.29,3446.66666667,1046.66666666,973.333333333,4353.33333333,2040.0,2500.0,626.666666668,671.11111111,1700.0,760.0
188.67,552.5,277.500000001,250.916666667,728.333333333,408.333333334,464.166666667,215.0,178.888888889,367.5,223.333333333
189.05,-1406.66666667,-653.333399999,-436.666653334,-2048.889,-1064.44453333,-1064.4444,-391.111133332,-439.999955556,-1006.6668,-555.555599998
189.43,-363.333333333,-212.380933333,-132.904693333,-516.666666666,-290.952333333,-279.5238,-142.857133333,-170.1588,-280.0,-187.142933333
189.81,-158.494533333,-96.1290666668,-44.88168,-225.1614,-118.7096,-121.075266667,-57.2041999999,-78.9247333334,-125.376266667,-83.871
190.19,-101.395266667,-50.6975333332,-24.1085199999,-156.123933333,-70.2324666668,-75.6587999999,-33.3333999999,-50.956,-79.0697333333,-60.3099999999
190.57,-65.4971333333,-30.5262000001,-10.4327333333,-105.848,-48.3041333333,-41.4034666665,-17.0760666667,-33.4502222222,-50.8771333333,-34.6199999999
190.95,-46.937,-14.6848000001,-1.49551333334,-70.8108000001,-33.2431999999,-23.8740000001,-0.540599999954,-18.8289111111,-33.4234,-20.4504666667
191.33,-47.4896,-19.9177333333,-2.78189333334,-64.033,-32.0987999999,-20.576,-0.082199999994,-17.8601111111,-34.9794666666,-23.7038666667
191.71,-49.9206666667,-25.2382666667,-6.37294666666,-63.4921333333,-37.4603333334,-17.7777333333,-1.42846666665,-18.6772444444,-35.9523333333,-25.2380666667
192.09,-23.6309333333,-4.9404,14.2440866667,-30.0,-14.4047333333,4.5834,14.1666,0.9524,-10.2975333333,-4.34513333333
192.47,-30.3245333333,-20.767,4.10013333333,-35.9292,-24.5426666667,-3.89373333333,6.72553333333,-5.72277777776,-23.3628666666,-11.9173333334
192.85,-24.7616666667,-17.0371333333,8.69302666667,-28.4127333333,-19.6825333333,1.21700000001,7.46033333335,-4.6562,-18.2539333333,-8.14806666667
193.23,-15.9486666667,-11.4872,15.17952,-19.7435333333,-13.7948666667,8.92320000002,13.9487333333,2.34184444445,-10.5640666667,-1.64106666667
193.61,-17.1428666667,-14.8148,15.14824,-20.2116666667,-14.7619333333,7.77766666666,14.2327333333,0.63500000002,-12.3280666667,-2.01053333333
193.99,-15.2312666667,-17.0317333333,11.0170733333,-20.2919333333,-16.7396666667,3.747,12.8467333333,1.10293333334,-12.8954,-1.94660000002
194.37,-10.047,-16.3382,18.4460066667,-12.8169333333,-11.5024666667,8.30993333334,17.9342666667,6.85455555555,-8.96713333333,6.24413333334
194.75,-21.5152,-28.8888666667,11.0100466667,-23.6363333333,-21.2122666667,-1.76773333335,7.67673333333,-5.31995555555,-21.5151333333,-4.3434
195.13,-35.5152666667,-45.2726666667,5.01823333334,-38.1818666667,-35.8788,-11.5757333333,-3.69686666666,-18.707,-35.1514666667,-13.5756666667
195.51,-46.5964,-62.7366666667,-0.64560666666,-53.6841333334,-53.6840666666,-23.1577333333,-12.6315333333,-31.5086666667,-49.4735999999,-23.5789333333
195.89,-34.8365333333,-56.4051333333,10.6471133333,-39.6078666667,-40.3922,-13.9215333333,-4.11766666667,-24.7494222222,-41.5686,-16.2092
196.27,-25.3060666667,-49.7278666666,19.9524733333,-31.7687333333,-32.5850666667,-7.89113333333,3.80953333333,-15.8730222222,-35.8503333333,-10.068
196.65,-14.2943333333,-26.3064,28.3063933333,-19.3992666667,-19.1591333333,1.74166666666,11.2312666667,-6.62660000001,-18.9188,1.14119999999
197.03,-17.9628666667,-30.6174,23.0246466667,-23.9506666667,-23.7654,-3.08626666666,9.81473333335,-9.77357777777,-22.5926,-0.123533333333
197.40,-18.2072,-27.7308666667,20.3136333333,-22.297,-22.521,-2.40886666665,9.63586666668,-8.72082222222,-19.5518666667,1.34446666665
197.78,-1.86486666667,-9.69706666668,29.3985866667,-4.28906666667,-6.66673333333,14.1724666667,20.3264666667,6.51128888891,-4.52206666668,15.5244
198.16,-1.22560000001,-8.3824,33.6324066667,-1.27453333332,-3.82373333333,17.7451333333,18.9706,4.73868888888,-2.89226666666,18.5785333333
198.54,0.6516,-4.56146666667,35.9248333333,1.75433333335,-1.7544,23.3083333333,19.3484,4.61155555556,-0.802066666646,19.3482666667
198.92,11.3598,5.96493333335,41.41224,12.0174666667,7.45613333334,31.3158666667,27.4123333333,13.728,9.91226666666,27.0615333333
199.30,16.1693333333,8.87659999999,40.81766,15.0645333333,11.7128,32.3388666667,29.2449333333,17.5198444445,12.8176,27.2928666667
199.68,17.6649333333,11.2351333333,38.99156,17.7666,14.9915333333,32.3180666667,29.3062,18.8719111111,13.1302,27.2420666667
200.06,19.6649333334,15.8123333333,38.65652,19.598,16.0134666667,34.4388,30.9214,20.5138222222,14.7068666667,28.3082
200.44,17.3529333333,13.6600666667,34.8235866667,19.9019333333,13.5948,34.2485333333,30.2941333333,17.4292444444,14.0196,25.8496666667
200.82,20.0315333333,14.4656666667,37.4182066667,22.9245333333,16.2893333333,37.6099333333,32.4529333333,20.1888,15.7232666667,26.8553333333
201.19,23.6085333333,19.6939333333,41.7338333333,28.5322,20.1834666667,41.9267333333,35.1682,22.9460444444,19.266,29.1744
201.57,22.6101333333,18.8364666667,40.27988,28.3646,18.7421333333,40.9748666667,33.6478666667,20.5240666667,16.4780666667,26.0691333333
201.95,19.8604,15.602,39.3612866666,26.6317333333,16.1256,39.2320666667,31.1342666667,16.9750666667,13.9966,21.3263333333
202.33,26.2944,21.2182666667,43.3300666667,32.1489333333,20.9475333333,45.2453333333,39.0525333333,25.8658,18.5448,25.5837333333
202.71,20.6847333333,15.0991333333,37.00534,25.9818666667,14.4504,38.6306666667,33.946,20.7929333333,10.9910666667,18.4864666667
203.09,23.1852666667,19.4075333333,40.4888733333,29.3703333333,17.8889333333,42.1482,38.5926,24.3827111111,12.7408,21.0370666667
203.47,28.7805333333,27.8862,47.0446866667,36.8699333333,24.5935333333,49.9187333333,45.8536,29.1192888889,18.0895333333,24.7154
203.85,30.5485333333,29.578,49.8438866667,38.7765333333,26.6245333333,50.5485333333,47.1308,29.6061777778,19.789,25.7805333333
204.22,29.3512666667,25.2349333333,51.6330266667,36.689,26.2639333333,49.4407333333,46.3534,28.1729111111,20.0895333333,23.8479333333
204.60,31.2408,25.3040666667,55.3916666667,37.8102,28.4671333333,49.5376666666,45.9368666667,28.4185111111,20.2433333333,25.0124
204.98,30.4064666667,25.5284,57.4526466667,38.9701333333,29.3224,50.0271333333,46.6664666667,28.1662666667,18.5365333333,24.9322666667
205.36,28.8073333333,21.6513333333,57.1253333333,36.6362000001,29.1743333333,49.6636666667,48.5015333333,26.5240222222,14.1283333333,20.6727333333
205.74,33.205,23.5256666667,61.7115866667,44.9359999999,38.0768666667,54.6154,53.9743333334,31.9444444444,20.9615333333,26.6025333333
206.12,31.1727333333,25.0616,57.4074599999,45.2468000001,35.3703333333,47.0987333333,51.1109333333,29.7530666667,16.9753333333,25.926
206.50,24.3056,21.1806,53.4791000001,40.0694666667,31.1806666667,38.4028,43.8194666667,19.0278444444,7.22226666667,18.9584666667
206.87,32.2977333333,28.22,63.3075466667,46.7960666666,38.9646,44.7896666666,53.2686666667,28.2199555555,16.8284666667,29.903
207.25,22.0324,16.26,59.7802333332,35.3660000001,28.1301333333,32.439,45.6098000001,16.0162888889,2.35766666668,14.0648666667
207.63,17.2294666667,6.23380000001,56.2424199999,30.6494,24.935,30.3895333333,40.6061333333,11.573,-3.1168,12.7273333334
208.01,20.8889333333,11.6444,56.87106,38.7555333335,29.8666,39.9999333333,46.6666666667,13.0073333333,3.37786666666,17.3332666667
208.39,22.5204,19.7559333333,54.1382200001,38.9429333334,31.4634666667,41.7884666667,46.8292,15.9349555555,5.77219999998,19.9186
208.77,12.8137333334,18.961,49.4978,27.7057333333,25.7142000001,33.7662666667,39.1342666667,12.3810888889,-4.58886666666,10.0432666667
209.14,3.89733333328,12.5126666666,41.1179599999,21.0256,16.5128,27.5896666667,31.0769333334,1.19664444446,-15.2821333333,-3.28200000001
209.52,15.0,23.7721333333,52.7104933334,33.9474000001,27.3685333333,39.9122,38.5964000001,13.8888222222,0.78953333332,12.9822666667
209.90,16.1788666667,20.813,53.6585466667,30.569,24.3902666667,37.9674,36.1789333333,13.5500888889,-1.30079999998,11.6259333333
210.28,19.9268,22.784,55.6189866667,30.696,29.0842666667,41.2455333334,36.3369333333,16.9229555555,7.03293333334,18.0219333333
210.66,14.4828,15.7854,51.43304,24.7508666667,24.6743333333,34.4827333333,33.8697333333,12.9501777778,3.9848,10.5747333333
211.03,14.6511333333,18.6822,45.0697,25.659,25.8914,32.3256,30.1550666667,9.22475555556,3.33333333332,6.27913333333
211.41,24.7618,26.1903333333,52.4829666667,38.0951333333,36.3264666667,41.6327333333,37.0066666667,18.3218666667,15.9862666667,19.1836
211.79,26.2666666666,28.1333333333,53.6,39.1333333333,34.0,38.4,37.2666666667,19.5555555555,12.9333333334,17.0666666667
212.17,26.1017333333,27.6272,50.9491866666,33.8418,33.0509333333,33.3898666667,35.1977333333,23.7098,12.7683333333,18.5875333333
212.55,29.9226,33.7982666667,53.67446,39.6899333333,37.3642666667,36.5374666667,36.8474,29.3367333333,19.4831333333,25.8912666667
212.92,38.8520666666,39.3376666667,54.6976066667,46.8433333333,43.841,45.3861333333,43.5319333333,35.2024666667,28.9182,35.8058
213.30,40.9592666667,39.6644,58.0385,48.5851333333,47.6259333333,47.7696666666,45.0838666667,35.6514888889,29.7840666667,36.7865333334
213.68,36.7741333333,39.6774,51.81698,48.0107333333,46.4515333333,41.9893333333,40.3763333333,30.3942,26.6666666667,31.0214666667
214.06,38.0056666667,47.6923333333,53.3276666667,51.738,51.7379333333,43.8176,43.6467333334,33.2194,31.6808666667,35.5554
