wavelength,Back_TiaCanm,Belly_TiaCanm,Breast_TiaCanm,Crissum_TiaCanm,Crown_TiaCanm,DorTail_TiaCanm,Patch10_TiaCanm,Rump_TiaCanm,Throat_TiaCanm,WingTip_TiaCanm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,76.6666666667,42.8570666667,70.4761333334,79.9999999999,65.7143333333,64.7618666667,66.6666,76.1904,57.1426666667,58.5715333333
179.16,94.6666666667,61.3333333333,108.666666667,104.0,85.3333333334,77.3333333333,80.0,97.9999999999,79.3333333334,66.6666666666
179.54,64.2423333333,64.8485333334,81.2121333333,46.6665333333,56.3637333333,56.3637333333,58.1818666666,65.4546,55.7575333333,55.7574666667
179.93,92.5739333332,70.6328666667,96.7932000001,80.3374666665,71.3923333334,75.9495333333,78.1435333333,82.5317333334,79.6626000001,73.9241333333
180.31,102.682933333,76.0162666667,101.87,89.2681333335,77.5609999999,83.1707333333,82.2765333333,90.6504000001,89.0244000001,81.6260666668
180.69,112.702666667,88.0179999999,111.351333333,96.6666666667,83.7838000001,91.1712666666,86.4865333333,98.0181333335,100.5406,90.8108
181.07,103.636466667,80.9522666665,100.086533333,84.1558666668,74.3721999999,82.8572000001,81.9914666666,87.4458000001,91.9480666667,89.3507333333
181.45,106.280066667,79.9033333333,98.5506666665,87.0531333333,71.5942,85.9903999999,87.2464,87.5362666666,96.4250666665,92.4638666668
181.83,92.6104666667,71.0038666667,86.9077333334,81.5259999999,62.8112666667,79.7590666667,78.7952,75.4217333333,83.2128666667,78.233
182.21,86.7378000001,66.9503333333,81.7730666666,78.0141999999,61.2766666667,73.9717333333,75.7447333333,68.6523333334,79.2198,71.4184666667
182.59,83.0302666667,62.0454666667,77.2727333334,74.7727999999,55.3031333333,69.8484666667,71.2122666667,65.8333333333,76.0604666667,64.2422666667
182.97,92.7968666667,69.0421333334,84.2912666667,85.6704666666,63.1418,78.5441333333,80.3832,75.0958666666,89.0421333333,76.2451333333
183.35,98.8764666667,71.7603333333,89.4380666667,93.0336000001,68.5394666665,81.4232,87.7902666667,79.1760666667,98.2771333333,82.4717333333
183.73,86.4583333333,62.4306666667,81.1110666667,79.6527333332,57.7081999999,71.3889333333,77.7778,66.5971999999,87.7082666667,71.1112000001
184.11,86.4518,62.3656000001,84.5878666667,82.3655999999,59.7132000001,71.3978666667,82.509,64.7312000001,90.6093999999,71.0394666666
184.49,96.2224000001,71.3333999999,94.8888666667,94.5926000001,65.8517333333,79.9998,90.3703333333,74.4444000001,101.925866667,74.3703333333
184.87,94.0123333333,70.4320666667,94.6297333333,91.1728666667,67.2223333333,76.8518666667,85.6173333334,76.9135999999,99.9382000001,71.9752666667
185.25,96.0,73.7778666667,99.2380666666,93.9681333333,71.9365999999,77.7776000001,91.3016666668,83.3651333333,106.4126,79.5555333334
185.63,93.1958666667,67.2852666667,93.7456666667,91.9586666668,66.8729333333,75.8764666667,89.8969333333,84.3988000001,104.192533333,78.1443999999
186.01,95.2174666667,65.7970666667,95.3623333333,95.145,68.0434666666,78.4058000001,94.9276666667,85.2898666667,105.507333333,79.9997999999
