wavelength,Back_TacRufm,Belly_TacRufm,Breast_TacRufm,Crissum_TacRufm,Crown_TacRufm,DorTail_TacRufm,Patch10_TacRufm,Rump_TacRufm,Throat_TacRufm,WingTip_TacRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,87.2,81.3333333333,126.0,100.666666667,115.333333333,82.6666666667,116.666666667,111.333333333,114.666666667,119.333333333
179.16,99.1765266665,94.5098666666,89.4118000001,89.0195575757,97.2550666666,94.5098333333,100.392133333,95.2940666667,84.7060666667,114.902
179.54,121.833333333,130.416666667,144.166666667,145.378787879,140.833333333,128.333333333,121.666666667,148.333333333,143.333333333,164.166666667
179.93,44.6665533334,72.5926,44.4443999999,54.2760484849,27.4073333333,92.2222,69.6295333335,42.9628666667,83.7036666667,55.5556666667
180.31,88.0001,90.4167333333,67.8571333334,74.8268969697,99.7619333334,75.7739666665,107.0238,99.7618000001,86.1905333333,127.5002
180.69,82.0378466667,93.7736333333,62.6415333333,72.9559090909,100.0,82.3898,110.565933333,99.6225333335,83.3961333335,131.572266667
181.07,125.456866667,158.0247,82.2222666667,102.671163636,151.111,132.592833333,179.259266667,156.049333333,121.728266667,231.358133333
181.45,-450.999999999,-1028.33333333,53.3333333348,-219.090909091,-933.333333332,-588.333333334,-1193.33333333,-830.000000001,-496.666666667,-1763.33333333
181.83,-51.3333133333,-217.1428,74.2857333333,27.7922060605,-233.3332,-118.571366666,-333.333333333,-178.0952,-93.3333333335,-421.904733333
182.21,7.48149333334,-25.8023666667,46.6666666665,45.2524000001,-48.8888666667,5.43203333328,-64.9381333334,-29.8766666667,23.7035999999,-82.2223333333
182.59,-8.56934000002,-14.0973,16.3888666667,16.9192909091,-36.3888666667,-7.63876666667,-51.389,-28.0555333333,14.7223333333,-60.9722
182.97,-12.5792733333,-16.3934666667,5.3552,7.29255757577,-28.9617333333,-14.317,-43.4972666667,-21.4207333333,6.01099999999,-49.1802666667
183.35,-19.34434,-26.4480666667,-4.15299999994,-3.6959878788,-35.5192666667,-25.4645,-47.3224,-25.0274,-9.83593333334,-54.8632666667
183.73,-17.0544933333,-29.2121666667,-6.90913333326,2.07165454546,-33.9394000001,-23.0301999999,-50.6667333333,-19.6363333333,-11.1515999999,-58.3028666667
184.11,2.05965999998,-10.1492666667,5.37306666666,11.8769333333,-16.5174666667,-9.25373333334,-27.164,1.19413333333,2.48753333333,-38.0102
184.49,13.05358,3.6625,9.30053333334,19.5360727273,-0.90533333334,2.63376666667,-13.1687333333,10.6173333333,13.498,-19.0946
184.87,12.1111466667,5.45133333332,8.47206666666,19.6969454546,1.18046666669,5.65976666667,-7.36093333333,9.72219999999,11.3889333333,-15.486
185.25,5.51894666667,-2.36276666668,4.97893333334,11.9293090909,-11.5611333333,-7.51043333334,-21.0970666667,1.519,3.71306666669,-25.9071333333
185.63,-11.6140333333,-18.8157,-13.5088666667,-8.08607272726,-28.9473333333,-28.9911333333,-38.5965333333,-17.193,-14.6490666667,-40.9649333333
186.01,-10.2169933333,-21.8217666667,-9.45746666667,-9.51372121211,-23.876,-26.1239333333,-27.287,-10.1550666667,-9.92246666669,-40.4651333333
186.39,-21.7236533333,-34.7560333333,-24.1464,-23.3704424243,-33.9024666667,-38.5365,-38.6178,-20.7316,-21.3008,-59.1056666667
186.77,-27.65298,-49.9087,-37.8995333333,-34.0472363636,-44.9314666667,-51.0959000001,-41.5525333334,-24.2008666667,-31.7808,-68.4018
187.15,-1.27277333332,-24.0909,-12.7272,-13.4366121212,-21.5908666667,-24.8485333333,-17.9545333333,-1.81813333333,-10.4546,-39.6212
187.53,6.61102000001,-11.7900666667,-1.48153333333,0.869751515154,-8.51846666667,-12.1604666667,-6.04946666667,6.91353333335,-0.06173333332,-26.8517333333
187.91,21.5701,3.59916666666,11.2077333333,12.2089878788,6.95646666667,0.79723333334,11.2559333333,19.372,12.5602,-4.54086666666
188.29,17.8129733333,-1.63066666666,6.52273333332,7.78286666665,5.08406666667,-1.63066666666,9.64026666666,16.0671333333,10.9831333333,-4.26853333334
188.67,21.5990866667,-0.8455,9.7584,12.7932727273,7.39133333333,0.62806666666,13.6713333334,20.4346666667,14.5411333333,-0.28993333332
189.05,21.76638,-2.87100000001,9.78093333333,13.607739394,8.27246666667,3.13863333332,14.7444666667,22.3843333333,15.2796666667,-0.29173333334
189.43,24.8917466667,3.65183333333,13.1633333333,21.1425515151,14.5647333333,10.4248,23.3971333333,27.0486666667,22.8026,9.12959999999
189.81,26.9199266667,5.53316666667,17.0668,24.9938787879,17.2000666667,14.6667,26.0889333333,29.5112,25.9557333333,10.8444666667
190.19,33.9458333333,14.7708333333,26.5833333333,32.7348484848,25.6666666667,23.6458333333,31.9166666667,35.5416666667,31.9583333333,20.7916666667
190.57,42.3927666666,23.6507666667,35.1192,38.0735818182,33.5713333333,33.7895666667,41.3096,44.8809333333,36.2699333333,29.0872666667
190.95,43.9673,28.0797,37.9348,42.2199939394,36.1594666667,37.6087,41.8477333334,46.2318,38.0797333333,30.7608666667
191.33,41.94232,27.1890666666,34.5585333333,41.7329818182,33.946,35.2432333333,40.4684,44.1081333333,35.8557333333,28.7568666667
191.71,39.3061266667,23.2945,31.2791333333,39.3587333333,30.3488,34.5154666667,40.2712666667,42.9456666667,35.155,28.4108
192.09,36.51352,17.3873,25.7658,33.7714727273,23.4685333333,29.4818666667,36.3064,38.0631333333,33.2432666667,18.9639333333
192.47,31.8491266667,10.2433666667,18.3942,29.4580363636,15.7664666667,21.7518666667,30.9975333333,32.9926,25.8882666667,10.511
192.85,23.36324,6.26866666665,11.8904666667,21.5603757576,10.6966,19.7760333333,31.2437333333,29.7014666667,20.3978666667,7.06466666667
