wavelength,Back_GeoForf,Belly_GeoForf,Breast_GeoForf,Crissum_GeoForf,Crown_GeoForf,DorTail_GeoForf,Patch10_GeoForf,Rump_GeoForf,Throat_GeoForf,WingTip_GeoForf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,778.888888889,1020.0,400.0,633.333333333,693.333333333,733.333333333,973.333333331,833.333333334,703.333333333,600.0
179.16,61.0091922222,81.6665333333,49.4444666667,68.8889333333,53.3333,81.1112000001,81.1109999999,90.5555333333,88.9813888888,61.1111666667
179.54,181.777777778,333.333333333,33.3333333333,300.0,49.9999999999,226.666666667,380.0,260.0,-86.6666666664,108.333333333
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,183.421173333,239.166666667,114.444466667,130.277933333,114.999933333,266.9444,207.5,211.6666,125.925988889,127.083166667
180.69,270.561738889,345.555666666,164.4444,186.2964,167.7778,390.000066667,299.259266667,319.259266667,188.086355556,216.203666667
181.07,234.549518889,279.999933334,129.2592,134.8148,117.5925,365.925733333,218.888933333,272.2222,157.098777778,198.14825
181.45,679.190358889,695.238133333,400.9524,347.619,396.6668,1001.90466667,563.809466667,700.952333334,373.968266667,647.618916667
181.83,271.527777778,260.0,197.333333333,153.333333333,177.0,388.333333333,207.333333333,283.0,165.222222222,268.75
182.21,268.040917778,236.842066667,188.070333333,149.4736,154.736766667,368.421066667,181.4034,271.578933333,152.105244445,266.227916667
182.59,284.802364444,241.851866667,195.925866667,143.333333333,152.592666667,379.629733333,171.4814,281.481466667,156.666566667,336.574
182.97,207.96618,184.637733333,166.666666667,108.695733333,115.3623,281.738933333,100.869533333,199.71,103.285055556,267.753666667
183.35,244.523734444,206.666733333,181.904666667,92.3811333333,118.0953,308.253933333,105.7142,204.444466667,123.386111111,298.809583333
183.73,-396.277781111,-284.444533333,-384.444533333,114.444466667,81.6666333339,-616.666866667,97.7777333334,-256.666733333,17.2223555556,-568.0555
184.11,-100.41665,-33.3334666666,-133.888733333,163.888866667,103.333166667,-219.444333333,159.444333333,-34.4445333333,102.592655556,-193.055583333
184.49,-85.6904433333,-5.7142666666,-102.857,157.619,73.5715000001,-124.7618,147.619,-8.57140000006,82.1428444444,-175.0
184.87,-33.9596555555,84.2425333332,-74.5454,293.9394,206.0607,-78.1817333333,296.363666667,124.848666667,211.7173,-74.2425
185.25,36.8472222224,219.166666667,-55.8333333332,478.333333333,353.333333333,13.3333333332,505.0,259.166666667,402.36111111,44.7916666668
