wavelength,Back_OryFunm,Belly_OryFunm,Breast_OryFunm,Crissum_OryFunm,Crown_OryFunm,DorTail_OryFunm,Patch10_OryFunm,Rump_OryFunm,Throat_OryFunm,WingTip_OryFunm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-76.1905833334,-80.357,-32.7381249999,-36.90475,-54.7617500001,-58.928625,-64.2855833333,-41.6666666667,-58.9286666667,-26.1905555554
179.16,10.2564166667,3.52558333333,25.3204583333,32.6922083333,26.9230833334,-0.320291666675,36.5384166667,41.6668333334,49.359,35.0425555555
179.54,21.527875,21.06475,30.3240833333,42.3611666667,27.7776666666,23.8425833333,37.4999166666,40.2778333333,49.9999583333,44.7531666667
179.93,10.4166666666,86.1110000001,88.8889166666,85.4165833333,86.111,15.27775,73.6110833333,20.8331666667,125.694333333,44.444388889
180.31,-2.6515,3.40904166666,46.5909583333,26.0820416667,36.7965833333,-4.112625,27.27275,28.46325,44.9674166667,33.6938333333
180.69,-7.51179166667,-0.938958333325,49.9999583334,24.7064166667,37.4411666666,-12.85225,26.5256666667,28.7558333333,47.946125,29.6557222222
181.07,1.65354166667,5.55558333332,64.8147916667,35.9788333333,48.8095,-11.0449166667,44.0476666667,35.71425,67.063375,32.7161666667
181.45,-19.2900416667,-6.09579166667,60.03075,20.8333333332,38.8888333333,-22.5307083332,34.8765,22.0678333333,64.5062916667,18.107
181.83,-39.9802083333,-20.7342083333,54.2659583334,5.85337499993,37.6984166667,-49.206125,16.8650833334,7.34133333342,61.607,-13.4919444443
182.21,-68.8802083334,-77.0833333333,34.5052083334,-21.875,16.9270833333,-78.90625,-4.16666666676,-1.30208333333,45.4427083333,-53.9930555557
182.59,-266.145833333,-294.791666667,-109.114583333,-203.385416667,-122.395833334,-297.916666667,-138.541666667,-140.625,-68.2291666665,-284.027777778
182.97,5979.16666667,6241.66666666,3891.66666667,4587.5,3950.0,7058.33333333,3725.0,3941.66666667,3170.83333333,6805.55555554
183.35,1099.30554167,1094.44441667,772.916541667,794.444541666,688.888916667,1288.19441667,718.055666667,748.611083333,608.333208333,1308.33338889
183.73,660.0,697.083333334,523.333333334,500.833333333,416.666666667,822.5,471.666666666,493.333333333,354.166666667,790.000000001
184.11,-918.055583333,-1035.41658334,-761.111125,-638.888875,-523.611083332,-1231.24995833,-634.722166667,-638.888916667,-377.777708334,-1151.85177778
184.49,1215.0,1283.33333333,1079.16666667,869.166666667,813.333333334,1654.16666667,966.666666668,869.999999999,648.333333333,1548.88888889
184.87,2893.75,2966.66666667,2785.41666666,1833.33333333,1666.66666667,3829.16666667,2087.5,2120.83333333,1458.33333333,3730.55555556
185.25,792.592708333,801.851791666,768.055541667,556.4815,510.185083334,970.833125,649.074166667,579.62975,516.666583334,977.160333332
185.63,452.777666667,503.333291667,491.111,332.777666667,296.111,610.000083333,409.999916666,360.555583333,324.722125,620.740555555
186.01,270.312333333,314.756916667,301.736333333,196.180583333,175.6945,373.437541667,238.194333333,217.013916667,194.097333333,373.842777778
186.39,399.72225,447.222166667,443.055625,275.833416667,223.88875,616.944375,352.222166667,355.000083333,268.611166666,568.888944445
186.77,374.479166667,419.270833333,422.135416667,227.083333333,158.333333333,558.854166667,326.041666667,330.729166667,237.239583333,499.652777778
187.15,439.015125,562.878708333,535.227375,255.303,160.606166667,677.272583333,387.121166667,370.4545,235.2275,652.525333333
187.53,-970.833416667,-1451.388875,-1504.166625,-315.277833334,-16.6667499998,-2004.16658333,-686.11125,-786.111166666,-123.611166667,-1670.37027778
187.91,237.797583333,352.380791667,381.845375,119.345208333,54.7618333332,458.630833333,188.690416667,202.97625,85.714375,422.618944444
188.29,166.666666667,251.736166667,271.180458333,102.083458333,65.97225,310.763875,162.15275,168.402916667,95.4860416667,290.740777778
188.67,145.07575,219.696958333,225.883875,107.197083333,69.9495833334,261.111041667,143.434333333,154.293,103.156583333,251.346611111
189.05,128.739333333,205.12825,197.436,110.042666667,69.8718333333,234.82925,143.162416667,137.393083333,97.7564166666,219.800444444
