wavelength,Back_ButExim,Belly_ButExim,Breast_ButExim,Crissum_ButExim,Crown_ButExim,DorTail_ButExim,Patch10_ButExim,Patch11_ButExim,Patch12_ButExim,Patch13_ButExim,Rump_ButExim,Throat_ButExim,WingTip_ButExim
178.4,0,0,0,0,0,0,0,0,0,0,0,0,0
178.78,130.4762,157.7382083,200.9526667,166.6666,167.619,172.8572333,141.9048667,110.4762,156.1903333,177.1428,192.3808667,170.9523667,199.0476667
179.16,453.3333333,495.8333333,540,506.6666667,586.6666667,756.6666667,826.6666667,406.6666667,466.6666667,653.3333333,473.3333333,336.6666667,826.6666667
179.54,101.3333333,149.1666667,148,128,154.6666667,164.6666667,157.3333333,96,86.66666667,124,113.3333333,68,97.33333333
179.93,-220,-83.33333333,-213.3333333,-250,-283.3333333,-341.6666667,-160,-80,-96.66666667,-246.6666667,-146.6666667,-188.3333333,-133.3333333
180.31,-198.4127333,-211.309625,-217.7778,-240.3175333,-280.9522667,-280.4761667,-263.8094667,-163.1746667,-206.0317333,-248.254,-246.9841333,-200.9522333,-249.5238667
180.69,-248.6275333,-267.6472083,-277.6472,-293.3333333,-358.0390667,-355.6861667,-329.4117333,-213.7255333,-258.0392,-321.1764,-314.5098,-249.8039667,-313.7254667
181.07,-133.5631333,-142.3850833,-135.1724667,-149.6552667,-191.0344,-186.6666667,-178.6206,-113.3334,-137.2414,-165.9771333,-164.3677333,-128.9654667,-156.092
181.45,-112.5714667,-119.1665417,-120.3809333,-123.4285333,-159.6190667,-139.6188667,-140.5714,-97.33333333,-108.1904667,-131.4287333,-135.6190667,-116.2857333,-117.7142667
181.83,-102.3932,-107.265,-102.735,-105.1281333,-137.7778,-113.0770333,-118.9743333,-87.35033333,-99.6582,-111.624,-117.7777333,-111.4530667,-101.1966
182.21,-83.90246667,-103.6586667,-90.2438,-89.43093333,-120.8131333,-92.6015,-105.3658,-81.78873333,-93.9838,-92.8454,-108.7804667,-97.561,-90.4064
182.59,-92.1212,-99.337125,-86.51513333,-92.4242,-120.4544667,-91.288,-105.7574667,-86.81813333,-96.06066667,-84.39393333,-107.5757333,-92.65153333,-87.57573333
182.97,-206.1110667,-221.701375,-190.5554667,-205.5555333,-254.7220667,-197.0834333,-226.1111333,-192.7778667,-220.0001333,-193.0555333,-218.3334,-185.6944333,-189.1667333
