wavelength,Back_SpoPluf,Belly_SpoPluf,Breast_SpoPluf,Crissum_SpoPluf,Crown_SpoPluf,DorTail_SpoPluf,Patch10_SpoPluf,Rump_SpoPluf,Throat_SpoPluf,WingTip_SpoPluf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,86.3247777778,59.8292222222,102.564111111,103.418666667,76.0683333332,114.529833333,59.8288888888,96.5811111111,42.3075833333,80.3419351851
179.16,67.4075555556,51.8517777778,109.629666667,93.3334444444,85.1851111111,84.444611111,85.1852222222,72.5925555556,86.1109166666,83.2098981481
179.54,51.634,37.2548888889,37.2546666667,51.6341111111,39.2156666667,70.2613888889,60.1308888889,45.7515555555,55.3920833334,73.8562314815
179.93,-46.0318888889,-57.1427777778,-112.698666667,-30.1586666668,-53.968111111,-57.1428333333,-12.6984444444,-39.6823333334,-45.2381666667,-6.87825925927
180.31,228.444444444,187.555555556,440.888888889,298.666666667,277.777777778,250.222222222,192.888888889,268.888888889,221.666666666,252.148148148
180.69,315.686222222,271.241777778,660.130777778,435.294222222,414.379222222,358.8235,285.620777778,397.385666667,323.529416666,346.51412037
181.07,1685.18511111,1429.62955555,3444.44444445,2314.81477778,2318.51844444,1801.85194445,1600.0,2074.074,1858.3335,1863.27144444
181.45,-149.777777778,-137.777777778,-351.555555556,-216.444444444,-231.111111111,-159.777777778,-137.333333333,-219.555555556,-163.0,-182.444444444
181.83,-459.596,-384.848555556,-913.131333332,-598.989888889,-639.394,-502.525333333,-439.394111111,-636.363666666,-462.12125,-552.441037037
182.21,-475.555555555,-388.888888889,-1001.11111111,-653.333333333,-707.777777778,-572.222222222,-475.555555555,-686.666666668,-455.833333333,-630.833333333
182.59,-356.410222222,-331.624,-689.743666667,-505.983,-501.709444444,-419.658166667,-334.188111111,-501.709444445,-332.051166667,-472.364685185
182.97,-781.481555556,-775.925777778,-1548.14811111,-1183.33311111,-1157.40744444,-1008.33322222,-749.99988889,-1098.148,-783.333166667,-1061.26544444
183.35,-1300.0,-1388.88888889,-2344.44444445,-1800.0,-1816.66666667,-1594.44444444,-1127.77777778,-1572.22222222,-1293.75,-1655.09259259
