wavelength,Back_SalAurf,Belly_SalAurf,Breast_SalAurf,Crissum_SalAurf,Crown_SalAurf,DorTail_SalAurf,Patch10_SalAurf,Patch11_SalAurf,Patch12_SalAurf,Rump_SalAurf,Throat_SalAurf,WingTip_SalAurf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,31.6666666667,-7.22219999999,18.8888666667,-2.22226666666,9.44433333335,18.3332666667,8.33339999999,16.1111333333,0.83333333334,-0.864222222222,5.55546666669,-14.2222
179.16,40.0,37.4359666667,46.1538666667,23.0769333333,38.9742666667,42.5640666667,41.5384,37.4359333333,26.1538,27.6351555556,39.4871333333,25.2308133334
179.54,52.5,51.875,54.5833333333,47.0833333333,47.5,47.9166666667,40.8333333333,62.0833333333,47.5,48.7037037037,43.75,48.375
179.93,150.000133333,77.7778,84.4444,68.8889333332,96.6667333333,88.8888000001,83.3334,119.999933333,71.6667333334,129.506362963,61.1110666667,73.7777866667
180.31,42.8179333333,25.7044333333,35.5325333333,20.9622,29.1409333333,24.1238666667,31.9586666667,41.7182,18.6598333333,27.1172148148,14.1580666667,20.6734933333
180.69,42.0607333333,25.9395,34.9698,23.9393333333,30.1819333333,25.7576,33.6969333333,40.7878,21.0,27.5622444445,15.2120666667,21.7878
181.07,39.2156666667,26.0457666667,33.4640666667,24.0522,30.2614666667,25.8168,34.8367333333,38.4314,17.9412333333,25.497437037,13.3987333333,20.9935133333
181.45,34.3589333333,19.3041,26.447,20.5860666667,24.7618,21.4651333333,29.4505333333,32.6009333333,9.78026666667,18.8441185185,2.19786666667,12.00744
181.83,28.8618,8.78043333335,17.0731333333,12.195,15.6098,13.7398,23.0894,22.2765333333,3.374,10.2079185185,-7.64233333332,-1.44721999999
182.21,23.3734666667,6.3856,15.9839333333,13.4136666667,13.9760666667,13.4137333333,21.8473333333,16.3052,4.57833333332,5.84557777779,-5.22099999999,-4.18482000001
182.59,24.3518,13.2869,22.6852666667,16.3889333333,18.1482,18.6110666667,29.0740666667,15.8334,8.19456666665,5.85394814817,-1.94439999999,-5.89799333334
182.97,19.4030666667,13.5323333333,21.6916,17.413,20.3981333333,19.2039333333,27.1643333333,12.4378,8.75613333331,6.75505185185,-3.18426666665,-5.31345333332
183.35,3.39613333334,-2.00000016548e-11,6.54100000001,6.91826666664,12.327,0.377266666654,8.93073333333,-4.90553333332,-9.55976666666,-4.6682074074,-18.868,-28.6917866667
183.73,7.86666666668,0.8,11.0666666667,10.0,22.9333333333,6.93333333333,12.1333333334,0.933333333326,-0.06666666666,1.6888888889,-11.6,-25.9199999999
184.11,5.27139999994,-11.0853,-8.06206666666,2.79066666665,21.3954666667,8.06186666667,7.44193333334,-6.82160000001,-7.9845,-3.20422222223,-16.4339333333,-44.1550733333
184.49,6.2627333334,-15.1515333333,-15.5555333333,-13.9393333334,20.606,8.08106666667,2.82820000006,-21.8182,-15.3534000001,-15.0167999999,-23.8384000001,-65.2525599999
184.87,5.8064,-10.2149666667,-16.1288666667,-20.6452,26.8816666667,1.72046666666,6.02146666667,-24.0861999999,-15.3763000001,-15.1732592593,-18.4947333334,-73.4409066666
185.25,28.4552,16.3415333333,-6.66666600004e-05,4.22766666666,38.0487333333,11.2196,20.4877999999,7.31699999999,10.8130333333,13.225,6.0162,-34.5691533333
185.63,23.5772,13.4146,-4.7154,-6.99186666666,29.1056,-8.45546666667,12.6829999999,0.65033333334,12.1949666667,9.30433333332,1.626,-40.6340599999
186.01,14.9629333333,22.2963666667,-1.62966666667,2.96299999998,29.7778666667,-15.5555333333,19.5554,-1.48146666666,8.66663333332,12.8066074074,2.66666666666,-27.7629266667
186.39,3.17459999999,11.2697666667,-20.1587333334,-10.6348666667,20.7936666667,-29.2064666667,11.9048000001,-17.1429333333,-5.63499999994,-4.07402222216,-14.2858,-48.9365066667
186.77,-6.81146666666,-0.36233333326,-24.7826,-18.1158666667,12.7536,-38.5508,6.95660000007,-26.2319333333,-13.6230333333,-12.4316296296,-24.0578666667,-51.3912400001
187.15,12.9252,14.3538000001,-1.4964,-3.9456,28.4354666667,-19.3197333333,30.6123333334,-5.30606666666,3.4014666666,5.35142962969,-5.30606666668,-36.62582
187.53,16.8055333334,13.7500666667,-6.25000000001,-8.33339999998,20.2778666667,-12.3611333333,32.3611999999,-7.77773333334,6.5972666666,0.910414814886,-10.9723333333,-40.0417266666
187.91,5.81553333333,-2.34046666668,-23.2624666667,-29.6453333333,-3.82973333336,-36.312,24.2553333334,-24.9646,-2.5531666666,-20.9771111111,-23.9716666667,-57.0497066667
188.29,8.26666666666,8.13333333326,-21.4666666667,-23.3333333333,-3.86666666668,-34.2666666667,27.6000000001,-25.2,8.99999999994,-17.0222222222,-14.4,-44.8133333334
188.67,1.9444,5.9722666666,-23.611,-22.9166666666,-9.44439999996,-42.7778666667,31.6666666667,-29.4443333333,11.1806333333,-14.1665925926,-15.1388666667,-47.9861266666
189.05,-2.94579999999,-5.8913333334,-38.2946666667,-33.3334666666,-27.7519333333,-49.6124666667,23.1007999999,-44.3412,2.8680666666,-23.2559333334,-26.8217333333,-57.3023933333
189.43,-38.2608000001,-49.5652,-95.3624666667,-97.1014666667,-88.6956,-110.434933333,17.6811999999,-128.4058,-17.2463666667,-71.8196814814,-81.7392,-135.85514
189.81,-44.9999999999,-67.0833333334,-137.916666667,-132.083333333,-110.416666667,-145.416666667,47.9166666666,-177.916666666,-15.2083333333,-84.4444444444,-90.0,-162.041666667
190.19,-187.6192,-318.5714,-447.619133333,-457.142733334,-359.047600001,-410.4762,-5.71426666653,-487.619,-145.714166668,-372.486718519,-301.904666667,-516.666686667
190.57,-364.444333333,-486.6666,-584.444533333,-653.333400001,-551.111133333,-638.8888,-138.888866667,-656.666599999,-260.555433333,-530.740718519,-429.999933334,-696.333380001
190.95,-171.282,-236.410266667,-282.5642,-278.461466667,-266.1538,-322.5642,-53.3333999999,-302.5642,-127.435866667,-240.740718519,-193.333333334,-327.79484
191.33,838.333333333,1025.0,1240.0,1103.33333333,1180.0,1411.66666667,480.0,1405.0,731.666666665,1155.55555555,963.333333334,1379.16666667
191.71,236.862733333,275.490266667,310.588133333,276.862666667,296.862866667,360.000133333,143.529333333,354.901866667,200.196066667,300.5664,237.254733333,346.823473333
192.09,140.888933333,143.2223,166.2222,135.111133333,151.333333333,178.222133333,77.7776666667,200.222333333,111.888933333,160.543296296,126.0,184.777666667
192.47,117.054266667,120.387466667,127.752,104.6512,112.093133333,137.829533333,67.7519333333,160.155066667,98.9922333333,125.357444444,102.790533333,145.28684
192.85,115.256466667,113.7822,122.307733334,97.1794666668,103.4616,125.256266667,70.6412000001,151.923066667,91.9872999999,120.185066667,93.0769333333,139.98716
193.23,103.098666667,97.1830666667,100.939066667,83.2864666668,90.5164,112.769866667,64.3193333333,125.727533333,79.8592,102.81702963,78.6853333333,118.7044
193.61,111.296266667,100.138933333,101.759133333,82.8704666666,91.4814666666,121.3888,67.6850666667,124.629666667,81.6204333333,108.158525926,83.7962666667,122.361053333
193.99,114.377533333,99.0762666665,102.088333333,80.4015999999,91.8072666667,117.6706,69.5582,121.1244,83.494,109.210185185,85.2209333333,123.00396
194.37,99.596,84.1077333334,90.9091333332,71.7844666667,81.8183333334,102.693733333,62.9630666667,110.101133333,77.1043333333,92.7648296297,72.1885333333,110.532126667
194.75,86.6666,71.6810999999,80.4057333333,64.8114,72.3477333333,88.8117333333,55.4782666667,97.1015333335,72.0869666666,80.6828518518,63.2462666667,97.5538266667
