wavelength,Back_SicLebm,Belly_SicLebm,Breast_SicLebm,Crissum_SicLebm,Crown_SicLebm,DorTail_SicLebm,Rump_SicLebm,Throat_SicLebm,WingTip_SicLebm
211.79,366.6665,900.0,-477.777666667,705.555666667,344.444333333,-550.0,311.111,-350.0,-333.3335
212.17,203.9215,392.156666667,-137.255,299.999666667,143.137333333,-129.412,125.490333333,-20.588,-117.647
212.55,562.5,1500.0,-550.0,966.666666667,558.333333333,-691.666666667,308.333333333,-350.0,-787.5
212.92,-655.5555,-1922.222,977.777666667,-1055.55566667,-344.444333333,1188.889,11.111,600.0,1283.333
213.30,-2400.0,-6533.33333333,2966.66666667,-3366.66666667,-1400.0,3100.0,-866.666666667,1300.0,2700.0
213.68,585.7145,876.190333333,-466.667,590.476,233.333666667,-314.285666667,185.714333333,-21.4285,-314.2855
214.06,606.25,783.333333333,-287.5,562.5,195.833333333,-200.0,212.5,93.75,-181.25
214.44,402.777666667,561.111,-186.111,391.666666667,158.333333333,-47.2223333333,205.555333333,108.3335,-79.167
214.81,708.333333333,1033.33333333,-427.777666667,716.666666667,350.0,-16.6663333333,344.444333333,233.3335,-166.6665
215.19,-2641.66666667,-3033.33333333,950.0,-2466.66666667,-1333.33333333,-150.0,-966.666666667,-900.0,125.0
215.57,-2908.33333333,-3050.0,316.666666667,-2316.66666667,-1816.66666667,-800.0,-1416.66666667,-1125.0,-425.0
215.95,-740.740833333,-740.740666667,-40.7406666667,-607.407333333,-492.592333333,-244.444333333,-422.222,-272.2225,-177.7775
216.32,-693.75,-670.833333333,25.0,-633.333333333,-533.333333333,-191.666666667,-550.0,-168.75,-200.0
216.70,3066.66666667,3050.0,400.0,3050.0,2333.33333333,1700.0,2483.33333333,725.0,900.0
217.08,-367.948666667,-420.512666667,53.8463333333,-415.384333333,-335.897666667,-228.205,-338.461333333,-53.8465,-65.3845
217.46,-647.916666667,-733.333333333,20.8333333333,-658.333333333,-708.333333333,-395.833333333,-537.5,-93.75,-87.5
