wavelength,Back_TanNicf,Belly_TanNicf,Breast_TanNicf,Crissum_TanNicf,Crown_TanNicf,DorTail_TanNicf,Patch10_TanNicf,Patch11_TanNicf,Patch12_TanNicf,Patch13_TanNicf,Patch14_TanNicf,Rump_TanNicf,Throat_TanNicf,WingTip_TanNicf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,128.333333334,223.333333333,233.333333334,165.833333333,206.666666667,195.0,185.0,195.0,176.666666667,325.833333333,210.0,181.25,186.666666667,200.0
179.16,145.833333333,-1.00000008274e-10,8.33333333335,64.5833333333,70.8333333332,35.4166666666,85.4166666667,110.416666667,81.25,-33.3333333333,41.6666666666,102.604166667,58.3333333333,77.0833333333
179.54,130.0,101.666666667,126.666666667,66.6666666666,106.666666667,53.3333333334,91.6666666668,48.3333333334,73.3333333334,11.6666666668,43.3333333334,80.4166666667,120.0,63.3333333333
179.93,-18.0556666667,-18.0555,20.8333333332,66.6665833334,45.8333333333,79.1666666665,23.611,37.5000833334,18.0555833334,50.6946666667,36.1111666667,40.6249375001,27.77775,127.777833333
180.31,1291.66666667,3358.33333333,3766.66666667,3933.33333333,4408.33333333,5616.66666667,3466.66666666,4700.0,3175.0,6762.5,6608.33333333,3779.16666666,4091.66666666,4433.33333333
180.69,294.444500001,694.444416667,802.777666666,818.055541667,880.555416667,1159.72233333,720.83325,926.388916668,629.166499999,1318.75,1320.83316666,740.624791666,818.055583333,851.389083333
181.07,575.0,1637.5,1937.5,2162.5,2108.33333333,3141.66666667,1825.0,2366.66666667,1466.66666667,3354.16666666,3795.83333334,1770.83333333,2000.0,1970.83333333
181.45,356.666666665,688.333333332,833.333333332,922.500000001,928.333333334,1355.0,820.000000001,1121.66666667,608.333333333,1390.0,1678.33333333,827.500000001,904.999999999,938.333333332
181.83,174.122833334,274.561333333,318.859666667,308.991125,342.9825,438.596583333,299.12275,355.70175,235.526416667,444.298333333,541.228083333,310.855208334,341.228083333,299.999833333
182.21,178.623083333,278.62325,297.101416667,290.57975,310.507083333,391.304333333,282.24625,315.579666666,230.0725,417.029041667,489.13025,286.050875,318.840416667,248.550833333
182.59,171.795,268.589666667,280.448833333,273.23725,300.000083334,348.718,266.666583334,287.820416667,218.589583333,392.147416667,451.282,272.035083333,299.359,238.141083333
182.97,114.639583333,194.369333333,204.27925,192.342416667,215.090083333,248.423333334,184.909916667,200.225333333,155.630666667,281.531458333,318.919,185.416708333,211.71175,177.25225
183.35,105.729166667,164.9305,173.611083333,173.437541667,175.694583333,205.03475,167.708333334,163.715416667,141.666666667,236.631958333,257.118,158.8976875,180.729,159.54875
183.73,109.523833333,183.134916667,186.904666666,190.376958333,192.460333334,203.96825,184.127,168.849333333,151.388833333,260.615083334,281.547666667,161.7559375,200.0,181.746083333
184.11,105.914,209.946166667,214.784833333,231.989291667,230.645,235.483916667,208.60225,189.247583333,181.182833333,327.8225,354.83875,204.032166667,237.6345,219.892416667
184.49,94.0476666667,196.130916667,228.273916666,231.994,222.619,226.190416667,189.28575,175.892833334,185.714166667,338.244,362.79775,208.630895833,236.60725,221.42875
184.87,81.9893333332,166.935416667,196.505333334,187.768958333,195.430083333,173.387,158.870833333,149.193666667,170.699,302.822625,324.193416667,192.338645833,209.139916667,197.043
185.25,94.5514166667,190.705,230.128166667,212.179416667,240.705083333,200.9615,183.3335,176.602666667,207.371833333,367.628208333,375.961583333,248.477625,260.577083333,236.859083333
185.63,81.5475833335,166.369166667,212.79775,199.107208333,224.40475,178.869,167.85725,143.154833333,206.249916667,340.922625,329.762,231.993979166,241.071333333,207.440583333
186.01,37.0,113.0,186.0,173.666666667,189.333333334,137.333333334,125.333333333,109.0,178.0,320.666666667,308.666666666,188.583333333,201.666666667,187.666666667
186.39,-92.8571666668,11.9046666667,154.762083333,114.285625,183.333333334,84.5237499999,44.0476666665,45.8333333332,162.5,391.666541667,393.452416667,168.006104167,169.047583334,188.09525
186.77,-933.333333333,-685.416666666,-110.416666667,-283.333333334,-60.4166666657,-402.083333333,-550.000000001,-479.166666668,-52.0833333325,820.833333333,718.750000001,-106.770833333,-122.916666666,20.8333333317
187.15,362.500083334,331.547666667,197.619166667,221.130791667,163.690416667,232.737916666,283.928416667,257.142833333,123.8095,-117.559333333,-67.26175,174.5535,194.047666667,146.428666666
187.53,180.813916667,177.325583333,140.891416667,150.969041667,123.449666667,140.11625,165.697666666,148.643416667,108.721,30.1357083333,43.0231666668,120.348708333,140.697583334,119.379916667
187.91,200.757583333,203.977333333,164.015333333,178.882666667,159.280166667,153.78775,195.07575,172.727166667,133.9015,61.3635833332,68.3713333333,134.8484375,169.31825,144.88625
188.29,213.446916667,219.886333333,189.772833333,206.250041667,189.015166666,175.568083333,220.83325,192.803,158.333416666,84.3751249997,97.5379166668,166.666708333,192.613583333,168.75
