wavelength,Back_RamMelm,Belly_RamMelm,Breast_RamMelm,Crissum_RamMelm,Crown_RamMelm,DorTail_RamMelm,Rump_RamMelm,Throat_RamMelm,WingTip_RamMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,177.777666667,173.333333333,155.555666667,186.666666667,184.444466667,280.0,122.222266667,159.999866667,177.777666667
179.16,426.666666667,300.0,600.0,553.333333333,420.0,560.0,260.0,373.333333333,526.666666667
179.54,-21.1110666667,-1.40003564297e-11,-18.8889333333,-27.7778,-13.8888666667,-16.6666,13.3332666666,-17.2222,-31.1112666667
179.93,45.641,36.923,44.1027333333,36.4102666667,45.1281333333,33.846,57.4360666667,31.7948666667,31.7948666667
180.31,12.0512,-0.85473333336,-2.39320000002,-4.27353333332,11.5383333334,-4.70059999998,19.9146,-9.48726666666,-1.79486666668
180.69,-1.75439999999,-18.7718666667,-17.8948,-21.4912,-3.33333333334,-19.9122,6.75426666667,-30.4386,-19.0350666667
181.07,8.25759999999,-9.77273333334,-8.03026666665,-8.03033333333,6.36366666667,-4.46973333331,11.1364666667,-20.0,-7.19700000002
181.45,13.5238666667,-4.06333333334,-1.14293333333,6.66666739995e-05,9.71433333333,2.3492,14.4762666667,-13.5871333334,1.65086666667
181.83,15.5114666667,-6.00653333335,-3.36633333333,1.32013333334,10.6930666667,5.99964522507e-12,11.6172,-18.0858,2.37620000001
182.21,9.99999999999,-11.9333333333,-13.6,-4.33333333335,3.53333333333,-7.33333333334,5.86666666665,-27.2,-3.13333333335
182.59,9.6,-12.5333333333,-17.2666666667,-4.79999999999,3.06666666668,-10.6,4.66666666668,-27.5333333333,-2.93333333333
182.97,5.82520000001,-14.6925333333,-20.5824666666,-8.28486666667,0.323600000006,-13.5922666667,0.970999999994,-30.8738,-6.92560000002
183.35,9.69186666667,-7.78713333333,-12.2688,-2.85700000001,3.86546666667,-8.79546666668,5.71439999999,-21.8486666667,-4.42579999998
183.73,2.15886666666,-17.5238666667,-22.8571333333,-12.0634666667,-5.52373333332,-21.3968666667,0.317466666674,-35.4922,-15.8096666667
184.11,4.95046666667,-14.3234,-17.4257333333,-10.4950666667,-1.91413333333,-15.7096,7.39279999999,-29.9011333333,-9.43900000001
184.49,11.2738,-1.46333333333,-5.0948,-6.66666600001e-05,6.82933333332,-4.60699999998,14.5257333333,-14.8508666667,1.08406666666
184.87,20.1398,10.6295333333,5.31473333335,10.6294,17.5292,6.15386666668,21.9580666667,-0.79253333332,12.4008666666
185.25,18.8810666667,13.6130666667,4.14926666667,10.676,19.9534,4.52213333333,22.4709333333,-1.58506666668,12.9604
185.63,19.0887333333,14.5324666666,5.56346666668,11.0791333333,21.247,2.63793333333,23.5971333334,-0.14400000002,11.8464666667
186.01,22.8712,16.5938,11.3382666667,14.9390666667,25.4989333333,6.03406666667,26.8613333333,4.62286666666,15.3770666667
186.39,25.28,16.7466666667,15.8933333333,16.6933333333,30.2933333333,6.61333333333,30.0266666667,7.04000000001,19.3066666667
186.77,24.9404666667,13.0951333334,17.0237333333,13.9284666667,29.8214666667,0.535799999988,28.5714666667,2.97613333335,18.5118666667
187.15,29.4666666667,13.8,18.8,13.2666666667,32.9333333333,-3.26666666668,29.3333333333,2.99999999997,19.9333333333
187.53,21.9751333333,2.96306666666,6.25513333334,1.81073333331,26.5020666667,-15.638,20.9876,-10.6173333333,10.0412
187.91,15.9166666667,-6.25000000001,-1.58333333335,-3.00000000001,17.9166666667,-16.9166666667,11.3333333333,-18.0,5.08333333334
188.29,2.99506666667,-27.7294666667,-22.2222,-20.3864666667,-0.096666666654,-41.0627999999,-8.50240000002,-36.3285333333,-9.66193333332
188.67,1.03460000001,-41.839,-37.8160000001,-28.2758666667,-9.99993333332,-56.4369333333,-21.3794,-48.2759333333,-15.2872666667
189.05,2.00000000002,-50.6666666666,-43.4666666665,-30.9333333333,-10.2666666667,-66.3999999999,-22.6666666667,-52.6666666667,-14.9333333333
189.43,-1.92600000001,-74.5185333333,-52.2962000001,-46.6668,-28.7407333333,-78.6667333334,-30.8147999999,-58.6666666666,-29.1851333334
189.81,-6.99193333332,-98.0487999999,-67.3172,-61.6260666667,-45.0405999999,-90.8943333332,-51.2196,-81.1382666665,-37.8861333334
190.19,-28.687,-137.9798,-103.4344,-94.5456000001,-76.9696666666,-125.656533333,-75.5555333332,-113.333333333,-51.1112
190.57,-25.6409999999,-111.282066667,-88.3760000001,-77.6067333333,-72.1366666668,-112.820533333,-70.5984000001,-92.3076000001,-53.3333333333
190.95,-29.3692666667,-118.7388,-98.9189333335,-82.8828666667,-82.5226,-112.2522,-77.1171333332,-89.1892666666,-54.7747333334
191.33,-34.7058666667,-131.372666667,-110.196066667,-86.4706666667,-105.098066667,-120.3922,-96.8627333333,-97.0587333333,-61.5685999999
191.71,-26.4911333333,-115.087733333,-95.2632,-78.7718666666,-94.9121999999,-109.473733333,-92.4561333334,-79.2980666666,-43.6842000001
192.09,-19.1869999999,-93.0081333333,-80.1626,-69.5936,-74.1463333333,-102.926933333,-80.4876666667,-56.5852666667,-29.2682666667
192.47,-44.9019333332,-120.588266667,-103.921666667,-88.0391333333,-98.4314000001,-138.627533333,-104.705933333,-83.3332666668,-49.2156000001
192.85,-149.777733333,-303.555533333,-269.333266667,-248.000066667,-269.7778,-358.666666667,-272.888933333,-236.4444,-152.0
193.23,394.285733334,762.857266667,653.333266667,664.7618,724.761800001,885.714199999,704.761933334,605.714333333,418.095400001
193.61,163.137266666,308.235133333,272.548933333,258.4314,301.568466667,379.215666667,293.333266667,270.9804,181.960733333
193.99,114.242466667,203.0302,186.969733333,181.212133333,202.121133333,269.090933333,202.424266667,179.697066667,123.636333333
194.37,230.666666666,570.666666667,563.999999999,552.0,625.333333333,921.333333335,695.999999999,502.666666667,372.000000001
194.75,65.4545333332,230.302933333,221.8182,247.2728,262.424266667,366.060533334,293.3332,201.212133333,143.636533333
195.13,93.3334,233.333333333,248.484866666,275.1516,290.303,395.1514,330.303066667,233.3332,200.606133333
195.51,146.666733334,276.190533334,346.666666667,396.1906,374.2856,573.333333333,428.571399999,260.000066667,260.952333333
195.89,-6.22656766664e+14,-1.54384759953e+15,-1.99591347123e+15,-2.39680207441e+15,-2.37974298492e+15,-4.46948144837e+15,-2.78063158811e+15,-1.28796125707e+15,-1.765615763e+15
196.27,46.6666666666,-162.222333333,-231.111133333,-388.888933334,-444.444399999,-953.3334,-493.333199999,-106.666666667,-326.666800001
196.65,155.0,-61.6666666668,-71.6666666666,-241.666666667,-246.666666667,-623.333333333,-240.000000001,-5.0,-183.333333333
197.03,406.666666667,-406.666666669,-140.0,-746.666666666,-1086.66666667,-2360.0,-746.666666666,-60.0000000006,-673.333333333
197.40,51.4285333333,-53.3332666668,-9.523866666,-71.4285333332,-148.571533333,-289.523733333,-60.9524,-11.4285333334,-70.4762
197.78,59.9999999999,9.6969333334,34.2423999999,-12.1212666667,-15.7575333333,-51.2120666667,5.45446666666,31.2120666669,18.1818
198.16,82.0512000001,-49.7436,12.8204666666,-70.2564000002,-86.6665999999,-128.205066667,-29.7436000001,16.9230666667,-28.7177999999
198.54,12.8205999999,180.0,83.5896666668,175.384533333,218.4616,235.3846,129.7436,102.051333333,123.589733333
198.92,44.5833333333,179.583333333,92.9166666667,160.833333333,219.166666666,212.083333333,134.583333333,105.416666666,105.833333333
199.30,46.4197333333,130.123466667,69.1356666667,109.6296,149.1358,142.716066667,89.8766000001,71.6048666666,59.0122666667
199.68,48.1666666667,117.833333333,66.3333333333,95.6666666665,127.0,120.333333333,75.3333333334,71.6666666666,54.1666666667
200.06,39.7619333333,91.7856666668,55.5951999999,79.5239333334,104.761866667,89.2856666667,62.9761333334,61.9048000001,42.2621333333
200.44,33.4358666666,82.2564666667,48.2051333333,70.4615333333,93.0257333333,72.9230666666,57.3333999999,56.3076666666,34.9744
200.82,24.5298666667,69.0598666667,43.6752000001,57.8631333333,80.4275333334,57.9486666667,54.5297999999,44.1024666667,29.1454
201.19,12.5224666667,62.9729333333,38.3782666667,51.9819333333,75.0450666667,50.7206666667,52.2522666666,32.7026666667,18.1982666667
201.57,8.16900000001,58.0282666667,33.6149999999,47.418,74.9295333333,50.1408,52.8638000001,25.1642666667,17.6526666667
201.95,22.2916666667,56.5973333333,39.9305333333,49.375,71.3888666666,50.9027333333,50.0,31.4582666667,27.2916666667
202.33,24.1665333333,58.4848666667,45.3030666667,54.1666,76.2121333333,56.5151333333,53.1060666667,34.9242,27.3484
202.71,27.7779333333,61.9046666667,52.0635333333,61.2698666666,80.4761333332,60.5555333333,58.4126000001,35.873,30.5554
203.09,27.0102666667,53.677,48.5223333333,54.6391333333,68.0411333335,54.9141333333,52.3710666667,32.3709333333,28.1786666667
203.47,19.0876666667,42.4562,41.8246666667,46.6666666667,57.4734666667,45.5438,41.8948666667,24.6316,22.8070666667
203.85,11.5708,36.0153333333,34.8660666667,39.9234,53.0268000001,39.8467333333,35.5556,19.2338,18.3141333333
204.22,10.9804666667,39.6078666667,34.6666666666,40.7058666667,51.8431333334,44.0,34.2745333333,20.4706666667,21.5687333333
204.60,19.8413333333,43.0158,42.6191333333,48.1746666667,56.9842,55.7938,38.8888666667,27.0634666667,28.1747333333
204.98,29.647,47.1372666667,49.1766,55.3726666667,59.0588,64.8628666667,43.3725333333,33.1764666667,35.6077333333
205.36,37.6842666667,53.3334,53.7544666667,62.3860000001,62.6666666667,70.9474666667,51.5087999999,43.0174666667,46.8070666667
205.74,45.2337333333,57.0716,58.1306666666,66.4174666667,65.6074666667,73.0217333333,55.2648666667,50.8412,51.7134666667
