wavelength,Back_OreFraf,Belly_OreFraf,Breast_OreFraf,Crissum_OreFraf,Crown_OreFraf,DorTail_OreFraf,Patch10_OreFraf,Rump_OreFraf,Throat_OreFraf,WingTip_OreFraf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,127.5,125.833333333,119.166666667,110.0,112.5,106.666666667,106.666666667,138.333333333,140.833333333,102.5
179.16,122.666666667,130.666666667,131.333333333,112.0,116.0,136.0,130.0,112.666666667,161.333333333,151.0
179.54,480.0,546.666666667,483.333333333,430.0,593.333333333,476.666666667,513.333333333,446.666666667,736.666666667,535.0
179.93,98.6666666667,105.333333333,60.0000000001,97.3333333334,138.666666667,49.3333333334,77.3333333333,70.6666666667,77.3333333333,103.333333333
180.31,134.416666667,127.333333333,119.5,109.666666667,125.833333333,118.666666666,108.5,111.416666667,144.333333333,123.791666667
180.69,139.918733333,136.5854,123.414666667,114.512233333,128.6992,125.6096,113.4146,115.853733333,150.406533333,129.146366667
181.07,145.9916,145.063333333,127.932466667,116.835566666,133.755333333,131.983066667,120.000066667,120.168666667,152.911466667,134.261666667
181.45,184.371466667,178.7978,154.207666667,144.098333333,165.3554,159.6722,136.7214,144.699533333,185.464533333,156.338833333
181.83,184.3334,170.222266667,147.777733333,138.277766667,155.2222,154.444333333,125.888933333,138.888866666,175.444466667,143.833366667
182.21,210.748333333,196.870666667,169.932133333,154.557733333,170.748333333,183.5374,138.639533333,158.639466667,204.3538,153.4013
182.59,466.315733333,443.508733333,379.649066667,327.1931,368.070133333,396.140333333,281.0526,352.982466667,472.280666667,305.2632
182.97,891.8518,842.963066666,734.074000001,612.2222,674.074000001,754.074133333,517.777733333,639.2592,925.926,530.370466667
183.35,-1085.55566667,-1079.99993333,-923.333266667,-789.999899999,-867.7778,-1005.5556,-568.888933333,-791.111066667,-1226.66666667,-636.111033333
183.73,-236.0,-236.0,-191.0,-161.833333333,-177.666666667,-212.0,-67.0000000001,-146.666666667,-291.0,-114.833333333
184.11,-151.428666667,-147.142866667,-122.619066667,-107.023733333,-112.380933333,-131.4286,-42.3809333333,-85.4761999999,-184.761866667,-60.3571
184.49,-178.333266667,-168.888933333,-129.999933333,-126.111133333,-130.277666666,-167.222266667,-63.0555333334,-108.888933333,-226.944466667,-59.7220666666
184.87,-142.133333333,-115.466666667,-90.1333333333,-90.4,-106.933333333,-134.666666667,-40.2666666667,-81.3333333333,-179.2,-10.7999999999
185.25,-93.5292666666,-56.8625999999,-44.9020000001,-51.7646333333,-61.7648,-80.3920666667,-6.47053333334,-42.3528666667,-123.1372,14.5098333333
185.63,-328.889,-208.8888,-176.2962,-185.1852,-211.851933333,-290.370333333,-88.1482000001,-187.4074,-455.5556,48.1481666667
186.01,-17.7779333334,4.4444666666,26.1729333333,19.1359000001,-0.7407333334,-19.2592666666,39.9999999999,10.8641333333,-71.8518666666,91.6049666667
186.39,8.70746666666,15.9183333333,30.6122666667,28.8434333333,18.9115333334,3.80953333333,34.8299333333,18.6394666667,-22.7210666667,52.9249666667
186.77,-0.97566666668,19.5121333334,37.0733333333,31.3008666667,19.8372666666,-14.9592666667,28.7805999999,15.6098666667,-19.9999333333,43.3333666667
187.15,-12.9167333333,9.02780000006,30.4168,19.6528666667,6.38893333321,-20.9722,8.88886666668,-1.24993333332,-18.1944,22.2915333333
187.53,5.82146666667,20.8450666667,38.2159333333,36.0563666667,23.8498,8.26286666667,24.8825333333,15.7745333333,7.41779999999,32.4882333333
187.91,1.75820000001,7.69226666674,29.2308,26.3735666667,14.7252666667,3.07699999999,12.6740666667,5.934,4.68873333333,22.9670333333
188.29,3.5294,7.13719999993,34.9019333333,31.6863333333,18.2746,2.82353333334,12.3136666667,6.11759999999,3.60786666667,22.3921
188.67,12.8206666667,13.4615333333,36.3461333333,32.7563666667,21.9872,11.4743333333,20.5769333333,12.1795333333,11.3462,27.9806333333
189.05,5.57379999999,6.72140000001,26.5573333333,20.9836333333,14.9180666667,6.50273333333,14.5902,6.01093333335,2.18586666665,17.7868666667
189.43,15.2815333333,14.026,29.9566666667,23.7662333333,20.5627333333,14.2424,21.2120666667,12.2076666667,10.2598,22.7922333333
189.81,15.3198,14.0741333333,28.5185333333,21.3130333333,18.6194666667,14.9159333333,21.6159333333,14.3098,11.5151333333,21.0607
190.19,8.04586666665,8.40713333333,21.5108,14.5320333333,13.8587333333,8.63713333333,16.5845333333,8.30873333332,6.60113333332,14.2364333333
190.57,5.69446666666,8.81940000001,21.8749333333,15.0693333333,13.9928666667,9.72220000002,18.1944,11.0068666667,6.49300000001,16.7881666667
