wavelength,Back_DigDuim,Belly_DigDuim,Breast_DigDuim,Crissum_DigDuim,Crown_DigDuim,DorTail_DigDuim,Rump_DigDuim,Throat_DigDuim,WingTip_DigDuim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,237.777666667,133.333266667,226.666466667,262.222066666,213.333333333,221.111233334,254.320896296,96.6667,256.666733333
179.16,100.606,79.3938666666,91.5151333335,119.393866667,86.6666,88.4849333334,120.000007407,76.6666333333,138.787866667
179.54,145.5556,105.555733334,145.555666667,172.222066667,100.000066667,108.333266667,119.753266667,141.111133333,183.889033333
179.93,-186.666666667,-180.0,-253.333333333,-243.333333333,-216.666666666,-70.0,-45.5555555556,-213.333333333,-421.666666667
180.31,5.6,65.8666666667,-22.9333333334,-61.5999999999,4.26666666667,9.73333333334,19.6444444445,14.6666666666,-112.666666667
180.69,-19.0476,44.0476666667,-38.3333333334,-71.9046666667,-15.4763333333,-7.02383333332,3.8359555554,-7.50009999992,-125.595266667
181.07,13.3333333333,41.4103333332,-1.41026666668,-14.6154666667,13.0768666667,18.3333666667,28.5042370371,11.5385333333,-49.1025
181.45,38.4946,51.3978,27.7419333333,24.3727333333,34.1934666667,38.5662333334,51.2147185185,36.8100666667,1.2187
181.83,44.1667333333,53.8096,34.9404666667,34.7023333333,38.9285333333,45.5952333333,57.5132962963,43.8988,14.4345
182.21,56.3158666667,64.9124,46.9004666667,45.0876666666,47.5439333333,53.3040333333,65.516474074,54.3275333334,26.2573
182.59,58.5000666667,67.6111999999,48.2222666666,48.5556666667,49.111,57.8056,68.7037703704,54.8332333333,30.0555333333
182.97,56.3363333333,62.5224666667,41.8618,47.8078,43.5436,56.4263333333,68.0281555556,50.6908333333,19.9999666667
183.35,55.0162,60.3237333333,40.9061333334,47.7670666667,40.5177333333,55.4369333333,70.4063407407,50.5827333333,15.6311333333
183.73,50.7826,59.2462,42.6666,47.5363333333,39.1884,58.0000333333,65.8421555556,51.7681333333,16.8986
184.11,47.9244666667,58.6792666666,43.9621333333,48.5534666667,38.3647333333,56.6037666667,66.3941407407,50.1257666667,13.1130666667
184.49,37.7011333333,55.1724000001,38.0076666667,46.3602,32.2606,57.0114666667,67.7479851852,45.1339666667,-1.34106666666
184.87,48.1577333333,62.4560666666,45.6140666667,49.9999333333,33.421,68.2456,77.7777925927,54.7368666667,0.3947
185.25,69.5061333334,88.2714666666,62.5926,64.3210666667,38.5185333333,93.2098666667,111.028681481,75.5556,3.2716666666
185.63,93.7930666667,132.873466667,87.1264666666,82.7586666667,38.8506000001,141.264433333,160.306503704,93.1033666667,-13.6782000001
186.01,-1453.33333333,-2240.0,-926.666666668,-426.666666665,519.999999999,-2243.33333333,-3054.07407407,-866.666666667,1776.66666667
186.39,0.889,-62.6667333334,41.3333333333,73.3332666666,125.777733333,-66.8888999999,-136.493888889,39.5555000001,188.222366667
186.77,49.8764666667,33.3333333334,72.0987999999,98.2716,111.851866667,20.4938,-30.9191407407,65.5555000001,142.098733333
187.15,26.3889999999,-10.8332666666,33.8887999999,93.8889333334,86.1112,-0.97213333326,-71.1728666665,35.8333333333,96.2497666667
187.53,35.0000000001,2.3811333334,43.5713333333,90.9524666667,81.9047333333,14.5238333333,-47.4338666667,47.8570333334,77.2619666667
187.91,36.8887333333,19.9998666667,48.4445333334,67.111,72.8889333334,32.9628666667,-10.3209037037,49.9259666667,59.7779000001
188.29,52.6316666667,43.9766,61.6374,77.5437333333,89.5907333333,51.5203333333,16.5302222222,68.7134333333,66.5497
188.67,36.3556,37.9556,48.1776666667,63.3776666667,70.9333333333,43.7777333333,11.6840148148,52.8890333333,46.9778
189.05,43.1695333333,34.5355333334,51.1476000001,65.5738,71.9126,49.071,6.22948888889,59.8907,44.6995333333
189.43,49.4544,35.2727333333,51.2727333334,63.6364666667,65.9392,49.2727,5.11778518519,59.3334,45.5757666666
189.81,46.5752666667,40.4566,56.1644,56.4382666667,60.7304666667,51.7808666667,12.7245111111,52.2832,45.5250666666
190.19,50.6666666667,36.2856,53.7143333333,46.8572666667,57.7142666667,50.0953666667,12.0846222222,44.6189666667,41.1427
190.57,44.2052,29.2308,41.5385333334,32.8204,45.3332666667,43.1795333333,7.30491111111,32.9229666667,34.1026
190.95,23.6529333333,2.00913333335,19.0868,9.04093333334,21.6438,19.5433666667,-6.96094074075,9.77160000001,14.2465
191.33,25.7028,8.11239999999,25.3012,10.2009333333,23.4538666667,21.4458333333,2.40963703705,13.5341,14.5382
191.71,20.8059333333,1.39193333333,19.4872,6.08046666667,19.3406666667,15.5310666667,-2.36057037037,5.97073333332,13.3699333333
192.09,14.9999333333,-4.4204,12.2464,2.68113333334,9.56533333332,9.27543333334,-9.79873333333,0.68846666666,4.20303333333
192.47,7.89120000001,-9.18353333334,8.57133333331,-3.74153333333,-0.816266666653,0.408233333328,-14.5352592593,-6.05449999999,-2.34696666667
192.85,7.31873333331,-14.6377333334,6.66673333335,-9.05800000001,-0.07246666668,-4.855,-17.2464148148,-7.17390000001,-4.1304
193.23,3.29819999999,-11.2982,7.92959999998,-8.14033333333,3.7894,-5.22803333334,-18.8849851852,-8.10516666666,0.596500000014
193.61,12.7102,-0.06246666668,15.0780666667,1.43293333333,16.0124,4.29903333333,-9.60879259259,5.63869999999,8.19336666665
193.99,12.1885333333,-0.875399999994,10.7071333333,5.11779999999,15.0842,1.11116666667,-12.091362963,6.96966666667,5.42073333333
194.37,3.79999999999,-4.59999999999,4.60000000002,2.59999999999,10.9333333333,-6.56666666667,-15.5851851852,3.76666666667,1.43333333333
194.75,12.5357333333,7.86326666668,14.0170666667,13.3904,19.5441333333,4.01710000001,-5.48897037038,14.4443,9.08836666666
195.13,19.0635333333,16.4737333333,19.6694,19.3386666667,26.8871333333,10.2754666667,3.15263703705,22.8375333333,13.7741333333
195.51,16.4058,16.5797333333,14.4347333333,19.0144666667,26.2028666667,8.78246666667,1.79071111111,21.1014333333,12.2029333333
195.89,15.4902,17.7777333333,12.4182666667,21.5686,27.0587333333,8.85619999999,2.88307407409,25.5881,9.60783333333
196.27,11.7460666667,19.746,13.9048,21.9048666667,28.1903333333,12.4762333333,4.91009629631,22.6984333333,8.66659999999
196.65,11.8380666667,22.4299333333,13.3956666667,22.9907333333,30.0934666667,12.8659,7.71197777777,22.0873,7.91276666666
197.03,6.12259999999,23.1292666667,9.5918,18.9796,26.0544,9.25183333333,7.50547407407,16.1224,1.63263333333
197.40,7.64366666667,22.1839333333,10.4598,20.1148666667,22.1837333333,11.7242333333,11.3792962963,14.7127333333,-1.09200000001
197.78,2.58066666667,21.0216,8.81726666666,17.6344666667,19.5160666667,10.4032333333,12.4670666667,11.5859,-0.215033333326
198.16,2.07999999998,21.8666666666,8.96,11.2533333333,18.72,9.22666666665,13.1614814815,10.1333333333,-2.13333333334
198.54,-1.26126666666,21.5616666667,5.34533333334,8.16813333334,16.036,10.2403,12.198762963,7.62766666667,-6.87696666666
198.92,-10.5674,16.1702,-4.11346666667,-3.75893333336,8.29780000001,2.76593333334,5.49251851853,1.09916666665,-21.773
199.30,-34.5594,-3.06513333333,-24.2146,-24.5211333333,-14.4828666667,-17.1265,-15.8877703704,-20.6513333333,-47.3564333333
199.68,-37.7510666666,-9.31726666667,-26.0241333333,-33.6546666667,-19.1164666667,-21.6466333333,-23.141362963,-23.5342333333,-55.5021666667
200.06,-31.3333333333,-5.00000000002,-20.0666666667,-29.2666666667,-16.0,-18.2666666667,-19.0814814815,-21.1,-47.8666666667
200.44,-28.0808,-4.44446666665,-22.0202,-28.2828,-13.6026666667,-19.1244666667,-20.2692888889,-15.1178333333,-46.0269
200.82,-41.5872666667,-19.8412666666,-31.2698666667,-42.0635333333,-29.2856,-29.0476333333,-35.7054888889,-25.5953,-65.2380333333
201.19,-38.0075333333,-17.1647333333,-30.0382666667,-35.4788,-27.5861333333,-22.5287333333,-33.4355777778,-23.1419,-61.6857666667
201.57,-48.7763333333,-31.0548666667,-43.291,-50.5485999999,-35.6963333333,-35.1897666667,-44.6412666667,-33.7551333333,-76.0338333333
201.95,-41.6665333333,-29.6874666667,-43.6458666666,-54.3749333332,-38.3332666667,-34.8436666667,-44.4675333333,-34.2187666667,-93.8541
202.33,-39.3137333333,-32.8430666667,-43.6273333333,-46.2744666667,-39.6078000001,-33.9215333333,-45.3377555555,-37.6961,-91.4706666667
202.71,-36.2162,-29.0990666667,-34.4143333333,-37.2072666667,-32.4323333333,-31.8018666667,-39.6597037037,-29.5946,-79.5495
203.09,-29.1774666667,-25.9740666667,-26.5801333333,-26.1471333333,-27.0131333333,-26.8829333333,-32.4676,-25.4978666667,-70.6927
203.47,-17.3708666667,-14.0845333333,-15.1174,-15.6806666667,-15.2113333333,-13.4741333333,-20.0939777778,-13.8028,-60.6103666667
203.85,-37.1569333333,-31.1764666667,-32.6469999999,-28.3334666667,-30.7843333333,-29.4607,-35.2179851852,-30.5393333333,-80.3922333333
204.22,-54.2371999999,-46.7796666667,-50.8474,-43.8418666667,-42.1468666667,-49.5479,-43.6659555555,-44.2937333333,-108.079133333
204.60,-58.2757999999,-47.7010666667,-50.2298,-46.2068666666,-45.9769999999,-52.7012,-40.0639851852,-48.7931,-114.252866667
204.98,-26.9564666667,-15.5556,-32.6569333333,-25.0241333333,-16.425,-22.0289666667,-13.7949111111,-22.8985,-74.5895999999
205.36,-11.2379333333,-8.00000066192e-12,-17.4285333334,-8.47606666666,2.76193333328,-5.19053333333,2.70906666666,-4.4284,-57.3332666667
205.74,-9.83053333332,9.49160000001,-20.4520666667,-8.47453333333,2.25986666666,-2.31646666667,2.58638518518,3.89833333334,-62.9945
206.12,-61.6296000001,-29.3334666667,-63.4073333333,-44.5925333333,-38.963,-40.5184,-38.5679407407,-34.8147333333,-120.666666667
206.50,-66.8333333334,-27.9999999999,-67.4999999999,-49.9999999999,-34.5,-44.9166666667,-42.8333333333,-29.25,-134.916666667
206.87,-81.2964,-49.2592000001,-96.8517999999,-79.4445333333,-62.7778000001,-63.8887666667,-63.9917555554,-48.5185999999,-174.907433333
207.25,-62.7906666667,-39.6898666667,-73.6433333335,-62.0156,-41.7054666667,-48.6821333333,-43.5487481482,-29.7674666667,-136.201533333
207.63,-65.8730666668,-44.9206000001,-82.0635333333,-71.5874,-47.4603333335,-58.4921666666,-53.668325926,-42.3016,-148.5715
208.01,-27.3202000001,-4.05226666667,-34.1176666667,-27.843,-10.8495999999,-21.7646333333,-17.2258740741,-10.9150333333,-89.4769666668
208.39,-1.37560000002,11.9576,-9.1004,-1.799,9.20639999993,10.0528333333,-1.45795555555,13.0688333333,-48.7302
208.77,6.76766666665,18.0808666666,6.6666674001e-05,7.27279999999,11.4142666666,19.9494,5.69028888891,16.5657666667,-37.3737333333
209.14,-6.34406666664,8.06459999999,-2.36559999998,0.32266666666,-0.96780000008,10.3225666667,0.382348148154,6.50543333332,-50.2150333333
209.52,-35.6028666667,-21.4184666668,-33.4751999999,-34.7517333333,-38.0141333333,-19.5745333333,-35.5081481481,-21.9858333333,-89.5745666666
