wavelength,Back_ChlPhof,Belly_ChlPhof,Breast_ChlPhof,Crissum_ChlPhof,Crown_ChlPhof,DorTail_ChlPhof,Patch10_ChlPhof,Patch11_ChlPhof,Patch12_ChlPhof,Rump_ChlPhof,Throat_ChlPhof,WingTip_ChlPhof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,114.444266667,107.777733333,70.0000666667,73.3331999999,120.000066667,151.111066667,47.7776666667,121.111133333,77.7777999999,57.7778666667,87.7777999999,107.777666667
179.16,304.444466667,271.111133333,204.444466667,182.2222,262.2222,257.7778,142.2222,304.444333333,146.666666667,124.444466667,237.777933333,266.6666
179.54,-85.5555333333,-64.4444666667,-52.2222666667,-53.3332666667,-83.3334,-90.0,-26.6666666667,-75.5555333333,-43.3333333333,-38.8889333333,-75.5555333333,-75.5556666667
179.93,28.8887333333,27.1607333333,28.3950666667,51.605,33.0864666667,29.8766,46.1728666667,24.1976,35.8024666667,48.6420666667,34.321,40.7405333333
180.31,-211.9298,-194.035066666,-142.807133333,-41.7544000001,-195.438666667,-212.9826,-1.40346666661,-222.4562,-115.0878,-23.5087999999,-148.771866667,-123.859733333
180.69,-201.818133333,-192.727333333,-126.060733333,-43.9394666666,-179.999933333,-202.121333333,-16.9695999999,-208.484866667,-116.9698,-19.0908,-133.939333333,-105.454533333
181.07,-133.580266667,-133.0864,-84.9383333333,-8.39506666673,-120.000066667,-150.370466667,6.91353333334,-149.3828,-79.7530666667,12.3456666667,-89.6297333332,-57.0369333333
181.45,-88.8889999998,-100.4444,-59.3333999999,19.5554666667,-87.7778666666,-130.888933333,21.5555333333,-111.7778,-54.2222000001,34.6668,-51.9998666668,-29.1111333334
181.83,-36.4227333333,-48.4552666667,-18.2114666667,44.3902,-28.2926000001,-70.4065333333,45.6910000001,-56.9104666666,-14.7968666666,60.4876666667,-6.8291333334,10.2439999999
182.21,-1856.66666667,-1906.66666667,-1343.33333333,-259.999999999,-1633.33333333,-2503.33333333,-83.333333334,-2190.0,-1356.66666667,149.999999999,-1176.66666667,-996.666666667
182.59,369.999933333,406.111066667,292.222133333,121.111066667,328.3334,474.444533333,108.3334,468.8888,288.8888,65.5555333333,250.5556,238.3334
182.97,1446.66673333,1604.4444,1120.00006667,491.111133333,1273.33333333,1857.7778,399.999999999,1815.55546667,1182.22226667,293.333466667,868.888933333,888.888733333
183.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.73,3813.33333334,4546.66666667,2406.66666667,1393.33333333,3100.0,5000.0,1120.0,4506.66666667,3520.0,486.666666667,1480.0,2253.33333333
184.11,179.0908,222.727266667,125.7576,79.3939333334,158.181866667,235.454533333,69.9998000001,224.545466667,186.969733333,30.6061333335,73.0304666666,122.1212
