wavelength,Back_RamNigm,Belly_RamNigm,Breast_RamNigm,Crissum_RamNigm,Crown_RamNigm,DorTail_RamNigm,Rump_RamNigm,Throat_RamNigm,WingTip_RamNigm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,127.407333333,138.5184,117.037133333,116.296333333,128.148266667,95.5556666669,94.8148666668,119.999933333,108.148266667
179.16,158.333333333,126.666666667,128.333333333,138.333333333,135.0,141.666666667,146.666666667,221.666666667,130.0
179.54,168.889,175.555466667,184.444333333,226.6666,186.6666,182.222266667,191.111133333,202.222133333,173.333266667
179.93,116.190466667,152.380866666,99.9999333331,116.190333333,99.0476000001,88.5714666669,88.5714,127.619,132.381
180.31,104.980933333,116.475133333,90.2681333333,100.000066667,102.3754,82.1456000001,71.4942666667,108.4292,97.7776666665
180.69,105.567133333,118.3506,91.409,102.680466667,104.879733333,85.4295333335,73.3332,111.3402,99.8625333333
181.07,95.8823999999,108.169933333,79.8040666667,93.7255333333,96.4705333333,78.5620666667,67.8432,101.568533333,92.4182666667
181.45,86.8332000001,101.444466667,72.889,85.3888666667,88.2778666666,72.1667333333,64.2223333333,88.6110666666,83.7221333333
181.83,83.3830666667,97.9602000001,69.4528,81.4925333333,84.0795333333,70.2985333333,61.5423333333,83.8806666666,79.801
182.21,80.6944666667,92.2685333333,66.4351333333,77.1759333333,81.0184666666,68.0091333333,60.3704666667,80.7408,76.8056
182.59,77.9086,88.4096000001,63.7037333334,72.8104666667,79.4771333333,66.5358666666,60.2614,76.9498666667,74.9455333333
182.97,77.7041333333,89.8896,63.841,71.4348,81.4126,67.0198,64.8566,77.2626666667,76.9538000001
183.35,74.7518,90.3546,62.3640666667,69.6454,80.0473333333,66.9502666667,64.7280666667,76.4538666667,77.8723333333
183.73,75.5728,92.8646,64.8958,71.7187333333,81.875,69.4269333333,66.9270666667,80.1042666666,80.7292666666
184.11,76.32,93.9733333333,67.2533333333,73.3866666667,84.0533333333,70.88,70.72,82.6133333333,84.3733333334
184.49,75.731,97.4853999999,65.8480666667,73.9181333333,85.3214666666,68.4210666666,68.8888,80.6433333333,84.0936666666
184.87,76.9181333333,98.1761333334,64.4024666667,73.2704666667,84.6541333333,64.9057333334,65.6603333334,76.4780666666,82.5785333334
185.25,86.7400666666,113.4066,71.9414666667,80.8058,95.2380666667,69.3040000001,69.3772666667,83.9561333333,95.9708000001
185.63,104.166666666,132.870333333,86.5740000001,96.2038,115.5556,80.463,75.0926666666,103.240866667,120.833266667
186.01,114.2564,139.384533333,96.5127333333,103.282133333,124.3076,79.8973999999,77.5383333333,115.179466667,132.8206
186.39,113.034866667,140.397933333,98.7064666666,108.258733333,126.069733333,81.0945333332,80.8956666665,117.114466667,131.741333333
186.77,109.310333333,143.678133333,95.8620000001,109.080466667,122.413733333,75.2873333335,72.6437333333,117.3564,137.356266667
187.15,135.503866667,178.2946,117.054133333,132.403,145.736533333,86.3566666667,77.2094,146.356733333,163.410733333
187.53,118.222133333,147.6666,103.889,117.7778,124.777733333,78.0001333333,73.8889333333,120.777866667,133.0
187.91,123.692333333,146.769133333,107.589733333,117.435866667,123.384733333,84.0000666667,78.9744,122.974533333,133.5386
188.29,141.795,167.435933333,118.076866667,127.948733333,133.717866667,85.2563333334,83.9741999999,139.230866667,147.051266667
188.67,137.610133333,155.094333333,110.566,123.522,123.396266667,84.4025333333,82.6416,135.723333333,143.6478
189.05,127.189533333,146.536,103.0064,109.803933333,111.1112,75.2942666667,75.5556000001,133.2026,139.084866667
189.43,102.083333333,112.916733333,87.8125999999,91.8751999999,89.4790666666,60.9374,61.4584,112.708466667,109.270933333
189.81,93.2456666666,99.4737999999,77.9824000001,83.1578666666,77.7191999999,56.5789333333,59.6490666667,100.789466667,96.0526666666
190.19,86.9166666665,100.666666667,73.4166666668,78.9166666666,76.0833333333,53.75,61.25,97.4166666667,95.4166666668
190.57,92.5737999999,105.738266667,80.1687333332,83.6286,80.3375333334,57.9748,63.8818666667,100.7594,102.953533333
190.95,97.8029999999,106.1364,84.9242,87.1970000001,84.4698666666,65.4544666667,68.106,105.303,105.757533334
191.33,89.3851333333,93.7216,76.5695333333,79.4175333333,78.4466000001,60.5178,64.2070666667,95.5987333333,99.0940000001
191.71,85.6140666667,88.4794666666,71.5205333333,73.2749333333,73.3333333334,57.4269333333,61.9298,91.3450666667,94.2104666667
192.09,81.4091333333,82.7100666667,65.3117333333,69.4851333333,69.16,51.1652,57.9946666667,86.5582,90.2439333333
192.47,79.7916666667,79.3228000001,64.323,71.9270666667,66.8748666666,50.3126666666,56.3541333333,85.9895999999,89.7916666667
192.85,79.2366,78.7277333333,66.4123333334,72.1628,67.3281333334,50.0764,56.0814,85.0381999999,87.5317333333
193.23,74.9145333334,73.5040666667,62.436,69.7435333333,65.1710666666,49.1880666667,56.453,80.5128666667,81.8376
193.61,77.2327333333,75.9748666667,64.2347333333,71.153,65.6602666666,53.1656666667,60.9643333333,82.8510666667,83.1026
193.99,74.935,74.4155333333,63.7663333333,68.9178,64.9349333333,51.9482,59.4806,81.1254666667,81.4284
194.37,74.4443333333,71.256,60.628,66.1352666667,61.0626666667,50.0965333333,54.0098,77.7778,77.2463333333
194.75,68.6772,62.9629333333,50.7408,59.2592,53.3333333333,40.6348666667,44.7618666667,70.1058666667,68.8359333333
195.13,65.3658,56.4228,46.8834666667,57.6693333334,50.7318,36.2602,42.2766,66.5040666667,66.4498
195.51,62.6996666667,54.5454,47.1073333333,57.6308666667,49.1460666667,35.3169333333,40.0000666666,63.4712,65.5647333333
195.89,68.5146666667,57.2277333333,50.6930666667,62.8383333333,51.089,34.9834,44.5544,66.0725333334,71.6832
196.27,63.2666666667,51.9333333333,50.7333333333,61.0,48.0,31.8,44.8,61.2666666667,67.5333333333
196.65,59.7133333333,45.7348666667,50.4659333333,57.7061333333,47.0968,29.6057333333,44.0144,59.7849333333,65.0897333333
197.03,61.689,43.9111333333,49.5998666667,61.2445333333,48.089,27.0222666667,48.1777333333,67.3776666667,72.6222666667
197.40,67.5470666667,41.5094000001,62.5158,69.4339999999,49.0566666666,25.2830666667,57.7357333333,77.9873333334,85.5345333332
197.78,55.5128666665,22.3077333333,50.2563333334,55.6410666667,35.1282,8.33326666664,42.436,60.8974666666,67.4359999999
198.16,36.6665333333,2.96306666666,24.321,36.7901333333,16.4198,-13.4569333333,26.0494,39.3826666667,45.0618
198.54,39.7700000001,7.7012,28.8505333333,40.8046666667,22.1838666667,-7.4712,36.2068,47.816,51.2644666667
198.92,37.5885333333,-1.13473333334,28.7943333334,37.4469333333,14.1843333333,-13.1916,35.3192,53.0496666667,58.1560666666
199.30,5.99999999998,-25.6666666667,9.16666666665,0.833333333326,-16.6666666667,-43.8333333333,10.3333333333,27.5,21.3333333333
199.68,-54.1667333335,-109.722266667,-48.8889333333,-62.5,-88.8888666666,-129.722333333,-36.3888,-15.2778,-36.1111333333
200.06,-111.358133333,-148.395066667,-89.1357999999,-100.4938,-125.1852,-157.284,-93.3333333333,-45.1852666667,-88.8888666667
200.44,-210.476133333,-253.0158,-175.238133333,-195.555533334,-226.984,-257.7778,-190.7938,-111.111066667,-162.2222
200.82,-229.275333333,-245.507266667,-197.1014,-208.115866667,-255.6522,-260.289933333,-216.231866667,-140.869533333,-178.8406
201.19,-151.999933333,-157.904733333,-120.380933333,-134.285733333,-165.904733333,-171.619066667,-140.571333333,-101.714266667,-117.333333333
201.57,-175.914,-180.645066667,-147.741933333,-157.634533333,-179.354933333,-194.408533334,-164.731333333,-122.795666667,-129.6774
201.95,-554.871933333,-523.5898,-447.179466667,-488.205066667,-528.205266667,-554.359,-494.358866667,-394.359066667,-394.358866667
202.33,-1863.33333333,-1700.0,-1405.0,-1588.33333333,-1748.33333333,-1838.33333333,-1675.0,-1263.33333333,-1235.0
202.71,1055.0,984.999999999,840.000000001,892.500000001,1013.33333333,1046.66666667,990.000000001,755.833333334,710.833333333
203.09,1742.66666667,1626.66666667,1346.66666667,1457.33333333,1652.0,1769.33333333,1596.0,1218.66666667,1244.0
203.47,703.076999999,675.897599999,558.4616,580.0,667.692333333,720.000133334,640.512933333,510.769266667,503.589733333
203.85,1095.0,1042.5,865.833333335,879.166666667,1031.66666667,1124.16666667,994.166666667,764.166666666,786.666666666
204.22,442.456133333,439.649066667,363.508666667,371.228066667,423.508666667,472.6316,406.666733333,325.614066667,319.2982
204.60,264.375,256.458333333,213.958333333,225.416666667,247.916666667,276.041666667,240.416666667,201.25,198.333333333
204.98,229.8148,222.407333333,177.7778,199.4444,207.7778,236.6666,202.4074,175.3702,168.518533333
205.36,182.2694,178.4398,143.687933333,163.404266667,166.6666,184.3972,160.141733333,146.6666,137.872466667
205.74,156.402,156.190333333,128.253933333,141.269866667,150.581933333,160.846533333,142.6454,134.708933333,128.4656
206.12,128.711066667,133.866733334,106.8444,115.022266667,127.733333333,137.955466667,119.6444,116.9778,107.377733333
206.50,118.9922,128.759666667,99.2247333332,104.806133333,121.3954,124.573533333,107.984333333,109.689933333,102.4032
206.87,115.407466667,128.074066667,95.8518000001,102.8148,116.074133333,119.7036,104.5186,109.777666667,105.111066667
207.25,108.631533333,122.8772,89.6842666667,99.4386666668,110.175466667,109.193066667,100.3508,107.438666666,100.9824
207.63,103.6806,119.4444,83.4721333333,96.2500000001,106.4584,103.124933333,98.4722666667,103.402733333,98.9583333333
208.01,101.649333333,120.824733333,84.9484000001,95.8076000001,105.9794,98.5566666669,95.1203333333,102.199333333,95.9448666666
208.39,98.1230666667,116.6342,81.7476000001,93.6568666667,104.142333333,92.8801999999,90.5501333335,100.388333333,93.2685333333
208.77,93.0842000001,114.703933333,80.5608000001,91.9003333333,103.1152,89.2212666668,87.1026666667,97.0092666667,90.1558000001
209.14,88.2596,114.572266667,82.4188666666,90.0295999999,103.657666667,88.7904666665,87.7286666667,95.3391999999,90.6195333334
209.52,82.4868000001,106.666666667,80.9524666667,83.8095333334,97.8306666666,85.7142666667,83.9154666667,89.8414,85.3438666666
209.90,89.2820666665,111.333466667,85.2820666668,89.8462666667,103.076866667,89.0256,88.5127333335,94.359,88.3077333333
210.28,94.8319333334,115.090466667,91.7313333333,94.6771333333,105.0646,91.8345999999,92.7647333334,97.2092666667,92.6097333333
210.66,93.9612666667,110.4348,92.0772666666,95.8938000001,100.772933333,92.4154666667,92.3672,95.7972666667,93.5265333333
211.03,106.939933333,122.076466667,103.989,110.546466667,114.207666667,106.120266667,100.163933333,107.322466667,104.098266667
211.41,112.786933333,126.6668,111.0928,114.590133334,119.617466667,112.950733333,102.295133333,111.530066667,105.519
211.79,109.702,121.896933333,108.780533333,109.214066667,117.560933333,112.466,98.0487333333,109.539266667,97.8864000001
212.17,116.750666667,126.162466667,112.268933333,114.902133334,123.193333333,123.137266667,105.098066667,115.182133333,104.706
212.55,126.422,135.4128,118.899066667,120.550533333,132.171266666,135.290533334,114.8012,121.834933333,112.538333333
212.92,131.829933333,139.215666667,122.4836,122.810533333,136.862733333,144.6404,119.869333333,125.6864,116.928
213.30,147.892866667,151.877466667,130.498133333,131.6474,143.524866667,163.754733333,126.053733333,135.6322,123.218266667
213.68,165.627733333,171.428533333,143.8962,148.2252,155.1516,183.4632,141.298666667,145.454466667,133.1602
214.06,203.950533333,215.185133333,173.209933333,184.1976,191.481466667,238.5186,174.938266667,179.6296,165.061666667
214.44,215.4074,232.7408,176.444533333,193.185066667,211.111133333,259.555533333,181.185266667,187.555666667,174.666733333
214.81,278.518466667,320.247,225.185266667,247.4074,281.234533333,352.345666667,231.358066667,252.0988,202.222266667
215.19,235.555533333,271.777933333,182.0,194.444466667,234.889,294.444466667,195.111066667,211.3334,154.4444
215.57,398.333333333,465.833333333,295.0,333.333333334,385.0,505.0,335.833333333,371.25,260.833333333
215.95,698.518333334,860.740733333,526.6666,637.777733334,678.518466667,899.259333334,614.074,650.3704,499.2592
216.32,556.3636,700.606066667,436.9698,547.272733333,552.727266667,695.757599999,502.4242,552.7272,396.9698
216.70,397.083333333,492.5,353.333333333,419.583333334,406.25,484.583333333,365.0,407.5,302.5
217.08,352.631666666,438.596533333,321.0526,380.350933333,375.438533333,410.175533333,323.508866667,388.421,303.859533333
217.46,239.139733333,303.010733334,236.559133333,271.182733333,278.709733333,260.0,239.785,271.1828,236.5592
217.83,449.3334,574.666666667,438.222133333,501.333266667,551.111,473.777733333,456.0,527.111133333,472.444333333
218.21,326.666666667,423.333333334,331.0,360.333333333,405.666666667,340.666666667,340.666666667,384.0,343.666666667
218.59,476.6668,635.238,525.7142,547.619066667,598.0952,523.333266667,536.6666,566.666733333,479.523866667
218.97,383.8096,480.9524,398.730133333,419.682466667,471.428533333,417.460466667,415.872933333,429.523866667,385.7142
219.34,371.212266667,469.696933333,394.848466667,420.000066667,461.515133334,404.848466667,419.091,421.818266667,384.545333333
219.72,227.777733333,281.851933333,245.740666667,255.926,289.2592,244.815066667,268.148,248.703733333,232.962933333
220.10,220.720666667,275.675666667,251.351266667,249.009,285.405333333,241.801733334,269.1892,250.630666667,236.396533333
220.47,246.236533333,315.6988,285.376466667,271.827933333,335.914,275.913933333,303.440933333,281.290266667,269.247333333
220.85,504.762,682.8572,573.809533333,522.857266666,685.238133333,575.714266667,633.333466667,586.190466667,553.3334
221.23,-2237.77773333,-3080.0,-2613.33346667,-2322.2222,-2888.88906667,-2515.55553333,-2906.66653333,-2546.66666667,-2235.55546667
221.61,-190.000066667,-264.888866667,-213.7778,-185.3334,-233.7776,-224.889066667,-247.555466667,-209.333333333,-174.222266667
221.98,-197.0116,-275.862066667,-214.712533334,-201.3794,-241.839133333,-239.0804,-250.114933333,-221.149266667,-176.091933333
222.36,-156.481466667,-216.851933333,-172.037133333,-159.6296,-185.370333333,-188.8888,-197.7778,-170.555733333,-134.999866667
222.74,-124.305466667,-161.944533333,-123.472133333,-122.2222,-143.055533333,-134.444466667,-145.8334,-122.0832,-105.972266667
223.11,-84.3750000001,-106.354,-80.5205999999,-81.3539333333,-93.8541333333,-83.1250000001,-98.6456666668,-76.5624666667,-69.5831333333
223.49,-66.4197333333,-83.9506000001,-61.6460666667,-60.7408,-72.3456,-66.6666666667,-76.8723333333,-56.0493333333,-55.0616666666
223.87,-53.8774666667,-69.5238666667,-49.7958,-45.2380666667,-56.1222666667,-56.2586666667,-58.9796,-44.3536666667,-45.7822666667
224.24,-67.9711333334,-78.6956666667,-60.5072,-53.8406,-63.4059333333,-66.5217333333,-66.3768,-49.9275333333,-55.145
224.62,-72.1072666667,-79.0805333334,-63.4482666667,-54.4828666667,-59.8467333333,-67.4329333333,-68.7356666667,-51.1877333333,-59.0805333333
225.00,-69.6295999999,-73.7448666667,-58.0247333333,-50.8641333333,-56.2964,-61.6460666667,-66.3374,-46.0905333333,-57.2840000001
225.38,-74.8857333333,-77.8994666666,-61.4612,-58.4476,-63.9269333333,-67.3972,-71.2328666667,-47.3972,-67.7624666667
225.75,-80.5128,-88.5128666667,-72.205,-71.6922666667,-74.7693333334,-75.2821333333,-83.4870666666,-58.2564666667,-81.3333333333
226.13,-76.3964,-77.8377333333,-70.1802,-64.5044666667,-68.6486666666,-70.8108,-78.1981333333,-54.5046666667,-76.4864666668
226.51,-58.6345333333,-57.5904,-55.5020666667,-47.8715333333,-52.9316666667,-54.2168,-60.3212,-44.2570666667,-61.0442
226.88,-28.6928,-28.1699333333,-28.2352666667,-21.6341333333,-22.6144,-29.6729333333,-30.1961333333,-23.7254,-31.7648
227.26,-14.2373333333,-16.3841333333,-18.2484,-9.83060000001,-10.3954666667,-18.6440666667,-17.9660666666,-15.0848,-19.3784666667
227.64,-14.4882666667,-14.9604666667,-18.2152,-10.7086,-10.1312,-16.063,-17.6378,-19.1075333333,-19.5276
228.01,-12.1701333333,-11.7673333333,-12.6622666667,-8.41173333333,-9.1276,-10.3802666667,-12.2595333333,-16.5100666667,-12.9753333333
228.39,0.03306666666,0.693,1.65013333334,2.73939999999,0.131999999998,1.88113333333,-0.165066666666,-4.85146666667,-0.132133333347
228.76,0.497866666668,1.13413333333,3.7344,2.9322,-0.276533333334,2.68319999999,-0.138200000001,-3.59606666667,2.65560000001
229.14,-0.370399999998,-0.222199999992,2.07406666666,1.70366666667,-0.987733333333,3.45673333333,-0.716066666666,-3.60499999999,2.76546666666
229.52,0.229133333334,-0.137333333334,1.993,4.21546666666,0.343533333333,4.00913333333,-0.297866666668,-2.8408,3.59693333333
229.89,-1.42533333333,-0.9426,1.35633333333,4.09179999999,-1.05746666667,3.49419999999,0.229933333334,-2.48273333333,3.67826666666
230.27,-1.82233333334,-2.32993333333,0.992000000001,2.7912,-2.53753333333,2.81433333334,-0.830466666665,-3.18333333334,3.0912
230.65,-4.91959999999,-5.35633333333,-1.31046666667,-0.459799999998,-6.13786666667,-0.298800000007,-4.02293333334,-5.79313333335,-0.528666666668
231.02,-13.9253333334,-14.4144,-9.90980000001,-9.72973333335,-16.5509333333,-8.41693333334,-14.2342666667,-16.2676,-10.9910666667
