wavelength,Back_HemSupf,Belly_HemSupf,Breast_HemSupf,Crissum_HemSupf,Crown_HemSupf,DorTail_HemSupf,Patch10_HemSupf,Patch11_HemSupf,Rump_HemSupf,Throat_HemSupf,WingTip_HemSupf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,193.333333333,236.666666667,256.666666667,245.0,266.666666667,250.0,275.0,251.666666667,193.333333334,143.333333333,258.333333334
179.16,81.9444583334,97.2220833334,111.666833334,116.66675,113.889,118.333333333,101.111,115.5555,98.3333333333,89.4443333334,99.4445833332
179.54,107.894708333,127.63175,122.368416667,122.807,126.754333333,129.385833333,125.438666667,118.421083333,125.877166667,114.473666667,113.5965
179.93,220.833333334,309.523916667,246.4285,251.1905,266.666583333,260.71425,267.857166667,260.714333334,270.238083333,235.714333333,232.142916667
180.31,149.238208333,187.096833334,169.713416667,183.871,175.537666667,172.67025,174.820666667,167.56275,164.964083333,154.83875,159.050083333
180.69,150.577416667,186.881333333,169.8845,184.653416666,175.5775,172.029666667,175.412583333,166.089166667,163.943833333,154.042916667,158.910833333
181.07,147.351916667,184.73525,167.134083333,184.345833333,171.4175,166.510916667,168.0685,162.071583334,163.239833333,156.308333334,153.582583333
181.45,144.985208333,181.71075,160.398166667,176.548666667,166.002916667,158.702083333,163.348083333,155.45725,158.18575,155.60475,146.976416667
181.83,138.985458333,170.289833333,152.536166667,168.333416667,159.130333334,146.884083333,154.347666667,149.927416667,152.971,146.666666667,138.9855
182.21,132.21975,156.680833334,148.275833334,161.781666667,153.448166667,140.73275,146.408,144.612166667,145.18675,139.58325,130.459833334
182.59,130.218,151.479583333,147.040416666,159.813166667,153.270916667,135.591833334,142.757083333,144.003,143.146583333,138.006416667,126.16825
182.97,112.130458333,126.142416667,123.454166667,137.634333333,131.518916667,116.196333333,123.051166667,120.161333334,123.521583333,114.247333333,105.510666667
183.35,106.986125,119.799416667,117.4185,130.388416667,126.629,112.656583333,117.9825,113.721916667,117.606583333,107.832083333,99.4361666667
183.73,105.516333333,113.38025,116.784,125.410833333,126.643083334,109.213583334,115.375666667,112.147916667,114.025833333,106.162,98.0046666668
184.11,106.174041667,109.24575,119.586416667,123.17525,130.8395,106.26525,116.7275,112.713,114.781166667,107.420833333,97.6278333334
184.49,103.439,107.473583333,122.88375,123.214333333,132.605833333,106.812166667,115.079416667,116.203666667,114.947083333,109.259333333,94.3783333334
184.87,101.331958333,104.84975,123.155666667,120.355083333,133.265083334,103.415333333,112.636583333,116.051916667,112.705,109.08475,90.0956666665
185.25,96.850375,96.9159999998,116.8635,110.105,128.084,98.1626666667,109.120666667,108.792666667,105.971333333,102.558916667,84.0550833333
185.63,94.5592916666,93.2505833332,117.355333333,111.157083333,128.5125,97.5208333334,108.608833333,110.055083333,105.233916667,100.413166667,83.6086666665
186.01,108.871,107.88525,135.84225,126.164833333,147.759916667,113.171916667,126.16475,125.896166667,115.322583333,117.473166667,93.3691666667
186.39,105.617875,104.869083333,129.868916667,120.411916667,141.292166667,105.337166667,123.12725,118.445666667,107.771583333,114.419416667,89.3259166667
186.77,98.0902499999,98.6110833334,120.39925,109.201416667,130.20825,97.5694166668,117.96875,109.72225,97.4826666666,110.763833333,79.2535000001
187.15,100.88225,104.509833333,131.764666667,112.549,135.098,98.1373333332,121.568666667,115.196,96.8626666667,118.823583333,78.9215833332
187.53,102.381083333,101.78575,131.9445,108.53175,134.22625,97.5198333333,118.849166667,113.591333333,99.6030833335,119.9405,75.9918333334
