wavelength,Back_ConLeuf,Belly_ConLeuf,Breast_ConLeuf,Crissum_ConLeuf,Crown_ConLeuf,DorTail_ConLeuf,Patch10_ConLeuf,Patch11_ConLeuf,Rump_ConLeuf,Throat_ConLeuf,WingTip_ConLeuf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,28.5714444445,46.42825,19.0475,40.4762222222,-2.381,-10.3176666667,9.52377777777,18.2538888889,31.7461111111,31.7461111111,28.5715555556
179.16,56.7902222222,52.778,11.1111666667,29.6296666667,-9.87666666664,-41.358,-20.9875555556,11.1110555556,43.2096666667,39.5062222222,32.0986666667
179.54,53.7036666667,20.83325,-19.4443333334,0.000111111100001,-57.4074444443,-121.296388889,-5.5557777778,-31.481388889,-81.4815555554,-68.5186666667,-5.55544444447
179.93,14.8146666667,66.667,-116.666666666,3.70366666667,-48.1482222222,-183.333111111,-70.3703333332,-55.5556111113,3.70377777767,33.3335555556,-51.8516666666
180.31,-5.6863631661e+13,-1.43936067634e+14,-1.90848563754e+15,-1.72723281164e+15,-2.75788613545e+15,-4.53842860176e+15,-2.98534066209e+15,-8.77832313733e+14,-8.88494244671e+14,-4.47801099312e+14,-1.35761920585e+15
180.69,211.11111111,75.0,1666.66666667,1405.55555556,2294.44444444,3805.55555556,2694.44444445,791.666666667,855.555555558,405.555555556,1388.88888889
181.07,59.6708888888,38.88875,164.814833333,152.263333333,202.880777778,319.341611111,249.794333333,97.3251111111,114.814666667,83.5392222222,153.497777778
181.45,55.8641111111,29.16675,123.611166667,129.012333333,146.296555555,233.950555556,189.814666667,75.3086111112,101.543111111,72.5308888889,128.086222222
181.83,58.547111111,40.8655,96.795,112.393111111,113.675222222,176.175222222,153.632444444,65.8118888888,86.3248888888,59.4016666667,112.179444444
182.21,70.2507777779,57.66125,93.0106666665,113.082333333,112.365555555,161.469777778,151.433555556,69.3547777777,88.5303333333,68.6378888889,108.243555556
182.59,83.4161111112,58.58225,90.7959999998,111.442888889,106.301777778,153.150833333,154.228777778,73.631888889,95.024888889,76.6167777778,111.111
182.97,127.777777778,82.8705,120.987833333,139.712,141.563888889,193.518888889,204.732444445,107.098555556,124.485444445,118.93,148.353888889
183.35,135.990333333,70.65225,134.7825,155.314111111,157.729555555,226.448944444,227.294666667,115.217555556,126.569888889,131.884333333,164.734444444
183.73,127.136666667,66.827,114.423,140.170888889,150.213666667,202.9915,204.701,115.811944444,115.384777778,125.213666667,151.923111111
184.11,233.777777778,76.0,218.0,254.222222222,261.777777778,381.111111111,360.0,219.333333333,212.888888889,210.222222222,277.777777778
184.49,2488.88888889,612.5,2316.66666666,2516.66666667,2811.11111111,4480.55555556,3905.55555556,2241.66666667,2183.33333333,2250.0,2911.11111111
184.87,-418.888888889,-67.5,-373.333333334,-423.333333333,-478.888888889,-856.111111111,-683.333333333,-372.777777778,-355.555555556,-340.0,-457.777777778
185.25,-167.284,-19.4445,-165.740666666,-165.432111111,-209.259222222,-426.2345,-296.296333333,-143.827444444,-148.148333333,-110.493888889,-205.555666667
