wavelength,Back_ThrCypm,Belly_ThrCypm,Breast_ThrCypm,Crissum_ThrCypm,Crown_ThrCypm,DorTail_ThrCypm,Patch10_ThrCypm,Patch11_ThrCypm,Rump_ThrCypm,Throat_ThrCypm,WingTip_ThrCypm
187.15,174.106333333,148.792133333,177.5846,142.511933333,143.9612,163.768066667,131.980733333,159.613466667,129.371933333,169.4688,182.8986
187.53,146.831266667,123.621333333,144.609133333,119.670933333,120.329266667,136.790133333,111.440266667,134.979466667,108.0658,144.115266667,153.909466667
187.91,146.431333333,129.4118,146.353066667,129.333266667,122.4314,137.8038,124.705866667,136.392133333,115.607733333,151.999933334,156.235266667
188.29,152.936466667,131.111133333,154.761933333,134.603133333,127.619,139.127066667,135.7142,147.1428,125.158733334,156.5872,165.7936
188.67,158.3334,134.242466667,157.0456,144.318066667,134.090933333,144.091066667,142.8788,152.878666666,135.227266667,162.348533333,168.5606
189.05,188.888866667,152.486866667,196.0846,172.4868,158.306933333,166.772533333,174.391466667,188.0424,162.963,192.1692,198.941733333
189.43,159.451,134.039266667,162.5882,143.9214,140.4706,144.705866667,151.686266667,162.823466667,141.019666667,167.764733333,166.274533333
189.81,134.052333333,114.5098,136.862733333,123.202533333,115.2288,123.202666667,129.477066667,139.0196,120.718933333,142.156733333,137.647
190.19,141.5218,124.057933333,147.681133333,135.289866667,121.086866667,132.825933333,140.144933333,150.217333333,131.014533333,152.971,144.347866667
190.57,148.724266667,129.6296,160.4938,143.1276,129.959,141.563666667,152.510333333,164.1974,142.14,168.4774,153.909466667
190.95,188.437733333,160.521066667,202.187666667,184.270933333,164.270866667,179.062733333,191.354266667,209.479466667,181.979333333,215.417,207.1876
191.33,157.982466667,144.649066666,176.491266667,156.491266667,143.771866667,160.701666667,171.227933333,184.649,161.578933333,185.7018,181.315733333
191.71,144.7156,135.853733333,163.658466667,141.1382,133.252,144.634133333,160.081333333,169.918733333,151.626066667,168.6992,167.8862
192.09,147.654266666,143.045266667,174.074,149.382733333,143.868333333,151.6872,163.209933333,180.822933333,157.119333333,175.144066667,174.1564
192.47,122.828266667,118.7204,144.444533333,129.494866667,120.740666667,129.7642,135.8922,151.313133333,129.562333333,146.2626,141.414133333
192.85,107.951,106.3608,133.516933333,116.146866667,110.214133333,114.2508,122.446533333,135.351733333,111.559733333,127.033666667,126.6666
193.23,100.051933333,100.000066667,120.208266667,107.343666667,99.8956,104.843733333,111.7186,120.624933333,101.874933333,116.927066667,118.385333333
193.61,96.2898666665,101.855066667,122.4928,112.637733333,99.8840000001,105.855066667,117.1014,124.637666666,103.1884,119.826,124.057933333
193.99,93.2202666667,97.7966666667,119.887,109.039533333,102.7118,101.7514,112.7684,123.220333333,102.937866667,117.4578,122.7684
194.37,94.215,99.3389333331,116.694266667,110.0276,105.4546,101.267066667,112.231266667,127.272666667,101.652933333,116.583933333,125.2342
194.75,87.9432666667,92.9078,106.004733333,102.694933333,99.0069333333,94.3262,103.073333334,119.479866667,95.6973333333,104.728133333,113.9952
195.13,83.3119333334,88.8171999999,98.7528666667,95.1827999999,95.2688666666,88.8601999999,98.0215333335,109.462266667,89.2903333333,96.3870666666,103.526733333
195.51,85.375,89.0833333333,97.2499999999,98.4583333333,92.5833333332,86.7916666666,96.8750000001,108.541666667,90.375,97.7916666667,101.208333333
195.89,86.4488,92.0262,103.137133333,103.747266667,94.5532666666,90.8060666666,98.3442666667,112.069866667,93.5075333335,102.527266667,105.795333333
196.27,83.6477333335,87.7149333333,95.9748666667,96.9812,88.0922666666,87.5472000001,94.0881333333,106.247333333,89.8533333333,97.1908666666,99.9998
196.65,79.2157333332,82.8235333333,91.3725999999,89.8430666667,82.7058666667,81.2941333334,88.549,99.8823333334,86.7058666667,92.5491333334,94.7057999999
197.03,79.4055333333,83.5244666667,89.4692666667,91.1251999999,81.4863333333,80.2972666666,88.2803333333,101.3164,87.9405999999,95.1592666667,93.2907999999
197.40,86.3947333333,86.8934,92.9251333333,97.7776666667,89.2064666666,85.8050000001,92.9705333332,108.616733333,94.6938000001,98.2313333333,96.7346666667
197.78,82.1268,80.0819333333,85.6033333333,88.4663333335,80.7361333333,79.3047333333,82.086,98.9775999999,87.5664666667,86.7893999999,86.7895333333
198.16,83.1110666667,80.889,84.4849333333,90.4645333333,80.2020666667,81.2119333333,84.2424,99.2726666667,89.6969333333,87.1919333333,86.0202666666
198.54,79.0016666667,76.4704,81.4616666666,86.3816,74.5098666667,77.1836666666,82.8521333333,92.2280666667,86.2389333334,82.9589333333,81.5685333333
198.92,80.5040000001,78.8370666667,83.7596666666,94.0697333333,78.4108666667,80.1937333333,87.1317333334,93.9923333333,90.6589333333,86.8217333334,85.5038
199.30,77.1486000001,74.6586666667,81.6064000001,92.1286000001,73.5341333333,77.5902666666,82.5702666667,92.7710666667,89.8794666667,83.0120666667,81.1646666667
199.68,77.3494666667,76.2249333333,84.0160666667,95.4617333333,78.1124666667,81.4859333333,85.3815333333,95.5422,90.8433333333,84.6185333333,83.3333333333
200.06,84.0000000001,80.25,89.6666666667,101.833333333,84.5833333333,88.8333333333,93.3333333333,101.833333333,98.6666666667,88.0833333333,87.5
200.44,88.1278666667,84.6576666667,94.4292000001,111.3242,86.9862666666,92.1918000001,99.0411333334,109.7718,103.196466667,93.2876,92.6483333333
200.82,94.1983999999,95.7760666667,101.170466667,121.9848,97.2009999999,102.747933333,110.737933333,118.473266667,110.636266667,101.832066667,100.559866667
201.19,85.3691333333,88.5011333333,93.0201333333,113.422733333,90.7382666666,94.7203999998,98.9708666665,111.812,101.566,93.0649333335,92.2595333332
201.57,80.1789333333,89.8435333334,93.1542666666,112.841133333,86.6667999999,91.4541333335,97.7181333334,110.603933333,99.4629999999,92.6622666668,89.7986000001
201.95,89.8361333333,103.224,110.601133333,135.573733333,104.644866667,109.071066667,116.284133333,130.928933333,118.415333333,108.469933333,103.9344
202.33,84.0437333334,98.8525333333,106.010933333,128.743266667,95.7923333334,101.1476,108.907133333,122.6776,107.158466667,103.333266667,97.6501999999
202.71,87.5163333333,107.908533333,113.137333333,137.7124,101.960733333,105.817,115.1634,132.9412,115.5556,111.3726,101.699333333
203.09,94.9306000001,114.375066667,117.222266667,141.041666667,103.819466667,109.930533334,120.486066667,139.3056,120.902733333,117.083466667,103.889
203.47,106.910466667,129.5934,133.658666667,163.414666667,122.9268,122.926866667,141.951266667,163.089466667,142.926866667,138.2114,120.894333333
203.85,123.7576,154.4242,161.697,201.5758,138.545466667,139.6364,176.848466667,204.848466667,178.6666,160.9698,143.151466666
204.22,114.444533333,145.111066667,146.111066667,188.777733333,131.7778,126.444466667,162.000066666,190.333266667,161.6666,149.777666667,135.222266667
204.60,142.6414,171.949733333,171.069266667,222.6416,165.534733333,154.339733333,189.433933333,218.364666667,195.471666667,168.050333333,153.207466667
204.98,138.865266667,169.361666667,174.609866667,232.9078,170.496533333,149.787133333,181.985866667,229.503466667,200.992933333,160.992933333,145.531933333
205.36,428.205133333,511.282066667,544.6154,727.6924,536.923133333,456.923066667,598.4616,741.025600001,643.077066667,493.333333333,423.077
205.74,466.060533333,545.4544,615.7576,832.727266667,618.787933333,513.333333333,657.5758,817.575733334,733.939333333,543.636333334,478.181866666
206.12,556.296266667,651.851733333,716.296266667,991.111200001,756.296333333,605.185133333,817.777866666,981.481333333,885.925933333,686.666666667,589.629733334
206.50,-472.666666667,-536.0,-594.666666667,-870.666666667,-686.666666666,-476.666666667,-655.333333333,-850.0,-764.666666667,-534.666666667,-505.999999999
206.87,-925.555466667,-1001.11106667,-1136.66653333,-1697.77786667,-1314.4444,-991.111066667,-1249.99986667,-1554.4444,-1382.22226667,-1013.33333333,-978.888799999
207.25,-509.333333333,-576.0,-655.333333333,-965.333333333,-765.333333332,-534.0,-702.0,-896.000000001,-779.999999999,-544.0,-579.333333334
207.63,1991.1112,2333.3334,2497.77773333,3446.66653333,2797.7778,2177.7776,2586.66673333,3213.3334,2797.7778,1993.33353333,2126.6666
208.01,1553.33333333,1704.0,1762.66666667,2392.0,2046.66666666,1605.33333333,1869.33333333,2276.0,1978.66666667,1532.0,1478.66666667
208.39,666.111066666,730.555466667,721.666666667,1007.77773333,850.000000001,677.222266667,783.333333333,943.333333334,861.111133333,653.888866666,592.222133334
208.77,456.666733333,527.142866667,535.237933333,763.809533333,631.904733333,463.333333333,545.714266667,719.523733333,640.0,465.238133333,431.428666667
209.14,824.166666667,994.166666667,936.666666667,1386.66666667,1106.66666667,869.999999999,994.999999999,1255.83333333,1136.66666667,900.0,812.5
209.52,251.4286,316.9046,302.142866667,415.0,345.476266667,283.8096,308.571333333,387.857266667,351.666733333,278.809733333,265.0
209.90,291.2,364.266666667,325.066666667,451.466666667,393.333333333,327.2,351.2,450.133333334,397.6,306.133333333,293.866666667
210.28,153.202666667,195.4248,165.359466667,227.3202,201.5686,169.0196,181.5686,228.235266667,197.516333333,156.078533333,150.849666667
210.66,166.370333333,215.851733333,187.7036,243.7036,218.2222,184.740866667,199.259266667,254.222266667,221.3334,175.7036,153.037
211.03,191.515133333,269.494933333,236.969733333,288.484866667,269.090866667,227.878733333,226.6666,310.100933333,271.3132,202.626266667,179.393933333
211.41,189.375,266.25,247.708333333,276.458333333,271.458333333,225.416666667,220.416666667,320.0,272.708333333,200.208333333,166.458333333
211.79,205.2778,322.5,291.944333333,318.888866667,321.944466667,259.166666667,253.888866667,379.722133333,310.2778,242.2222,178.8888
212.17,126.3638,278.484866667,245.151533333,258.1818,280.0,205.151533333,182.121266667,319.999933333,248.4848,170.606133333,132.4242
212.55,105.277733333,263.611133333,217.499933333,219.166733333,256.388933333,177.500133333,151.389066667,289.4444,201.111066667,150.277933333,125.2778
212.92,138.596533333,356.4912,285.2632,270.526266667,334.035133333,240.350866667,221.403533333,367.017533333,262.456133333,203.157733333,158.596466667
213.30,195.0,419.166666667,346.25,315.833333333,406.666666667,282.083333333,255.416666667,437.916666667,336.25,233.75,177.5
213.68,-740.0,-1633.33333333,-1340.0,-1263.33333333,-1493.33333333,-1021.66666667,-931.666666667,-1600.0,-1240.0,-938.333333334,-669.999999999
214.06,516.666666667,1121.11113333,878.888866667,871.111133333,952.222133333,631.111066665,587.777799999,1016.6666,775.5556,681.111200001,465.555666667
214.44,-140.416666667,-371.666666667,-285.0,-261.666666667,-312.916666667,-190.833333333,-145.833333333,-328.333333333,-230.416666667,-208.75,-121.25
214.81,-55.8333333333,-301.666666667,-195.0,-173.75,-244.583333333,-131.666666667,-84.5833333334,-273.333333333,-161.25,-130.833333333,-60.4166666666
215.19,-310.0,-1003.33326666,-578.888933333,-601.111066667,-775.555533334,-432.222133333,-382.222266667,-842.222266668,-522.222266667,-530.0,-302.2222
215.57,-341.333333333,-1174.66666667,-598.666666668,-762.666666668,-860.0,-493.333333333,-441.333333333,-886.666666667,-568.000000001,-683.999999999,-345.333333334
215.95,-319.999999999,-1026.66666667,-422.666666667,-677.333333334,-765.333333333,-392.0,-317.333333333,-764.0,-495.999999999,-544.000000001,-268.000000001
216.32,253.333333334,468.571333333,263.333466667,362.380933333,390.952266667,252.8572,209.0476,364.285666667,275.238,312.857266667,203.3334
