wavelength,Back_BanEdwf,Belly_BanEdwf,Breast_BanEdwf,Crissum_BanEdwf,Crown_BanEdwf,DorTail_BanEdwf,Patch10_BanEdwf,Patch11_BanEdwf,Patch12_BanEdwf,Rump_BanEdwf,Throat_BanEdwf,WingTip_BanEdwf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,200.0,308.333333333,41.6666666665,75.0000000001,133.333333333,75.0,166.666666667,16.6666666667,275.0,316.666666666,100.0,283.333333333
179.16,204.166666666,170.833333333,170.833333333,262.5,154.166666667,137.5,195.833333333,125.0,162.5,162.5,208.333333333,279.166666666
179.54,74.5098333334,62.7451666666,58.8236666666,61.7648333333,50.9803333333,57.8431666667,44.1178333334,70.5883333333,44.1175,56.8626666667,65.6861666666,54.9021666667
179.93,47.9166666667,25.0,73.9583333333,93.75,91.6666666665,54.1666666665,62.5,43.75,22.9166666666,60.4166666667,41.6666666667,99.9999999998
180.31,94.3261666667,72.3403333334,89.6275833334,90.4255,98.5816666666,79.2551666665,86.8795,86.7021666667,67.0213333334,93.4395,90.7803333335,119.149
180.69,94.6033333335,74.6033333333,94.2855,96.5078333331,105.238166667,86.6666666667,92.222,89.2063333331,70.1586666666,98.2541666667,91.9045,123.8095
181.07,93.9861666669,74.2268333334,102.061833333,104.295666667,112.0275,97.4226666667,93.299,95.8763333334,71.134,103.092666667,96.7355,132.817833333
181.45,96.8085000001,77.4823333335,110.37225,106.028333334,121.0995,101.241166667,98.759,105.496333333,74.291,111.170333333,98.5818333335,137.588666666
181.83,106.5475,86.9046666665,130.357166667,121.23,139.484166667,116.865,119.444166666,116.0715,90.2778333333,126.388833333,111.7065,157.738
182.21,125.000166666,107.4325,157.657583333,138.063,161.261333334,140.991,147.5225,134.459333333,115.991166667,145.045333333,134.91,185.585333333
182.59,130.952333334,117.749,169.588583333,148.052,165.151666666,152.597333333,162.337666667,145.8875,128.355166667,152.597333333,146.104,188.311666667
182.97,132.444333333,121.999833333,174.777666667,154.889,160.4445,153.111166666,170.222166667,142.4445,128.6665,153.333333333,150.000166667,189.777833333
183.35,128.472166666,124.537166667,179.051,149.074,157.407333333,150.463,169.444333333,141.6665,128.935,153.009333333,157.407333333,185.8795
183.73,169.629666666,178.888833333,247.5925,212.962833333,219.999833333,223.703833333,230.370166666,197.407333333,181.111,212.963,217.7775,262.222333333
184.11,197.222333333,224.206166667,293.055666666,250.0,265.873,265.873166667,268.651,234.920666667,228.571166667,257.936666667,247.222333333,303.571333333
