wavelength,Back_CatDiaf,Belly_CatDiaf,Breast_CatDiaf,Crissum_CatDiaf,Crown_CatDiaf,DorTail_CatDiaf,Patch10_CatDiaf,Rump_CatDiaf,Throat_CatDiaf,WingTip_CatDiaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,17.1428,23.8094666667,19.9999333333,9.52373333335,14.2858,19.9998666667,21.9048,25.7141333333,10.4762666667,5.71433333334
179.16,323.333333333,320.0,333.333333333,253.333333333,246.666666667,340.0,293.333333334,296.666666667,333.333333333,326.666666667
179.54,-113.333333333,-63.3333333333,-140.0,-106.666666667,-53.3333333334,-83.3333333335,-103.333333333,-56.6666666667,-60.0,-86.6666666666
179.93,-57.7777333333,-68.8888666666,-115.555466667,-46.6666,-13.3332666667,-33.3334,-35.5556666667,-73.3334000001,-75.5555333333,-73.3332666667
180.31,-58.8889999999,-76.6666,-108.888866667,-45.9260000001,-39.6296,-44.0741333333,-37.7777333334,-32.5926666666,-85.1851333333,-97.7778000001
180.69,-95.9999999999,-109.333266667,-155.111066667,-72.8889333335,-75.1111333334,-71.1110666668,-65.3332666667,-54.2222666667,-120.888866667,-140.444533333
181.07,-239.166666667,-268.333333333,-353.333333333,-181.666666667,-199.166666667,-178.333333333,-175.0,-145.0,-285.0,-323.333333333
181.45,-37.7778000001,-59.6295333334,-100.740733333,-27.0370666667,-38.1481333333,-17.0370666667,-19.2594000001,0.370399999994,-64.0740666667,-82.5926666667
181.83,-38.7500000001,-70.0,-115.416666667,-27.9166666667,-44.5833333333,-19.5833333333,-15.0000000001,-0.83333333334,-74.5833333333,-91.6666666667
182.21,-45.0,-86.1111333334,-149.444533333,-36.1110666668,-61.1110666666,-29.4444666667,-21.1112,7.2222,-87.2223333333,-114.444466667
182.59,-9.62953333333,-36.6666,-79.2591999999,2.22206666653,-10.0,4.07413333332,15.9260000001,35.5555333333,-22.963,-41.1111333333
182.97,13.0434666666,-5.50726666666,-48.9854666667,17.9709333333,12.174,23.768,36.5216,42.8986,5.50733333333,-6.087
183.35,21.8182,17.5758,-21.8182666667,25.6564666667,22.6262666666,38.7879333333,44.6464,49.8989333333,17.9798,15.9595333333
183.73,13.5632666667,10.1148666667,-40.2298,19.3102666667,9.88493333333,32.6436666667,41.6091333333,49.885,10.3449333333,5.05746666668
184.11,-1.28206666667,-17.9486666667,-61.0256,2.30766666673,-11.0256666667,18.9743333333,24.3590666667,32.8206666667,-4.10253333335,-12.5641333333
184.49,-4.99993333333,-17.8571333333,-53.5714,4.52386666661,-15.4762666667,19.2857333333,21.6667333333,28.8094666667,-2.85713333333,-10.2382
184.87,16.508,5.99982286076e-12,-19.3650666667,15.7142,7.30160000001,29.2063333333,30.1586,33.492,11.7461333333,8.09533333334
185.25,27.2,9.59999999999,-6.26666666666,23.8666666667,17.2,35.7333333333,36.9333333333,38.5333333333,22.6666666667,19.3333333333
185.63,17.0832666667,1.66673333333,-12.9166666667,17.361,12.7777333333,32.4998666667,31.9444,32.639,16.8056,13.1944
186.01,18.9542666667,2.87586666665,-7.84319999999,19.0851333333,14.6406,34.3791333333,30.7188666666,32.8104666667,17.1242,15.8171333333
186.39,15.3086666667,-0.246866666674,-7.90119999999,15.4321333333,9.25913333333,31.9752666667,27.6543333333,31.2346,12.2222,11.1110666667
186.77,20.0,3.06666666667,-8.39999999999,14.1333333333,8.66666666667,31.8666666667,30.9333333333,28.9333333334,9.46666666666,7.73333333333
187.15,10.2899333333,-7.10146666666,-17.5362666667,6.81166666666,0.434866666667,22.1740666667,21.7391333333,22.1738,-0.43466666666,-4.34780000001
187.53,6.6666,-17.265,-25.2990666667,5.81193333335,-4.61533333335,19.4872,17.094,17.0941333333,-5.47006666668,-11.4530666667
187.91,9.14739999999,-11.938,-15.5038,6.20146666667,3.87599999998,22.7907333333,19.9999333333,16.7443333333,-2.79073333334,-5.11626666669
188.29,12.0634666667,-7.77773333332,-14.6031333333,6.66653333333,9.36513333333,27.7777333333,23.4919333333,21.1112,-3.65086666668,0.15873333332
188.67,16.1482,-9.18520000001,-14.9628666667,6.96293333334,8.59260000001,26.5185333333,21.3333333333,25.6296,-2.07420000002,3.55553333333
189.05,1.53839999999,-29.0599333333,-37.9486666667,-7.17953333334,-11.7948,10.7692,5.98299999998,15.0427333333,-24.1026666667,-11.1111333333
189.43,-8.38106666667,-43.0475333333,-51.6190666666,-18.4761333333,-21.7142666667,2.47613333334,-2.09526666666,6.47619999999,-34.4762,-18.8571333333
189.81,-1.45833333332,-40.0,-52.0833333333,-12.7083333333,-25.625,4.16666666664,3.33333333334,7.70833333333,-35.0,-16.4583333333
190.19,4.44446666667,-36.5656666667,-49.2928666667,-8.48500000001,-25.6566,2.82826666666,5.85853333334,9.09093333333,-30.5051333333,-18.99
190.57,10.625,-32.5,-47.9166666667,-4.58333333333,-20.2083333333,6.66666666666,10.625,8.95833333333,-25.8333333333,-9.79166666666
190.95,-4.44433333333,-62.4691999999,-75.0618,-20.0000666667,-44.6913333333,-11.3578666667,-9.38273333334,-8.14806666666,-45.4319999999,-20.4939333333
191.33,19.3333333333,-47.1111333333,-53.5556,-5.55553333332,-30.0000666667,3.11099999998,1.33333333334,4.66659999999,-27.3332666667,-2.88886666667
191.71,33.1666666667,-20.0,-20.6666666667,9.83333333334,-4.83333333335,16.6666666667,17.0,22.5,-4.83333333332,16.1666666667
192.09,45.0,-7.66666666667,-7.33333333333,21.1666666667,4.83333333334,25.1666666667,24.8333333333,37.3333333334,7.0,28.1666666667
192.47,44.9524,-13.9047333333,-14.2856666667,18.2857333333,-5.71426666667,20.762,18.6666,35.8094,-0.19059999998,24.0
192.85,64.6376666667,-17.9711333333,-20.8696,31.0144666667,-4.63753333333,25.7970666667,30.1449333333,43.1884,-0.869666666606,31.3044
193.23,106.2746,8.23533333331,-1.5686,66.6666666666,31.7645333333,65.0980666667,69.0196000001,73.7253999999,35.6863333333,66.2744666667
193.61,150.666666667,43.1110666666,24.8888,104.888933333,57.3333333333,95.1110666667,97.3333333333,103.111066667,64.4444,96.4443999999
193.99,188.205133333,54.8720000001,45.1282,115.3848,79.4870666666,115.384666667,113.8462,123.589733333,87.6923333335,114.871666666
194.37,159.999866666,62.9629999999,66.6666666667,105.555666667,88.5184666666,115.5556,114.4444,117.777733333,88.8889333333,120.370266667
194.75,169.122933333,72.2807333334,87.7194000001,118.2456,99.6492000001,128.421066667,121.052666667,130.175466667,93.3333333333,132.280666667
195.13,152.8,79.1999999999,95.4666666667,114.933333333,101.866666666,124.8,118.933333333,128.266666667,97.0666666665,124.8
195.51,159.722266667,89.1666000001,104.444533333,122.5,108.611066667,128.6112,126.111133333,136.389,106.666533333,135.277733333
195.89,208.235266667,115.6862,125.0982,152.157,132.941133333,163.529466667,154.901866667,167.0588,137.254933333,163.529466667
196.27,251.282133333,129.743466667,135.384533333,175.8974,158.461533333,202.051333333,189.743466667,185.640933333,158.974466667,178.9744
196.65,217.083333333,117.916666667,119.583333333,149.166666667,144.583333333,177.5,165.833333333,155.0,145.0,153.75
197.03,171.9298,98.5964666667,93.3333333335,110.1754,114.035066667,138.596466667,132.631533333,119.999933333,115.789466667,119.649
197.40,188.444533333,93.3333999999,97.7778666666,108.444466667,113.333333333,139.1112,132.0,118.222266667,116.888866667,122.6666
197.78,204.102466666,104.615333333,112.3076,105.641,119.487266667,150.7692,139.999933333,127.179466667,123.589666667,132.820466667
198.16,260.0,115.833333333,120.833333333,120.0,125.0,175.0,155.0,158.333333333,141.666666666,153.333333333
198.54,-376.666666667,-133.333333333,-83.3333333335,-118.333333333,-93.3333333335,-181.666666667,-103.333333333,-148.333333333,-133.333333333,-151.666666667
198.92,-171.4286,-47.6189999999,-3.8095333334,-24.7618000001,-19.9999333333,-44.7619333333,-13.3334,-41.9048666669,-55.2382000001,-21.9047333333
199.30,-175.555466667,-68.8890000001,-24.4445333332,-7.77780000014,-16.6667333334,-33.3333333333,2.22233333338,-31.1110000001,-72.2221999999,-3.33319999993
199.68,-105.0,-43.3333333333,-1.66666666666,2.50000000012,4.99999999986,-10.0,23.3333333333,0.8333333334,-36.6666666668,28.3333333332
200.06,-83.3333333333,-39.3333333333,-23.3333333334,-12.6666666665,6.00000000007,-4.66666666674,13.9999999999,-6.0,-21.3333333333,7.33333333334
200.44,-65.1852,-25.9259333333,-21.4814,-0.74086666666,23.7036,37.0370666668,54.8148,8.14819999998,9.62966666673,24.4444
200.82,-99.0477333333,-78.0952666667,-73.3333333332,-28.5714666666,-4.76193333328,36.1905999998,40.9524000001,-1.90473333326,4.76186666673,5.71413333345
201.19,-500.0,-336.666666667,-416.666666667,-216.666666666,-163.333333333,16.6666666672,76.6666666666,-120.0,-103.333333333,-110.0
201.57,187.333333333,162.0,176.0,137.333333333,117.333333333,80.0000000001,89.3333333333,116.0,109.333333333,98.6666666667
201.95,167.878733333,138.181933333,156.969666667,136.363733333,107.272666667,73.9393333333,87.8789333333,99.3938666667,103.636333333,90.9091333333
202.33,120.444466667,95.1110666665,110.666666667,92.0,80.8888666666,56.8889333333,64.4444,63.1111333333,71.9998666667,72.4444666667
202.71,106.296333333,80.3703333333,100.0,70.7408666665,68.5184666667,48.1481333334,67.4074,58.1481333334,69.9999999999,67.4075333334
203.09,139.999866667,104.888866667,128.444333333,99.5556000001,86.2221999999,64.0000000001,99.5555333333,70.2221999999,104.888933333,95.1109333334
203.47,134.2222,92.8889333333,117.333333333,93.7778666667,72.4444666667,54.2222000001,84.8886666666,62.6667333334,98.2221333333,90.2222666666
203.85,145.128133333,98.9743333333,141.538466666,104.615466667,94.8717999999,57.9488,102.5642,74.3588666667,108.205066667,109.743533333
204.22,103.333333333,64.5833333333,95.8333333333,65.4166666667,62.9166666667,29.1666666666,73.75,41.6666666667,86.6666666666,76.6666666665
204.60,114.444333333,66.1111333335,115.555533333,51.1111333335,49.4443999999,7.22220000001,84.4444000001,26.1110666667,108.333266667,85.5555333333
204.98,177.7778,65.5555333333,178.8888,37.7776666666,30.0000666667,-61.1110666667,102.222333333,15.5555333333,225.555466667,117.777733333
205.36,-1073.33333333,-500.000000001,-1246.66666667,-333.333333332,-153.333333333,286.666666667,-680.0,-200.000000001,-1440.0,-846.666666667
205.74,-6.25000000001,29.9999999999,-20.0000000001,44.5833333335,55.0000000001,82.0833333332,23.7499999999,50.0,-24.5833333333,2.08333333333
206.12,-8.88899999999,21.4814666667,-27.0370666667,34.8148,38.1480666667,75.9258000001,22.9630000001,37.0370666667,-28.889,-9.25933333333
206.50,-8.88906666666,12.2222000001,-34.0739333333,24.0740000001,34.4443333333,74.8148666668,17.0370666667,24.8148666667,-39.2593333333,-12.9630000001
206.87,-7.77773333335,8.51853333326,-33.7037333333,6.6666,20.7407999999,65.1852666666,11.4815333333,16.2962666667,-51.1112,-11.4816
207.25,-19.9998666667,-5.55553333333,-71.1110666667,-5.00006666646,1.66659999986,80.5556666667,15.5556666666,-8.33339999993,-90.5555333333,-29.4443999999
207.63,-5.77773333334,2.22213333328,-43.5553999999,7.5554666668,8.88879999992,81.7779333333,18.2222666668,0.8888,-59.9999999999,-12.8888
208.01,-2.85713333332,-0.476266666726,-43.8095333334,20.9523333333,24.2857333333,105.714333333,26.6666666666,11.9046666667,-59.0476666668,-6.19053333326
208.39,3.85973333335,1.75433333327,-41.7545333334,14.7368000001,15.0877333333,76.1405333334,28.4210000001,9.8245333334,-38.5965333333,-1.7544
208.77,-9.33333333333,-7.55560000012,-61.3332666667,-4.88886666666,4.0,83.1111333334,30.6666666667,5.33333333334,-62.6665333334,-7.5556
209.14,9.44440000001,8.8889333334,-62.7777999998,4.44440000008,13.8888,116.1112,40.0001333333,25.5554666667,-52.7777333333,0.55553333332
209.52,45.3333333334,31.9999999998,-30.6666666666,45.3333333334,35.3333333333,188.0,62.0,69.9999999999,-46.6666666665,35.9999999999
209.90,44.1666666667,9.16666666666,-58.333333333,20.8333333333,-1.39995393056e-10,235.0,51.6666666666,64.1666666667,-100.833333333,20.8333333334
210.28,87.8788000001,53.9394000001,15.7575333333,73.9394,51.5151333333,226.666733333,71.5151333333,89.697,-18.1817333332,74.5454
210.66,77.8946,57.8946666667,32.6315333335,67.0174666665,47.0175333333,162.807066667,68.7719999999,84.9122,18.5964,74.3860000001
211.03,81.2698666667,56.1905999999,28.8888666666,73.0158,51.1110666667,160.0,67.3016000001,87.3016,26.3492,71.4284666667
211.41,80.5128666667,58.7180666665,37.6924000001,74.1025333334,63.5897333334,146.6668,67.4358,89.2307333333,38.2051333333,73.8460666666
211.79,81.3793333334,59.0805333333,38.1609333333,72.8734666667,63.9081333334,134.4828,66.8966000001,86.8964666667,42.069,74.9425333334
212.17,81.5238666667,61.1428666666,44.3809333333,68.9523333333,66.4761999999,119.618933333,69.3333333335,83.6190666666,41.3332,77.1428666667
212.55,75.5556,49.0909333333,37.9797333333,58.3839333333,61.2120666666,118.383933333,60.2020000001,74.5454666665,28.0807333333,71.5150666666
212.92,73.7255333334,43.7253999999,34.7058,53.9216000001,53.1372666667,110.980333333,51.7645999999,64.9019333333,22.5488666667,65.6862666667
