wavelength,Back_TacLucf,Belly_TacLucf,Breast_TacLucf,Crissum_TacLucf,Crown_TacLucf,DorTail_TacLucf,Patch10_TacLucf,Rump_TacLucf,Throat_TacLucf,WingTip_TacLucf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-148.333333333,-105.0,-133.333333333,-105.0,-74.9999999999,-191.666666667,-80.0,-115.0,-101.875,-170.0
179.16,-9.6296,-3.70386666667,-22.963,-18.5186,-8.14800000001,-22.2220666667,22.5925,-44.4444666667,6.111175,-11.8517333333
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,20.0000666667,25.5556,42.2223333333,79.9999333335,36.6665999999,65.5555333333,26.1110333333,52.2222,9.16665833334,16.6667999999
180.31,-124.0,-69.3333333332,-196.0,-263.333333333,2.84217094304e-15,-281.333333333,84.0,-255.333333333,6.58333333334,-100.666666667
180.69,-138.333333333,-25.8333333335,-207.5,-291.666666667,69.1666666666,-300.833333333,197.5,-283.333333333,60.8333333333,-77.5
181.07,-220.000000001,90.0,-593.333333333,-1106.66666667,526.666666666,-869.999999999,1005.0,-1073.33333333,494.166666666,126.666666668
181.45,90.3029333332,40.6061333333,158.181866667,243.636466667,-62.4241999999,247.272733333,-125.151433333,228.484733333,-52.3484500002,34.5454000002
181.83,39.2157333333,1.96066666667,84.7059333334,133.725466667,-64.3137333333,136.078533333,-88.2354333332,145.4904,-53.7254333333,0.392133333466
182.21,44.5613333332,9.82459999996,86.3156,119.298266667,-68.7719333333,123.508866667,-75.7895333334,128.421133333,-48.4648916667,15.4386666668
182.59,70.4762666667,49.7618666667,99.5237999999,110.0,-13.0952666667,125.4762,-16.1905000001,131.666733333,8.12489166665,51.9048666666
182.97,79.8197999999,62.1622000001,100.9008,104.1442,17.1172,131.531533333,23.7837333334,124.864866667,39.234275,69.0090666667
183.35,79.3103333333,64.7127333333,91.2644000001,90.6897333334,40.8046666667,111.1494,44.1954333334,102.643533333,53.433975,72.4138666667
183.73,79.4029333333,69.9502000001,86.8658000001,86.6665333334,49.0547333333,107.164333333,54.3781333334,100.497533333,62.52495,78.1094
184.11,75.1439333333,68.8066000001,80.9875999999,78.9302000001,46.2550666667,94.8148,53.8682666667,88.7243333333,66.038975,74.1562
184.49,75.5325333333,67.7664000001,79.8625999999,76.4949333333,46.8728666667,90.0343333333,57.9724666666,86.5292000001,68.7542916667,72.5775333333
184.87,80.606,75.8182000001,85.6970666667,83.3332666667,56.4242666666,98.3636666666,69.0304333333,92.1817333332,76.3637166667,79.6364666667
185.25,82.7585333334,77.1839333333,87.9310000001,81.6092000001,61.0918,100.115,71.7527666667,90.4597333333,79.9856916667,83.8507333333
185.63,81.4285333333,76.5475999999,87.6190666666,82.3809333334,61.1309333333,96.7857333333,71.8155999999,90.5953999999,82.3215083333,81.3096000001
186.01,86.1681333333,84.299,92.4610000001,87.1652666666,66.9781333333,102.9906,78.4423333333,95.4517333334,87.0715999999,86.9780666667
186.39,90.8986,90.0289333333,97.6231999999,91.4201999999,74.8404666667,106.377,84.4348000001,98.9566,94.724625,89.5652000001
186.77,93.3881333334,88.9070666666,97.1584666667,91.0383999999,77.6503333333,104.426333333,85.5465666667,98.1421333334,95.6694833335,89.2897333333
187.15,94.0800000001,88.1599999999,97.2266666665,90.4533333333,77.3866666667,100.746666667,82.4800000001,97.0666666667,96.2,88.1066666667
187.53,96.8889333333,90.2778,101.277733333,93.3888666667,77.2779333333,103.944533333,83.5833000001,100.833466667,96.1598083334,88.8333333334
187.91,89.8784,84.8174666667,96.1557333334,86.1800666666,73.3334,98.0047999999,78.6375,93.2360000001,90.0304166667,83.8441999999
188.29,81.2611999999,77.4323333333,87.6125333333,80.0899999999,67.2522666667,91.4413999999,73.2207666667,87.7025999999,82.75905,75.4505333333
188.67,74.1024666667,73.7178666667,83.3761333333,76.1967333334,64.1879333333,85.8975333332,70.8973333333,81.7520666666,79.8771,70.8548
189.05,68.9473333333,70.0000666667,80.6577333333,71.2717999999,58.2456666667,79.9560666667,66.5788666667,78.1578000001,74.8795,66.1402666667
189.43,65.4467333333,66.7976,79.1285333333,70.7189999999,53.3768666667,76.9499333333,64.2919666667,76.3398666667,71.9172,62.7016
189.81,62.5926,63.8272,76.8313333333,68.7242,52.4691333333,74.8148666666,61.7284,73.3332666667,69.2180583333,60.4115333333
190.19,58.1502666667,58.8824666667,73.6416,65.395,49.2486666667,69.3257333334,56.8593666667,68.4007333333,65.4431833333,55.761
190.57,52.7485333334,54.0742,68.3432,63.1968666667,45.653,65.809,51.4815333333,64.9512000001,60.4874583334,51.1111333333
190.95,47.7466666666,50.1304666667,63.5381333333,59.4786666667,43.1658666667,61.6758666667,48.1751,60.2606,55.2513333333,46.257
191.33,45.1071333333,48.8108,59.1813333333,57.1929333333,41.2086666667,59.4542,45.3801333333,58.8695333333,52.3636583333,42.0273333333
191.71,44.8086666667,46.2660666667,56.7941333333,55.337,43.2056666667,56.9034666667,43.4972666667,57.0492,52.153875,39.8542
192.09,48.2708666667,48.7344666667,60.8914666667,58.6808666667,46.631,59.3226,46.1318666667,60.2495333333,55.525825,41.4974
192.47,47.619,46.6666666667,59.5062666667,56.6842666667,46.4904,57.4602666667,44.4620666667,56.8606,52.566125,40.4585333334
192.85,45.0086,43.2123333333,57.1676,54.4042,44.6978,54.2314,40.0862333333,52.8151333334,50.6475333333,37.1675333333
193.23,46.3381333333,42.66,56.6174,55.6977333333,49.5238,54.0558666667,41.3793333333,52.3482,51.8555083333,37.7011333333
193.61,46.9826,42.496,54.5972666667,54.6287333333,52.3539333333,52.5118666667,42.4961666666,51.3428666667,52.089175,38.7044666667
193.99,50.6666666667,46.0155333333,57.0232,55.7830666667,55.721,54.2636,47.3178666667,53.6434,53.9806166667,42.4496666667
194.37,54.517,51.2774,59.3459333333,59.3458666667,59.9688,57.7258,51.5887333333,56.5732,58.563175,46.6666666667
194.75,53.9573333333,49.0968,58.0295333333,54.7783333333,57.2085333333,55.0738,50.2627,54.4498,57.6067083333,44.9918
195.13,53.5417333333,48.8889333333,58.6806,53.75,57.2222666667,54.5486,50.8854666667,54.2709333333,57.5088083333,44.3750666667
195.51,53.3334666667,49.2739333333,59.5380666667,53.5314666666,58.0197333333,53.3662666667,53.9934666667,53.8614,58.1187583333,45.8746666667
195.89,48.5417333333,49.4443333333,56.7709333333,50.3819333334,56.25,51.4582666667,53.1772333333,51.9099333333,57.61295,45.8334
196.27,44.0824666667,46.1797333333,51.2734666667,45.3556666667,54.2322,47.5656,49.6442333333,48.3520666667,53.2490333333,42.2472
196.65,46.0376,48.3018666667,53.2075333333,45.8281333333,56.7296,49.4758666667,52.9560666667,51.3626666667,56.855425,42.5995333333
197.03,50.929,51.0383333333,56.3388,46.3933333333,64.2076666667,53.1694666667,59.3988666667,53.9889333333,62.2062416667,44.4809333333
197.40,45.6358,47.1478666667,56.0137999999,39.9312666667,65.2234,52.0962666667,59.3814333333,50.9965999999,62.6287833333,39.7249333333
197.78,40.6502666667,41.3008,51.1381999999,29.9186,63.4959333333,48.8618,51.748,42.3575999999,57.1339416667,29.0244666667
198.16,25.1081333333,24.5888666667,35.5844666667,16.5368,48.8312,32.381,36.8830666667,27.6190000001,43.4307416667,7.96533333334
198.54,20.9648666667,21.3156666667,35.0,13.2456666667,49.035,33.2454666667,36.5788666667,27.4561333334,40.5591333333,5.26313333333
198.92,25.6140666667,25.2631333333,39.2105333334,18.8596666666,59.1228666666,38.6844,45.3948333333,34.0351333334,45.3179166667,13.5966
199.30,19.1228666667,18.3332666667,32.9824,16.6666,54.0352,30.7894,42.6316,30.4385999999,42.47815,8.85966666668
199.68,6.37266666666,6.27453333334,28.4313333334,13.4313333333,52.9412,22.4509333333,34.6568333333,22.4508666666,32.7941416667,-4.50986666668
200.06,-6.03779999999,-19.3710666667,21.7610666668,2.26413333334,53.9624666667,8.67926666668,24.5910999999,6.54086666658,15.7704916667,-34.717
200.44,-30.4999999999,-56.3333333333,4.33333333326,-15.3333333333,42.8333333333,-21.5,5.41666666661,-20.0,-3.47916666666,-77.8333333334
200.82,-40.9524000001,-62.8570666667,-0.47613333334,-20.7936666667,32.8571333333,-32.2221999999,-4.8413,-25.7142666667,-16.706425,-77.4602666667
201.19,-31.9296666667,-39.7662000001,0.116866666526,-19.0642666667,24.5614,-29.1228,-5.43859999998,-15.7896,-16.929975,-59.4151333333
201.57,-23.4523333333,-30.9523333333,5.00006666661,-14.0474666667,29.5237333333,-28.8096666667,-3.4525,-9.1666,-14.2857416667,-55.9524
201.95,-15.1852666667,-27.5308666667,12.4691333333,-9.2592,34.1974,-31.2345333333,4.19753333334,0.864133333326,-9.42900833335,-53.7038666666
202.33,-55.3535333335,-76.5656666667,-8.88886666666,-50.5051333333,24.6465333333,-86.4645333333,-34.0404000001,-37.5756666667,-45.4293583334,-115.7576
202.71,-205.6142,-250.877133333,-140.350866666,-200.350866667,-69.4736666665,-264.561466667,-183.3333,-161.052666667,-192.894733334,-309.8246
203.09,-384.615533333,-443.589733333,-277.4358,-346.153866667,-177.4358,-457.948733333,-359.7436,-320.0,-357.179416667,-544.1026
203.47,941.9046,1067.619,741.9048,929.523733332,548.5714,1099.0476,909.047633333,892.380999999,911.071433335,1274.2858
203.85,351.746066667,417.7776,307.301666667,390.7936,238.412666667,433.333333333,366.190466667,365.0794,356.904741667,488.571533333
204.22,317.037133333,364.197466667,291.8518,349.3828,236.0494,387.160466667,331.481433333,325.1852,329.320883334,417.5308
204.60,258.5,287.666666667,247.333333333,289.333333333,199.5,299.333333333,260.0,264.333333333,265.854166667,315.666666667
204.98,228.589866667,250.256333333,222.692333333,253.333333333,178.8462,262.179466667,234.230733333,236.025533333,237.964816667,276.025666667
205.36,222.413666667,244.597733333,215.057466667,238.965466667,172.183866667,248.2758,223.045933333,226.666533333,228.707041666,262.9886
205.74,236.1748,249.6174,230.054666667,249.835866667,190.054666667,258.7978,230.874433333,234.098333333,236.898916667,272.3496
206.12,244.1936,244.946333333,232.042933333,249.032466667,191.613,257.204266667,230.1614,233.978533333,235.550983333,270.7528
206.50,299.2308,298.461666667,286.282,303.3332,228.974266667,308.077,279.038366667,283.461666667,290.448558333,327.8206
206.87,287.044066667,295.345933333,276.100666667,295.220133333,223.396266667,303.1446,271.5722,284.9056,283.537725,324.0252
207.25,322.272733333,331.969733333,313.333333333,339.999933333,244.999866667,350.0,301.894,313.181866667,321.117475,370.757466667
207.63,318.3334,319.697,309.090933333,328.030333333,236.5152,341.969666667,300.3787,302.727266667,313.200675,361.3636
208.01,416.2744,401.176333334,400.980266667,417.6472,299.019533333,432.549066667,383.725466667,383.725466667,404.117616667,460.196
208.39,504.444533333,473.086466667,479.753066667,506.172866667,355.061733333,528.642,444.321,456.0494,473.518441667,558.7654
208.77,738.518333333,679.6296,677.4074,711.8518,479.629666667,759.2592,640.370366667,647.407466667,681.481508333,802.222333333
209.14,653.968333333,592.698466667,587.619,610.158733333,421.587266667,663.809533333,553.650766667,572.381,588.452391667,688.254
209.52,650.476133333,573.6508,574.9206,606.6666,421.2698,660.952333333,554.603166667,559.364933333,583.6905,657.142666667
209.90,688.666666667,616.333333333,600.666666667,635.333333333,447.333333333,696.666666667,595.666666667,605.0,626.166666667,693.333333333
210.28,450.196133333,412.941333333,399.6078,412.352933333,308.627333333,452.352933333,396.666733333,399.803933333,412.794183333,446.6668
210.66,369.147266667,344.8062,330.697733333,339.069733333,267.751866667,376.744333333,325.581366667,332.558133333,340.620175,365.426466666
211.03,321.025666667,298.718,288.205133333,296.410333333,237.435866667,324.487133333,285.3845,288.333333333,297.708275,313.718
211.41,261.7352,245.662,238.995466667,241.0958,203.653066667,261.643733333,238.310533333,241.369933334,240.045591667,251.7808
211.79,268.828933333,252.612733333,245.765733333,249.819666667,215.045066667,265.946,248.108166667,249.819866667,251.024925,260.1802
212.17,225.917533333,214.082333333,206.516866667,211.910066667,184.269733333,227.190933333,209.737833333,212.584333333,212.397083333,218.5768
212.55,200.130666667,189.2156,183.986933333,187.385466667,166.928266667,200.6536,187.777633333,190.392133333,192.238558333,193.921533333
212.92,197.358733333,185.7232,180.8176,186.415133333,171.886866667,198.867933333,187.452833333,189.119533333,192.956016667,193.459066667
213.30,183.3622,175.594133333,171.1304,174.608666667,163.999933333,186.202866667,176.811633333,175.5364,181.826041667,185.4492
213.68,173.224933334,168.780533333,164.7154,164.4988,157.344133333,175.935066667,166.6937,165.962066667,173.31305,181.5176
214.06,163.020866667,159.687666667,158.073,157.5522,148.645733333,168.2292,156.432333334,156.614533333,164.811316667,172.864666667
214.44,166.055666667,165.277733333,163.0,166.722333333,155.500133333,175.6666,161.0001,163.6666,172.45835,183.333333333
214.81,182.820533333,175.576933333,176.859,183.782066667,167.884666667,194.358866667,178.012833333,178.141066667,187.387858333,202.5
215.19,195.368466667,184.421066667,189.824666667,195.579,177.192933333,210.8772,190.9123,189.894733333,202.114033333,217.3332
215.57,193.62,182.724,187.240133333,195.914,171.756266667,209.677533333,188.422933333,188.888933333,204.4712,223.369133333
215.95,198.9394,187.3484,194.166666667,199.545466667,174.166733333,214.924266667,191.0606,193.787933333,204.810725,229.772733333
216.32,193.636533333,182.500133333,187.954666667,191.439466667,170.378733333,206.666666667,184.999933333,187.954466667,196.770825,225.454733333
216.70,212.2944,203.203533333,208.138466667,213.592933333,183.549866667,230.5628,207.748866667,209.3508,215.660316667,251.948133333
217.08,200.270333333,195.4954,199.189266666,202.6126,169.91,221.801666666,194.504533333,199.279333333,202.308558333,243.513733333
217.46,219.894066667,206.455,214.179866667,224.550266666,175.978866667,238.941866667,206.772366667,213.968333333,218.571375,267.089866667
217.83,215.5224,200.596933333,211.243933333,223.2836,173.532266667,232.139333333,204.975166667,211.044866667,213.6939,254.029866667
218.21,220.635,206.560933333,214.074066667,230.793533333,175.978933333,230.687866666,207.5661,215.132333333,216.838633333,259.2594
218.59,221.269933333,201.058133333,209.947066667,225.820066667,168.148133333,223.068866667,205.555666666,208.9948,212.473625,251.217066667
218.97,189.333333333,174.933266666,179.377733333,194.844466667,143.555466667,189.1554,171.8667,178.4888,181.5222,212.2668
219.34,176.097533333,158.780533333,161.219333333,179.3496,129.674866667,173.983666667,154.837433333,164.471533333,165.7114,191.544666667
219.72,177.269,158.232933333,158.393533333,178.714866667,134.056266667,174.216866667,158.4739,167.228866667,164.6085,187.148466667
220.10,148.666866667,135.481533333,132.370333333,154.888866667,115.259266667,152.6666,137.999933333,144.296333333,143.907275,159.925866667
220.47,155.421733333,142.088333333,139.437733333,168.835266667,122.007933333,163.694666667,148.273066667,153.413733333,154.487841667,164.016066667
220.85,136.389,123.750066667,119.097266667,147.5694,110.694466667,142.5,125.5555,133.819466667,133.767333333,140.0
221.23,125.604666667,113.982333333,111.7404,135.221333333,103.952866667,133.274266667,116.2241,123.834866667,121.947033333,129.5574
221.61,116.482933333,109.816333333,106.5616,127.401533333,103.254666667,127.821466667,111.7848,119.5802,118.116691667,119.737466667
221.98,115.103933333,107.4478,103.801933333,124.687466667,101.770733333,125.2602,108.619633333,117.395666667,116.073983333,118.593666667
222.36,123.306066667,112.5744,110.1354,129.485,108.0216,132.086733333,116.964733333,124.661333333,123.516158333,125.3656
222.74,124.0,115.093333333,112.746666667,130.933333333,112.373333333,135.52,117.28,126.933333333,126.12,129.493333333
223.11,114.179133333,107.810933333,105.870733333,119.253733333,106.815866667,127.1642,109.5523,117.611933333,118.619433333,120.049666667
223.49,112.926333333,111.297733334,108.600533333,118.9822,112.112066667,127.175466667,110.3815,118.8296,119.27475,123.511533333
223.87,116.610266667,113.389866667,112.6554,122.5424,114.6892,131.977333333,111.412333333,120.847333333,123.065041667,124.971733333
224.24,130.964266667,125.3442,126.060733333,135.757466667,127.162533333,144.1322,122.8926,132.010933333,135.723141667,138.292
224.62,126.666666667,120.348133333,121.194066667,127.960333333,122.537333333,137.213866667,118.6319,124.676666667,129.191558333,133.681666667
225.00,138.186666667,132.373333333,132.48,138.186666667,133.546666667,148.0,131.36,135.946666667,142.913333334,145.813333333
225.38,163.0816,157.7358,155.9748,159.937133333,157.421333333,173.144733333,156.132133333,160.062933333,169.1196,171.383733333
225.75,188.046,178.237466667,177.701133333,180.7662,176.551733333,197.547933333,178.735633333,178.543866667,185.9771,196.934866667
226.13,177.348466667,165.8332,166.439333333,167.8028,166.363666667,187.500133333,169.280366667,167.9546,171.732816667,184.9242
226.51,190.583333333,180.833333333,181.916666667,182.666666667,181.5,206.166666667,181.583333334,182.916666667,183.135416667,201.083333333
226.88,222.9744,209.538533333,210.4616,212.717933333,207.692466667,242.666533333,216.051266667,213.128133333,209.859033333,232.8204
227.26,333.484933333,317.272666667,319.697,320.1516,308.484933333,358.484866667,328.9394,326.363666667,313.257558333,354.393866667
227.64,938.222200001,880.888999999,895.111133333,912.4444,849.333333333,997.777866666,920.444566667,921.777733333,871.999916667,978.222066667
