wavelength,Back_ParCapm,Belly_ParCapm,Breast_ParCapm,Crissum_ParCapm,Crown_ParCapm,DorTail_ParCapm,Rump_ParCapm,Throat_ParCapm,WingTip_ParCapm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-27.7778333334,-97.2225,-49.9998333333,-69.4443333333,-58.3333333333,-80.5556666667,-22.2221666667,-77.7776666665,-27.7776666667
179.16,-35.7143333333,-54.7616666667,-42.8571666667,-11.9048333333,0.000166666665,-7.14283333335,7.143,-40.476,16.6666666667
179.54,205.5555,350.000166667,138.888833333,261.111,294.4445,138.888833334,138.889,238.888833334,72.222
179.93,100.0,2.77783333335,69.4444999998,55.5555,91.6666666665,133.333166667,88.8888333332,38.8888333334,141.6665
180.31,364.285666666,685.7145,300.000166667,497.619,283.3335,309.523666666,421.4285,385.714333333,226.190333334
180.69,-266.666666667,-555.5555,-216.666833333,-350.000166667,-188.889,-125.0,-266.6665,-186.111333333,-47.2221666665
181.07,572.222333334,894.444333335,361.111166667,555.5555,350.000166667,22.2223333335,488.889,144.4445,127.7775
181.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.83,-350.0,-433.333333331,200.0,-183.333333333,166.666666667,450.000000002,-291.666666666,450.0,-66.66666667
182.21,-316.666666667,-141.666666665,341.666666667,-66.6666666665,458.333333333,341.666666666,-333.333333333,625.0,-158.33333333
182.59,316.666666666,54.1666666665,-20.8333333335,133.333333333,-166.666666667,-108.333333334,200.0,-175.0,175.0
182.97,145.3705,80.5556666667,43.5183333334,64.815,27.7776666667,12.9630000001,75.9258333333,36.1111666666,75.9261666667
183.35,84.3136666667,27.4508333333,-4.90183333334,-10.7845,-27.451,-38.2353333331,7.843,-20.5881666667,28.4311666665
183.73,133.333333333,583.333333333,758.333333333,816.666666667,1141.66666667,1183.33333333,799.999999999,1008.33333334,558.333333331
184.11,115.686333333,164.706,164.705833333,195.098,203.921666667,221.568666667,189.215666666,192.156833333,165.6865
184.49,107.037166667,132.963,117.407666667,128.518833333,134.815,143.7035,137.037,130.3705,119.629833333
184.87,117.886,147.9675,152.8455,140.244,167.073166667,165.0405,148.373833333,134.146333333,123.983666667
185.25,98.5878333334,127.401,137.5705,122.3165,149.999833334,131.355833333,127.966,114.689333333,109.6045
185.63,134.420166666,165.942,177.536166666,159.420333333,190.942,168.478166666,162.681333333,143.116,154.347666667
186.01,123.397333334,161.859,147.7565,148.076833333,178.846,155.769333333,151.923,128.205,150.0
186.39,127.666666667,170.666666667,154.333333333,165.333333333,184.0,167.0,164.333333333,142.0,162.666666667
186.77,142.284,180.864333333,170.987666666,187.962833333,195.061666667,176.543166667,175.617333333,169.444666666,185.802333333
187.15,119.178,157.534333334,144.748833333,158.675666667,165.525,149.0865,151.141333334,153.881166667,165.7535
187.53,102.156666667,141.960666667,132.549166667,138.8235,149.215833334,136.078333333,131.960833334,132.353,148.039333333
