wavelength,Back_TanRuem,Belly_TanRuem,Breast_TanRuem,Crissum_TanRuem,Crown_TanRuem,DorTail_TanRuem,Patch10_TanRuem,Patch11_TanRuem,Patch12_TanRuem,Rump_TanRuem,Throat_TanRuem,WingTip_TanRuem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-33.3333333333,2.10526315789,166.666666667,-20.0,20.0,40.0,-26.6666666667,-73.3333333333,-100.0,-20.0,120.0,20.0
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,216.666666667,-114.035087719,-800.0,-366.666666667,-200.0,-433.333333333,-233.333333333,166.666666667,533.333333333,33.3333333333,-366.666666667,-533.333333333
179.93,19.2308333333,53.4414210526,87.1793333333,123.076666667,79.487,76.9233333333,7.69233333333,66.6666666667,15.3846666667,48.718,48.7176666667,58.9746666667
180.31,1.13666666667,76.3158245614,193.939333333,118.939,106.818,151.515333333,78.788,53.0303333333,-46.9696666667,50.7576666667,90.9086666667,103.030666667
180.69,-3.63633333333,65.9010701754,168.485,98.182,79.9996666667,131.515,67.2726666667,37.576,-44.8486666667,43.6363333333,70.3033333333,86.0603333333
181.07,-3.955,69.6998245614,166.101333333,110.169333333,78.531,133.333333333,68.3616666667,44.0676666667,-36.1583333333,53.6723333333,65.5366666667,85.3106666667
181.45,13.2848333333,82.0745789474,157.488333333,123.671666667,94.203,131.884333333,79.7103333333,55.0726666667,0.483,76.8113333333,72.9466666667,85.9903333333
181.83,9.81716666667,76.8327719298,142.009333333,117.351666667,94.064,127.854,73.516,62.557,-0.457,73.5156666667,60.274,63.4703333333
182.21,7.82816666667,84.8221578947,153.535333333,126.767666667,100.505,144.444333333,91.919,80.8083333333,0.000333333333332,91.414,72.2223333333,62.6263333333
182.59,-0.4695,70.3237719298,137.089333333,114.554,87.7933333333,134.272,76.0563333333,91.08,1.40833333333,89.202,54.9296666667,48.826
182.97,5.11383333333,66.4872631579,118.181666667,104.545666667,87.1213333333,113.636333333,73.1063333333,80.3033333333,10.2273333333,85.2273333333,51.8943333333,47.7273333333
183.35,11.4583333333,70.2668070175,118.402666667,112.153,94.4446666667,123.958666667,84.375,93.0556666667,24.3056666667,88.1943333333,59.375,54.5136666667
183.73,18.75,75.0585438596,111.666666667,106.666666667,84.1666666667,117.222333333,82.222,86.111,34.9996666667,86.111,62.4996666667,55.0
