wavelength,Back_SicCitm,Belly_SicCitm,Breast_SicCitm,Crissum_SicCitm,Crown_SicCitm,DorTail_SicCitm,Patch10_SicCitm,Patch11_SicCitm,Rump_SicCitm,Throat_SicCitm,WingTip_SicCitm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-51.4285999999,-58.0951999999,-58.0953,-45.2382,-104.761866667,-69.5238666666,-59.0474000001,-79.0476000001,-63.3333166667,-62.8573,-52.3809238095
179.16,-8.33333333326,-88.3333333334,-61.6666666666,-45.0,-41.6666666666,-112.5,-115.0,-74.9999999999,-74.5833333333,-95.8333333333,-78.8095238095
179.54,-126.666666667,-193.333333333,-450.0,-170.0,-493.333333333,-126.666666667,-486.666666667,-320.0,-290.0,10.0,-487.619047619
179.93,130.0,161.666666667,280.833333333,212.5,208.333333333,210.833333333,181.666666667,193.333333333,127.083333333,214.166666667,152.380952381
180.31,25.1613333333,0.21506666666,-16.6308666667,5.51983333333,-13.8352666667,4.1938,-18.4229333333,3.87093333332,0.197116666666,14.9464333333,-4.79266666669
180.69,32.3304,9.97053333334,-7.13863333333,13.5399,-2.35973333335,11.4159666667,-10.0884666667,13.6875333333,8.46601666667,25.4571333333,2.51162857143
181.07,32.8961333333,12.4042666667,-5.38243333335,16.2294,1.58473333332,10.6556333333,-10.3826666667,17.4318,9.75410000001,30.6830333333,2.62297142859
181.45,29.6721333333,11.0928666667,-6.06553333334,15.8196333333,-1.74873333332,10.7922666667,-13.6611333333,17.3222666667,6.12015,30.2458,0.31227619048
181.83,29.1918666667,9.39393333333,-4.697,18.3838666667,2.17166666666,12.2223333333,-12.6768666667,19.2929333333,7.48728333333,29.3434333333,3.75896190477
182.21,32.9017333334,10.12,2.27816666667,26.1391,6.57073333336,14.8919666667,-7.67386666666,22.8776666667,10.2398166667,35.7315333333,5.28269523811
182.59,29.76,-0.85333333332,-0.613333333334,22.1066666667,0.21333333332,10.8533333333,-16.16,18.5066666667,4.32,32.6933333333,-1.56190476191
182.97,35.2604,5.62499999999,6.92709999999,29.0363666667,8.85386666667,16.5364,-5.83346666667,25.6249333333,13.0859,41.2500333333,8.66062857143
183.35,34.6982,7.08659999999,7.34903333333,26.7978666667,9.76373333335,15.4329666667,-5.56440000001,24.042,12.54595,42.2309333333,9.53115238094
183.73,34.5238666667,5.53573333335,6.07143333335,26.5177333333,6.19053333333,8.69053333334,-7.91666666667,22.9166666667,13.9882666667,44.9404666667,10.0765904762
184.11,43.3022,15.3272,16.3864333333,36.1370666667,10.2180666667,17.1341666667,-3.1152,26.729,22.0094,54.8909,15.4250476191
184.49,52.3694666666,18.5543333333,22.2489333333,41.9678,11.5663333333,23.0521666667,-4.89953333332,32.0482666667,27.2491666667,71.3251000001,18.4854285714
184.87,54.8718,7.89746666667,22.7179333334,47.2308333333,6.15386666666,26.9231,-4.51299999999,28.8206666667,25.66665,75.6922666666,20.9232761905
185.25,87.2224,25.6944666667,51.3194333333,78.8193666667,27.2222666667,55.3472666667,17.5,47.2222666667,50.5554666667,110.208333333,45.5754476191
185.63,111.0476,24.5713333334,57.2381999999,101.237933333,25.5238666667,62.8572333333,28.9523333333,45.5237333333,65.76185,156.952466667,56.571447619
186.01,152.000066667,48.2222,94.2222666666,128.999933333,51.5557333334,79.7777666667,59.5555333334,63.7779333333,93.1668500001,202.111166667,76.5396666666
186.39,152.688266667,70.5375333333,113.010966667,125.5914,68.6022666667,96.7742333333,60.6451333335,69.8924000001,103.171983333,209.7848,94.5006761906
186.77,189.425266667,111.7242,134.827533333,154.827666667,96.7816,137.471233333,92.1837999999,93.5630666667,131.149433333,266.3218,127.356190476
187.15,232.592533333,148.395,178.8887,205.9259,130.864266667,184.568033333,130.6172,121.9752,164.876566667,307.777766667,160.317485714
187.53,394.166666667,233.333333333,305.625,331.041666667,197.5,309.583333333,244.166666667,205.416666667,252.8125,511.041666667,242.5
187.91,236.774333333,150.5376,207.957,194.086166667,139.785,207.956933333,155.699,133.333333333,149.946166667,293.118233333,135.360904762
188.29,271.281933333,169.743466667,246.410233333,217.435633333,166.666666667,233.461366667,183.333266667,156.410133333,172.6922,344.7436,166.849771429
188.67,210.7692,143.077,191.623866667,177.179566667,141.1966,172.7352,148.0342,129.059866667,145.170933334,260.598433333,135.506742857
189.05,181.8842,129.275466667,166.811466667,148.333533333,113.043466667,142.608666667,118.985533333,113.768133333,127.391316667,228.2609,110.848914286
