wavelength,Back_SicCitm,Belly_SicCitm,Breast_SicCitm,Crissum_SicCitm,Crown_SicCitm,DorTail_SicCitm,Patch10_SicCitm,Patch11_SicCitm,Rump_SicCitm,Throat_SicCitm,WingTip_SicCitm
189.43,166.025733333,111.923133333,143.333166667,127.6924,100.897533333,133.0769,108.9744,109.743666667,114.327,206.218033333,97.2710761903
189.81,147.407466667,106.574,129.7684,113.7499,101.296266667,125.972333333,103.426066667,110.277733333,109.328683333,172.176,99.5369809524
190.19,137.866733333,102.4888,122.222166667,104.444433333,93.8666666666,125.3778,99.5556000001,110.133333333,104.933283333,164.488866667,95.898342857
190.57,147.238,112.761866667,128.047566667,112.523766667,95.8095999999,136.999966667,107.238066667,118.5714,110.380833333,175.7143,101.904809524
190.95,127.314866667,93.5184666666,110.555533333,102.5463,83.9815333332,121.018433333,91.8518666666,110.092666667,94.2362166667,151.8055,84.6429904762
191.33,115.847,78.7977333333,96.2841333333,85.9017,74.5356000001,110.764933333,81.4206666667,105.683066667,85.2457999999,149.835966667,74.4261714286
191.71,114.378933333,79.7386666667,100.326766667,94.4444333333,76.0783999999,121.111133333,77.7778,107.0588,90.8495166666,154.640566666,79.1968761904
192.09,142.0,91.0,107.833333333,126.25,92.0000000002,142.166666667,92.8333333335,144.166666667,115.833333333,190.75,109.166666666
192.47,118.803333333,75.5555999999,93.4188333335,119.230866667,76.4102000001,126.324666667,82.0513333334,128.546933333,91.6666999999,169.6583,87.1307999999
192.85,90.3174000001,45.0794666667,68.2540333333,94.1269666667,48.0952666667,86.2699,51.2698,106.0318,60.2380666668,129.126966667,60.2267809523
193.23,91.773,54.3261333334,85.0356000001,98.2978000001,63.546,82.9788,55.7445333333,109.361733333,64.4682333333,125.886566667,74.2046857143
193.61,78.1946000001,39.8611333333,78.6110666666,88.1250666667,42.9166666667,61.5972333333,37.5,90.1389333335,51.0763166667,110.2084,64.2657142857
193.99,57.9364666667,23.9682000001,65.8730000001,84.7620333333,19.9999333333,47.5395,21.5872666667,76.3492,35.8332833333,106.5874,47.5964
194.37,70.2702666666,34.5945999999,79.2791999999,108.108133333,32.4324,43.2434,29.5496666667,90.0899999999,51.4863666667,128.107933333,68.0051809524
194.75,83.3333333333,27.8571999999,99.2856333333,130.8334,35.9523333333,37.0238000001,36.1904,109.523866667,57.0239000001,151.4286,80.9863142859
195.13,397.333333333,148.0,560.666666666,724.666666667,165.333333333,96.0,161.333333333,513.333333333,334.0,824.000000001,508.380952382
195.51,321.666666667,196.666666667,451.25,547.5,160.833333333,102.083333333,156.666666667,383.333333333,297.916666667,582.5,397.738095238
195.89,420.9524,268.5714,594.285733333,659.999866667,255.238133334,212.380866667,186.666533334,483.809466667,382.857,707.6191,483.945609524
196.27,-333.333333333,-88.3333333332,-737.499999999,-603.333333333,-3.33333333326,74.1666666666,30.0,-318.333333333,-306.666666667,-931.666666666,-285.476190477
196.65,-109.743666667,-18.4616000001,-234.358966666,-175.897466667,2.0513333332,50.7693,20.5127333333,-105.641,-110.38465,-300.2565,-107.472438095
197.03,-8.57146666668,17.1428666666,-63.9285000001,-46.7857,25.7141333332,43.9283333333,37.3809333334,-12.6191999999,-12.0239166667,-99.0475,-12.1428761905
197.40,28.161,38.5056666667,2.5862666666,7.24116666668,40.6896,48.9655333333,41.1494,27.1264,21.0631333333,-16.5517,30.5582285715
197.78,27.0318666667,31.9634,-0.319633333326,8.12789999998,31.4154666667,41.7352,34.2466,24.1095333333,19.0639166667,-12.5115666667,27.8670380953
198.16,27.9085333334,33.268,6.20906666667,16.0458,30.4574,43.3659333333,35.6207333333,25.0979333333,22.7287666667,6.99343333335,34.5657809523
198.54,28.9675333333,33.5692666667,9.14453333334,20.4131666667,34.6902,41.6519,38.5251333333,30.5604666667,27.6549,13.4514,39.595504762
198.92,27.8731333333,32.254,8.3175,19.6508666667,33.2062666667,40.4761666667,37.7143333333,26.6668666667,24.2698,11.7778666667,39.5737047619
199.30,29.375,34.2360666667,7.53453333332,25.1736,38.4722,45.9028666667,39.6528,27.5694,29.53115,16.5626,47.6885238095
199.68,32.1152666667,37.4358,16.5705666667,28.7821666667,42.8204,43.5576,42.3718666667,32.1794,38.8783,23.0448666667,54.3131809523
200.06,44.4847333333,48.1818666667,31.4243,39.2727666667,52.3636666667,57.6362666667,50.1819333333,41.6364,49.2121333333,34.3939666667,64.6752857143
200.44,41.6049333333,42.4691333333,27.7469333333,31.2037333333,41.7284,54.3209333333,47.3456,32.5926,45.4165833333,33.1174666667,52.3632761905
200.82,46.1493333333,43.9654666667,34.3965666667,36.0344333333,44.253,55.8907333333,51.6092,37.5286666667,49.3535333333,40.8907,56.3217333333
201.19,49.3213333333,46.1946666667,33.3333333333,37.6696666667,47.3156666667,58.2301666667,53.2154,40.7669333333,50.32455,43.3038333333,59.2667333333
201.57,47.4214,43.3334,32.8302,37.1069666667,46.5408666667,57.6098666667,53.9623333333,35.7862,48.2232,44.7484,55.7951714285
201.95,53.9655333333,47.2414,43.4481333333,41.8967,49.3677333333,58.7928666667,58.8506666667,38.7356666667,52.48565,50.4885,57.183895238
202.33,46.3702,38.7407333333,40.9629000001,36.6667333333,39.7778,52.4814666667,54.889,28.9628666667,46.25925,42.9630333333,51.1428666667
202.71,52.9166666667,39.4166666667,42.1250000001,34.625,38.6666666667,54.5833333333,55.0833333333,25.0833333333,47.8125,47.2916666666,50.0119047619
203.09,51.8333333333,36.3333333334,40.0416666667,28.0833333333,32.4166666667,54.9583333334,52.5,24.9166666667,43.4166666667,46.4166666667,45.4880952381
203.47,53.9556,31.2000666667,34.7108999999,23.0222333333,27.8222,54.2222000001,52.0000666667,22.6666666667,36.3332833333,43.2444999999,42.6920666666
203.85,40.7842,21.6471333333,17.4118333333,16.7842333333,14.7451333334,44.9020666667,39.3726,11.9216,23.01965,33.3726,26.3977142857
204.22,22.3076,2.99140000001,-3.24779999999,1.11116666668,-4.35893333334,35.5555333333,19.9998666667,-8.20506666666,4.59403333333,20.8545666667,7.7900190476
204.60,29.1582,9.49493333335,7.87876666667,15.3872333333,11.7844,39.3941,24.9156666667,6.93586666668,14.2592,28.9899666667,20.3366095238
204.98,16.4492666667,-3.84073333333,-2.10136666666,4.63763333334,-2.02899999999,29.6376666667,11.3044,-7.89853333334,0.760916666674,17.2462333333,7.20506666666
205.36,19.4174,1.74753333333,4.07766666666,15.4044333333,2.20053333333,34.6924,14.4335333333,-2.65373333332,6.11651666668,21.1975666667,4.59531428572
205.74,24.6464666667,5.79126666666,7.54216666668,20.9762666667,2.82833333333,37.0371,18.1819333333,1.2794,11.6162833333,23.5354,11.6884380952
206.12,15.2844,-9.5122,-6.17883333332,15.6503666667,-11.4634,29.7561333333,3.0894,-10.2439333333,-2.47966666668,18.6584333333,4.36690476192
206.50,36.4706666667,10.327,12.3202333333,30.5882666667,12.4837333333,45.1308666667,21.3724666666,13.7254,18.9869166667,37.4507,20.7189523809
206.87,45.8024,22.1603333333,22.2222666667,41.2963,24.0739333333,55.6481,30.0,26.3580666667,27.2530833333,47.1912333333,32.6719333333
207.25,52.4323333333,30.0900666667,28.3784666666,52.6126333333,32.1323333333,60.7807666667,36.9969333334,34.4745333333,35.96105,53.8438000001,41.8876666667
207.63,47.5783333333,27.8633333333,28.0911666667,51.5954666667,27.4073333333,56.2678333333,36.0114,32.2506666667,35.4842666667,51.3390333333,40.5452857143
208.01,60.601,39.7812666667,43.6612333333,64.4261666667,38.7432,65.6284,46.3934666667,43.4426,46.05185,64.4261,54.6916095238
208.39,75.8334,51.5556,59.0833666667,76.8611,47.6668,77.6391333333,61.3888,55.3890666667,57.7222333333,75.2777666666,65.9682857143
208.77,95.3845999999,65.4212000001,73.5164333333,92.4540999999,55.1648,90.2198,72.8937333334,68.4981333333,65.9890166667,94.1391,82.3337333333
209.14,109.451533333,75.1054000001,78.4389666667,102.3628,64.4726,102.8692,82.3629333333,77.7214666666,74.47255,108.016766667,94.7077047619
209.52,121.6668,75.3919333333,87.402,106.470733333,66.3726666667,108.284233333,88.2354000001,83.3334666666,78.0391499999,122.352866667,108.949619048
209.90,125.0704,82.7230000001,101.079833333,103.709,79.6243333332,114.272366667,94.6479333333,96.4318666667,86.0328333333,123.239266667,114.513847619
210.28,115.473333333,86.3375333333,98.6008000001,100.493766667,77.7777333333,106.748866667,94.8972000001,93.3333999999,86.3375833333,114.238633333,103.774285714
210.66,133.9786,95.5913999999,110.5375,114.3011,79.3548,117.311633333,107.0968,97.957,95.0538333332,128.871166667,117.035114286
211.03,113.809533333,78.1904000001,91.1427333333,98.3333666667,59.5236666667,97.4285333333,89.2380666667,75.6188666667,79.3570666667,110.381033333,95.2244761906
211.41,108.148066667,77.1296,81.7128999999,93.6573999999,57.8703999999,94.7682999999,85.3702666667,69.8148,74.8842833334,107.685066667,88.7037619047
211.79,94.4166666667,74.0,71.1249999999,78.375,54.7500000001,80.9166666667,71.1666666666,55.8333333333,61.0208333333,95.9166666665,74.75
212.17,90.8675333333,61.7350666667,56.7122999999,67.8995333333,48.8584,77.0775333334,64.8402666667,47.1233333333,51.3699333333,81.2784666667,63.3921619047
212.55,77.0256666667,44.3076666667,36.5640666667,47.2307999999,40.6154666666,51.3333333333,46.8718,30.1539333333,33.1794666667,66.1538333334,45.7142952381
212.92,58.9040666667,32.5113333333,24.6575,37.2145666667,32.1460666667,44.0639666667,41.0044666667,19.9085999999,26.7807666667,55.9360666667,36.0729047619
213.30,52.5438666667,28.6842,21.7106000001,27.4560333333,26.1404,35.4387,36.2279333333,14.8244666667,21.8640333333,46.4912333333,31.1025428571
213.68,42.9963333333,24.1948,20.1497333333,22.4344666667,22.4720666667,32.7715666667,28.764,14.6068,17.1349166667,36.3297,27.2980666667
214.06,35.7332666667,6.2222,1.55556666674,7.42223333332,6.39999999994,21.111,10.8445333333,-4.5334,-2.11113333334,31.6445,12.2921238095
214.44,50.1448666667,2.802,5.36230000006,6.18376666668,12.8500666667,30.4348666667,15.3622666667,1.99992911121e-11,-1.54598333333,40.9661666667,19.0199047619
214.81,36.4319333333,-7.88726666667,-6.24406666659,-4.50686666666,2.817,26.0094,7.51173333333,-5.2582,-13.1690666667,26.4320666666,7.17642857141
215.19,28.4848,-21.2121333333,-11.6667333333,-17.0201666667,-7.5757333334,22.6767333333,-1.41413333334,-11.4141333333,-24.1918833333,17.4242666666,-2.85714285714
215.57,33.9624,-38.1130666667,-16.7923666667,-33.5221,-17.7357999999,15.2199666667,-8.4276,-25.4088,-35.0942333333,11.0691333333,-11.7518571429
215.95,53.3334666668,-90.8888666667,-32.6666000001,-70.2222666667,-50.8888666667,19.2221333333,-9.7778,-46.8888,-58.7777333333,11.3333333333,-27.1746095237
216.32,72.7778666667,-248.333333333,-99.7221333332,-241.944466667,-173.889,1.94456666666,-56.1110666665,-171.111,-189.305416667,13.0555,-100.317457143
216.70,85.1852666667,-124.444466667,-15.1852666668,-107.4075,-85.1852000001,54.6296,7.03699999994,-84.0741333333,-75.83335,64.4444333334,-5.02644761894
217.08,113.636333333,-74.8484666666,14.3941333334,-46.9698333333,-30.6060000001,81.5151333333,29.6970000001,-31.2120000001,-24.7726166667,77.5756666666,22.0779523809
217.46,166.969666667,-43.6364666667,61.8183333333,16.5151666667,15.1514666666,135.757533333,73.9394666666,41.8181333334,25.3029833333,123.0304,65.2380761905
217.83,416.1906,-232.380866667,37.1428333328,-79.5238,-35.2382,273.3334,142.857066667,-13.333333333,-19.5238000001,305.714366667,78.9115523807
218.21,264.848466667,-149.696933333,30.3029333333,7.87880000006,-48.4848666666,178.1819,89.6969333334,-37.5757333334,-13.3334000001,152.424133333,15.0648000001
218.59,242.222266667,-100.555466667,31.9445,39.9998666668,-21.1109333334,203.055433333,103.888933333,-6.6665333334,22.2222333334,138.0557,17.3016761904
218.97,210.724733333,28.4058,93.9128333334,94.4927666665,73.9130666668,173.6233,121.7392,67.5362666667,87.6811000001,149.7101,92.7122571429
219.34,264.210466666,56.4911333333,118.420966667,127.7191,116.842133333,194.736833333,173.684266667,97.8946666665,144.999966667,189.122766667,137.493771429
219.72,202.051266667,58.2051333334,107.692233333,121.923066667,116.410333333,163.974366667,152.820466667,117.4358,134.487066667,167.820633333,133.150219048
220.10,148.648666667,52.2524,89.9999666667,103.3334,96.0360000001,127.207233333,114.054066667,97.2973333333,103.2883,132.072133334,110.244409524
220.47,114.302933333,48.8484666666,81.4544999999,87.2122333333,78.1819333333,99.5758,94.7879333333,87.3939999999,87.4544833335,100.848566666,91.6017999999
220.85,110.493933333,49.2592666667,82.0986999999,84.1357666667,77.2841333333,100.493866667,92.2222666667,88.642,84.1975499999,92.1605999998,87.6014095239
221.23,119.703733333,58.0740666667,87.7778666668,89.1851666667,87.4075333333,104.8148,106.518466667,95.2594000001,90.2223666667,98.4446666668,101.100619048
221.61,103.276866667,61.9209333333,81.9209333334,82.1468,82.8248666666,88.3050666667,94.1243333334,81.6950666667,82.96605,91.5820666667,96.2712285715
221.98,113.5634,68.0458666667,94.3103666667,92.9884666666,91.0346666667,97.1265666667,101.2644,96.2071333335,92.5000833334,95.6323333334,104.121571429
222.36,116.830533333,81.8579333333,99.6173666667,89.3441666666,95.8469333332,97.1585,110.601,104.808533333,103.415333333,106.8306,114.51992381
222.74,114.761933333,85.5952000001,97.6786666666,89.5833333334,89.4047333334,92.7974999999,110.119,101.904666666,103.095266667,111.964266667,127.754990476
223.11,95.8619999999,72.8734,87.0115333333,78.0458333334,76.8964666667,75.7471666667,100.574733333,88.2758,92.3275666666,96.3219666666,113.891647619
223.49,93.8981999999,74.1243333334,92.5989666667,81.9773333333,80.2260666667,81.8078666667,100.677866667,87.7965333335,87.3447,95.8192666667,114.915247619
223.87,97.0666666665,72.1333333335,99.7999999999,85.4,71.3333333333,86.6,95.7333333335,77.0666666666,85.9333333333,92.4666666667,113.885714286
224.24,114.8148,87.8517999998,121.555666667,106.370266667,87.2592666667,101.259033333,110.2222,91.5555333335,111.55555,99.1111333333,125.396790476
224.62,147.894666667,116.666666667,147.2806,141.315833333,110.526333333,123.070233333,137.193,109.298266667,139.47365,133.421066667,154.110295238
225.00,159.019533333,118.431266667,148.823533333,156.5685,104.901933333,129.901733333,155.098,112.745066667,150.980316667,149.6079,164.705761905
225.38,161.838933333,101.3794,152.988333333,145.747133333,89.6550666668,129.425233333,146.896466667,109.885,150.287366667,145.287333333,157.044180952
225.75,372.666666667,208.666666667,298.666666667,326.333333333,122.666666667,253.0,304.666666667,197.333333333,323.0,280.666666667,294.0
226.13,396.3636,259.393933333,284.545566667,369.393866667,136.3636,265.7575,328.484733333,210.909,344.242383333,296.666766667,304.588704762
226.51,800.0,560.0,532.000000001,842.000000001,325.333333333,624.666666667,758.666666667,425.333333333,688.666666667,588.666666666,611.809523809
226.88,-213.333333333,-118.75,-153.75,-216.666666667,-80.8333333333,-175.416666667,-217.083333333,-96.6666666667,-183.75,-161.875,-140.416666667
227.26,-63.4074666667,-29.926,-44.5925666667,-67.2592666667,-17.0371333333,-58.5924666667,-58.2221333333,-26.2222,-56.8888333333,-51.0372,-40.8253142857
227.64,-90.0000666667,-44.2028666667,-54.8551333334,-87.0289333333,-38.8407333334,-78.9130333333,-77.6811333333,-46.9564666667,-82.7535833333,-69.4201999999,-59.4203619048
228.01,-95.4717333333,-55.8489333333,-58.2389666667,-89.1824666667,-51.4465333334,-80.1258666667,-85.6603999999,-55.7233333333,-82.4215166667,-74.4024666667,-71.1051904763
228.39,-86.7692,-55.2820666667,-45.2820666667,-75.5899,-47.7948,-70.7177666667,-72.513,-46.3588,-67.35895,-66.8204666667,-66.4615333333
228.76,-48.4249333333,-26.6665333334,-20.3297,-39.9633,-23.2966666667,-37.9487333333,-37.4358666667,-19.707,-37.271,-34.4322666667,-34.7358095238
229.14,-62.724,-38.2797333333,-32.2579333333,-48.2079,-36.8460666667,-48.6021666667,-46.8817333333,-33.8351333334,-48.1540333333,-44.9821333333,-42.7956285714
229.52,-75.8518666667,-56.2222,-51.1852333333,-68.5186333333,-50.5925333333,-59.9631,-65.1850666667,-48.8888,-68.1295666667,-64.2221666667,-56.9736190476
229.89,-80.0000666667,-58.6820666667,-62.9845666667,-73.3333,-56.6665333333,-64.9225333333,-75.6588666667,-52.4805333333,-73.8953833333,-70.8915000001,-63.8428
230.27,-75.8051333333,-56.4043333333,-63.8950333333,-66.3295666667,-56.854,-63.1462333333,-75.356,-48.7639333333,-71.7789666667,-69.3259,-65.0614380953
230.65,-88.0619333334,-62.2482,-73.6046,-76.8215666667,-67.6744666666,-71.5891333333,-84.1860666666,-60.3876,-83.3527000001,-78.3721666667,-75.116247619
231.02,-109.3532,-77.7115333333,-86.8656333333,-97.7113,-82.4875333334,-86.0696,-101.791,-70.3482,-102.736233333,-92.3880999999,-90.0639809524
231.40,-139.195333333,-98.3907333334,-105.2299,-122.069033333,-101.3792,-100.804633333,-131.724133333,-85.2872000001,-126.407966667,-113.620766667,-112.216638095
231.78,-114.316933333,-84.4809333333,-84.5902,-96.9398333334,-77.1584000001,-70.8196666666,-105.573666667,-65.4646666667,-101.14765,-86.2841333333,-88.6183333334
232.15,-94.2855333335,-62.6454,-63.6509666667,-76.0846666667,-57.3544666667,-46.4022666667,-87.3014666667,-45.9257333333,-88.6243666666,-66.4020333333,-67.1653904762
232.53,-66.8598666667,-37.9710666667,-43.6717,-55.1691333333,-32.3671333333,-26.3285666667,-62.5121333333,-26.3768,-62.1740333333,-48.7441,-42.1670190476
232.90,-83.9766000001,-53.3332666667,-58.0702,-74.6197666666,-42.5730666666,-35.9064666667,-78.9472666667,-37.3099333333,-79.4151833333,-66.6080666667,-53.8680190476
233.28,-59.3221333333,-41.3559333333,-44.2937,-58.3050333334,-28.2484,-16.0452333333,-60.3389333333,-20.2259333333,-62.7401333333,-46.4405666667,-45.6334666667
233.66,-32.5002,-19.6878,-23.4898666667,-30.9377333333,-3.12513333334,-1.09406666667,-28.9584666667,8.3332,-31.5105,-14.2188,-21.1608666667
234.03,-19.8312666667,-13.6708,-10.4220666667,-20.6328666667,4.64140000001,2.32083333333,-13.1645333333,16.2869333333,-22.0253666667,-4.17726666666,-14.3338952381
234.41,-8.64193333333,-6.58439999999,-0.658466666672,-14.8560666667,12.4280666667,5.8435,-6.66666666666,26.0082666667,-16.1315833333,2.01636666667,-3.85664761905
234.78,1.39193333333,4.0294,6.99633333333,-3.62653333334,20.6592,12.8937333333,3.80953333334,33.1134666667,-7.56401666668,8.57139999999,6.31084761904
235.16,8.30606666667,9.83606666667,11.4206,5.98349999999,23.4972666667,18.7159333333,8.63386666666,31.8033333333,1.0656,9.91803333333,13.1461238095
235.54,21.4924666667,18.6070666667,20.4476,15.5722333333,33.4825333333,26.7413333333,19.4528,39.4527333333,12.4128166667,16.9403,23.7242666667
235.91,19.3136,18.6764,13.6275666667,10.6618666667,28.8724666667,19.6814,13.6764666667,36.0294666667,9.63244999999,10.6862333333,20.5812
236.29,14.0182666667,11.8720666667,6.71233333333,5.41086666666,20.3196,10.9132666667,7.67126666667,28.5386666667,6.404,5.93603333333,15.5122380952
236.66,11.3979333333,8.60213333333,3.99993333333,3.46243333334,14.6667333333,8.15053333334,5.11846666667,23.4408666667,2.51619999999,4.70976666667,11.9015619048
237.04,11.3376,8.7898,4.03403333334,5.49900000002,15.3715333333,4.86196666667,4.58593333335,24.0764,2.46281666666,6.73013333333,11.1737047619
237.41,10.5952666667,8.41266666666,5.0396,4.28576666667,15.119,2.61906666667,4.04746666667,24.9999333333,1.90475,7.02376666666,11.9386761905
237.79,9.78560000001,7.7972,6.8811,1.91019999999,15.7114666667,1.40356666667,2.26113333335,24.0155333333,0.077950000006,6.0039,12.3975714286
238.17,9.04759999999,8.26840000001,4.69706666667,1.23376666665,15.4979333333,-2.61916666667,0.129800000008,22.8139333333,-2.21855,4.00439999999,14.2609619048
238.54,11.1501333333,13.4503333333,8.30393333333,7.13436666666,19.7270666667,4.93163333333,6.43273333333,24.2104,4.58098333334,8.49896666667,20.9688952381
238.92,12.7132,12.9456666667,7.5582,9.24413333333,21.0078666667,8.33333333333,8.721,26.2792,7.93613333334,10.1357,21.7665047619
239.29,7.48973333334,7.3662,2.11953333333,1.91353333334,15.5555333333,2.59256666667,5.0206,22.2634666667,3.3951,6.74896666667,16.0613047619
239.67,1.02853333332,1.56193333333,-4.20953333333,-4.01893333334,7.61900000001,-2.45696666667,0.457133333338,15.962,-1.79995,1.23819999999,11.1020666667
240.04,4.6446,4.58140000001,0.1106,-0.837166666674,11.1848,2.21166666667,5.90839999999,17.2511333333,1.98258333334,4.61296666666,14.5113809524
240.42,3.31826666667,2.56406666667,-1.9155,-3.25786666667,12.2775333333,1.8099,4.76640000001,17.8883333333,0.731566666666,3.72556666667,14.6176095238
240.79,2.36286666667,1.969,-2.74256666667,-3.06626666667,13.5301333333,1.82833333333,3.06606666667,18.9873333333,-0.182750000001,4.13503333333,14.354047619
241.17,2.65226666667,1.601,-2.5926,-2.52099999999,12.5209333333,3.46463333333,3.05846666666,17.9689333333,1.2485,2.99866666666,13.1558666667
241.54,3.19006666667,3.33326666667,-1.78936666667,-0.899833333326,11.1452666667,4.62143333333,3.5174,17.3211333333,2.30053333333,2.9448,12.4247714286
241.92,1.55126666667,2.30833333333,-2.86233333333,-1.43116666667,7.62706666665,4.46893333333,1.4958,15.7896,1.34811666667,1.86513333333,8.89064761905
242.29,5.41566666667,4.89306666666,2.1458,2.10613333333,9.88113333333,8.17896666667,4.81393333333,18.4006666667,5.65328333333,4.22806666667,10.6774761905
242.67,2.17126666667,-0.0611333333328,-1.33026666667,-2.37793333333,5.24479999999,3.26463333333,0.183533333332,14.2968,0.814249999999,0.473900000002,4.88868571429
243.05,2.69586666667,-0.468866666666,-0.637466666664,-2.85726666667,5.43586666666,3.12093333333,-0.029333333334,14.2856666667,0.681299999999,0.673966666667,4.83304761904
243.42,2.9474,-0.729866666667,-0.792833333334,-2.23846666667,4.70186666668,3.54376666667,0.210533333332,14.0072,1.07368333334,0.512266666666,5.2431904762
243.80,3.05786666667,-1.1294,-0.7577,-2.18313333333,4.64186666667,3.5332,-0.0550666666668,14.0220666667,1.28788333333,1.6873,4.99612380953
244.17,4.26566666666,-1.05973333333,1.2877,-1.0327,5.24473333333,5.05706666667,0.201133333333,15.7880666667,2.50846666667,2.85713333333,4.94966666666
244.55,5.42939999999,0.454533333334,3.31433333333,1.0922,5.9342,6.6414,1.35106666667,16.0352666667,3.73411666667,3.75006666667,5.78831428571
244.92,5.63026666667,0.706800000001,3.37466666667,1.1601,6.17193333333,6.67836666667,2.13193333333,16.7021333333,4.82625,3.4806,6.18384761905
245.30,5.71119999999,0.669866666668,3.30043333334,1.46623333333,5.96379999999,7.07296666667,2.21866666667,17.0456,5.01921666667,4.35466666667,6.45165714285
245.67,8.079,2.67653333333,5.85676666667,3.837,8.97773333335,9.31369999999,4.96786666666,19.6246,7.73341666667,6.52846666667,9.63105714286
246.05,9.72293333335,4.73593333333,7.29873333333,5.77486666667,10.8659333333,10.5453666667,7.06493333333,20.7966,9.32895000001,7.9652,11.560952381
246.42,9.13926666667,4.46,6.38106666667,5.63376666667,10.3834,10.2385666667,6.565,20.2974,8.51526666668,7.84816666666,11.4732857143
