wavelength,Back_SpoCinm,Belly_SpoCinm,Breast_SpoCinm,Crissum_SpoCinm,Crown_SpoCinm,DorTail_SpoCinm,Patch10_SpoCinm,Rump_SpoCinm,Throat_SpoCinm,WingTip_SpoCinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,88.888888889,114.814777778,65.4321111111,119.753222222,51.8518888889,168.518555556,77.7778888888,122.222333333,83.9506666667,100.0
179.16,177.777777778,127.777777778,102.777777778,208.333333333,88.888888889,234.722222222,102.777777778,150.0,161.111111111,136.111111111
179.54,-30.5555555556,-41.6666666666,-22.2222222222,33.3333333333,-75.0000000001,97.2222222222,100.0,-27.7777777778,-88.8888888889,-27.7777777778
179.93,80.8081111112,106.060333333,72.7271111111,85.8585555556,70.707111111,90.4041111111,101.010111111,88.8890000001,40.4037777778,73.7373333333
180.31,82.7586666668,93.4866666667,44.2527777778,82.1838888889,33.1417777778,142.911888889,68.3907777779,89.8465555556,28.5441111111,76.2453333333
180.69,82.4373333334,95.699,44.8028888889,80.1075555557,32.4373333333,144.623833333,68.1003333333,90.3225555556,20.7883333333,76.7024444445
181.07,87.7393333335,94.0612222223,52.4904444444,74.3294444446,28.1608888889,139.176111111,63.984777778,82.5671111111,7.47122222223,75.6703333333
181.45,74.1742222222,85.885888889,53.4533333333,62.4625555555,31.5314444445,120.12,61.2613333332,75.9759999999,10.8108888889,66.0662222222
181.83,80.3817777777,84.8956666667,51.7358888889,56.9444444445,21.3542222222,124.565944444,52.0832222221,80.5555555557,2.95144444443,63.1942222222
182.21,76.6666666667,69.4444444445,51.25,54.3055555555,23.75,111.041666667,48.888888889,73.1944444446,13.3333333333,60.5555555555
182.59,71.6197777778,64.7926666667,58.5006666667,63.4537777778,24.7656666667,111.780611111,46.4525555557,71.753888889,15.5286666667,54.4845555556
182.97,75.0,77.3807777778,71.0317777778,71.5607777778,32.6718888889,120.965611111,56.217,77.381,22.2223333333,61.7725555556
183.35,85.1851111111,86.3123333333,76.9725555556,72.6246666667,35.2654444445,130.596055556,52.9790000001,85.1853333333,13.3655555556,63.7681111111
183.73,100.493777778,107.901222222,99.2592222222,74.5678888889,24.9383333333,166.419666667,44.1973333337,98.5185555555,-4.19744444443,62.222111111
184.11,114.728666667,127.648777778,113.178333333,83.4624444443,46.2532222222,181.912055556,72.6100000003,124.806333333,14.7287777778,89.6639999999
184.49,102.306111111,111.530333333,106.498888889,80.7126666667,50.5241111111,149.370944444,66.457111111,119.287222222,24.738,84.6959999999
184.87,111.111111111,124.182888889,116.121888889,89.9782222223,56.644888889,145.969555556,68.6275555553,124.400666667,41.3941111111,88.8887777778
185.25,127.469222222,149.382777778,128.086333333,94.7532222223,61.7283333335,178.240833333,70.679,156.790222222,42.9012222221,93.827111111
185.63,458.333333333,523.611111111,426.388888889,258.333333333,112.5,575.694444444,151.38888889,509.722222222,84.7222222221,281.944444444
186.01,1166.66666667,1555.55566667,1311.111,651.852,462.962888889,1505.55561111,529.629444447,1318.51855556,281.481444444,818.518555556
186.39,-22.5694444444,-92.0138888889,-49.6527777777,18.4027777777,11.1111111111,-75.6944444444,29.861111111,-47.9166666665,45.8333333333,3.4722222221
186.77,-3.87622222223,-60.7236666667,-18.3464444444,32.8164444445,17.5711111111,-45.2196666667,27.3902222222,-19.3797777778,38.5011111111,16.5375555555
