wavelength,Back_IriRuff,Belly_IriRuff,Breast_IriRuff,Crissum_IriRuff,Crown_IriRuff,DorTail_IriRuff,Patch10_IriRuff,Patch11_IriRuff,Rump_IriRuff,Throat_IriRuff,WingTip_IriRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-1.85166666665,0.925916666675,11.1111666666,35.1850833333,27.77775,30.55575,3.70358333335,82.4074999999,22.8395694444,42.59275,32.4075
179.16,6.41041666667,-12.8205,6.41025,30.1281666666,1.28208333331,20.5128333333,27.5641666667,28.84625,11.3249305556,24.359,26.9230833334
179.54,-52.0833333333,-24.9999999999,-104.166666667,-95.8333333332,-108.333333333,-27.0833333332,-56.2499999999,-60.4166666666,-112.847222222,2.50022225146e-11,-50.0
179.93,104.166666667,70.8333333333,118.75,81.2500000001,133.333333334,91.6666666665,54.1666666667,64.5833333333,59.3750000002,33.3333333333,68.7499999999
180.31,-24.85375,6.43275,-29.6783333333,-5.99408333335,-26.0234166667,-4.67833333335,-5.40933333334,18.1286666667,3.65495833333,18.12875,26.1695833334
180.69,-67.3246666667,-13.8158333333,-77.6316666667,-48.4650000001,-69.5175833333,-32.6754166667,-30.7017499999,5.48241666667,-23.4283611111,-0.877166666675,16.2280833333
181.07,-144.666666667,-56.0000000001,-164.333333333,-137.333333333,-147.0,-73.0,-76.6666666666,-47.6666666667,-69.0,-48.0000000001,-18.3333333335
181.45,-229.902,-69.1175000001,-260.784416667,-244.607916667,-235.294,-127.941166667,-135.294166667,-87.7451666667,-108.251694445,-97.0588333332,-42.1568333335
181.83,-181.0185,-13.8887499999,-199.536916667,-180.0925,-156.0185,-74.0739999999,-99.0741666668,-28.7037500001,-38.4258194445,-58.7961666667,-3.24083333325
182.21,-106.25,-5.65475,-103.27375,-99.107083333,-80.9525000001,-28.5714166667,-59.8215833333,-2.67850000002,-18.7003611111,-45.5357499999,6.25000000007
182.59,-539.285833333,-230.952416667,-580.952333333,-573.809416667,-546.428416667,-244.047583333,-396.4285,-183.333333333,-299.206388889,-408.333333333,-182.142666667
182.97,353.205166667,200.000083334,388.461583333,396.153833333,392.3075,210.256333333,305.76925,182.051333333,281.410305556,328.205083333,212.1795
183.35,310.9375,165.625,316.666666667,336.458333333,345.3125,197.916666667,254.6875,168.75,248.611111111,279.6875,210.416666667
183.73,391.025583333,185.897416666,367.948833333,403.846083333,402.56425,237.179583333,301.923083334,198.077,307.478722222,352.564083333,296.154
184.11,358.333416667,206.111166666,323.33325,378.33325,365.5555,238.888833333,306.111166666,180.5555,292.222166667,348.333333333,306.111166667
184.49,336.666583333,200.0,276.6665,357.77775,346.6665,188.333333333,287.22225,127.77775,273.796236111,327.777916667,290.0
184.87,-338.194416666,-201.388833333,-243.055583334,-311.111083333,-352.777583333,-121.527666667,-288.194416667,-78.4721666669,-265.740791667,-316.66675,-294.444333333
185.25,-75.5208333332,-27.8645833333,-35.9375,-58.3333333333,-92.96875,-10.1562499999,-69.7916666667,21.875,-59.5920138889,-73.4375000001,-67.9687499999
185.63,-75.4629166666,-34.49075,-32.6389166667,-48.8425000001,-84.2590833333,-5.787,-67.1296666666,19.2129166667,-55.5942361111,-77.7776666667,-66.4351666667
186.01,-51.0205,-23.2993333333,-17.347,-29.7620000001,-63.7754166667,-1.36050000002,-35.54425,18.8775,-37.9250972223,-59.8638333333,-38.0953333333
186.39,-40.7802500001,-5.67383333332,-12.766,-24.4680833333,-53.54625,12.5886666667,-25.8864166668,33.688,-27.1276388889,-53.5461666668,-27.6595833333
186.77,-11.5941666667,19.4445833333,4.58941666665,0.96616666675,-13.16425,19.9276666667,-1.81141666665,37.9226666667,1.16756944445,-18.59925,-5.67633333335
187.15,-14.2221666666,15.55575,5.11116666666,-2.44458333335,-10.7779166666,13.4444166667,-3.11108333335,26.8888333334,1.11100000002,-17.3333333334,-5.66683333334
187.53,-9.82141666667,15.3769166666,8.33349999999,-4.06750000003,-7.44041666665,16.96425,-4.06741666669,28.4721666667,2.810875,-12.89675,-1.88500000001
187.91,1.59175,23.502,20.5991666667,3.74533333333,2.99616666666,28.7453333333,3.55791666668,32.6779166667,12.8899722222,-5.52424999997,6.46074999999
188.29,-4.16658333336,22.9165,14.1099166667,2.55683333332,8.33333424988e-05,27.2726666667,0.852166666683,23.8636666667,5.99741666667,-10.89,4.26141666668
188.67,-15.5208333334,17.9166666667,1.35416666665,-2.18750000001,-8.54166666665,13.125,-13.125,12.8125,-7.01388888888,-30.1041666667,-3.12499999999
189.05,-27.1126666667,20.4225833333,-7.86375000003,-14.90625,-13.8498333333,4.10783333335,-27.46475,6.57266666667,-18.9554583333,-47.6525833333,-13.7325833333
189.43,-72.8756666667,5.39208333332,-46.0784166667,-47.7123333334,-43.3006666666,-24.83675,-67.9738333333,-27.9410833333,-65.0327222222,-105.229,-47.22225
189.81,-62.6602499999,12.8206666667,-42.468,-48.8780833333,-32.8525,-28.3654166666,-66.0256666666,-23.87825,-64.877236111,-99.1986666667,-41.1858333333
190.19,-113.131416667,14.394,-74.9999999998,-102.020416667,-61.1110833332,-64.6463333332,-122.97975,-54.5454166667,-124.873458333,-174.494833333,-85.1010833334
190.57,-151.543166667,1.85183333328,-112.037083333,-141.358083333,-94.7531666666,-114.506166667,-170.370416667,-101.234583333,-180.144125,-230.246833333,-128.086416667
190.95,-235.71425,-35.3175833332,-166.666666667,-217.85725,-150.793666667,-184.920666667,-240.873083333,-163.492166667,-271.957736111,-353.968166667,-186.904916667
191.33,-247.5,-37.5,-163.333333333,-213.333333333,-142.083333333,-165.0,-244.166666666,-153.333333333,-279.791666667,-375.833333333,-181.666666666
191.71,-302.56425,6.41016666675,-214.102583333,-254.487166667,-144.87175,-198.076916667,-314.743666667,-178.84625,-394.551263889,-560.897416667,-246.15375
192.09,-848.333333334,20.0,-630.0,-670.0,-355.0,-591.666666666,-839.999999999,-393.333333333,-1038.61111111,-1470.0,-585.0
192.47,-415.0,0.0,-330.833333333,-385.833333333,-184.166666667,-284.166666667,-443.333333333,-190.0,-496.666666667,-715.833333334,-324.166666666
192.85,-308.33325,55.5554999998,-210.4165,-338.888916667,-123.611083333,-195.139,-319.444416667,-138.1945,-358.333472222,-534.722333333,-266.666666667
193.23,-233.333416667,66.6665833334,-144.642833333,-273.8095,-101.78575,-156.5475,-238.095333333,-98.8095,-265.476180556,-418.452333333,-208.92875
193.61,-72.8394166667,59.87675,-41.9751666667,-120.3705,-21.2963333334,-50.6174166667,-89.5063333332,-17.2840833333,-106.995847222,-171.604916667,-78.3950833334
193.99,-29.5238333333,69.2856666668,1.90466666667,-64.0475833334,7.14274999983,-7.14274999998,-51.90475,3.57141666668,-61.4285972224,-113.809583334,-42.8571666666
194.37,-75.5556666666,28.8889166666,-40.8333333335,-107.777833333,-33.6111666666,-40.2780833333,-108.611083333,-43.0556666667,-112.500083334,-169.166666667,-90.0000833334
194.75,-70.1755833333,20.83325,-26.9736666667,-86.8419999999,-22.8070000002,-26.5350833333,-82.0175833334,-34.4296666667,-86.9517222222,-125.219333333,-74.5614166667
195.13,-113.09525,8.03566666675,-41.9641666667,-119.047666667,-30.9523333333,-34.2261666667,-122.619,-56.5475,-116.120986111,-154.762,-119.047666667
195.51,-60.1851666666,34.2591666667,-15.9721666666,-65.7408333334,0.926,-0.925916666658,-67.5926666665,-15.278,-69.4444305557,-93.2870833332,-71.9907499999
195.89,-69.5238333333,30.4763333333,-16.9048333334,-67.1428333334,-5.4760833334,-6.42858333335,-81.9048333332,-31.1903333334,-76.3888055555,-91.1903333333,-77.6189166666
196.27,-54.5453333333,21.9696666667,-10.7954166666,-54.9241666666,-3.21974999993,0.56808333335,-61.9318333333,-29.3560833333,-62.2790277778,-61.7423333333,-65.7197499999
196.65,-45.9348333333,22.3577499999,-13.4147499999,-58.5364166666,-3.86183333335,0.60975,-61.5854166667,-34.95925,-74.627513889,-60.7722500001,-63.2112500001
197.03,-12.79775,29.9105833333,6.69633333333,-18.4523333334,15.9226666667,18.0058333334,-27.8273333334,-8.33341666666,-37.1031944444,-27.52975,-24.2558333334
197.40,-15.8333333333,15.9723333333,4.16658333336,-18.3333333334,12.9166666667,6.66666666667,-32.5,-18.33325,-43.0092361111,-28.6110833333,-24.0279166667
197.78,-59.1464166666,-9.34958333342,-11.7885833333,-42.88625,-10.7724166667,-14.2275833334,-75.6097500001,-56.3008333333,-79.3699305557,-76.0163333333,-74.1869166667
198.16,-226.96075,-110.784333334,-102.941166667,-171.078333333,-93.6275,-91.6666666668,-247.549166667,-223.529416667,-259.06875,-210.784333333,-264.705916667
198.54,-62.9901666667,-6.86275000008,-10.2940000001,-31.1274166666,-2.69608333335,-8.57825,-75.9805,-67.6470833333,-88.4804166667,-55.147,-92.157
198.92,-20.2381666667,14.4841666666,14.0873333334,0.595333333318,11.5079166666,10.1191666667,-43.6508333332,-34.1270833334,-49.3055416667,-26.5873333335,-44.0476666666
199.30,5.44208333334,31.2924166667,35.8843333333,15.81625,25.0,28.9115833333,-17.3469999999,-10.2040833334,-26.6156805555,-7.9931666665,-17.00675
199.68,-50.29775,-14.2856666667,13.0953333334,-46.1310833334,-22.3214166666,-15.7738333333,-87.5,-100.0,-103.670513889,-74.4048333332,-87.4999999999
200.06,-448.809416666,-383.333416667,-194.047583333,-420.238166666,-347.619083333,-327.381083333,-541.666666667,-660.71425,-655.357111111,-598.809500001,-544.04775
200.44,-254.545416667,-233.333416667,-105.303083333,-231.060583333,-231.0605,-188.6365,-312.878833333,-411.363583334,-383.333263889,-415.151583333,-309.090833333
200.82,-386.9045,-344.0475,-85.71425,-316.666666667,-311.904916667,-252.381,-440.476166667,-627.381083333,-559.325361112,-659.523916668,-448.809583332
201.19,507.14275,489.285833333,214.28575,453.5715,484.523833333,290.47625,554.761916665,804.761833333,703.769861113,786.904583333,576.190416667
201.57,476.666666667,523.333333333,140.0,428.333333334,474.999999998,94.9999999998,525.000000001,955.0,716.388888889,933.333333333,596.666666667
201.95,-78.7038333334,-150.926,31.4814166665,-146.296333333,-123.148166667,105.555583334,-150.925916667,-441.66675,-262.500055556,-391.666583333,-162.037
202.33,10.2273333333,-32.5757499999,27.6516666668,-28.0303333335,-31.4392500001,56.0605,-30.3030833333,-155.68175,-86.9948194445,-157.954583333,-37.5
202.71,-31.6666666667,-111.666666667,6.6665833335,-94.4445,-84.4444999999,66.1110833334,-77.2222499998,-285.0,-137.500013889,-270.000083333,-99.4444166665
203.09,-84.9999999999,-250.833333333,-28.3333333332,-192.5,-112.5,76.6666666666,-142.5,-483.333333333,-245.138888889,-437.5,-215.833333334
203.47,-79.7619166668,-225.595333334,-66.0714166665,-173.809583333,-111.904666667,-5.95233333343,-119.642833333,-398.809583333,-219.940472222,-378.571416666,-169.64275
203.85,19.7464166667,-17.3913333334,23.1884166667,-6.52183333325,11.7753333333,37.8623333334,5.97833333325,-73.1884166668,-21.13525,-66.6666666668,-11.0506666668
204.22,34.5678333333,20.3704166667,37.2429166666,19.5473333333,36.5225833333,46.6049166666,29.9384166668,-14.3005833333,13.408875,-4.32116666668,17.0780833333
204.60,38.2034166666,15.4761666667,37.4456666666,16.01725,41.6666666668,46.2120833334,33.5498333332,-18.5065,11.1471388889,3.78783333342,16.3419166667
204.98,33.2316666667,12.1951666667,33.5364166667,14.9391666667,37.0933333333,38.8211666667,35.2642500001,-21.0365833333,9.8406388889,6.50408333325,15.6505833333
205.36,29.52125,12.32275,33.9539166667,15.6029166667,34.8404166667,33.422,35.5495833333,-13.9185833333,9.55955555555,10.0179166667,14.4503333333
205.74,15.1163333333,-1.16266666666,18.9921666667,2.13166666665,17.3450833333,16.9574166666,25.5814166667,-29.7480833333,-8.81774999997,-3.19749999993,0.09675
206.12,5.79283333332,-13.7195,12.6015833333,-2.23583333335,3.55691666665,1.52458333334,18.5975,-40.54875,-17.1918472222,-9.24791666667,-7.62183333333
206.50,3.80658333335,-13.6831666666,17.07825,-2.77775,5.86408333332,0.822916666675,22.0163333333,-38.0658333333,-14.1460694444,-8.43616666667,-7.716
