wavelength,Back_TanVarm,Belly_TanVarm,Breast_TanVarm,Crissum_TanVarm,Crown_TanVarm,DorTail_TanVarm,Patch10_TanVarm,Patch11_TanVarm,Rump_TanVarm,Throat_TanVarm,WingTip_TanVarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-44.4445555556,-2.77783333322,-16.6666666666,13.8888333332,-18.5186666667,42.5926666667,-22.2221111111,-18.5184444444,-18.5185555555,-38.8887777778,-9.25933333337
179.16,196.296333333,155.555777778,144.444555555,176.851777778,133.333333333,118.518666667,170.370333333,177.777888889,149.999888889,140.740777778,112.963
179.54,-192.592666667,-357.407444444,-244.444444444,-201.852,-203.703555556,-92.5924444443,-292.592444444,-222.222222222,-188.888888889,-270.370333333,-151.851888889
179.93,1055.55555556,827.777777778,466.666666666,711.111111111,700.000000001,477.777777778,1011.11111111,911.11111111,533.333333333,1000.0,800.0
180.31,-307.407555556,-291.358,-202.469111111,-185.802444445,-189.300333333,-127.983555556,-245.679111111,-211.111111111,-188.889,-276.543333333,-192.592666667
180.69,-203.968222222,-186.508,-121.164,-116.534444444,-121.957555556,-70.8996666666,-152.116444445,-137.830666667,-116.137666667,-185.714333333,-132.539555556
181.07,-202.777777778,-192.929222222,-115.909222222,-119.570722222,-130.050555556,-77.2727777778,-146.212,-147.474888889,-111.868666667,-182.575666667,-135.100888889
181.45,-143.186666667,-148.427722222,-75.4715555557,-85.8491666666,-93.0817777778,-43.3962222222,-98.5324444444,-105.031444444,-72.1174444444,-140.041888889,-100.838666667
181.83,-103.030333333,-97.7272222222,-34.8485555556,-51.3468888889,-56.7340000001,-14.6463333333,-53.8721111111,-62.9628888889,-35.522,-94.6127777778,-67.0033333333
182.21,-111.816555555,-99.8237222221,-41.9752222222,-55.7319444444,-61.1993333335,-19.4003333333,-52.7336666667,-61.5518888889,-44.2681111111,-101.234666667,-75.6615555556
182.59,-121.857888889,-111.930777778,-54.2803333333,-67.5773888889,-78.6885555557,-27.3223333333,-63.9345555556,-75.2277777779,-59.1985555556,-111.657444444,-91.6212222223
182.97,-151.198222222,-142.810333333,-78.4313333332,-94.1177222223,-102.614333334,-43.1373333333,-80.61,-88.8888888889,-78.4313333333,-140.958777778,-125.490111111
183.35,-156.313111111,-154.419166667,-73.989888889,-93.308,-109.596111111,-37.6261111111,-79.5454444445,-84.5960000001,-77.5252222222,-153.787888889,-154.040444445
183.73,-138.297777778,-128.486944444,-53.9005555555,-72.3404444445,-92.6715555557,-25.0592222222,-57.4467777778,-65.7208888888,-62.884,-134.515222222,-143.971666667
184.11,-125.064333333,-117.829555556,-23.7727777777,-46.7701666667,-75.1937777777,-5.168,-29.7158888889,-55.0386666667,-46.5116666666,-130.749333333,-140.826777778
184.49,-86.5078888888,-89.5503333333,17.9894444445,-13.492,-49.2062222223,29.8942222222,10.3174444444,-19.0476666667,-10.5821111111,-105.555333333,-112.698333333
184.87,-210.555555556,-229.166666667,8.888888889,-53.0555555554,-115.0,20.0,-17.7777777778,-58.3333333332,-38.888888889,-212.777777778,-247.222222222
185.25,-157.971,-187.922611111,29.4687777778,-21.0145555555,-58.4538888889,27.5362222221,-2.89866666667,-7.24622222233,-15.4591111111,-158.454222222,-204.347888889
185.63,-141.851666667,-163.333277778,2.9629999999,-17.9628888889,-48.5186666668,-6.66655555557,-18.148,-5.9258888888,-34.8146666667,-127.777888889,-170.0
186.01,-368.253888889,-409.523611111,-88.889,-56.3491666668,-172.222222222,-114.285666667,-102.380888889,-103.174555556,-161.111222222,-328.571444444,-423.809444445
186.39,-164.888888889,-225.555555556,-1.33333333323,26.8888888889,-72.4444444446,-23.1111111111,-3.55555555557,-39.111111111,-40.8888888889,-128.444444444,-196.0
186.77,-82.384888889,-105.420055556,39.2953333334,50.5420555556,1.89688888889,13.0081111111,38.4823333333,7.04622222223,11.6531111111,-44.4443333332,-90.243888889
187.15,-49.1111111111,-52.4444444444,63.5555555555,61.6666666667,15.7777777778,26.0,52.6666666667,19.5555555555,30.0,-14.8888888889,-52.2222222223
187.53,-80.3617777778,-71.8346666667,60.7237777778,60.9819444444,-3.61744444443,8.527,48.5787777777,12.4031111111,32.8163333333,-22.2221111111,-62.7905555556
187.91,-93.8596666667,-75.2925,70.1754444446,80.1170000001,-4.67822222223,7.60233333333,63.7426666666,18.4212222222,50.2923333333,-13.158,-45.3215555557
188.29,-74.7685555556,-54.5137777778,55.0925555555,67.8240555556,-3.24055555557,10.4167777778,62.963,20.139,44.6758888889,0.694555555567,-26.8518888889
188.67,-102.962888889,-71.3577777778,38.5184444445,59.8765555556,-17.7776666667,-8.88877777779,55.0618888889,11.1108888889,30.6173333333,-11.358,-35.8024444445
189.05,-57.8484444444,-37.9188333333,38.6244444445,59.1709444445,-7.2311111111,5.64366666667,59.7884444444,25.9258888889,28.7477777778,-5.64400000003,-13.5803333333
189.43,-56.0933333333,-27.6881666667,39.0681111111,66.5769444444,-10.5733333333,12.3657777778,69.1756666667,31.7203333333,28.1362222222,-2.68833333333,-11.8278888889
189.81,-47.9796666667,-10.3536111111,43.0973333333,79.4613333332,-6.06055555554,20.2021111111,78.6196666665,39.057,36.8686666667,6.229,-3.87200000001
190.19,-30.3616666667,0.387666666667,42.248,63.5658888889,-0.0001111111,23.7724444445,69.7674444445,45.9947777778,36.6924444444,11.2402222222,1.55055555557
190.57,-39.8518888889,0.2222222222,41.4815555556,64.5924444444,-4.00000000001,15.8517777778,75.5555555557,56.2962222222,39.5555555555,3.55566666664,-1.037
190.95,-37.6878888889,3.003,38.4384444444,62.0120555556,-13.2132222222,6.60666666667,76.5764444445,61.2613333333,34.084,2.7027777778,0.7507777778
191.33,-39.7532222222,-12.8395555556,19.3825555555,43.0248888889,-16.5432222222,-3.08644444443,54.0738888889,42.3455555556,17.4073333333,-7.77788888887,-6.54311111112
191.71,-28.6027777778,-9.07583333333,19.582,37.3486666667,-7.92077777779,2.20022222223,50.1651111111,38.9438888889,16.3916666667,-1.10022222223,-4.29055555554
192.09,-37.6418888889,-20.4649444444,10.6575555555,25.1136111111,-17.0066666667,-11.7912222222,40.0226666667,28.6848888889,5.44211111112,-11.1112222222,-18.3674444445
192.47,-49.6123333333,-29.7804444445,7.62266666668,22.3515555556,-26.2274444444,-22.2222222222,38.1138888889,29.0698888889,-0.387555555567,-21.7054444445,-27.5194444445
192.85,-49.8707777778,-32.8165,5.94322222222,21.9638333333,-29.1987777778,-29.3283333334,36.0465555556,22.8682222222,-5.0388888889,-24.2893333333,-31.1368888889
193.23,-43.6952222222,-24.6566111111,15.1062222222,24.0946666667,-18.4767777778,-25.9674444445,39.4507777778,23.97,0.87388888891,-12.7342222222,-21.4732222222
193.61,-33.9438888889,-15.8120555556,21.8561111111,28.9377222222,-8.66922222223,-24.0536666667,45.4211111111,29.9146666667,10.1344444444,-7.81444444447,-13.0648888889
193.99,-47.4074444444,-28.7407222222,24.0001111111,27.111,-17.037,-38.0741111111,52.1481111111,29.9258888889,6.8148888889,-17.1852222222,-19.5556666667
194.37,-63.793,-43.5823333333,27.9695555556,28.9272222222,-21.6475555556,-55.9387777778,57.4712222222,25.2871111111,2.10722222221,-22.9884444445,-26.8198888889
194.75,-63.9344444444,-35.5191111111,22.4044444445,24.7724444444,-16.9397777778,-49.9088888889,55.0091111111,17.8505555555,-8.5608888889,-24.4081111111,-29.326
195.13,-66.4681111111,-43.353,19.6427777778,38.2935555556,-14.484,-49.2063333333,56.9445555555,15.4762222222,-3.57133333332,-29.5635555555,-32.1427777778
195.51,-60.52,-30.1418333333,47.9906666667,61.7018333333,-4.019,-49.4091111111,81.323888889,35.9337777778,4.49177777778,-18.2032222222,-19.6218888889
195.89,-143.621444445,-91.1522777777,42.3867777779,80.0411666667,-54.7323333335,-159.259444444,90.9464444443,7.40733333343,-57.2016666667,-83.1275555556,-76.9546666667
