wavelength,Back_SalCinf,Belly_SalCinf,Breast_SalCinf,Crissum_SalCinf,Crown_SalCinf,DorTail_SalCinf,Patch10_SalCinf,Rump_SalCinf,Throat_SalCinf,WingTip_SalCinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,76.7855833334,100.595333333,92.8570833334,109.523833333,111.90475,103.571416667,73.8095833333,108.9285,72.0237499999,89.2855833333
179.16,82.69225,108.974416667,101.923083333,119.23075,115.384666667,104.487166667,85.2565833333,137.820583333,78.8461666666,92.9485833333
179.54,104.761916667,124.999916667,120.833416667,122.02375,142.261916667,117.261916667,100.0,138.09525,101.785583333,117.857166667
179.93,121.794833333,121.153916667,132.692333333,128.846166666,148.076833333,126.923166667,118.589666667,137.820416667,103.205166667,126.281916667
180.31,157.954416667,180.68175,167.550333334,196.212166667,198.611083334,187.752583333,148.106,219.065583333,149.116,167.5505
180.69,134.902083333,152.353083333,141.3725,165.392083333,167.156916666,156.568583333,125.980333333,184.902,127.058666667,141.078333333
181.07,134.72225,149.537083333,139.537083333,163.518583333,164.81475,153.518583334,130.925833333,180.648166667,129.907416667,142.870416667
181.45,138.6905,153.6705,143.948416667,170.535666666,172.718333333,160.21825,138.591166667,183.134916667,134.4245,150.992083334
181.83,139.30175,153.71625,143.918916666,176.5765,175.78825,167.34225,137.049583334,183.445916667,133.220666667,151.464
182.21,138.681583333,156.218916667,146.019916667,178.980083333,178.482583334,171.641833334,132.4625,185.32325,135.198916667,149.75125
182.59,147.52575,158.72375,149.088333333,182.812333333,180.338416667,174.348666667,133.854,186.848583333,136.5885,149.2185
182.97,143.3825,148.529583333,138.970583333,166.666666666,169.730166667,162.5,128.9215,173.7745,127.083166667,137.499916667
183.35,134.1435,134.374916667,128.240833333,148.49525,157.175916667,146.99075,114.351916667,157.638916667,117.245416667,123.842666666
183.73,110.813583333,112.59925,109.523833333,123.512,129.861,128.769916667,95.2382500001,128.571416667,97.2222499999,99.0078333333
184.11,103.13725,107.941,107.254916666,113.4315,120.39225,121.372583334,89.4115833334,115.882416666,89.0196666666,93.9214999999
184.49,91.0394166666,97.2221666667,102.508833333,101.523333333,111.738416667,114.874666667,80.4659166667,102.32975,80.5554166666,87.9928333334
184.87,107.900416667,116.666583333,123.917583333,122.077833333,129.653666667,141.017416667,94.3721666667,119.588833333,94.0476666667,102.380916667
185.25,116.666666667,123.8805,138.557166667,131.34325,138.805916666,155.84575,94.0295833333,124.875583333,96.6418333333,104.975166667
185.63,119.178166667,120.890166667,136.986416667,127.283083334,131.507,149.6575,87.557,120.319666667,97.6026666667,103.53875
186.01,111.83125,107.510333333,127.1605,114.197416667,119.856,132.201666667,82.40725,110.905416667,90.6378333334,93.7243333334
186.39,110.173166667,101.83975,126.298666667,115.043416667,117.424166667,132.900666667,81.0604166668,106.9265,86.2553333334,90.6927499999
186.77,124.137833333,108.477,145.833333333,131.609166667,133.477,153.44825,85.0571666665,119.684,94.5400833332,97.7011666667
187.15,153.252166667,126.829333333,188.617916667,160.365833333,168.292666667,195.73175,95.3253333334,142.88625,106.300833333,117.682916667
187.53,146.4015,118.181833333,183.33325,148.106,155.303,187.310666667,91.2878333332,132.197083333,100.1895,107.00775
187.91,148.04975,114.007083333,176.773,147.695083334,157.8015,172.695,86.5248333334,133.333416667,102.305,113.652416667
188.29,152.845583333,109.146333333,188.821083333,155.89425,173.98375,182.520333333,78.0487499998,140.650416667,94.9186666666,112.6015
188.67,174.047416666,110.71425,206.904666667,170.476166667,185.714333333,193.571416666,74.9999166667,155.0,100.714333333,124.285583333
189.05,162.5,95.6348333335,182.738,144.642833333,176.58725,168.0555,74.0079166668,140.079333333,101.984,113.888916667
189.43,215.27775,108.611,232.499916666,179.722416667,226.666666667,218.888916666,81.3888333333,188.611166666,131.944416667,139.444333333
189.81,465.909083333,143.181833333,498.485,343.181833334,483.33325,489.393916667,71.2121666666,403.787916666,254.545583333,246.212
190.19,-1095.0,-301.666666667,-1165.0,-738.333333332,-1023.33333334,-1146.66666667,-123.333333333,-916.666666667,-593.333333334,-650.0
190.57,-647.5,-231.666666667,-639.166666667,-405.0,-575.833333333,-651.666666666,-99.1666666668,-535.0,-353.333333333,-393.333333333
190.95,-2480.5555,-1119.44441667,-2466.66666667,-1577.77775,-2319.4445,-2558.3335,-697.222249999,-2061.11125,-1413.88891666,-1630.5555
191.33,665.384583334,365.3845,647.436,471.15375,638.461583334,703.205166667,252.564083334,567.948583333,441.0255,454.48725
191.71,1283.33333334,750.0,1240.47616666,945.238083333,1216.66658333,1360.71433333,509.523916667,1096.4285,896.428500001,908.333416666
192.09,-9824.99999999,-5966.66666667,-9558.33333333,-7474.99999999,-9183.33333332,-10591.6666666,-4366.66666667,-8383.33333334,-7099.99999999,-7291.66666667
192.47,2336.66666667,1445.0,2178.33333333,1763.33333333,2015.0,2355.0,1163.33333333,1925.0,1730.0,1738.33333333
192.85,988.461583333,635.256333334,917.948666667,749.358916666,843.589750001,971.794833334,525.641166666,824.359,726.923083334,732.051333333
193.23,1242.5,787.499999999,1189.16666666,938.333333334,1023.33333334,1219.16666667,623.333333333,1037.5,885.000000001,937.499999999
193.61,11608.3333334,7125.0,11533.3333334,8441.66666666,9266.66666667,11566.6666667,5508.33333333,9508.33333334,7891.66666668,8758.33333333
193.99,-1611.90483333,-1009.52375,-1641.66666666,-1130.95225,-1327.381,-1613.09541666,-835.714416666,-1313.09525,-1067.85725,-1222.619
194.37,-1726.38891667,-1106.9445,-1780.55566666,-1251.38891667,-1494.44433333,-1787.5,-905.555583335,-1445.83333333,-1145.83333333,-1275.00008333
194.75,-843.750083334,-546.527666667,-886.805666666,-613.888916667,-740.972166668,-861.111166666,-472.91675,-711.8055,-590.277833333,-656.249916666
195.13,-371.0,-227.0,-396.333333334,-261.666666667,-307.333333333,-372.0,-189.666666667,-310.666666667,-274.333333333,-295.333333334
195.51,-224.099,-119.369416667,-247.072166667,-149.999916667,-177.026833334,-210.135083334,-99.9999166664,-179.729666667,-165.76575,-179.279333334
195.89,-143.749916667,-56.7707500001,-160.416666667,-86.9792499998,-113.541666667,-124.999916667,-44.27075,-106.076333333,-98.6111666666,-106.944333333
196.27,-100.555583333,-32.77775,-118.055416667,-52.9166666667,-82.6389166667,-83.33325,-27.5000833333,-69.9999166667,-65.8334166666,-72.7777500001
196.65,-69.2921666667,-18.7215,-92.5798333333,-35.1598333333,-63.3561666666,-59.7031666666,-16.5524166667,-48.40175,-50.2283333334,-54.7945833333
197.03,-53.6529166668,-2.85391666667,-76.484,-22.7170833333,-52.5114166667,-44.8630833333,-1.94058333332,-30.4794166666,-39.8401666666,-38.5844166667
197.40,-45.2235833333,3.45525000002,-61.1789166666,-19.20725,-45.2235833333,-34.6543333334,1.42291666665,-23.9838333333,-32.41875,-28.9634166667
197.78,-54.715,-3.72808333333,-65.8991666667,-23.35525,-56.14025,-39.2544166667,0.657916666675,-29.2764166667,-41.4473333334,-33.4430833333
198.16,-70.2056666666,-14.4979166667,-77.6255833333,-33.5616666667,-66.6666666666,-46.6895,-3.53883333333,-40.5251666667,-48.8585,-39.9543333333
198.54,-73.18375,-22.0085,-77.8845833333,-37.9273333333,-68.9102500001,-47.1153333333,-11.6453333334,-41.3460833334,-51.9231666667,-44.2308333333
198.92,-72.4539166667,-21.9905833333,-82.1759166667,-39.2361666667,-72.6851666666,-51.6204166667,-12.2684166667,-38.07875,-54.8610833334,-42.1296666666
199.30,-79.67175,-25.63125,-94.6970833333,-51.0100833333,-83.3333333334,-57.8284166666,-18.4343333333,-45.707,-60.3535833334,-48.99
199.68,-82.1795000001,-32.1795,-104.6155,-57.30775,-89.2309166666,-62.6923333333,-23.33325,-56.02575,-61.7949166667,-50.8975
200.06,-95.8333333334,-44.4893333333,-117.33875,-66.1290833333,-98.5214999999,-72.0429166668,-34.27425,-70.29575,-70.43025,-64.7850833334
200.44,-116.0,-53.1666666666,-142.333333333,-85.1666666666,-119.666666667,-91.3333333331,-37.8333333333,-88.4999999999,-86.4999999999,-72.6666666668
200.82,-158.3335,-75.8546666668,-187.606833333,-123.50425,-167.948583333,-133.9745,-61.9659166667,-126.7095,-123.076833333,-101.28225
