wavelength,Back_CatHomm,Belly_CatHomm,Breast_CatHomm,Crissum_CatHomm,Crown_CatHomm,DorTail_CatHomm,Rump_CatHomm,Throat_CatHomm,WingTip_CatHomm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-126.666666667,-86.6666666667,-7.99985855338e-11,-21.6666666667,-39.9999999999,-63.3333333333,-3.33333333334,6.6666666666,-76.6666666665
179.16,-306.666666667,-233.333333333,-346.666666667,-210.0,-293.333333333,-306.666666667,-133.333333333,-166.666666667,-266.666666667
179.54,-233.333333333,-146.666666667,-240.0,-13.3333333333,-126.666666667,-113.333333333,-40.0000000001,-6.66666666666,-140.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-219.9998,-150.000133333,-173.333333333,-13.8889333333,-101.111,-161.111133333,36.6668,-8.88886666666,-113.333333333
180.69,-296.0,-220.0,-270.666666667,-38.6666666666,-168.0,-232.0,14.6666666666,-35.9999999999,-174.666666667
181.07,-124.166666667,-89.1666666667,-132.5,16.25,-52.5,-99.1666666667,71.6666666667,29.9999999999,-55.8333333333
181.45,-56.6666000001,-26.1112,-52.7778,39.7222333333,5.00000000002,-35.0,78.3333333334,54.9999999999,3.33333333332
181.83,-0.51273333334,33.3334,0.512733333327,69.2309,49.7436666667,6.66666666666,111.282,89.7435999999,51.7949333333
182.21,41.1111333333,68.5185999999,31.8518666667,84.2593000001,72.5926000001,37.7776666667,112.222266667,109.999933333,69.6295999999
182.59,28.3333333333,58.0,10.3333333333,55.5,47.0,9.66666666668,92.0000000001,86.3333333333,46.0
182.97,24.3333333333,54.3333333333,5.33333333331,63.0,40.6666666666,20.6666666667,96.9999999999,86.6666666667,49.6666666666
183.35,21.7544666667,48.4211333333,-3.15786666668,58.5964666667,38.5963999999,23.5087333333,101.4034,79.6491333333,58.2455333333
183.73,44.7058,69.4118,18.0392,75.2940666667,59.2155999999,43.1372666667,127.451066667,92.1570000001,85.8823999999
184.11,37.1428666666,66.6666666667,9.5238,65.9524333333,56.6666666667,33.8094666667,129.999866667,113.8096,100.9524
184.49,47.0588,69.0196666666,12.549,61.9608666667,52.9411333333,37.6470666667,108.627466667,103.529333333,92.9411333333
184.87,47.5757333333,66.3636666667,27.5758,53.3334333333,54.5454,40.3028666667,96.3634666666,93.3333333331,89.6969333333
185.25,33.3334666667,63.0302,3.3334,38.0303,37.5758,21.2122,76.0606666666,73.6362666667,79.6971333332
185.63,48.5713333334,69.8411999999,12.3810666667,41.1112,47.9365333333,24.4444666667,82.5397333333,79.6826666666,87.9363999999
186.01,24.6666666667,39.6666666667,-21.3333333334,17.3333333333,24.6666666667,9.33333333333,58.6666666667,59.6666666667,69.6666666666
186.39,18.4,29.6,-12.8,16.9333333333,28.2666666667,9.86666666667,46.9333333333,43.2,61.8666666667
186.77,33.3332666667,44.6914666667,7.40739999999,36.4197,46.1728,32.8393333333,59.5060666667,58.0247333333,76.2963333334
187.15,33.9048,42.6666666667,11.4285333333,32.1905333333,38.6667333333,31.619,45.3332666667,46.8572,62.0952666667
187.53,41.1666666667,48.6666666667,18.8333333333,37.25,43.0,34.0,47.0,52.9999999999,58.5
187.91,39.3938,48.6364,17.7272,38.4089333333,41.5152666667,33.3334,42.4243333333,52.4244,51.212
188.29,52.6530666667,61.0883333333,32.1089333334,49.5917333333,50.0679333333,44.0815333334,53.4693333333,54.4218,57.6871333333
188.67,49.1503333333,57.7777333333,33.9869333334,49.4118333333,46.1438,42.8758666667,51.1110666667,49.5425333333,56.0784666667
189.05,49.5598,56.2264,35.2201333333,51.2579333333,46.0378,44.9058,50.6918,48.5534,53.7108
189.43,60.0,60.641,44.6154666667,57.6923,52.5641333333,52.9488,57.9486,56.1539333333,59.359
189.81,59.8742666667,61.5094666667,41.6352,59.3710333333,47.7986666667,54.3394666667,57.3584,52.4527333333,57.3584666667
190.19,68.2424,68.0000666667,50.788,65.8182,54.1819333333,58.1818,64.7272666667,55.1514666667,60.7272
190.57,82.4243333333,84.5454666666,59.8484666667,79.3181999999,60.3031333333,72.8788666667,76.6666,63.1818666666,70.3030666667
190.95,88.5965333333,91.4036666665,60.5262666667,77.9824000001,60.0000666667,78.2456666667,78.421,58.5963333333,71.7544666667
191.33,133.636466667,138.181933333,87.2727333333,104.6967,82.7272666667,113.0304,115.7576,76.3636,101.818133333
191.71,203.8888,200.000066667,123.333333334,147.222133333,108.8888,177.222266667,170.0,74.4443333333,148.888933333
192.09,436.0,438.666666667,225.333333333,278.0,208.0,360.0,340.0,89.3333333333,329.333333333
192.47,1866.66666667,1913.33333333,886.666666667,1216.66666667,986.666666667,1660.0,1366.66666667,326.666666666,1606.66666667
192.85,-1640.0,-1840.0,-653.333333333,-826.666666667,-853.333333333,-1513.33333334,-1220.0,-226.666666667,-1460.0
193.23,-376.0,-441.333333333,-118.666666667,-176.0,-196.0,-333.333333333,-268.0,-77.3333333333,-328.0
193.61,-148.666666667,-192.0,-26.6666666666,-56.6666666665,-57.3333333333,-153.333333333,-90.6666666667,4.0,-140.0
