wavelength,Back_ParDomm,Belly_ParDomm,Breast_ParDomm,Crissum_ParDomm,Crown_ParDomm,DorTail_ParDomm,Rump_ParDomm,Throat_ParDomm,WingTip_ParDomm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,92.6796518518,98.4312,98.8235333333,75.9358848485,106.8627,87.4509666667,83.9216,80.3921333333,84.7058666667
179.16,45.6296296296,121.333333333,89.3333333333,62.0606060605,108.666666667,68.0,82.6666666667,17.3333333333,81.3333333334
179.54,30.9765037037,35.7575666667,59.3940666667,67.6582484848,51.8181666667,19.6968666667,28.4848666666,15.7574666666,27.2725333333
179.93,52.5308444444,53.6112,75.0,67.9292303031,54.8611333333,32.7776333333,52.7778000001,38.8888666667,37.7779333333
180.31,108.837851852,117.758733333,141.034533333,134.723024242,112.873616667,106.436833333,105.287266667,90.1149333333,104.023
180.69,105.442437037,113.703633334,131.851866667,128.745575758,109.166666667,104.120433333,100.648133333,87.4074666667,103.055533333
181.07,107.721207407,115.3672,137.401066667,140.082193939,112.316383333,107.7965,108.474733333,91.1863999999,103.615933333
181.45,94.4901925925,94.9315333335,119.9086,122.0504,97.1004166667,95.9817333333,92.6026666665,80.3651999999,83.5616
181.83,101.975311111,96.6162000001,127.373666667,125.500563636,100.656616667,103.2323,96.5656,87.2728000001,86.0607333333
182.21,104.296311111,99.9392666666,133.575733333,136.451866667,101.96965,117.393966667,99.1515333333,87.5152666666,89.3334
182.59,85.0703925927,75.2582999999,107.418,114.707563636,86.1736166667,95.1644000001,79.2486666667,68.8262666667,72.1126666666
182.97,63.6844962963,51.7748666667,81.7316666667,88.5320121212,63.5714,71.2122666666,61.9048000001,45.0215333334,51.2554
183.35,57.8823407407,46.7842333333,71.4509999999,72.4349454546,57.0785333333,61.5293666667,56.8626666667,41.5686,42.2744666667
183.73,65.8089185186,56.5790666667,83.3333999999,83.6522666666,67.1053000001,74.5614999999,68.5086666667,49.5613999999,45.8770666666
184.11,56.0366,49.4806,77.3160666667,75.5686727272,62.9652833333,67.6191999999,65.3678666667,45.9742,39.9134666667
184.49,61.0617037037,51.6297,74.2224,71.8518969697,68.6852,72.0740333333,67.2591999999,55.4074,52.5183999999
184.87,55.9259777778,42.3643666667,71.4729333333,66.3073272727,66.78295,68.7985333333,63.5658666667,54.7286,46.2790666667
185.25,61.648037037,47.6029,76.4793333333,72.7681999999,69.5880833333,75.1684666666,62.9961333333,58.8015333334,52.5844000001
185.63,73.0209851852,53.5742333333,84.8191999999,77.1158787878,78.39355,80.9238,72.4498,68.3534666667,64.016
186.01,69.2225777778,54.8719,79.9266666667,70.3030545455,77.4725666666,78.6447000001,72.8205333334,67.4726,64.9817333333
186.39,72.8613777779,60.9151,84.9673333333,69.073230303,83.6112166667,81.0785000001,77.5162666667,77.6471333333,67.6473999999
186.77,74.9875777779,63.5186333334,88.0741333333,70.6667090909,85.0370333335,78.4445333333,84.4445333333,81.1852000001,70.0000666666
187.15,77.4570518519,66.2542666666,88.5910666667,73.4833818181,87.9208833334,80.2747999999,83.9174,87.2163999999,73.9519333333
187.53,71.3579703704,59.1758333333,86.9533333333,70.4723939395,85.0358333333,76.0572666666,76.4874666667,85.5913999999,69.1758666667
187.91,61.5777777778,52.8,74.7999999999,63.8242424243,78.2333333333,65.4666666667,63.7333333333,76.8666666667,60.3333333334
188.29,58.3621555556,51.1926333333,67.523,61.4123333334,72.8592666666,61.4985,57.0031333333,72.7216666667,55.7798
188.67,55.2592888889,48.9999333333,65.9999333333,58.3472424242,69.2271666667,56.2425333333,54.4847333333,66.4848,50.0606
189.05,53.2266296296,47.7778,62.4624,57.630430303,65.7808666667,54.3242666667,55.015,65.6456,49.0692
189.43,42.4967925926,37.0430666667,49.8924,46.1045878788,53.4005,42.6614,45.3226666667,53.7634666667,38.0644666667
189.81,35.3271555555,32.5276666667,44.0554,43.1364727273,45.8472333333,36.5832666667,38.3888,49.7777333333,33.0000666667
190.19,31.9798074074,30.0302666667,40.1211333333,44.8924545454,43.51515,31.3636666667,35.3939333333,50.1818,31.8788
190.57,21.9912222222,15.5556333333,27.7419333333,37.8103939394,34.3726833333,16.0574,20.8602,36.7741333333,24.6592666667
190.95,22.3072444445,16.9731,31.8774,38.1470606061,37.1457,24.4827333333,20.0766,42.6054,28.6589333333
191.33,17.3366222222,15.4255666667,28.0851333333,31.5088121211,31.4361833333,18.9009,19.0071333333,37.3759333333,18.4397333333
191.71,18.349437037,14.9637666667,23.6232,33.2278969698,33.3514,16.9565,20.1449333333,39.5652666667,21.0147333333
192.09,16.0905185185,9.33316666668,20.9629333333,30.9024303031,29.8333666667,16.4445333333,22.2222,37.2592,26.5928
192.47,2.77507407409,-3.48266666666,11.7412666667,17.2680969697,18.0844666667,6.36826666667,10.5472,26.9650666667,17.0148
192.85,1.49396296297,-4.11116666666,1.88886666667,18.7374,17.0833333333,4.11126666666,8.33319999999,28.2222,15.1110666667
