wavelength,Back_SalGrof,Belly_SalGrof,Breast_SalGrof,Crissum_SalGrof,Crown_SalGrof,DorTail_SalGrof,Rump_SalGrof,Throat_SalGrof,WingTip_SalGrof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,93.3333333334,-73.3333333331,13.3333333334,-213.333333334,-130.0,-30.0000000001,-106.666666667,-53.3333333333,-80.0000000001
179.16,55.5556,151.111133333,148.888933333,246.6668,197.777733333,142.222333333,197.7778,95.5555333332,80.0000666665
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,69.9999999999,35.0,40.8333333333,-14.1666666667,-5.83333333333,24.1666666667,19.1666666667,25.0,36.6666666667
180.31,268.888733333,182.222133333,191.8518,-151.851866667,-116.2962,41.4813999999,-19.2592666667,107.4074,114.074133333
180.69,263.888933333,193.8888,204.444466667,-82.7778000001,-48.8888,75.5555333333,27.2222666666,121.666666667,129.444466667
181.07,359.333333333,254.666666667,276.666666667,-41.9999999999,-10.6666666667,136.666666667,80.6666666667,156.0,185.333333334
181.45,259.999866667,203.111133333,229.7778,19.5555333333,32.0000000001,125.7778,92.8889333332,115.111133333,139.999866667
181.83,317.619066667,271.428666667,295.238133333,94.762,91.4286,190.4762,167.1428,172.380933333,205.714266667
182.21,493.333333333,450.0,500.0,200.0,139.166666667,305.833333333,280.833333333,285.0,316.666666667
182.59,398.787933333,346.666666667,406.666666667,196.363733333,133.333466667,255.151466667,270.909066667,252.727466667,264.848533333
182.97,1348.8888,1193.33333333,1440.0,695.5556,397.777799999,862.222199999,931.1112,846.666533333,871.111200001
183.35,933.333333332,833.333333333,1021.66666667,478.333333334,239.999999999,548.333333334,655.0,516.666666667,551.666666666
183.73,607.777800001,493.333400001,681.111199999,291.111133333,111.111133333,336.666666667,377.777666667,243.333333333,291.111133333
184.11,-4226.66666667,-3146.66666667,-4460.0,-2026.66666667,-673.333333334,-2420.0,-2700.0,-1706.66666667,-2080.0
184.49,586.666666667,431.666666667,592.5,290.0,104.166666667,346.666666667,365.833333333,215.0,292.5
184.87,554.814733333,380.0,565.9258,305.1852,105.1852,349.6296,359.2592,191.111133333,291.1112
185.25,480.0,348.0,516.666666667,290.666666667,87.3333333333,312.666666667,328.666666667,168.0,272.666666667
185.63,825.555466666,542.222266667,893.333400001,522.222133333,155.555533333,532.222133333,592.2222,306.6666,451.111266667
186.01,447.272533333,277.5758,478.787933333,294.5454,77.5759333333,289.090866667,308.484866667,173.9394,240.606133333
186.39,371.111,231.111133333,379.555466667,226.666666667,100.444466667,242.666733333,251.111133333,142.222333333,211.111066667
186.77,305.098066666,189.019666667,309.0196,163.1374,65.8823333335,199.2156,198.431333333,99.6078666668,171.372533333
187.15,179.019533333,115.098066667,176.470733333,100.588266667,44.7058666666,123.529466667,118.6274,74.5098,109.019666667
187.53,139.084933333,91.8954000001,131.895533333,84.1829333332,48.4968,100.261333333,91.7646,70.9804,91.2417333335
187.91,130.476333333,90.1585999999,121.9046,86.9841333335,62.857,98.8358666667,89.3121333333,75.5555333333,92.0633999999
188.29,115.8454,78.5508666667,105.120866667,79.4204,60.3865333333,83.9612666666,74.3959999999,63.1883333334,80.5797333333
188.67,100.751133333,65.8216666667,91.2676666667,70.0469333333,52.6761333333,66.9483333334,63.7558666667,51.6432,69.0141333334
189.05,96.8519333335,67.7778,87.4999333335,71.4815333333,53.0557333333,63.4258000001,65.2777333333,53.9815333333,68.0556666666
189.43,93.772,70.5262,85.7017333335,69.1228000001,50.4387333333,62.4560666667,61.9298000001,55.7018666667,65.2631333333
189.81,90.0431999999,72.1211333334,79.9999333334,63.7230666666,43.9826,59.3940000001,54.2857333333,49.1775333334,62.5107333333
190.19,86.7618,69.8096,76.7618666667,51.6191333334,36.8570666667,55.6190000001,48.6668,40.9523999999,56.4761333334
190.57,77.5124,65.2735999999,72.2387333333,43.781,27.5622,52.8358666667,44.1792666667,34.9254,49.4528
190.95,90.9195333334,78.2758000001,83.6781333334,61.8390666667,34.7126666667,65.0574000001,51.4943333333,45.0573333333,57.5862
191.33,119.394133333,94.9493333334,103.030333333,84.2424,28.0808666667,76.3635333334,57.9798666667,37.7777999999,68.0808000001
191.71,167.083333333,125.0,126.25,111.666666667,-26.2500000001,88.3333333335,60.8333333334,-7.08333333326,61.6666666667
192.09,-1066.66666667,-533.333333333,-486.666666667,-493.333333333,2080.0,-146.666666668,420.0,1593.33333333,326.666666666
192.47,-120.000000001,-3.33333333334,-20.0,-53.3333333327,678.333333333,-15.0000000008,83.3333333332,453.333333333,171.666666667
192.85,-14.3590000001,28.7178666665,-6.66673333334,23.5898,231.282066667,-6.1537333334,62.0512000001,167.692266667,83.5897333332
193.23,38.5507999998,45.2174000001,28.4057333333,53.3334000001,156.231866667,20.8695999999,86.0868666666,142.6088,82.6087333333
193.61,44.7999999999,62.9333333333,36.7999999999,58.1333333333,145.6,27.7333333334,88.0,142.4,87.9999999999
193.99,41.7778000001,48.8888666667,31.7778,36.2221999999,107.111133333,13.7779333333,68.6666666667,106.6668,66.4444666666
