wavelength,Back_ThrSaym,Belly_ThrSaym,Breast_ThrSaym,Crissum_ThrSaym,Crown_ThrSaym,DorTail_ThrSaym,Patch10_ThrSaym,Patch11_ThrSaym,Rump_ThrSaym,Throat_ThrSaym,WingTip_ThrSaym
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,74.6666000001,53.7777333333,55.9999333333,57.7777592593,51.1110666666,59.1112,53.7778666667,56.0000666667,50.6667333333,73.3331999999,62.6667333333
179.16,24.4445333333,13.7038,15.5555333334,19.1769407408,25.7407,15.5555333333,21.4814666667,8.88886666667,17.7776666667,47.7777333333,31.1110666667
179.54,49.2308,47.1794666667,35.3847333333,37.9772555555,34.8717333333,47.1795333333,44.6154666667,25.1281333333,40.5127333333,74.8717333333,24.1026
179.93,40.6249333333,40.2083333333,27.5694666667,28.0054333333,33.3680333333,44.1667333333,31.4582666667,19.5832666667,24.7916666667,57.5694666667,35.1389333333
180.31,39.2452666667,41.1949333334,26.5409333333,26.8868333333,33.2388666667,43.8992,32.8301333334,21.1320666667,26.6666,58.6164,32.9561333333
180.69,28.3673333334,35.8504,19.2516666667,18.7640666667,25.5442,35.4420666667,26.1226,12.1088,18.3674,50.068,21.0204666667
181.07,27.0,37.1666666667,15.6666666667,16.2731481481,24.3333333333,38.1666666667,26.8333333334,12.0,13.6666666667,48.0833333334,16.4166666667
181.45,17.4746666667,35.0504666666,11.2121333334,13.866362963,26.3131,38.7878,25.1515333333,6.66666666667,10.2020666667,42.5252,16.7678666667
181.83,10.0605333333,36.1212666666,5.09093333333,9.3940074074,29.091,32.6059999999,21.5756,4.60606666667,7.27260000001,33.8182666667,10.3030666667
182.21,-22.1705333333,12.8682666667,-23.1007333334,-21.0939148148,4.49606666665,12.2480666667,4.65113333333,-21.0852666667,-10.3877333333,6.66666666667,-24.9613333333
182.59,-104.1666,-41.6666666666,-103.888866667,-95.1697111113,-65.2778666667,-44.9999999999,-56.9444666667,-80.8334666667,-73.3332666667,-58.6112,-100.5556
182.97,-132.424333333,-83.0303333332,-129.393866667,-108.080803704,-88.6363333334,-59.697,-77.8789333334,-97.2727333333,-92.4244000001,-81.5151999999,-134.8486
183.35,-177.894666667,-120.351066667,-169.1228,-132.6902,-123.684266667,-91.9298666667,-94.3858,-123.859666667,-133.333266667,-134.035,-167.3684
183.73,-344.0,-274.0,-353.333333333,-267.074074074,-261.333333333,-200.666666667,-211.333333333,-242.0,-284.666666667,-324.666666667,-309.333333334
184.11,-1273.3334,-1102.22233333,-1384.4444,-1048.02473704,-953.333266667,-713.333266667,-833.333333335,-906.666599999,-975.555533335,-1164.44446667,-931.111133333
184.49,-499.166666667,-424.166666667,-509.166666667,-421.296296296,-403.75,-282.5,-358.333333333,-372.5,-348.333333333,-455.0,-333.333333333
184.87,-248.571533333,-213.3334,-262.381,-238.70377037,-240.952433333,-162.380933333,-218.571533333,-192.857066667,-177.619066667,-244.2856,-170.4764
185.25,-140.555466667,-110.2776,-145.5554,-138.163511111,-131.805533333,-80.0000000001,-119.4444,-108.0556,-86.9444666666,-133.611133333,-91.1110666665
185.63,-99.7700666667,-63.6782,-104.597733333,-103.767474074,-96.6666000001,-50.8046666667,-89.1954000001,-69.4251333333,-55.4023333334,-95.8621333333,-63.6781999999
186.01,-29.6297333334,-7.25926666673,-33.6295333333,-32.4032296296,-25.4072,-1.62966666667,-24.1482666667,-12.7408,-0.740666666672,-32.8888,-16.4443333333
186.39,-52.2580666667,-15.9139333334,-59.3547333333,-63.190025926,-47.527,-19.785,-47.0967333334,-29.4623333333,-14.4086666667,-66.6666,-27.742
186.77,-100.416666667,-36.6666666666,-127.083333333,-148.773148148,-103.333333333,-37.0833333334,-94.9999999999,-67.9166666667,-25.4166666667,-129.583333333,-70.4166666667
187.15,-68.6110666667,-9.16666666652,-70.8333333333,-86.6821666667,-51.5278,-7.2222,-40.5556000001,-35.5554666668,5.00006666666,-73.889,-56.3889333333
187.53,-36.1904666667,36.8254666667,-41.2698666667,-68.2892259259,-15.8731666667,38.0953333333,-12.3809999999,-13.9683333334,46.3492,-51.1111333333,-46.0318666667
187.91,-11.8840666667,56.8115333335,-34.4927999999,-43.8647777778,7.39119999999,46.6666,2.89860000014,3.4782,73.3334,-38.5507333333,-30.7247333335
188.29,-39.6079333334,68.6273333334,-74.902,-85.838837037,0.98033333336,58.4313999999,-16.8627333334,-13.3332666667,82.3528666667,-69.8039333335,-60.7842666667
188.67,-154.444466667,113.333333333,-290.0,-307.839462963,-59.9999666669,164.444533333,-112.222266667,-78.8888000001,217.7778,-205.555466667,-173.333466667
189.05,-240.000000001,626.666666666,-530.000000001,-418.703703704,343.333333334,913.333333333,53.3333333334,90.0,1190.0,-240.0,89.9999999994
189.43,1073.33333333,-940.000000002,1066.66666667,1338.51851852,-560.000000001,-1580.0,460.0,166.666666666,-2126.66666667,473.333333334,-33.3333333326
189.81,-77.2221333334,100.555466667,-65.5555333333,-82.2530629629,70.8333666667,158.888933334,-38.8888000001,3.33346666666,202.222133333,-20.5556666668,35.5556000001
190.19,-171.1112,71.8518,-112.592666667,-123.53902963,40.7407333334,165.925866667,-128.148133333,-31.8519333335,214.814866667,-86.6666,28.8890000001
190.57,171.372466667,46.2744666667,113.725466667,141.525114815,53.9217,2.74493333334,147.058933333,102.745133333,-34.5098666666,112.156866667,16.4706666667
190.95,150.606066667,62.4242000001,94.2426000002,116.4479,69.3939333334,25.4544666666,126.969733333,86.0606666666,-0.909066666648,97.2727999999,12.7273333333
191.33,77.3645333334,30.5426000001,38.4496,53.8501962964,30.7751333333,-0.15493333332,54.4184666666,38.2944666667,-2.0156,33.3334666667,5.73646666674
191.71,76.2318666666,40.7246666667,47.8262,47.4879481481,31.0869333334,1.884,47.9709333333,38.116,5.21733333335,33.4782666667,13.7680666667
192.09,66.3388,40.9834666667,39.6722,42.5257518518,32.2404,17.5955333333,47.3224,37.8141333333,16.2841333333,29.7267333333,17.0492
192.47,62.5870666667,45.7711333334,34.1292,47.540037037,39.7513333333,22.6865333333,54.5273333333,42.0895333333,23.1840666667,30.6467333333,20.8954
192.85,59.9061333333,50.1407333333,42.8168666667,52.5665407407,49.1548666667,28.0750666667,56.8074666667,45.7276666667,29.4836666667,34.6481333333,18.9670666667
193.23,41.4559333333,33.6398666667,29.2721333333,40.4937370371,35.9005,20.0768,40.4598666667,30.0383333333,22.6054,22.2989333333,11.0344666667
193.61,38.1481333333,31.4074,29.4814666667,42.2057296296,38.2221333333,23.4814666667,36.5924666666,32.074,23.1851333333,24.5185333333,12.8888666667
193.99,28.9498,23.8356,23.1050666667,38.2090074074,39.5433666667,19.4520666667,34.4293333333,24.0184,18.4474,22.1002666667,10.3196666667
194.37,35.614,28.1579333333,27.2806666667,46.0135962963,44.6931333333,27.0175333333,41.8422,28.0700666667,27.8069333333,32.8070666667,24.6492
194.75,38.611,27.4074666667,27.6852,50.3600259259,49.0276666667,35.1853333333,47.5001333333,30.6481333333,32.5001333333,41.3889333333,29.8148666667
195.13,33.6036666667,18.1982,16.3064,47.8977740741,47.2522,35.1351333333,43.2433333333,25.4052666667,28.4685333333,39.7296666667,30.0000666666
195.51,26.7568666667,9.90986666666,11.2611333333,40.3205333333,46.7118,26.3063333333,34.1442,17.6577333333,18.7387333333,38.919,29.3694
195.89,27.9486666667,9.23080000001,20.4274666667,39.7388555556,44.2734333333,32.4786666667,26.923,14.3590666667,14.017,37.8633333333,31.5383333333
196.27,22.3628666667,0.590733333334,9.11393333333,29.1654851852,36.3714333333,25.0632666667,15.1054666667,9.5358,2.95366666667,37.0464,30.9704666667
196.65,15.5172666667,-12.8735333333,-3.67813333333,25.7087888889,33.1035333333,17.7012,-3.44840000001,3.79320000002,-15.2874666667,35.4022666667,30.0000666667
197.03,-0.434800000006,-31.4492,-23.4783333333,17.6568814815,23.4057666667,4.49279999999,-19.1305333333,-14.4928,-38.8406,27.1015333333,21.0146000001
197.40,-17.7777333334,-49.2307333333,-38.1196666667,10.6173074074,13.3332,-19.3162666666,-33.5042666667,-26.3248000001,-58.6326,10.4274,12.9913333333
197.78,-44.8275333333,-85.5170666667,-65.0574,-2.19670740749,8.27589999998,-49.6551999999,-67.5862666667,-51.9540666667,-112.643733333,-8.50573333334,-2.29873333334
198.16,-59.4666666668,-99.9999999999,-82.9333333333,-6.17777777778,7.6,-65.0666666668,-86.4000000001,-66.6666666666,-132.8,-6.00057781242e-12,-14.9333333333
198.54,-36.3635333333,-56.1616666667,-46.2625999999,14.6240444443,19.6969666667,-38.3838666667,-62.4241333333,-37.9798000001,-92.7273999999,19.798,-9.29286666672
198.92,-37.7778000001,-58.3839333333,-50.3029333333,12.0200703704,8.28290000002,-44.2424666667,-73.1313999999,-42.0201333333,-89.8989999999,16.1616,-15.1516666667
199.30,-36.3218666667,-47.8162,-58.3907999999,19.9872888889,16.5516,-45.0573333335,-72.8735333334,-35.8621333334,-78.6207333332,34.2528666667,-2.98860000001
199.68,-25.4166666666,-32.0833333334,-38.125,41.6782407407,27.8125,-24.5833333335,-62.9166666667,-21.6666666667,-54.1666666667,34.375,10.2083333333
200.06,-8.13333333334,-14.6666666667,-18.0,32.8,21.2666666667,-10.1333333333,-26.5333333333,-4.66666666666,-29.3333333333,34.4,17.2
200.44,7.87039999999,2.22220000001,0.27773333334,34.5730518519,23.7500666667,2.22220000002,-7.87040000001,11.2036666667,-7.96293333333,32.0370666667,24.6296
200.82,19.3878,11.0204,11.1565333333,37.0218222222,30.0679333334,13.8094666667,5.23800000001,19.3876666666,4.08160000001,36.2586666667,27.5508666667
201.19,21.8289333333,15.1032,14.9262,36.0504814815,30.5604666667,18.8201333333,9.20339999999,23.599,9.2036,37.6991333333,28.0236666667
201.57,27.6562,23.0208666667,19.7919333333,39.8494444444,34.4530333333,24.4270666667,15.2085333333,29.2708,15.5729333333,36.7708666667,31.7709333333
201.95,25.5840666666,21.5954666667,15.6125333333,38.7084703704,33.9030333333,22.849,14.0741333333,28.2621333333,13.7323333333,32.8206,29.5726666667
202.33,20.4892666666,19.4496,9.17426666667,36.0517074074,30.3364,20.7338666667,8.80740000001,23.6085333334,7.58406666666,27.5840666667,22.0182666667
202.71,13.0,10.4,-0.600000000007,30.8074074074,25.0666666667,11.2666666667,3.19999999999,18.9333333333,0.4,19.8,12.4666666667
203.09,11.7492,7.92086666669,-6.2706,25.2291407407,19.0429,8.11873333334,2.83833333331,14.6534,-2.04613333334,15.2474666667,10.6271333333
203.47,19.6040666667,16.3695333333,3.49826666665,33.7807703704,29.1418333333,18.1518,9.50486666668,20.0658666667,8.51479999999,23.8284,18.6798666667
203.85,-0.091399999988,-5.84473333333,-20.274,18.3307851852,19.2694666667,1.55253333334,-11.6894666667,0.73066666668,-11.4156,6.11873333333,0.456666666666
204.22,3.14273333333,-4.5714,-16.0952666667,23.0264888889,18.7143,4.19053333332,-10.9524666667,-1.80953333332,-7.52379999999,13.4285333333,5.90479999999
204.60,-23.5556,-33.6666,-47.0001333333,-1.25306666668,-8.83336666668,-18.7778666667,-42.1111333333,-32.0000666667,-36.6667999999,-14.0,-21.5556666667
204.98,-70.6976666667,-88.8372,-96.5890666667,-34.556337037,-43.7984333333,-61.8605333333,-94.1084666667,-84.1859333334,-87.9070000001,-41.7055333333,-61.5502666668
205.36,-78.116,-94.4927333332,-102.6088,-50.6440111112,-56.087,-75.5071999999,-109.854933333,-95.0723333333,-94.7827333334,-53.6232,-69.8551333334
205.74,-62.6922666667,-75.8974666666,-80.6409999999,-39.0385000001,-38.3974333333,-52.6922666667,-85.8974666667,-72.3076666667,-68.4616666668,-34.8717333333,-42.1795333333
206.12,-52.2619333333,-56.7858666667,-62.3810666667,-30.7341518518,-23.7499666667,-36.5476666667,-74.4047333333,-61.3096,-52.5000666666,-24.5237333333,-28.4524666667
206.50,-42.0514,-42.1538666667,-46.4615333333,-22.0399037037,-11.9487333333,-27.1795333333,-60.8205333333,-49.9486666667,-39.3846666667,-16.1026,-19.8974666667
206.87,-92.1738666666,-81.7391999999,-98.5507333333,-61.5216407408,-43.2608666667,-71.3044666667,-114.7826,-106.811533333,-86.0870666667,-56.8116,-59.5652
207.25,-81.1319999999,-77.1069333334,-92.5786666667,-55.9468185185,-49.8112666667,-71.9498666667,-107.924533334,-101.509533334,-83.3962000001,-52.4528666666,-59.3712
207.63,-146.666733333,-137.117133333,-155.315333333,-102.142122222,-93.8738333334,-131.351333333,-180.5406,-164.324266667,-142.162266667,-110.8108,-117.116866667
208.01,-182.963066666,-159.012266667,-177.777733333,-111.728366667,-106.790133333,-163.456733333,-221.481733333,-213.333133333,-157.531,-142.716066667,-133.0864
208.39,-93.6842666667,-71.4035333333,-87.3683333333,-41.5301666666,-43.3333333334,-72.6316666666,-116.140333333,-117.192933334,-71.7544,-83.6842666667,-58.9474666667
208.77,-73.3334,-54.2636666667,-65.8914666667,-24.6426185185,-25.8140666667,-51.4728666666,-81.8604666667,-98.7596,-53.6434666667,-64.1860666667,-41.7054000001
209.14,-78.6046666665,-56.8993333333,-68.0619333333,-26.4340851852,-24.5736333333,-62.6357333333,-89.9224666667,-100.775066667,-59.2248666666,-71.0077333333,-46.3565333333
209.52,-79.5651333334,-62.8986,-71.0145999999,-27.1659888889,-28.2609,-70.8694666667,-86.8116666667,-94.2029999999,-65.5074666668,-70.1449333333,-44.2027999999
209.90,-145.050533333,-114.9494,-128.6868,-71.627425926,-69.1919666667,-130.504933333,-142.424133333,-153.333266667,-126.060533334,-119.798,-92.3231333333
210.28,-87.1212,-65.4546,-72.7272666666,-32.7020851851,-28.7122,-70.6059333334,-85.6059999999,-89.6970666667,-76.0606000001,-68.4848666666,-40.6060666667
210.66,-38.5455333333,-16.7272,-21.4544666667,7.02353333334,14.0,-21.5758,-30.788,-37.8182666667,-25.3332666667,-23.9998,0.000133333340001
211.03,-80.8129999999,-43.252,-64.5528,-19.4309296296,-6.50409999998,-46.0162666667,-61.7886,-74.4716,-63.5771333333,-52.5203333333,-26.1788
211.41,-73.0302666667,-35.9091333333,-61.8182666667,-9.13297777784,-0.454500000006,-42.8788666666,-49.3939333333,-53.4848666666,-53.3333333333,-34.0908666667,-18.4848
211.79,-142.4444,-79.5555333333,-114.444466667,-49.9752407408,-23.6666666667,-108.4444,-107.111133333,-96.2221333334,-105.111066667,-70.4445333333,-52.2222666666
212.17,-157.999933333,-89.3332666666,-111.777666667,-49.654437037,-25.4443333333,-126.000066667,-119.333333333,-86.4446,-106.666666667,-71.3332666667,-41.9998666667
212.55,-255.666666667,-153.333333333,-171.0,-72.2222222221,-69.6666666666,-205.666666667,-182.0,-144.666666667,-177.333333333,-103.0,-77.3333333335
212.92,-216.266666667,-134.933333333,-137.333333333,-65.5407407407,-73.3333333334,-167.2,-164.266666667,-140.266666667,-145.6,-79.7333333333,-79.4666666667
