wavelength,Back_IncWatm,Belly_IncWatm,Breast_IncWatm,Crissum_IncWatm,Crown_IncWatm,DorTail_IncWatm,Patch10_IncWatm,Patch11_IncWatm,Patch12_IncWatm,Rump_IncWatm,Throat_IncWatm,WingTip_IncWatm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-74.0740666667,-82.2222,-71.1111999999,-79.2593333334,-54.8147333333,-73.3334,-49.9999666667,-76.2963333333,-84.4442666666,-79.9999333333,-71.4814333333,-77.0369333333
179.16,-6.6666666666,-21.6666666667,3.33333333335,-21.6666666667,-13.3333333333,-33.3333333334,-35.8333333333,-33.3333333333,-30.0,-13.3333333334,5.99982286076e-11,31.6666666668
179.54,-71.1111333333,-28.8888666667,-124.444533333,-24.4446666667,-126.666733333,-117.777666667,-101.111066667,-31.1111333334,-35.5555333335,-28.8888666667,51.1112666666,-64.4445333334
179.93,-0.74073333336,-2.2222,-21.4815333333,-33.3333333333,-3.70386666664,-33.3334,-18.1481,-16.2964,-35.5554666667,8.88893333334,-16.6666333333,14.0740666666
180.31,-117.592733333,-126.296266667,-127.222266667,-103.518533333,-143.1482,-159.073933333,-95.1852666667,-133.888933333,-152.2222,-118.703666667,-131.203633333,-112.407333333
180.69,-99.6825333333,-108.254,-105.2382,-83.8095999999,-128.0952,-130.952333333,-82.1428333333,-109.047666667,-127.142666667,-103.015866667,-110.7937,-90.9524000001
181.07,-109.142666667,-119.238133333,-119.999933333,-85.9048666666,-160.000133333,-147.238,-98.6666666667,-118.857066667,-140.761733333,-122.666666667,-125.047566667,-104.762
181.45,-87.4243333332,-88.3334666667,-97.8787333333,-65.7576000001,-128.4848,-116.060666667,-72.3485666667,-91.3635999999,-111.212066667,-96.2120000001,-102.121266667,-85.7576000001
181.83,-91.9999333333,-92.2963333333,-87.8518000001,-67.2593333334,-124.2964,-114.074133333,-69.8520000001,-91.1111333334,-119.1112,-94.3703999998,-111.629633333,-89.7778
182.21,-280.666666666,-274.666666666,-250.333333333,-185.0,-347.666666667,-312.666666667,-213.5,-271.0,-329.0,-273.666666667,-316.0,-277.666666667
182.59,-321.403533333,-317.192933333,-290.526266667,-214.385933333,-388.420933333,-352.280666667,-250.5262,-294.385866667,-366.3158,-308.421066667,-355.965,-327.719266667
182.97,-236.543266667,-231.111133333,-215.0618,-164.938266667,-280.493866667,-261.9754,-195.061833333,-221.7284,-265.9258,-229.382733333,-256.913666667,-240.9876
183.35,-195.483933333,-185.161266666,-174.838666667,-134.193533333,-229.462333333,-214.408666667,-161.182766667,-183.010733333,-216.989333333,-191.612933333,-212.6881,-203.870866667
183.73,-147.207066667,-137.117066667,-137.1172,-101.621533333,-176.216266667,-159.099066667,-120.8107,-128.8288,-167.2072,-144.144133334,-166.666733333,-149.009066667
184.11,-135.370466667,-135.0,-127.4074,-94.6296000001,-165.7408,-154.999933333,-116.944366667,-118.888866667,-163.889,-136.111066667,-157.592533333,-144.4444
184.49,-38.6867333333,-35.8585333333,-33.3333333333,-17.7777333333,-51.1110666667,-51.8180666667,-26.0103,-33.8383333333,-51.9192,-36.2626,-46.5151666667,-46.5656666667
184.87,-45.8586000001,-38.6868666667,-37.4746666667,-24.4442666667,-47.4746666667,-59.0908666667,-27.2223333333,-39.5959999999,-54.0403333333,-38.8888666667,-51.1616333333,-50.909
185.25,-50.2414666667,-36.8115333333,-35.6522,-24.1546666667,-40.0000666667,-60.0966666667,-22.0773333333,-39.227,-51.6907333333,-34.7826,-50.1933666667,-45.4106666667
185.63,-112.0,-97.6295333333,-91.5555999999,-69.7778666667,-96.8889333333,-127.703666667,-66.1481,-90.6667333332,-116.1482,-86.3703333333,-112.296366667,-104.889
186.01,-157.647,-156.078333333,-149.411733333,-105.882333333,-142.745,-189.411666667,-93.7256000001,-136.666733333,-171.5686,-135.6862,-170.3923,-148.4314
186.39,-118.536666667,-122.113866667,-113.495933333,-75.2844666667,-102.926933333,-147.805066667,-55.5284666666,-95.9350666667,-129.9188,-104.065133333,-134.715466667,-108.455133333
186.77,-181.25,-182.291666667,-168.75,-123.125,-147.708333333,-213.958333333,-89.7916666667,-147.5,-196.25,-161.875,-202.5,-163.333333333
187.15,-296.190466667,-304.761866667,-276.8254,-193.015933333,-246.6666,-342.857133333,-134.2857,-231.111133333,-329.2064,-254.285733333,-328.412633333,-273.9682
187.53,-292.0636,-321.587333334,-278.730266667,-189.5238,-244.4444,-350.1588,-141.428533333,-219.365266667,-333.3334,-234.6032,-343.492,-261.904733333
187.91,-334.444466667,-382.592533333,-315.926,-218.5184,-274.074066667,-408.1482,-150.185133333,-255.1852,-362.2224,-261.111066667,-380.7407,-308.148133333
188.29,-3216.66666667,-3543.33333333,-3083.33333333,-2263.33333333,-2583.33333333,-3933.33333333,-1548.33333333,-2483.33333333,-3353.33333333,-2383.33333333,-3758.33333333,-2863.33333333
188.67,566.666466667,625.555599999,568.888866667,390.000066667,465.5556,666.111,310.555333333,446.666733333,593.888933333,393.3334,701.111133333,512.777733333
189.05,431.25,508.75,471.666666667,296.666666667,368.333333334,517.083333333,256.666666667,355.416666667,492.5,291.25,569.583333333,409.583333333
189.43,326.666666667,420.666666666,383.0,235.333333333,299.666666667,404.666666667,197.833333333,275.666666667,396.0,205.0,458.333333333,326.0
189.81,203.076866667,294.1026,246.666533333,143.076933333,186.410266667,271.2822,115.769033333,177.435933333,249.743666667,104.358866667,311.410133334,203.846066666
190.19,147.833333333,194.0,161.166666667,105.0,122.833333333,178.166666667,83.75,124.333333333,159.0,67.8333333335,204.75,134.333333333
190.57,184.197533333,262.716133333,201.975333333,133.580133333,155.555533333,229.135866667,97.4072333333,153.827066667,199.753133333,64.6915333333,255.185066667,165.926
190.95,222.807,346.3158,236.8422,163.8596,176.491266667,292.631533333,102.8071,180.000066667,236.4912,36.4911999999,308.947433333,197.5438
191.33,207.4074,344.074066667,234.444533333,149.259333333,139.259266667,278.5186,79.8148999999,164.814733333,199.6296,4.07413333314,295.740733333,162.592666667
191.71,194.074066667,314.814933334,195.185266667,121.481333333,107.777866667,250.370266667,40.1852,148.148066667,183.703733333,-16.6665999999,271.296333333,131.481466667
192.09,289.4444,452.222133334,246.666733333,168.333133333,135.555466667,332.7778,43.8888666665,188.3334,251.666733333,-51.1112000001,369.1667,143.333266667
192.47,398.518533333,614.074066666,307.407333334,202.9628,191.851866667,425.925866667,69.9999666666,237.777933333,342.222066667,-50.3703333332,465.1852,231.111066667
