wavelength,Back_SpoSimm,Belly_SpoSimm,Breast_SpoSimm,Crissum_SpoSimm,Crown_SpoSimm,DorTail_SpoSimm,Patch10_SpoSimm,Patch11_SpoSimm,Rump_SpoSimm,Throat_SpoSimm,WingTip_SpoSimm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,858.333333333,1008.33333333,891.666666667,841.666666668,750.0,1058.33333333,825.0,833.333333333,675.0,633.333333333,891.666666667
179.16,-6.48149999997,25.9258333333,26.8518333333,-3.70366666668,15.7406666667,-8.33320833333,44.4445833332,31.4814166667,31.9444166666,58.3332500001,15.74075
179.54,83.3333333333,68.75,64.5833333333,83.3333333333,75.0000000001,79.6874999999,62.5000000001,77.0833333334,64.5833333334,20.8333333333,102.083333333
179.93,255.5555,283.333333333,233.333333333,247.22225,197.22225,245.833333333,144.444416667,227.77775,277.777666667,116.66675,261.111
180.31,119.4445,120.138916667,84.8959166668,125.520916667,71.7014166667,116.493041667,70.4861666667,91.4929166668,74.0452083334,77.7778333334,133.507083333
180.69,108.333333333,106.153666667,77.9487500001,108.589833333,72.0513333333,106.794708333,72.4357500002,82.6924166667,69.3588750002,73.2050833334,118.974333333
181.07,115.81925,104.80225,74.0114166667,113.276833333,70.4801666666,108.262541667,62.7117499999,82.4859166666,69.2796666668,72.4575833334,124.57625
181.45,103.8095,99.6428333334,69.8808333333,100.476166667,61.78575,97.9760833334,59.8809166668,76.5475000001,68.5714583333,77.2619166666,114.523833333
181.83,107.077666667,104.452,75.3425833333,104.22375,60.84475,93.60725,62.5571666667,76.2556666667,68.6643750001,90.9816666667,115.296916666
182.21,104.67475,100.406416667,74.1869166667,99.3903333334,62.5000000001,92.1746666667,65.7519166667,70.2235000001,63.770375,90.6504166667,108.638083333
182.59,95.6523333332,90.2172499999,68.8404999999,87.0471666668,57.06525,86.1415,62.047,61.2318333334,58.2425833333,80.6158333333,97.1920833333
182.97,97.2771666667,89.9340833333,73.84475,87.0461666667,64.7689166667,83.9932083333,70.7096666667,64.9340833334,61.3862083334,80.4455833334,99.4225
183.35,97.8333333332,90.5,75.9166666666,84.0833333334,64.25,79.5,74.7500000001,64.75,60.0833333333,77.5,99.4166666667
183.73,99.6563333333,93.4708333333,79.8110833333,87.2851666666,71.0481666667,81.3145,81.3574166667,65.54975,65.0773333333,82.90375,101.460583333
184.11,113.580416666,102.469083333,88.1687500001,95.2675000001,79.2179166666,93.2098333333,86.3169166667,67.79825,68.4157083332,89.4033333333,111.83125
184.49,111.245,100.40175,91.4659166668,94.3775833333,79.3172500001,95.281125,88.755,71.2850833333,70.0302083332,88.8554166667,111.244833333
184.87,117.1795,110.897416667,94.6155,100.128166667,75.5129166668,96.0895833333,88.0770000002,67.1795000001,67.8205416667,90.3845,116.794833333
185.25,106.565666667,107.828333333,88.1313333332,95.0758333333,68.68675,86.8054166667,89.8989166667,56.3131666667,60.037875,85.9847500001,106.186833333
185.63,107.68225,104.1665,87.6300833334,100.65075,70.0519166667,78.8409166667,86.5884166667,53.9060000001,55.9243333334,78.77575,107.16125
186.01,99.7312499998,97.8494166668,82.1237500001,100.940916667,69.8925833333,81.0484583334,84.8116666666,46.5053333333,49.3279583333,65.0536666666,107.12375
186.39,99.9998333334,91.8104166668,78.7355833333,104.597583333,62.78725,71.7673749999,79.8850833334,45.4021666667,44.1092083333,65.0863333332,111.92525
186.77,115.816333333,111.564666667,84.18375,126.190583333,65.64625,77.8912083333,89.4556666667,54.59175,50.7653333333,84.0136666666,129.931916667
187.15,116.666666667,110.5,79.6666666666,132.166666666,62.3333333333,84.5833333334,75.3333333333,55.3333333333,53.9166666667,84.9999999999,128.333333333
187.53,99.7619166666,91.5476666665,69.7619999999,107.261833333,53.45225,77.9166666668,61.5475833333,52.8570833333,52.5593333333,76.3095833333,102.976083333
