wavelength,Back_ChlCalf,Belly_ChlCalf,Breast_ChlCalf,Crissum_ChlCalf,Crown_ChlCalf,DorTail_ChlCalf,Patch10_ChlCalf,Patch11_ChlCalf,Patch12_ChlCalf,Patch13_ChlCalf,Rump_ChlCalf,Throat_ChlCalf,WingTip_ChlCalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-87.5,-87.4999999999,-162.5,-133.333333333,20.8333333334,-285.256410256,-200.0,-204.166666667,129.166666667,33.3333333333,-58.3333333332,-29.1666666667,-225.0
179.16,-33.3334999999,-13.8889999999,-52.7778333334,-136.111083333,-2.77783333325,-108.867496795,-136.11125,-111.111166667,22.22225,102.777833333,-97.2223333333,52.7778333334,-97.2220833334
179.54,62.5000833333,69.04775,69.0475833334,75.0000833334,85.119,53.5027115385,61.90475,45.8333333333,84.5238333333,106.5475,82.7381666667,69.6429166667,48.2143333333
179.93,-94.9999999999,-81.6666666666,-108.333333333,-126.666666667,-31.6666666667,-227.243589743,-120.0,-163.333333333,-91.6666666667,-61.6666666667,-68.3333333333,-70.0000000001,-103.333333333
180.31,-205.26325,-187.719333333,-265.350666667,-283.771916667,-117.98225,-355.347445513,-314.91225,-330.263166667,-178.50875,-71.9299166667,-150.0,-164.035083333,-321.929916667
180.69,-510.833333333,-476.666666667,-650.833333333,-684.166666666,-350.0,-838.365384615,-739.166666666,-777.5,-475.0,-277.5,-405.000000001,-435.833333333,-778.333333332
181.07,-636.458333333,-633.333333333,-830.208333334,-890.624999999,-461.458333333,-1053.92628205,-934.375000001,-965.625,-726.041666666,-348.958333333,-520.833333334,-611.458333333,-955.208333333
181.45,-816.666749999,-802.777749999,-1091.66683333,-1187.50016667,-587.5,-1339.69017308,-1148.61108333,-1245.83341667,-1009.72225,-502.77775,-666.666750001,-861.111166667,-1270.83333334
181.83,621.96975,630.302916666,790.151583333,886.363583332,546.212166667,905.798557693,810.606083334,854.545583333,815.909166668,509.8485,559.090833334,661.363583333,906.818166666
182.21,378.43125,390.19625,502.450833333,570.097916667,354.902083333,549.45338782,522.058833334,541.666583334,531.3725,331.3725,336.76475,410.784416667,568.627333333
182.59,251.436666667,261.494333333,322.41375,350.0,237.931083333,345.556951923,341.092,336.206833333,351.72425,233.045833333,231.034416667,274.712583333,358.046083333
182.97,199.359,213.4615,261.965666667,281.196583333,199.14525,277.169551282,272.008583333,271.794833333,293.58975,194.658166667,191.66675,227.991416667,286.538416667
183.35,232.352916667,251.470583333,294.362666667,320.098083333,237.009916667,314.583298077,309.313666667,309.55875,326.960833333,231.6175,224.509833333,262.00975,331.3725
183.73,270.689666667,288.218416667,340.22975,375.574583333,287.35625,365.16363782,351.724166666,359.77025,385.632083333,275.57475,268.1035,310.919583333,384.195416667
184.11,403.703583333,419.444416667,468.981416666,542.12975,423.61125,535.131653846,477.314916667,511.574083333,575.925833333,405.5555,389.351916666,446.29625,571.75925
184.49,349.206416666,327.777833333,375.000083333,437.301416667,342.0635,435.39375641,382.936333333,415.476333333,497.618916667,339.285833334,330.158833333,378.174666667,474.206333333
184.87,808.333333334,715.625,832.291666666,1009.375,775.0,972.155448717,870.833333335,942.708333333,1203.125,771.875,760.416666667,865.624999999,1054.16666667
185.25,623.611,500.0,583.33325,720.138916666,597.91675,701.201923077,624.305666667,698.611083333,822.916666668,617.361166667,585.41675,595.83325,761.111416666
185.63,366.666583333,303.125,338.1945,394.444416667,356.25,409.882586539,364.236166666,385.416583334,466.6665,381.59725,353.472333334,354.513833333,419.097166667
186.01,397.22225,319.047666667,371.03175,422.222166667,372.222083333,431.71536218,393.65075,397.619083333,515.079416667,421.03175,386.508,383.730166667,437.301583333
186.39,295.96775,244.354916667,284.139833333,310.214916667,287.634416666,310.504416667,278.494666667,287.3655,383.871,315.591333333,302.688333333,294.62375,332.258083333
186.77,269.362666667,218.382333333,260.78425,287.990083333,256.3725,273.133660257,225.245083334,245.098083333,343.8725,276.225416667,265.196166667,262.990166666,293.382416666
187.15,401.086916667,325.000083333,381.5215,419.202916667,365.942,384.225259615,317.753666667,347.463833333,508.3335,382.970916667,378.9855,369.202916667,410.144916666
187.53,305.000083333,245.833333333,300.277833333,329.444416667,278.888833333,289.252246795,239.166583334,259.4445,409.16675,295.27775,280.277833333,276.9445,306.666583333
187.91,306.0,255.333333334,305.666666667,355.666666666,291.0,292.858974359,233.0,259.666666667,441.333333333,325.666666666,307.333333333,278.666666667,311.666666667
188.29,228.21975,202.462,236.93175,265.909,222.537833333,213.497974359,187.878833333,197.537916666,305.113666666,246.780416667,235.227333333,220.07575,222.916666667
